,https://roic.ai/company/ODC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,10600000,9100000,8700000,14200000,9800000,12300000,12500000,13200000,6500000,9600000,5956000,14716000,18176000,17489000,18285000,12810000,10635000,16851000,11341000,15814000,26216000,13108000,23339000,23366000,16296000,26976000,25171000,26949000,10612000,26743000,42462000,13636000
84,CAPEX,- -,- -,- -,- -,-6400000,-10400000,-8000000,-9200000,-13600000,-7000000,-7200000,-5400000,-21200000,-8500000,-6001000,-5609000,-4096000,-4882000,-6067000,-7311000,-10827000,-7757000,-8602000,-15253000,-10413000,-13806000,-6960000,-9795000,-18566000,-15859000,-10684000,-14763000,-15074000,-15029000,-14740000,-18839000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12876000,- -,- -,- -,-730000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-2400000,-3400000,-3000000,-11100000,-11800000,-3700000,-200000,-400000,-1200000,-1200000,-1219000,-2487000,-9639000,-39310000,-48825000,-28307000,-68623000,-55217000,-95831000,-80963000,-21852000,-60083000,-17601000,-34439000,-10391000,-2890000,-45198000,-47531000,-35911000,-4678000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3100000,1300000,5100000,8100000,13900000,4700000,900000,400000,2200000,1200000,1225000,2450000,1814000,36475000,43828000,32006000,63465000,57450000,93500000,94000000,24000000,50075000,24260000,25150000,26212000,3449000,37214000,34186000,52492000,11812000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1300000,-100000,-200000,100000,500000,200000,700000,500000,200000,100000,3000,733000,319000,-5973000,636000,37000,1006000,57000,43000,-15226000,-10038000,-13657000,-6929000,-9729000,-18515000,-14805000,-10423000,-14699000,-13279000,-15022000,-14677000,-18830000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-7000000,-12600000,-6100000,-12100000,-11000000,-5800000,-5800000,-4900000,-20000000,-8400000,-5992000,-4913000,-11602000,-13690000,-10428000,-3575000,-14979000,-5467000,-10890000,-2189000,-7890000,-23665000,-270000,-19018000,-15570000,-14246000,-18407000,-28044000,2572000,-7888000,-14677000,-18830000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5580000,-3200000,-3500000,-3600000,-3800000,-3500000,-3500000,-3484000,-3083000,-3083000,-3083000,-6321000,-1000000
91,Common Stock Issued,- -,- -,- -,- -,600000,300000,100000,400000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1337000,4596000,3091000,1114000,1477000,666000,1361000,-1339000,-5895000,887000,94000,49000,466000,170000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-200000,-200000,-600000,-700000,-1900000,-800000,-2400000,-4900000,-8200000,-2600000,-1751000,-3000,-4000,-1508000,-1824000,-8214000,-7811000,-16000,-20000,-656000,-5988000,- -,- -,-175000,-87000,-122000,-18000,-135000,-26000,-147000,-5541000,-3130000
93,Dividends Paid,- -,- -,- -,- -,-1100000,-1300000,-1500000,-1600000,-1800000,-2000000,-2000000,-2000000,-1800000,-1900000,-1911000,-1892000,-1894000,-1883000,-1998000,-2206000,-2403000,-3038000,-3377000,-3684000,-3992000,-4218000,-4486000,-4630000,-4965000,-5247000,-5600000,-5926000,-6230000,-6656000,-7030000,-7192000
94,Other Financing Activites,- -,- -,- -,- -,-900000,8100000,-900000,-2200000,4300000,-1200000,-1000000,-1500000,22900000,-1700000,724000,-4852000,-1966000,-2809000,-3777000,-3814000,12683000,-3606000,-3746000,172000,505000,18986000,92000,268000,86000,77000,194000,424000,- -,- -,10142000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1600000,6900000,-2900000,-4100000,1300000,-4000000,-5400000,-8400000,12900000,-6200000,-2938000,-6747000,-3864000,-6200000,-6262000,-9638000,5560000,-5546000,-5666000,-9082000,-11314000,9929000,-13889000,-7450000,-8372000,-8743000,-8442000,-8550000,-9339000,-9886000,-8750000,-11322000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-554000,-312000,-70000,448000,-89000,-249000,28000,44000,-159000,-79000,169000,111000,-183000,136000,-7000,217000
97,Net Change In Cash,- -,- -,- -,- -,-1600000,6900000,-2900000,-4100000,1300000,-4000000,-5400000,-8400000,12900000,-5000000,-2974000,3056000,2710000,-2401000,1595000,-403000,662000,5526000,-5285000,4991000,6923000,-877000,9208000,-3058000,-7805000,3908000,-1509000,-9534000,3662000,9105000,19028000,-16299000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,1388000,4444000,7154000,4753000,6348000,5945000,6607000,12133000,6848000,11839000,18762000,17885000,27093000,24035000,16230000,20138000,18629000,9095000,12757000,21862000,40890000,24591000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3200000,5200000,8500000,8300000,6300000,6400000,8800000,10100000,10000000,9400000,4362000,1388000,4444000,7154000,4753000,6348000,5945000,6607000,12133000,6848000,11839000,18762000,17885000,27093000,24035000,16230000,20138000,18629000,9095000,12757000,21862000,40890000
100,Free Cash Flow,- -,- -,- -,- -,4200000,-1300000,700000,5000000,-3800000,5300000,5300000,7800000,-14700000,1100000,-45000,9107000,14080000,12607000,12218000,5499000,-192000,9094000,2739000,561000,15803000,-698000,16379000,13571000,-2270000,11117000,14487000,12186000,-4462000,11714000,27722000,-5203000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74046/000007404695000013/0000074046-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/74046/000007404696000010/0000074046-96-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/74046/000095012498005738/0000950124-98-005738-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74046/000120677406002151/0001206774-06-002151-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000120677407002369/0001206774-07-002369-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000120677408001654/0001206774-08-001654-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000120677409001889/0001206774-09-001889-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000120677410002144/0001206774-10-002144-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404611000009/0000074046-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404612000012/0000074046-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404613000015/0000074046-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404614000013/0000074046-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404615000043/0000074046-15-000043-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404616000094/0000074046-16-000094-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404617000041/0000074046-17-000041-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404618000046/0000074046-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404619000049/0000074046-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404620000052/0000074046-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404621000082/0000074046-21-000082-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
