,https://roic.ai/company/UTMD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,4200000,3900000,3100000,4000000,15500000,6200000,4500000,10000000,1600000,- -,- -,- -,- -,- -,98000,8202000,9045000,4306000,- -,7792000,1116000,5839000,15155000,47000,- -,- -,- -,- -,- -,74000,- -,- -,- -
88,Other Investing Activites,- -,- -,100000,400000,-200000,-100000,100000,-100000,100000,- -,-7800000,-300000,-1000,-239000,- -,- -,- -,- -,5000,- -,2023000,1000,-8000,-2000,-10000,-1000,-5000,-22000,-70000,-9000,- -,862000,-21000000,- -,- -
89,Cash Used for Investing Activites,- -,- -,-500000,-2600000,-3900000,-6100000,-1000000,300000,-4500000,800000,-7500000,-5000000,-685000,-600000,-524000,-517000,-1033000,-15334000,-1895000,-2628000,-337000,4856000,-3158000,2705000,-26685000,-208000,-344000,-1132000,-246000,-3302000,-1597000,534000,-21540000,-860000,-552000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-463000,-413000,-5942000,-9093000,-3908000,-4035000,-4777000,- -,- -,- -,- -,- -,4617000
91,Common Stock Issued,- -,- -,600000,200000,400000,700000,600000,100000,1100000,600000,200000,100000,98000,85000,316000,1113000,882000,1111000,858000,627000,180000,224000,132000,425000,485000,- -,- -,- -,- -,- -,- -,- -,- -,- -,560000
92,Common Stock Repurchased,- -,- -,-2800000,- -,- -,-1000000,-7200000,-8500000,-4200000,-14600000,-5400000,-1700000,-12058000,-11598000,-193000,-11818000,-2795000,-10698000,-9437000,-4794000,-2023000,-7792000,-116000,-439000,- -,-504000,- -,-1055000,-683000,-2850000,- -,-1205000,-398000,-6976000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1331000,-2445000,-2902000,-3423000,-4329000,-3337000,-6030000,-3433000,-3555000,-3675000,-3765000,-3846000,-3916000,-2955000,-4026000,-4112000,-4116000,-11465000
94,Other Financing Activites,- -,- -,-800000,-700000,-100000,- -,- -,- -,- -,- -,5600000,-2500000,2840000,4066000,-7499000,2455000,-4956000,- -,5337000,-1057000,-1179000,-1874000,14000,38000,26968000,1981000,983000,594000,415000,426000,302000,454000,283000,358000,-4617000
95,Cash Used/Provided by Financing Activities,- -,- -,-3000000,-500000,300000,-300000,-7300000,-8400000,-3100000,-14000000,400000,-4100000,-9120000,-7447000,-7376000,-8250000,-6869000,-10918000,-5687000,-8126000,-6445000,-13771000,-3770000,-6419000,18078000,-11171000,-6600000,-8261000,-8891000,-6340000,-2653000,-4777000,-4227000,-10734000,-10905000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000,-11000,-4000,26000,44000,-151000,16000,-191000,-52000,1000,15000,-35000,-41000,153000,160000,-1115000,-660000,-1868000,921000,-1354000,386000,260000,-362000
97,Net Change In Cash,- -,- -,-3000000,-500000,300000,-300000,-7300000,-8400000,-3100000,-14000000,400000,-4100000,-720000,-233000,-44000,-85000,477000,1056000,-1115000,-93000,641000,-1154000,313000,3408000,2717000,2337000,5524000,4879000,4004000,3018000,13579000,11237000,-8325000,8803000,9384000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647000,414000,370000,285000,762000,1818000,703000,610000,1251000,97000,410000,3818000,6534000,8871000,14395000,19274000,23278000,26296000,39875000,51112000,42787000,51590000,60974000
99,Cash at the Beginning of Period,- -,- -,600000,1300000,1200000,1600000,1600000,800000,1600000,5100000,3000000,1000000,1367000,647000,414000,370000,285000,762000,1818000,703000,610000,1251000,97000,410000,3817000,6534000,8871000,14395000,19274000,23278000,26296000,39875000,51112000,42787000,51590000
100,Free Cash Flow,- -,- -,3800000,200000,1500000,4600000,5800000,6500000,8900000,5300000,3800000,4800000,8417000,7464000,7336000,8139000,7941000,27038000,6106000,10519000,7114000,7475000,6752000,5623000,11109000,13308000,11965000,14255000,13555000,11226000,15311000,16432000,-4484000,19277000,20651000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000091423396000019/0000914233-96-000019-index.html,https://www.sec.gov/Archives/edgar/data/706698/000091423397000042/0000914233-97-000042-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000109690601000109/0001096906-01-000109-index.html,https://www.sec.gov/Archives/edgar/data/706698/000109690602000253/0001096906-02-000253-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000109690606000158/0001096906-06-000158-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690607000376/0001096906-07-000376-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690608000399/0001096906-08-000399-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690609000189/0001096906-09-000189-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690610000273/0001096906-10-000273-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690611000415/0001096906-11-000415-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690612000512/0001096906-12-000512-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690613000305/0001096906-13-000305-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690614000293/0001096906-14-000293-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690615000240/0001096906-15-000240-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690616001451/0001096906-16-001451-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690617000145/0001096906-17-000145-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690618000127/0001096906-18-000127-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690619000100/0001096906-19-000100-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690620000111/0001096906-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000181188421000004/0001811884-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000181188422000004/0001811884-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
