,https://roic.ai/company/NJR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11800000,79700000,700000,-20700000,-6300000,-68543000,-78355000,-21531000,-1486000,-73880000,-1722000,-23466000,68361000,96600000,215697000,128024000,79210000,28983000,-5795000,-105935000,-108355000,108411000,35656000,-223474000,19104000,65229000,88610000,18092000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28800000,-46100000,105300000,42400000,-43600000,137338000,68855000,-136928000,-45883000,83897000,-196522000,152632000,-181443000,11124000,-117724000,327965000,-30878000,163995000,-43340000,10940000,146073000,-117139000,-18511000,250543000,-106233000,-60287000,-115268000,117552000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41400000,78300000,57800000,67200000,21100000,117232000,126441000,-30185000,49765000,92136000,-49002000,206994000,-22993000,122406000,132368000,267241000,139415000,250101000,51081000,113994000,356786000,387920000,142630000,248046000,398286000,189350000,213481000,390954000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58600000,-53800000,-56100000,-47000000,-44500000,-48872000,-51143000,-51717000,-43238000,-53267000,-78659000,-60900000,-58794000,-63524000,-73446000,-75495000,-90178000,-169162000,-206181000,-196208000,-288109000,-319877000,-354196000,-325649000,-377944000,-498054000,-445940000,-624610000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8800000,- -,-555000,-5780000,-11176000,-82731000,-4879000,178543000,-26345000,-690000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5300000,-2900000,-1400000,-9500000,- -,- -,- -,- -,- -,- -,-8764000,- -,- -,- -,-43843000,-4300000,- -,-802000,- -,- -,-1499000,- -,- -,-9000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1046000,- -,1694000,- -,- -,- -,- -,- -,- -,- -,538000,88000,3016000,979000,7961000,6616000,34484000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-4400000,94800000,12000000,12000000,3545000,-4570000,4074000,20421000,-4308000,-7800000,40788000,-12252000,-55196000,-30495000,-1939000,-6925000,-5915000,-13512000,-24564000,-18331000,-25667000,-27863000,-22385000,-44526000,-37767000,-543799000,-621427000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60800000,-63500000,35800000,-36400000,-42000000,-45327000,-55713000,-47643000,-22817000,-56529000,-86459000,-27182000,-71046000,-118720000,-103941000,-121277000,-101403000,-175077000,-217117000,-193633000,-282595000,-321729000,-363190000,-390661000,-373099000,-282599000,-994025000,-622117000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95162000,-6749000,-130091000,-8025000,-8953000,-147186000,-271689000,-13289000,-97854000,-165486000,-345138000,-370286000,-18007000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10800000,6900000,300000,6600000,9059000,8490000,11620000,11729000,11325000,17922000,9918000,25346000,18515000,23513000,16441000,6487000,13704000,13834000,37839000,15373000,37299000,16010000,17492000,58813000,74108000,230980000,15105000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,-1100000,-100000,-7500000,-9400000,-31832000,-14750000,-5366000,-6135000,-1807000,-1164000,-23835000,-40883000,-9024000,-11039000,-30670000,-29650000,-10193000,-8768000,-26606000,-5522000,-10589000,-1008000,-6355000,- -,- -,- -,-27217000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28600000,-26600000,-27700000,-28700000,-29100000,-29828000,-30269000,-30989000,-32012000,-33245000,-35269000,-37164000,-39446000,-41869000,-45201000,-50967000,-53137000,-58650000,-61688000,-67230000,-70664000,-76532000,-82445000,-87988000,-95835000,-104059000,-117804000,-116960000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,36600000,1200000,-63000000,-200000,49900000,-19657000,-34418000,104703000,-3292000,-11323000,157176000,-108766000,129005000,28841000,41786000,7954000,9794000,116703000,227752000,143049000,132990000,258097000,333910000,282000000,176553000,470691000,1153014000,264862000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19800000,-15700000,-83900000,-36100000,18000000,-72258000,-70947000,79968000,-29710000,-35050000,138665000,-159847000,74022000,-3537000,9059000,-152404000,-73255000,-68527000,163105000,78099000,-75009000,-63414000,253178000,107295000,-25955000,95602000,895904000,117783000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,-900000,9700000,-5300000,-3000000,-355000,-219000,2140000,-2762000,557000,3204000,19965000,-20017000,149000,37486000,-6440000,-35243000,6497000,-2931000,-1540000,-818000,2777000,32618000,-35320000,-768000,2353000,115360000,-113380000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,1100000,10800000,5500000,2500000,2123000,1904000,4044000,1282000,1839000,5043000,25008000,4991000,5140000,42626000,36186000,943000,7440000,4509000,2969000,2151000,4928000,37546000,2226000,1458000,4063000,119423000,6043000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,2000000,1100000,10800000,5500000,2478000,2123000,1904000,4044000,1282000,1839000,5043000,25008000,4991000,5140000,42626000,36186000,943000,7440000,4509000,2969000,2151000,4928000,37546000,2226000,1710000,4063000,119423000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17200000,24500000,1700000,20200000,-23400000,68360000,75298000,-81902000,6527000,38869000,-127661000,146094000,-81787000,58882000,58922000,191746000,49237000,80939000,-155100000,-82214000,68677000,68043000,-211566000,-77603000,20342000,-308704000,-232459000,-233656000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/356309/000095011094000358/0000950110-94-000358-index.html,https://www.sec.gov/Archives/edgar/data/356309/000095011095000883/0000950110-95-000883-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356309/000095012302012107/0000950123-02-012107-index.html,https://www.sec.gov/Archives/edgar/data/356309/000095012303013828/0000950123-03-013828-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465904037977/0001104659-04-037977-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465905058182/0001104659-05-058182-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465906077505/0001104659-06-077505-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630907000114/0000356309-07-000114-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630908000064/0000356309-08-000064-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000114036109027697/0001140361-09-027697-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630910000025/0000356309-10-000025-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630911000033/0000356309-11-000033-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630912000060/0000356309-12-000060-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630913000103/0000356309-13-000103-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630914000113/0000356309-14-000113-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630915000097/0000356309-15-000097-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630916000283/0000356309-16-000283-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630917000185/0000356309-17-000185-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630918000139/0000356309-18-000139-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630919000133/0000356309-19-000133-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630920000098/0000356309-20-000098-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630921000095/0000356309-21-000095-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
