,https://roic.ai/company/DOV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25246000,17912000,22102000,25991000,30884000,30480000,31628000,30697000,21015000,26528000,23698000,29702000,25026000,31111000
77,Change in Working Capital,- -,- -,- -,- -,-13000000,- -,- -,- -,- -,360900000,-57500000,47300000,44000000,-79900000,-38100000,93509000,465548000,125306000,-22224000,-144868000,-25500000,69055000,25520000,513559000,176926000,513954000,126664000,-1152933000,583366000,-767114000,1034000,-405897000,257699000,-201901000,124986000,69377000,1730141000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36427000,163054000,-195934000,-95708000,-4549000,-92472000,-87207000,37916000,-44649000,-104706000,-87573000,-7903000,122407000,5053000
79,Inventory,- -,- -,- -,- -,36100000,-2100000,20600000,5300000,16900000,-22500000,-69500000,10600000,-44400000,-17300000,-21000000,-89396000,137618000,74359000,4789000,-59472000,89476000,-5915000,59190000,27128000,97241000,-131476000,-46115000,-37986000,-18256000,-63717000,63129000,25858000,-12557000,-85052000,-56870000,10519000,-297623000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19273000,-31306000,104093000,72434000,73460000,9988000,60176000,42925000,58695000,124051000,106561000,18270000,-95636000,229334000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,360900000,303400000,350700000,394700000,314800000,276700000,370209000,835757000,961063000,938839000,793971000,768471000,837526000,863046000,1376605000,1553531000,2067485000,2194149000,1041216000,1624582000,857468000,858502000,452605000,710304000,508403000,633389000,702766000,2432907000
82,Other Non-Cash Items,- -,- -,- -,- -,-3300000,-14700000,2100000,-31800000,-10800000,-326000000,-11300000,-152100000,-142700000,10600000,560600000,-594661000,44182000,233506000,123953000,163830000,-20451000,71858000,-23412000,-421425000,9656000,-642554000,-279173000,1245590000,-841010000,662853000,-387620000,456640000,-497714000,159439000,-147621000,73548000,-2011006000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,208300000,219900000,213900000,171900000,225000000,314100000,303600000,411500000,462200000,476900000,1609100000,239351000,975527000,420073000,593666000,597447000,676184000,894711000,874947000,1002824000,796093000,946851000,1077978000,1273173000,1154517000,975924000,835113000,861975000,821559000,798635000,945306000,1104810000,1115865000
84,CAPEX,- -,- -,- -,- -,-70400000,-52700000,-50400000,-47800000,-48700000,-84900000,-103800000,-125500000,-145800000,-675900000,-705400000,-197901000,-166891000,-102305000,-96400000,-107434000,-152113000,-194735000,-174252000,-175795000,-120009000,-183217000,-271809000,-297012000,-236833000,-166033000,-154251000,-165205000,-196735000,-170994000,-186804000,-165692000,-171465000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-442658000,-274062000,-99710000,-362062000,-506108000,-1091762000,-1116780000,-273610000,-10987000,-218423000,-99918000,-865316000,-1035433000,-246381000,-610906000,121471000,-1355330000,336635000,-64620000,-191469000,-320386000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-3100000,-2100000,- -,-3000000,-22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-279460000,-348439000,-466881000,- -,- -,- -,- -,-17752000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,16000000,- -,- -,31500000,8900000,1700000,22000000,- -,14185000,- -,- -,- -,- -,- -,- -,- -,- -,406033000,553466000,124410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-107300000,-178500000,35600000,-182200000,-314000000,-209400000,-283500000,-216200000,-256400000,-99300000,-628900000,24221000,13439000,17943000,9862000,88689000,175434000,19017000,24485000,13248000,22973000,17593000,-8225000,-13443000,20163000,-5618000,15954000,16692000,36473000,-9866000,-5982000,4699000,-821288000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-177700000,-234300000,-16900000,-214000000,-365700000,-316300000,-355800000,-332800000,-400500000,-753200000,-1334300000,-602153000,-427514000,-184072000,-448600000,-524853000,-1068441000,-1292498000,-423377000,-452994000,-257865000,-178957000,-1020940000,-1345888000,-463051000,-782557000,-34578000,-1503843000,176373000,-245480000,-384255000,-481379000,-992753000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-599113000,-226657000,-75855000,-402654000,-3582000,-3246000,-6566000,-300048000,-2017000,- -,-350000000,-805112000,-84700000,- -
91,Common Stock Issued,- -,- -,- -,- -,1300000,2100000,1500000,- -,2100000,5300000,9900000,7400000,13000000,19000000,12300000,9003000,3945000,6414000,7445000,13608000,19230000,93311000,87117000,79898000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5874000,-32155000,-15511000,-3746000,-5176000,-51929000,-48329000,-596009000,-466737000,- -,-123555000,-242488000,-748955000,-457871000,-601077000,-600164000,- -,-105023000,-894977000,-143280000,-106279000,- -
93,Dividends Paid,- -,- -,- -,- -,-44000000,-45600000,-61000000,-49800000,-51400000,-56100000,-63500000,-72400000,-80300000,-89200000,-91800000,-97468000,-105563000,-109436000,-115504000,-126060000,-133913000,-144799000,-154390000,-169071000,-189874000,-200099000,-219154000,-240959000,-247820000,-258487000,-257969000,-268339000,-283959000,-283570000,-282197000,-284312000,-286896000
94,Other Financing Activites,- -,- -,- -,- -,85700000,31400000,-164600000,81700000,182000000,82900000,138400000,62200000,-63600000,338200000,-147100000,504605000,-411502000,-21766000,9623000,16678000,439451000,228107000,317609000,594119000,26578000,94721000,813795000,650554000,30395000,610641000,66295000,903964000,-205757000,630709000,672547000,-30999000,37016000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,43000000,-12100000,-224100000,31900000,132700000,32100000,84800000,-2800000,-130900000,268000000,-226600000,410266000,-545275000,-140299000,-102182000,-100950000,272839000,128290000,-345673000,-560904000,-389953000,-304788000,-50501000,-342942000,-678542000,-255489000,-1091886000,633608000,-594739000,-897838000,-558042000,-506290000,-249880000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3200000,-1200000,2500000,-6000000,2000000,-7000000,-4103000,-7521000,23415000,33671000,12155000,-18487000,19816000,34356000,-45817000,19569000,10030000,15990000,16112000,-3301000,-40426000,-26061000,-4779000,1625000,10645000,-1977000,-1319000,-803000
97,Net Change In Cash,- -,- -,- -,- -,43000000,-12100000,-224100000,31900000,132700000,- -,- -,- -,- -,- -,41200000,43361000,-4783000,119117000,76555000,-16201000,-137905000,187784000,227567000,-58696000,166956000,472996000,17676000,-406679000,3806000,-122301000,-319396000,-13039000,404818000,-357743000,1032000,115822000,-127571000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000000,181399000,175865000,294448000,370379000,357606000,191150000,373616000,602412000,547409000,714365000,1187361000,1206755000,800076000,803882000,681581000,362185000,349146000,753964000,396221000,397253000,513075000,385504000
99,Cash at the Beginning of Period,- -,- -,- -,- -,61800000,135400000,108900000,81800000,71600000,63700000,90300000,121700000,200000000,103100000,96800000,138038000,180648000,175331000,293824000,373807000,329055000,185832000,374845000,606105000,547409000,714365000,1189079000,1206755000,800076000,803882000,681581000,362185000,349146000,753964000,396221000,397253000,513075000
100,Free Cash Flow,- -,- -,- -,- -,137900000,167200000,163500000,124100000,176300000,229200000,199800000,286000000,316400000,-199000000,903700000,41450000,808636000,317768000,497266000,490013000,524071000,699976000,700695000,827029000,676084000,763634000,806169000,976161000,917684000,809891000,680862000,696770000,624824000,627641000,758502000,939118000,944400000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012397002834/0000950123-97-002834-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012398003095/0000950123-98-003095-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012399002715/0000950123-99-002715-index.html,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012301002246/0000950123-01-002246-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012302002088/0000950123-02-002088-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012306002706/0000950123-06-002706-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012307002935/0000950123-07-002935-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012308002255/0000950123-08-002255-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012309003170/0000950123-09-003170-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012310014502/0000950123-10-014502-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012311012422/0000950123-11-012422-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990512000008/0000029905-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990513000014/0000029905-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990514000012/0000029905-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990515000007/0000029905-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990516000064/0000029905-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990517000011/0000029905-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990518000013/0000029905-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990519000019/0000029905-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990520000011/0000029905-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990521000010/0000029905-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990522000009/0000029905-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
