,https://roic.ai/company/AMGN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/318154/000031815495000008/0000318154-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815496000002/0000318154-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815497000005/0000318154-97-000005-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815498000003/0000318154-98-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/318154/000089843001000873/0000898430-01-000873-index.html,https://www.sec.gov/Archives/edgar/data/318154/000089843002000744/0000898430-02-000744-index.html,https://www.sec.gov/Archives/edgar/data/318154/000089843003001854/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000095014804000549/v96430e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000095012905002159/v06403e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000110465906015851/a06-5805_110k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312507042586/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312508040431/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312509041091/0001193125-09-041091-index.html,https://www.sec.gov/Archives/edgar/data/318154/000119312510044311/0001193125-10-044311-index.html,https://www.sec.gov/Archives/edgar/data/318154/000095012311018800/v57113e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312512086670/0001193125-12-086670-index.html,https://www.sec.gov/Archives/edgar/data/318154/000144530513000364/0001445305-13-000364-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815414000004/amgn-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815415000005/amgn-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815416000031/0000318154-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815417000004/0000318154-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815418000004/0000318154-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815419000008/0000318154-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815420000017/0000318154-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815421000010/0000318154-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/0000318154-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-8200000,19100000,97900000,357600000,383300000,319700000,537700000,679800000,644300000,863200000,1096400000,1138500000,1119700000,-1391900000,2259500000,2363000000,3674000000,2950000000,3166000000,4196000000,4605000000,4627000000,3683000000,4345000000,5081000000,5158000000,6939000000,7722000000,1979000000,8394000000,7842000000,7264000000,5893000000
74,Depreciation and Amortization,- -,- -,- -,- -,8000000,12000000,21500000,33600000,50700000,74500000,84200000,100300000,117100000,143800000,176800000,211800000,265900000,447300000,686500000,734000000,841000000,963000000,1202000000,1073000000,1049000000,1017000000,1060000000,1088000000,1286000000,2092000000,2108000000,2105000000,1955000000,1946000000,2206000000,3601000000,3398000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-49200000,-8000000,17400000,2400000,23900000,25600000,-31400000,-5600000,9800000,- -,-148300000,174700000,-189600000,57000000,-95000000,-540000000,136000000,-46000000,47000000,-167000000,-399000000,28000000,-189000000,-108000000,-607000000,183000000,-1330000000,-363000000,-289000000,-287000000,-453000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000000,353000000,341000000,362000000,403000000,408000000,322000000,311000000,329000000,311000000,308000000,330000000,341000000
77,Change in Working Capital,- -,- -,- -,- -,-15700000,46900000,44300000,435400000,79800000,-63000000,291100000,-10600000,-58100000,174700000,257900000,840800000,780700000,2018600000,281600000,-142900000,627000000,-950000000,2172000000,3473000000,4724000000,1500000000,5280000000,1179000000,-3598000000,8285000000,2146000000,4955000000,5650000000,-16326000000,-18525000000,3886000000,-1194000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36000000,-210000000,-557000000,348000000,-38000000,136000000,-420000000,-214000000,-58000000,-378000000,-504000000,-427000000,-429000000
79,Inventory,- -,- -,- -,- -,-13900000,-16200000,-7100000,-16600000,-17900000,-23300000,9200000,-8600000,-11800000,-1600000,-73500000,-120900000,-85500000,-101700000,-167700000,-175000000,-370000000,-561000000,-109000000,-59000000,-134000000,153000000,-383000000,-150000000,-7000000,327000000,481000000,-80000000,133000000,-3000000,-66000000,-215000000,-165000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,142000000,-95000000,161000000,-184000000,405000000,-12000000,-44000000,424000000,-143000000,164000000,45000000,-69000000
81,Other Working Capital,- -,- -,- -,- -,59300000,106200000,127000000,562400000,642200000,579200000,870300000,859700000,801600000,976300000,1234200000,2075000000,2855700000,4874300000,5155900000,5013000000,5640000000,4690000000,6862000000,10335000000,15059000000,16559000000,21839000000,23018000000,19420000000,27705000000,29851000000,34806000000,40456000000,24130000000,5605000000,9491000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,10000000,-59300000,105200000,-525800000,-98200000,198300000,-163700000,27500000,231000000,-134600000,-465600000,-556500000,-537800000,1000100000,528600000,685900000,-136000000,2966000000,-1275000000,-2708000000,-4373000000,-1543000000,-4846000000,-1120000000,3308000000,-7280000000,-1831000000,-4922000000,2594000000,17334000000,17608000000,-4297000000,1276000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-5900000,18700000,219700000,292800000,433000000,531900000,773200000,822600000,902900000,1041500000,1075300000,1634600000,1480200000,2248800000,3566600000,3697000000,4911000000,5389000000,5401000000,5988000000,6336000000,5787000000,5119000000,5882000000,6291000000,8555000000,9077000000,10354000000,11177000000,11296000000,9150000000,10497000000,9261000000
84,CAPEX,- -,- -,- -,- -,-43200000,-44100000,-117300000,-219800000,-209900000,-130800000,-162700000,-266900000,-387800000,-407800000,-304200000,-437700000,-441800000,-658500000,-1356800000,-1336000000,-867000000,-1218000000,-1267000000,-672000000,-530000000,-580000000,-567000000,-689000000,-693000000,-1003000000,-649000000,-837000000,-664000000,-738000000,-618000000,-608000000,-880000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1899000000,- -,- -,- -,-2167000000,-697000000,-56000000,- -,- -,-701000000,-2390000000,-9434000000,-165000000,-359000000,- -,-19000000,195000000,-13617000000,-3219000000,-2686000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-116100000,-244700000,-131300000,-1395100000,-1646600000,-854800000,-767500000,-766300000,-1032700000,-1638700000,-918200000,-2952800000,-5320300000,-21488000000,-9597000000,-5386000000,-5579000000,-10345000000,-12418000000,-14602000000,-21183000000,-26241000000,-21965000000,-25878000000,-25977000000,-28094000000,-33607000000,-18741000000,-9394000000,-8477000000,-8900000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,59700000,5000000,- -,- -,- -,1593500000,1148400000,930700000,891400000,486300000,883500000,1067800000,792000000,2399700000,3709400000,21433000000,10438000000,3850000000,5527000000,7780000000,9695000000,11127000000,21620000000,19366000000,24213000000,20896000000,21556000000,20417000000,30414000000,33768000000,29390000000,6978000000,13234000000
88,Other Investing Activites,- -,- -,- -,- -,-10300000,-2500000,4300000,-7700000,-48700000,-258600000,-33200000,-119200000,-38300000,14100000,-10100000,-27700000,28400000,246800000,-242500000,-8000000,-33000000,-210000000,24000000,128000000,51000000,-97000000,45000000,-36000000,-590000000,398000000,-118000000,-144000000,-148000000,-145000000,-52000000,-75000000,-35000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,6200000,-41600000,-229100000,-472200000,-389900000,-191000000,-694100000,-310200000,-302200000,-673700000,-463500000,-1036300000,-539600000,-2863800000,-3210200000,-1399000000,-59000000,-5131000000,-1992000000,-3165000000,-3202000000,-4152000000,-786000000,-9990000000,-8469000000,-5752000000,-5547000000,-8658000000,-4024000000,14339000000,5709000000,-5401000000,733000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000000,- -,-3262000000,-123000000,-3371000000,-5605000000,-2400000000,-3725000000,-4405000000,-1121000000,-4514000000,-6450000000,-4150000000
91,Common Stock Issued,- -,- -,- -,- -,6500000,7100000,88100000,128200000,62200000,59900000,145400000,162100000,189000000,345500000,248800000,333700000,277700000,427800000,529000000,453000000,1087000000,1302000000,277000000,155000000,171000000,80000000,- -,1288000000,296000000,186000000,82000000,55000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-85900000,-207500000,-300500000,-285700000,-450000000,-737900000,-912100000,-1024700000,-799900000,-737500000,-1420400000,-1801000000,-4072000000,-4430000000,-2000000000,-5100000000,-2268000000,-3208000000,-3786000000,-8315000000,-4607000000,-832000000,-138000000,-1867000000,-2965000000,-3160000000,-17794000000,-7702000000,-3486000000,-4975000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000000,-1118000000,-1415000000,-1851000000,-2396000000,-2998000000,-3365000000,-3507000000,-3509000000,-3755000000,-4013000000
94,Other Financing Activites,- -,- -,- -,- -,13700000,34400000,12500000,82700000,138700000,-17500000,-83400000,-121900000,18000000,160800000,93900000,-36500000,-18200000,2770200000,-99500000,2010000000,-1195000000,-117000000,2155000000,-960000000,2013000000,2474000000,11403000000,4979000000,8048000000,4531000000,3464000000,7034000000,4336000000,-68000000,-42000000,8824000000,4867000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,20200000,41500000,100600000,125000000,-6600000,-258100000,-223700000,-409800000,-530900000,-405800000,-682000000,-502700000,-478000000,1777600000,-1371500000,-1609000000,-4538000000,-815000000,-2668000000,-3073000000,-2024000000,-1232000000,-674000000,419000000,2726000000,-2877000000,-3117000000,-2599000000,-6594000000,-22490000000,-15767000000,-4867000000,-8271000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,100600000,- -,- -,- -,- -,- -,- -,- -,-70200000,95600000,462600000,1162600000,-1015100000,689000000,314000000,-557000000,741000000,-250000000,1110000000,403000000,3659000000,-3689000000,548000000,-74000000,413000000,-903000000,559000000,3145000000,-908000000,229000000,1723000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130900000,226500000,689100000,1851700000,836600000,1526000000,1840000000,1283000000,2024000000,1774000000,2884000000,3287000000,6946000000,3257000000,3805000000,3731000000,4144000000,3241000000,3800000000,6945000000,6037000000,6266000000,7989000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,100000,20700000,55200000,146500000,92000000,128500000,211300000,66700000,169300000,239100000,201100000,130900000,226500000,689100000,1851700000,837000000,1526000000,1840000000,1283000000,2024000000,1774000000,2884000000,3287000000,6946000000,3257000000,3805000000,3731000000,4144000000,3241000000,3800000000,6945000000,6037000000,6266000000
100,Free Cash Flow,- -,- -,- -,- -,-49100000,-25400000,102400000,73000000,223100000,401100000,610500000,555700000,515100000,633700000,771100000,1196900000,1038400000,1590300000,2209800000,2361000000,4044000000,4171000000,4134000000,5316000000,5806000000,5207000000,4552000000,5193000000,5598000000,7552000000,8428000000,9517000000,10513000000,10558000000,8532000000,9889000000,8381000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318154/000031815495000008/0000318154-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815496000002/0000318154-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815497000005/0000318154-97-000005-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815498000003/0000318154-98-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/318154/000089843001000873/0000898430-01-000873-index.html,https://www.sec.gov/Archives/edgar/data/318154/000089843002000744/0000898430-02-000744-index.html,https://www.sec.gov/Archives/edgar/data/318154/000089843003001854/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000095014804000549/v96430e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000095012905002159/v06403e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000110465906015851/a06-5805_110k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312507042586/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312508040431/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312509041091/0001193125-09-041091-index.html,https://www.sec.gov/Archives/edgar/data/318154/000119312510044311/0001193125-10-044311-index.html,https://www.sec.gov/Archives/edgar/data/318154/000095012311018800/v57113e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312512086670/0001193125-12-086670-index.html,https://www.sec.gov/Archives/edgar/data/318154/000144530513000364/0001445305-13-000364-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815414000004/amgn-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815415000005/amgn-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815416000031/0000318154-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815417000004/0000318154-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815418000004/0000318154-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815419000008/0000318154-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815420000017/0000318154-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815421000010/0000318154-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/0000318154-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
