,https://roic.ai/company/AGCO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,-3300000,- -,- -,-88100000,- -,- -,-13100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17600000,-1000000,-499700000,-287500000,-212500000,- -,-184300000,-130000000,-55000000,-135000000
93,Dividends Paid,-100000,-3600000,-6000000,- -,-2200000,-2500000,-2400000,-2400000,-2500000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38900000,-40800000,-42000000,-42500000,-44500000,-47100000,-48000000,-48000000,-358500000
94,Other Financing Activites,-71800000,67000000,248300000,114900000,162100000,114900000,185500000,-204700000,-107500000,-19700000,22200000,74500000,392500000,-230900000,-174900000,-121000000,73300000,278400000,60100000,1658100000,924800000,1127100000,1668500000,1945600000,3113800000,3507500000,5251700000,2055700000,1171300000,-42200000
95,Cash Used/Provided by Financing Activities,-10400000,151800000,376000000,112900000,161600000,254600000,95400000,-207100000,-109700000,-26900000,32500000,77000000,695500000,-229500000,-164100000,-112800000,34100000,-65300000,-109400000,671000000,-241600000,-106800000,-662000000,-153400000,236400000,-176700000,-413300000,-313400000,22700000,-539500000
96,Effect of Forex Changes on Cash,- -,- -,1100000,800000,400000,-3800000,-300000,-2300000,-1300000,-2100000,300000,5500000,14300000,-20900000,30500000,13700000,-116100000,46800000,12300000,-28700000,6800000,-15600000,-27000000,-67000000,-4600000,30800000,-18700000,-4200000,8800000,-62300000
97,Net Change In Cash,-10400000,151800000,25600000,112900000,21700000,-10500000,-15300000,3700000,-6300000,15600000,5400000,112700000,178600000,-105000000,180500000,181300000,-70200000,140500000,68500000,4500000,56900000,265900000,-683500000,63000000,3000000,-62000000,-41600000,106700000,686300000,-230000000
98,Cash at the End of Period,- -,- -,25800000,- -,41700000,31200000,15900000,19600000,13300000,28900000,34300000,147000000,325600000,220600000,401100000,582400000,512200000,652700000,719900000,724400000,781300000,1047200000,363700000,426700000,429700000,367700000,326100000,432800000,1119100000,889100000
99,Cash at the Beginning of Period,10200000,1100000,200000,25800000,20000000,41700000,31200000,15900000,19600000,13300000,28900000,34300000,147000000,325600000,220600000,401100000,582400000,512200000,651400000,719900000,724400000,781300000,1047200000,363700000,426700000,429700000,367700000,326100000,432800000,1119100000
100,Free Cash Flow,800000,11800000,76100000,21800000,161500000,-261300000,-110400000,189500000,106700000,186100000,18300000,9300000,187500000,134500000,313100000,362900000,40000000,136400000,271600000,425500000,325900000,405200000,136900000,312800000,168500000,373700000,392600000,422500000,626600000,413100000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880266/000095014403003218/0000950144-03-003218-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014404002500/0000950144-04-002500-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014405002600/0000950144-05-002600-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014406002147/0000950144-06-002147-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014407001772/0000950144-07-001772-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014408001513/0000950144-08-001513-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014409001706/0000950144-09-001706-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095012310017928/0000950123-10-017928-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095012311018407/0000950123-11-018407-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026612000004/0000880266-12-000004-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026613000003/0000880266-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026614000004/0000880266-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026615000009/0000880266-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026616000044/0000880266-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026617000005/0000880266-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026618000005/0000880266-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026619000009/0000880266-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026620000006/0000880266-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026621000009/0000880266-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026622000006/0000880266-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
