,https://roic.ai/company/CBT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,-6500000,71000000,49300000,62200000,11300000,78700000,171900000,194100000,92800000,121600000,97000000,453000000,124000000,106000000,77000000,124000000,-48000000,88000000,129000000,86000000,-77000000,154000000,236000000,388000000,153000000,199000000,-334000000,149000000,241000000,-113000000,157000000,-238000000,250000000
74,Depreciation and Amortization,- -,- -,- -,- -,97800000,85500000,89200000,84100000,84500000,86300000,94200000,97000000,109900000,115400000,125000000,129000000,115000000,109000000,135000000,134000000,142000000,131000000,149000000,163000000,169000000,143000000,144000000,156000000,190000000,201000000,183000000,161000000,155000000,149000000,148000000,158000000,160000000
75,Deferred Income Tax,- -,- -,- -,- -,-35800000,6800000,11600000,22900000,11100000,27100000,-24200000,3800000,-13200000,12000000,-3000000,20000000,6000000,-4000000,-31000000,- -,-57000000,2000000,-27000000,-30000000,-51000000,-2000000,-25000000,-6000000,-9000000,8000000,-86000000,-35000000,-35000000,91000000,-27000000,130000000,9000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,27000000,19000000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-62300000,9500000,-142800000,201200000,-4200000,-58700000,144200000,-93400000,-112300000,12800000,126400000,487000000,-19000000,-4000000,115000000,13000000,14000000,-65000000,-22000000,79000000,-84000000,176000000,- -,-375000000,127000000,83000000,-127000000,84000000,-171000000,-86000000,177000000,-162000000,-244000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000000,6000000,34000000,-54000000,154000000,25000000,-64000000,-127000000,73000000,- -,- -
79,Inventory,- -,- -,- -,- -,-26900000,-6600000,15000000,-27200000,17400000,-13700000,-58000000,-39000000,2700000,-3200000,-7000000,1000000,-55000000,-64000000,-25000000,-20000000,-9000000,82000000,-8000000,-68000000,184000000,-7000000,-79000000,-30000000,64000000,-56000000,58000000,51000000,-50000000,-105000000,27000000,114000000,-174000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,-29000000,-75000000,-27000000,91000000,122000000,-75000000,-55000000,167000000
81,Other Working Capital,- -,- -,- -,- -,126300000,135800000,-7000000,194200000,190000000,131300000,275500000,182100000,69800000,82600000,209000000,696000000,677000000,673000000,788000000,801000000,815000000,750000000,728000000,807000000,723000000,899000000,899000000,524000000,651000000,734000000,607000000,691000000,520000000,434000000,611000000,449000000,-244000000
82,Other Non-Cash Items,- -,- -,- -,- -,54400000,-44500000,139900000,-267100000,86400000,10400000,-204100000,-49500000,67000000,-25400000,-137400000,-825000000,-200000000,-15000000,-42000000,-30000000,173000000,96000000,80000000,-174000000,415000000,-249000000,-179000000,234000000,-42000000,-176000000,863000000,33000000,150000000,257000000,-92000000,489000000,82000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,47600000,128300000,147200000,103300000,189100000,143800000,182000000,152000000,144200000,236400000,208000000,264000000,26000000,192000000,254000000,241000000,224000000,252000000,309000000,124000000,399000000,249000000,195000000,415000000,419000000,315000000,499000000,392000000,340000000,298000000,363000000,377000000,257000000
84,CAPEX,- -,- -,- -,- -,-233000000,-298300000,-198000000,-78100000,-65000000,-73600000,-131200000,-209100000,-162800000,-226600000,-166000000,-137000000,-122000000,-146000000,-129000000,-119000000,-186000000,-188000000,-141000000,-199000000,-106000000,-108000000,-230000000,-281000000,-264000000,-171000000,-141000000,-112000000,-147000000,-229000000,-224000000,-200000000,-195000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14000000,-6000000,-89000000,-16000000,- -,- -,- -,-4000000,- -,- -,-5000000,- -,-900000000,39000000,162000000,- -,- -,- -,-64000000,132000000,-92000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20200000,-6000000,-2000000,-5000000,-9000000,- -,-110000000,-94000000,-39000000,-95000000,- -,- -,-7000000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129500000,20000000,- -,- -,- -,36000000,5000000,164000000,56000000,95000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,179200000,49100000,-1300000,12300000,-37400000,200000,155700000,12200000,17500000,8200000,9000000,681000000,9000000,12000000,2000000,-2000000,-3000000,6000000,2000000,23000000,1000000,8000000,- -,1000000,-2000000,-7000000,-21000000,8000000,-2000000,36000000,-2000000,4000000,9000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-53800000,-249200000,-199300000,-65800000,-102400000,-73400000,24500000,-196900000,-145300000,-109100000,-143000000,528000000,-124000000,-232000000,-107000000,-226000000,-119000000,-165000000,-143000000,-176000000,-105000000,-112000000,-232000000,-1180000000,-227000000,-16000000,-162000000,-104000000,-149000000,-246000000,-94000000,-288000000,-186000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-406000000,-45000000,-36000000,-302000000,-475000000,-251000000,-78000000,-316000000,-5000000,-259000000,-104000000,-410000000,-222000000
91,Common Stock Issued,- -,- -,- -,- -,75300000,55700000,2200000,3200000,12600000,7700000,19700000,28600000,16600000,24400000,11000000,98000000,13000000,6000000,19000000,9000000,5000000,9000000,9000000,1000000,- -,3000000,5000000,10000000,9000000,14000000,6000000,10000000,21000000,22000000,4000000,3000000,6000000
92,Common Stock Repurchased,- -,- -,- -,- -,-103800000,-7500000,- -,- -,- -,- -,-76300000,-123500000,-85800000,-105200000,-46000000,-47000000,-229000000,-82000000,-41000000,-54000000,-52000000,-39000000,-202000000,-35000000,-2000000,-5000000,-59000000,-36000000,-6000000,-18000000,-101000000,-45000000,-61000000,-142000000,-198000000,-44000000,-3000000
93,Dividends Paid,- -,- -,- -,- -,-30000000,-29700000,-26300000,-22700000,-22900000,-23600000,-26400000,-30500000,-31300000,-31700000,-32000000,-32000000,-34000000,-40000000,-40000000,-46000000,-51000000,-43000000,-48000000,-47000000,-57000000,-53000000,-47000000,-49000000,-51000000,-54000000,-56000000,-65000000,-77000000,-80000000,-80000000,-80000000,-80000000
94,Other Financing Activites,- -,- -,- -,- -,19000000,131500000,69000000,-19800000,-64500000,-15400000,-114200000,138200000,85300000,-17900000,-2000000,-203000000,74000000,-48000000,-2000000,-10000000,17000000,-9000000,30000000,104000000,338000000,43000000,65000000,983000000,317000000,7000000,-27000000,232000000,-3000000,318000000,142000000,399000000,239000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-39500000,150000000,44900000,-39300000,-74800000,-31300000,-197200000,12800000,-15200000,-130400000,-69000000,-184000000,-176000000,-164000000,-64000000,-101000000,-81000000,-82000000,-211000000,23000000,-127000000,-57000000,-72000000,606000000,-206000000,-302000000,-256000000,-184000000,-125000000,-141000000,-236000000,-132000000,-60000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-3600000,3000000,-2100000,-6700000,-2300000,1500000,700000,-400000,-2600000,3500000,-1000000,-5000000,- -,-1000000,5000000,-2000000,-2000000,3000000,10000000,4000000,8000000,3000000,8000000,-7000000,-11000000,-25000000,-71000000,19000000,14000000,-16000000,-39000000,25000000,8000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,603000000,-274000000,-205000000,88000000,-88000000,22000000,8000000,-35000000,-25000000,175000000,83000000,-101000000,-166000000,-25000000,-28000000,10000000,123000000,80000000,-105000000,-6000000,-18000000,19000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,638000000,364000000,159000000,247000000,159000000,181000000,189000000,154000000,129000000,304000000,387000000,286000000,120000000,95000000,67000000,77000000,200000000,280000000,175000000,169000000,151000000,170000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,65500000,16200000,48300000,39000000,30700000,40300000,80900000,90800000,58100000,39200000,40000000,35000000,638000000,364000000,159000000,247000000,159000000,181000000,189000000,154000000,129000000,304000000,387000000,286000000,120000000,95000000,67000000,77000000,200000000,280000000,175000000,169000000,151000000
100,Free Cash Flow,- -,- -,- -,- -,-185400000,-170000000,-50800000,25200000,124100000,70200000,50800000,-57100000,-18600000,9800000,42000000,127000000,-96000000,46000000,125000000,122000000,38000000,64000000,168000000,-75000000,293000000,141000000,-35000000,134000000,155000000,144000000,358000000,280000000,193000000,69000000,139000000,177000000,62000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16040/000095013594000730/0000950135-94-000730-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013595002798/0000950135-95-002798-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013596005392/0000950135-96-005392-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013597005172/0000950135-97-005172-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013598006385/0000950135-98-006385-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013599005733/0000950135-99-005733-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013500005559/0000950135-00-005559-index.html,- -,https://www.sec.gov/Archives/edgar/data/16040/000095013502005703/0000950135-02-005703-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013503006141/0000950135-03-006141-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000095013504005649/0000950135-04-005649-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000095013505006968/0000950135-05-006968-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000110465906081572/0001104659-06-081572-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312507256224/0001193125-07-256224-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312508245933/0001193125-08-245933-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312509244216/0001193125-09-244216-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312510270199/0001193125-10-270199-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312511324512/0001193125-11-324512-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312512485653/0001193125-12-485653-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312513456387/0001193125-13-456387-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312514426922/0001193125-14-426922-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459015011128/0001564590-15-011128-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459016029604/0001564590-16-029604-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459017024203/0001564590-17-024203-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459018029997/0001564590-18-029997-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459019044207/0001564590-19-044207-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459020055198/0001564590-20-055198-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459021058692/0001564590-21-058692-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
