,https://roic.ai/company/VSAT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,1100000,1100000,1200000,907000,336000,9900000,9950000,- -,- -,- -,- -,- -,- -,- -,1128000,1240000,2230000,1856000,260000,274000,288000,45300000,19937000,71934000,79368000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,5487000,7027000,- -,9721000,18664000,26724000,17346000,18805000,20316000,65822000,69127000,83528000,64624000,76682000,121439000,125540000,123019000,216594000
52,Other Current Liabilities,2900000,3800000,5000000,6000000,5001000,14970000,17796000,19036000,28613000,25373000,40969000,67479000,56436000,45276000,84854000,111767000,139444000,96048000,104917000,107538000,119446000,148277000,142237000,182728000,226025000,267341000
53,Total Current Liabilities,5700000,9700000,10700000,11000000,14842000,35616000,43765000,50969000,66700000,70900000,91546000,120700000,127400000,135400000,180600000,203400000,236000000,247100000,274800000,268257000,279989000,325517000,466457000,485480000,604579000,708437000
54,Long-Term Debt,1700000,1400000,1500000,1200000,336000,- -,- -,- -,- -,- -,- -,- -,- -,- -,331800000,334200000,548600000,586400000,689800000,806393000,954062000,848483000,978405000,1392903000,1821663000,2116446000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15360000,10097000,4894000,5470000,4617000,77831000,71230000,80802000,84654000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1764000,- -,- -,- -,- -,- -,- -,25065000,37712000,363000,12000,1936000,864000,- -,- -,- -
57,Other Non-Current Liabilities,700000,1000000,1000000,1000000,755000,604000,2549000,1847000,3500000,4600000,7625000,14400000,19600000,28800000,28100000,28000000,54600000,17175000,6691000,39889000,31889000,36169000,42545000,49596000,326682000,52696000
58,Total Non-Current Liabilities,2400000,2400000,2500000,2200000,1091000,604000,2549000,1847000,3500000,4600000,9389000,14400000,19600000,28800000,359900000,362200000,603200000,644000000,744300000,851539000,991433000,891205000,1099645000,1513729000,2229147000,2253796000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328696000,362658000
61,Total Liabilities,8100000,12100000,13200000,13200000,15933000,36220000,46314000,52816000,70200000,75500000,100935000,135100000,147000000,164200000,540500000,565600000,839200000,891100000,1019100000,1119796000,1271422000,1216722000,1566102000,1999209000,2833726000,2962233000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1000,2000,2000,3000,3000,3000,3000,3000,3000,3000,4000,4000,4000,4000,5000,5000,5000,6000,6000,6000,6000,7000
64,Retained Earnings,4400000,7600000,12900000,19200000,27063000,37328000,39485000,29853000,43000000,62300000,85803000,116000000,149100000,187500000,218600000,254700000,262200000,221000000,211600000,251963000,273704000,297471000,285960000,245585000,245373000,249064000
65,Other Comprehensive Income/Loss,-2100000,-3500000,-5700000,-7100000,-9957000,-15232000,-21988000,-262000,128000,173000,-384000,130000,175000,-127000,459000,2277000,1439000,606000,2313000,147000,7000,-2504000,15565000,5338000,-6048000,9803000
