,https://roic.ai/company/HTLD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26719495,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110900000,-3011000,- -,- -,-86728000,- -,-61927000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-7100000,- -,- -,-8800000,-14100000,- -,-1662903,-26941798,- -,- -,-500000,- -,-40281980,-4182196,-10402125,-92915057,-25527595,-40573929,- -,- -,- -,-18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,10600000,2700000,1700000,7300000,5700000,15600000,- -,- -,11691494,19769765,- -,500000,- -,- -,- -,- -,- -,- -,134186000,6704000,- -,79225000,38125000,32350000,21100000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,700000,-10800000,100000,800000,2400000,585360,255894,-878334,200756,1407991,1749557,901523,10090041,-453973,783591,1876286,1076806,13021000,2128000,26350000,21432000,71200000,28480000,91488000,92505000,150040000,46926000,138343000,131462000,92916000,93289000,129993000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-7100000,-11500000,-16700000,-19700000,-23500000,14300000,-1459724,-34177467,-11571356,14458816,-17705604,-34085790,-68485234,-79281644,-57918442,-136030597,-72806343,-115553513,103628000,-27117000,-52773000,68106000,-16932000,-5981000,-133507000,-115479000,-67213000,-39162000,-132499000,-37814000,-132791000,-111048000,-2647000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66500000,-450531,-705437,-18542135,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147942000,-69500000,-24600000,- -,-23303000,- -,-93348000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45131800,-14009900,- -,- -,- -,- -,-22419149,-2545364,-19388000,-36403000,-45360000,- -,-56350000,-24190000,- -,- -,-74024000,-14678000,- -,-25087000,- -,-25654000,-32025000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-998260,-4495893,-5959385,-6883521,-204336000,-9601000,-7270000,-97944000,-7148000,-91934000,-6861000,-7034000,-6942000,-6666000,-6667000,-6589000,-6563000,-6502000,-45872000
94,Other Financing Activites,- -,- -,- -,- -,- -,300000,- -,- -,- -,10400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,19100000,-1764000,- -,-198000,-213000,-532000,-582000,-247000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,300000,- -,- -,- -,-56100000,-450531,-705437,-18542135,- -,-45131800,-14009900,- -,- -,-998260,-4495893,-28378534,-9428885,-223724000,-46004000,-52630000,-97944000,-63498000,-116124000,-79803000,-57434000,-107330000,-21344000,-30168000,-31889000,-100443000,-32738000,-78144000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,300000,- -,- -,- -,-56100000,36197249,13431325,16646954,67194172,-17223538,1816020,-7232934,-11396896,38167608,-37007887,3756386,3091953,-499000,48691000,-4300000,68769000,18650000,-19932000,-102075000,-460000,15929000,95275000,-53129000,76840000,-86862000,35064000,42627000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46162143,59593468,76240422,143434594,126211056,128027076,120794142,109397246,127885474,1610543,5366929,8458882,7960000,56651000,52351000,121120000,139770000,119838000,17763000,17303000,33232000,128507000,75378000,182938000,96076000,131140000,173767000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1200000,3300000,4600000,5900000,6100000,9400000,9964894,46162143,59593468,76240422,143434594,126211056,128027076,120794142,89717866,38618430,1610543,5366929,8459000,7960000,56651000,52351000,121120000,139770000,119838000,17763000,17303000,33232000,128507000,106098000,182938000,96076000,131140000
100,Free Cash Flow,- -,- -,- -,- -,-1500000,-2400000,10500000,1500000,9500000,38900000,37725323,40822666,24375929,47223651,27000271,13576363,32147523,9414754,50021965,59619472,55786229,52017961,76018000,85863000,21980000,84056000,-27177000,35362000,-23960000,-32520000,-26781000,69693000,-74576000,-22733000,-17408000,-25487000,-9222000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923396000020/0000799233-96-000020-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923309000012/0000799233-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923310000009/0000799233-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923312000017/0000799233-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923313000013/0000799233-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923314000015/htld201310k.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923315000005/htld201410k.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923316000056/0000799233-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923317000012/0000799233-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923318000007/0000799233-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923319000006/0000799233-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923320000007/0000799233-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923321000016/0000799233-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923322000006/0000799233-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
