,https://roic.ai/company/CSCO,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000000,1050000000,931000000,1025000000,1140000000,1517000000,1620000000,1401000000,1120000000,1348000000,1440000000,1458000000,1526000000,1576000000,1570000000,1569000000,1761000000
77,Change in Working Capital,- -,-1000000,58300000,49700000,54100000,-20500000,153900000,355800000,733000000,590000000,14000000,-383000000,4302000000,-1175000000,4319000000,-3937000000,519000000,-2120000000,10843000000,3853000000,3625000000,8681000000,1666000000,7537000000,4477000000,-873000000,3976000000,2651000000,3852000000,2312000000,-21318000000,-18759000000,2199000000,1984000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-154324000,-219628000,-558664000,-162752000,54000000,-1043000000,569000000,270000000,-125000000,-488000000,-373000000,-913000000,-597000000,171000000,610000000,-1528000000,298000000,272000000,-1001000000,340000000,-413000000,-404000000,756000000,-269000000,-84000000,-107000000,-107000000
79,Inventory,- -,-1400000,-1100000,-2400000,-3100000,-18300000,-19000000,-85662000,-272408000,-74374000,-266450000,-434000000,-887000000,-1644000000,673000000,-17000000,-538000000,-305000000,-41000000,61000000,104000000,187000000,-158000000,-147000000,-287000000,218000000,-109000000,-116000000,315000000,-394000000,-244000000,131000000,84000000,-244000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,12186000,93773000,52225000,27576000,102000000,286000000,-105000000,-174000000,35000000,54000000,62000000,-43000000,-107000000,62000000,-208000000,139000000,-28000000,-7000000,164000000,-23000000,87000000,-65000000,311000000,504000000,87000000,141000000,-53000000
81,Other Working Capital,- -,6700000,65000000,114700000,168800000,148300000,302200000,658000000,1391000000,1981000000,1995000000,1612000000,5914000000,4739000000,9058000000,5121000000,5640000000,3520000000,14363000000,18216000000,21841000000,30522000000,32188000000,39725000000,44202000000,43329000000,47305000000,49956000000,53808000000,56120000000,34802000000,16043000000,18242000000,1654000000
82,Other Non-Cash Items,- -,100000,-63300000,-46100000,-11900000,17500000,-151400000,-373890000,-840044000,-497474000,828723000,1609000000,-3405000000,5872000000,-1070000000,3890000000,-331000000,2683000000,-10524000000,-2804000000,-1585000000,-7252000000,-2330000000,-7897000000,-4716000000,350000000,-2599000000,-2939000000,-4435000000,-1733000000,30206000000,19852000000,-1326000000,-360000000
83,Cash Provided by Operating Activities,- -,2200000,9500000,44000000,125500000,176000000,317500000,395755000,1062726000,1442123000,2880515000,4438000000,6141000000,6392000000,6587000000,5240000000,7121000000,7568000000,7899000000,10104000000,12089000000,9897000000,10173000000,10079000000,11491000000,12894000000,12332000000,12552000000,13570000000,13876000000,13666000000,15831000000,15426000000,15454000000
84,CAPEX,- -,-300000,-4100000,-11300000,-21600000,-33900000,-59600000,-111922000,-282840000,-330297000,-414843000,-584000000,-1530000000,-2275000000,-2641000000,-717000000,-613000000,-692000000,-772000000,-1251000000,-1268000000,-1005000000,-1008000000,-1174000000,-1126000000,-1160000000,-1275000000,-1227000000,-1146000000,-964000000,-834000000,-909000000,-770000000,-692000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-17920000,- -,-18642000,- -,-19000000,24000000,-378000000,-157000000,-249000000,-175000000,-945000000,-5424000000,-3684000000,-398000000,-426000000,-5279000000,-266000000,-513000000,-6782000000,-3160000000,-260000000,-2954000000,-3343000000,-3078000000,-2164000000,-293000000,-7038000000
86,Purchases of Investments,- -,- -,-23100000,-84500000,-259500000,-420200000,-769500000,-553702000,-1595295000,-3192508000,-5172860000,-7192000000,-17251000000,-24061000000,-21233000000,-27459000000,-33067000000,-20485000000,-21918000000,-20624000000,-22500000000,-41314000000,-48769000000,-37171000000,-41810000000,-36608000000,-36317000000,-43975000000,-46760000000,-42702000000,-14285000000,-2416000000,-9212000000,-9503000000
87,Sales/Maturities of Investments,- -,- -,2000000,54500000,147300000,220200000,519000000,470859000,861152000,2328742000,2857504000,3654000000,15721000000,19949000000,21185000000,22816000000,34327000000,24630000000,18480000000,17368000000,19990000000,32825000000,42997000000,35655000000,39468000000,32708000000,33853000000,35530000000,42893000000,40970000000,33475000000,20316000000,13606000000,11976000000
88,Other Investing Activites,- -,-100000,-200000,-100000,-1500000,27500000,-5200000,-55496000,-40858000,-191303000,-363906000,-796000000,-1785000000,-242000000,2039000000,173000000,-6000000,106000000,-10000000,-151000000,-17000000,-39000000,128000000,22000000,166000000,74000000,256000000,-156000000,-150000000,46000000,46000000,10000000,169000000,-28000000
89,Cash Used for Investing Activites,- -,-400000,-25400000,-41400000,-135300000,-206400000,-315300000,-268181000,-1057841000,-1404008000,-3094105000,-4937000000,-4377000000,-7003000000,-807000000,-5436000000,466000000,2614000000,-9644000000,-8342000000,-4193000000,-9959000000,-11931000000,-2934000000,-3815000000,-11768000000,-6643000000,-10088000000,-8117000000,-5993000000,15324000000,14837000000,3500000000,-5285000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000000,- -,-3113000000,- -,-16000000,-3276000000,-508000000,-3863000000,-4151000000,-12375000000,-6780000000,-6720000000,-3000000000
91,Common Stock Issued,- -,200000,47600000,2100000,9200000,18600000,23400000,87949000,116554000,280212000,488494000,740000000,1564000000,1262000000,655000000,578000000,1257000000,1087000000,1682000000,5306000000,3117000000,863000000,3278000000,1831000000,1372000000,3338000000,1907000000,2016000000,1127000000,708000000,623000000,640000000,655000000,643000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-69881000,-115621000,-322812000,- -,- -,- -,- -,-1854000000,-5984000000,-9080000000,-10235000000,-8295000000,-7681000000,-10441000000,-3611000000,-7864000000,-6896000000,-4760000000,-3103000000,-9843000000,-4826000000,-4466000000,-4304000000,-18250000000,-21579000000,-3386000000,-3513000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-658000000,-1501000000,-3310000000,-3758000000,-4086000000,-4750000000,-5511000000,-5968000000,-5979000000,-6016000000,-6163000000
94,Other Financing Activites,- -,-100000,-100000,-200000,200000,-900000,600000,5637000,-10511000,-5602000,-9860000,6000000,-7000000,-12000000,30000000,43000000,33000000,-14000000,6913000000,1044000000,891000000,3837000000,5207000000,4772000000,-650000000,91000000,8082000000,5091000000,7253000000,9452000000,4206000000,5809000000,-3419000000,-6000000
95,Cash Used/Provided by Financing Activities,- -,100000,47500000,1900000,9400000,17700000,24000000,23705000,-9578000,-48202000,478634000,746000000,1557000000,1250000000,-1169000000,-5363000000,-7790000000,-9162000000,300000000,-1331000000,-6433000000,589000000,621000000,-4064000000,-5539000000,-3000000000,-6888000000,-2313000000,-4699000000,-3806000000,-31764000000,-27889000000,-18886000000,-12039000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,100000,47500000,1900000,9400000,17700000,24000000,151279000,-4693000,-10087000,265044000,247000000,3321000000,639000000,4611000000,-5559000000,-203000000,1020000000,-1445000000,431000000,1463000000,527000000,-1137000000,3081000000,2137000000,-1874000000,-1199000000,151000000,754000000,4077000000,-2774000000,2779000000,40000000,-1870000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,204846000,279695000,269608000,534652000,827000000,4234000000,4873000000,9484000000,3925000000,3722000000,4742000000,3297000000,3728000000,5191000000,5718000000,4581000000,7662000000,9799000000,7925000000,6726000000,6877000000,7631000000,11708000000,8934000000,11772000000,11812000000,9942000000
99,Cash at the Beginning of Period,- -,2300000,4200000,35800000,40300000,40000000,27200000,53567000,284388000,279695000,269608000,580000000,913000000,4234000000,4873000000,9484000000,3925000000,3722000000,4742000000,3297000000,3728000000,5191000000,5718000000,4581000000,7662000000,9799000000,7925000000,6726000000,6877000000,7631000000,11708000000,8993000000,11772000000,11812000000
100,Free Cash Flow,- -,1900000,5400000,32700000,103900000,142100000,257900000,283833000,779886000,1111826000,2465672000,3854000000,4611000000,4117000000,3946000000,4523000000,6508000000,6876000000,7127000000,8853000000,10821000000,8892000000,9165000000,8905000000,10365000000,11734000000,11057000000,11325000000,12424000000,12912000000,12832000000,14922000000,14656000000,14762000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858877/000095014995000673/0000950149-95-000673-index.html,https://www.sec.gov/Archives/edgar/data/858877/000095014996001640/0000950149-96-001640-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858877/000109581100003692/0001095811-00-003692-index.html,https://www.sec.gov/Archives/edgar/data/858877/000109581101505065/0001095811-01-505065-index.html,https://www.sec.gov/Archives/edgar/data/858877/000089161802004345/f84358e10vk.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312503047374/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312504158427/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312505187168/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312506192133/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312507202552/0001193125-07-202552-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312508195608/0001193125-08-195608-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312509190326/0001193125-09-190326-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/0001193125-10-213400-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312511247394/0001193125-11-247394-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312512388590/0001193125-12-388590-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887713000049/0000858877-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887714000029/0000858877-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887715000070/0000858877-15-000070-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887716000117/csco-2016730x10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887717000016/0000858877-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/0000858877-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/0000858877-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/0000858877-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
