,https://roic.ai/company/SPH,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-287821000,-256510000,- -,-325000000,-168915000,-589777000,-260852000,-100000000,-673131000,-369145000,-400800000,-511900000,-1195934000
91,Common Stock Issued,- -,- -,- -,- -,- -,413600000,- -,- -,- -,- -,- -,- -,72186000,87566000,- -,- -,- -,- -,95880000,- -,- -,- -,143444000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101035000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-851600000,-47400000,-44200000,- -,-47433000,-54503000,-57055000,-60052000,-72500000,-76552000,-77844000,-90253000,- -,-106740000,-118263000,-120636000,-121094000,-201257000,-211020000,-213118000,-215522000,-216576000,-147185000,-147882000,-130206000,-76484000
94,Other Financing Activites,- -,- -,-48400000,-68100000,-31600000,450000000,9700000,11700000,-120900000,90286000,-4579000,-408000,-89765000,126142000,23108000,-27225000,- -,- -,94457000,242822000,- -,559643000,- -,577185000,245432000,97322000,717781000,349253000,367693000,486694000,1082609000
95,Cash Used/Provided by Financing Activities,- -,- -,-48400000,-68100000,-31600000,12000000,-37700000,-32500000,-120900000,42853000,-59082000,-57463000,-77631000,141208000,-53444000,-105069000,-90253000,-116035000,-204224000,-131951000,-120636000,113549000,-226728000,-223612000,-228538000,-218200000,-171926000,-167077000,-180989000,-155412000,-189809000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-10400000,-7200000,-200000,12000000,-37700000,-32500000,-51400000,3253000,24849000,4461000,-25190000,37716000,-39070000,46160000,36015000,41112000,25475000,-6265000,-7355000,-15236000,-27085000,-14593000,59699000,-114997000,-34552000,2375000,-2723000,699000,2668000
98,Cash at the End of Period,- -,- -,-5236000,-7200000,100000,- -,- -,- -,8400000,11645000,36494000,40955000,15765000,53481000,14411000,60571000,96586000,137698000,163173000,156908000,149553000,134317000,107232000,92639000,152338000,37341000,2789000,5164000,2441000,3140000,5808000
99,Cash at the Beginning of Period,- -,- -,5164000,- -,300000,100000,18900000,19300000,59800000,8392000,11645000,36494000,40955000,15765000,53481000,14411000,60571000,96586000,137698000,163173000,156908000,149553000,134317000,107232000,92639000,152338000,37341000,2789000,5164000,2441000,3140000
100,Free Cash Flow,- -,- -,29300000,59300000,32300000,33300000,33900000,53400000,66000000,38217000,78620000,51311000,43250000,66538000,9704000,147264000,119201000,98698000,224714000,136666000,110502000,93497000,186483000,195499000,282996000,118733000,132194000,175640000,191803000,176856000,196697000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1005210/000100521096000016/0001005210-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521097000014/0001005210-97-000014-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521098000011/0001005210-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521099000023/0001005210-99-000023-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521000000014/0001005210-00-000014-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521001500015/0001005210-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521002000023/0001005210-02-000023-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521003000038/0001005210-03-000038-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000095013604004354/0000950136-04-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013605007742/0000950136-05-007742-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013606010277/0000950136-06-010277-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013607008108/0000950136-07-008108-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000136231008007737/0001362310-08-007737-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012309066033/0000950123-09-066033-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012310108484/0000950123-10-108484-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012311100194/0000950123-11-100194-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312512483681/0001193125-12-483681-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312513456057/0001193125-13-456057-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312514426338/0001193125-14-426338-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459015011120/0001564590-15-011120-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459016029600/0001564590-16-029600-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459017024209/0001564590-17-024209-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459018029999/0001564590-18-029999-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459019044639/0001564590-19-044639-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459020055186/0001564590-20-055186-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459021058219/0001564590-21-058219-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
