,https://roic.ai/company/ALE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80200000,-117700000,-94100000,-53300000,-80800000,-99700000,-168700000,-153000000,-205800000,-181300000,-63000000,-58600000,-102300000,-210200000,-301100000,-318500000,-248900000,-239200000,-405800000,-328500000,-598500000,-286800000,-265600000,-208500000,-312400000,-597100000,-717800000,-473300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-129500000,-66900000,-2400000,-23800000,-93600000,-453000000,-157100000,-32700000,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60300000,-333300000,-5900000,-18500000,-39200000,239000000,-99100000,-17600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97600000,-59500000,-76700000,-42500000,-33100000,-27500000,-42500000,-11200000,-24500000,-49100000,- -,-344800000,-648400000,-387900000,-44900000,-10700000,-3900000,-11700000,-16100000,-20100000,-8900000,-3900000,-14800000,-16400000,-13300000,-12200000,-8700000,-3600000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,59300000,103200000,43100000,47700000,35200000,67600000,146000000,2600000,1900000,7400000,20500000,376000000,608800000,449700000,62300000,8900000,1900000,7800000,1500000,16100000,36600000,4800000,13400000,13100000,10200000,12100000,12800000,6400000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,26700000,104900000,7900000,18000000,3700000,-16900000,24400000,21300000,16700000,437100000,71700000,31300000,-12800000,-5700000,7600000,300000,- -,2200000,300000,-4100000,5400000,400000,-3300000,1300000,5700000,12900000,- -,2900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91800000,-98600000,-186700000,-32500000,-98800000,-170100000,-493800000,-297400000,-244400000,212300000,29200000,3900000,-154700000,-154100000,-276100000,-320000000,-250900000,-240900000,-420100000,-336600000,-625700000,-618800000,-276200000,-229000000,-349000000,-345300000,-812800000,-485200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13800000,-71900000,-3100000,-25900000,-77700000,-134500000,-160200000,-54800000,-189600000,-95500000,-72200000,-488600000,-552900000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,6400000,91300000,19700000,111000000,21800000,23600000,189200000,43200000,44300000,49000000,21000000,15800000,20600000,71100000,65200000,20500000,39100000,77000000,98200000,200600000,161200000,30900000,86000000,20300000,1900000,18100000,69900000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59900000,-61100000,-79600000,-64500000,-67000000,-75000000,-31500000,- -,- -,-75000000,-5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75400000,-81800000,-89200000,-93200000,-79700000,-36700000,-43900000,-44300000,-50400000,-56500000,-60800000,-62100000,-69100000,-75200000,-83800000,-97900000,-102700000,-108700000,-115000000,-121400000,-128200000,-131900000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000,33900000,106500000,-38300000,-56100000,57100000,425300000,112600000,-196600000,-346800000,-192200000,1800000,-4500000,33200000,182000000,111400000,153600000,81500000,178200000,168400000,422100000,326800000,1300000,109800000,75000000,301000000,1084400000,819100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29400000,-20800000,118200000,-83100000,-12100000,3900000,342000000,220000000,-242600000,-470700000,-228700000,-13900000,-32600000,9500000,202700000,106300000,41400000,55400000,160200000,113700000,404400000,229900000,-125300000,-102500000,-115200000,109300000,485700000,204200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3900000,4500000,-5900000,-11300000,2700000,39200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4700000,4600000,8500000,1700000,31500000,12100000,117800000,14900000,-31300000,26600000,-31000000,43500000,-44800000,-21500000,78700000,-76300000,19200000,56200000,-20300000,16500000,48500000,-48800000,-69500000,71400000,-31100000,13500000,-27300000,-17500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,31600000,40100000,41800000,89400000,101500000,219300000,234200000,202900000,229500000,195300000,89600000,44800000,23300000,102000000,25700000,44900000,101100000,80800000,97300000,145800000,97000000,27500000,98900000,79000000,92500000,65200000,47700000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,31700000,27000000,31600000,40100000,57900000,89400000,101500000,219300000,234200000,202900000,226300000,46100000,89600000,44800000,23300000,102000000,25700000,44900000,101100000,80800000,97300000,145800000,97000000,27500000,110100000,79000000,92500000,65200000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,36300000,6300000,-17100000,64000000,65500000,74100000,106800000,-49400000,247200000,64500000,105500000,-5100000,40200000,-87100000,-149000000,-181100000,-20200000,2500000,-166200000,-89100000,-328700000,53300000,66400000,194400000,120700000,-347600000,-418000000,-209800000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66756/000006675601000014/0000066756-01-000014-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66756/000006675608000017/allete2007-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675609000015/0000066756-09-000015-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675610000018/0000066756-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675611000029/allete2010_10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675612000026/0000066756-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675613000030/0000066756-13-000030-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675614000026/ale12312013-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675615000022/ale12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675616000169/0000066756-16-000169-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675617000035/0000066756-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675618000029/0000066756-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675619000023/0000066756-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675620000016/0000066756-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675621000025/0000066756-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675622000014/0000066756-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
