,https://roic.ai/company/MRK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/310158/000031015895000005/0000310158-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015896000005/0000310158-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015897000003/0000310158-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015898000004/0000310158-98-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/310158/000031015801500003/0000310158-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015802000002/0000310158-02-000002-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015803000008/0000310158-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012304002379/y94582e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012305002785/y05567e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012306002367/y17883e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012307002869/y30437e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012308002339/y50144e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012309003694/0000950123-09-003694-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012310018679/0000950123-10-018679-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012311019286/y87773e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000119312512084319/0001193125-12-084319-index.html,https://www.sec.gov/Archives/edgar/data/310158/000119312513084618/0001193125-13-084618-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015814000009/mrk1231201310k.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015815000005/mrk1231201410k.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/0000310158-16-000063-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015817000010/0000310158-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/0000310158-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/0000310158-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/0000310158-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/0000310158-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015822000003/0000310158-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1495400000,1781200000,2121700000,1984200000,2166200000,2997000000,3335200000,3881300000,4614100000,5248200000,5890500000,6821700000,7281800000,7149500000,6830900000,5813400000,4631300000,4433800000,3275400000,7808400000,12901300000,861000000,6272000000,6168000000,4404000000,11920000000,4442000000,3920000000,2394000000,6220000000,9843000000,7067000000,13049000000
74,Depreciation and Amortization,- -,- -,- -,- -,221700000,254000000,263800000,321400000,414700000,875500000,859200000,927100000,1034300000,1015100000,1144800000,1277300000,1463800000,1488300000,1314200000,1450700000,1708100000,2268400000,1988200000,1631200000,2576000000,7381000000,7427000000,6978000000,6988000000,6691000000,6375000000,5441000000,4637000000,4519000000,3652000000,3625000000,3214000000
75,Deferred Income Tax,- -,- -,- -,- -,-65900000,-132200000,1200000,-16600000,-167000000,-96500000,- -,- -,- -,- -,- -,- -,- -,444800000,131700000,48900000,9000000,-530200000,-1781900000,530100000,1820200000,-1092000000,-1537000000,669000000,-330000000,-2600000000,-764000000,-1521000000,-2621000000,-509000000,-556000000,-668000000,187000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415500000,509000000,369000000,335000000,276000000,278000000,299000000,300000000,312000000,348000000,417000000,475000000,479000000
77,Change in Working Capital,- -,- -,- -,- -,-274800000,- -,- -,- -,- -,1473100000,1454900000,-30600000,-253000000,1515300000,-1659300000,1143400000,-2226400000,1041300000,-501100000,-226500000,6014700000,-5238300000,279700000,2199000000,7691700000,745100000,3513000000,-427000000,1308000000,-3410000000,-3846000000,2849000000,-7258000000,-2483000000,1594000000,-4826000000,-3839000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165200000,-1089000000,-1168000000,349000000,436000000,-554000000,-480000000,-619000000,297000000,-418000000,294000000,-1002000000,-2033000000
79,Inventory,- -,- -,- -,- -,-121600000,-112900000,-98700000,-177500000,-46600000,-26200000,-271800000,-267600000,-53500000,-409500000,-223000000,-210100000,-557500000,166400000,-435300000,331900000,125600000,226500000,-40700000,-452100000,1211300000,1990000000,-678000000,-482000000,-365000000,79000000,805000000,206000000,-145000000,-911000000,-508000000,-855000000,-674000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45200000,124000000,182000000,-302000000,522000000,593000000,-37000000,278000000,254000000,230000000,399000000,724000000,405000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1473100000,2928000000,2897400000,2644400000,4159700000,2500400000,3643800000,1417400000,2458700000,1957600000,1731100000,7745800000,2507500000,2787200000,4986200000,12677900000,13423000000,16936000000,16509000000,17817000000,14407000000,10561000000,13410000000,6152000000,3669000000,5263000000,437000000,-1758000000
82,Other Non-Cash Items,- -,- -,- -,- -,4300000,152600000,47300000,215400000,634600000,-1109200000,-2705100000,649900000,921200000,-2450300000,754700000,-1555100000,2560700000,-595200000,2086700000,1712600000,-4754600000,5831500000,3237800000,-5597000000,-22012700000,2417900000,-3661000000,-3701000000,-992000000,-5019000000,5915000000,-613000000,8983000000,2827000000,-1510000000,4580000000,1019000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1380700000,2055600000,2434000000,2504400000,3048500000,4139900000,2944200000,5427700000,6316600000,5328300000,6130700000,7687300000,9079900000,9528700000,9862400000,8799100000,7608500000,6765200000,6999200000,6571700000,3392000000,10822000000,12383000000,10022000000,11654000000,7860000000,12421000000,10376000000,6447000000,10922000000,13440000000,10253000000,14109000000
84,CAPEX,- -,- -,- -,- -,-433000000,-670800000,-1041500000,-1066600000,-1012700000,-1009300000,-1005500000,-1196700000,-1448800000,-1973400000,-2560500000,-2727800000,-2724700000,-2369700000,-1915900000,-1726100000,-1402700000,-980200000,-1011000000,-1298300000,-1460600000,-1678000000,-1723000000,-1954000000,-1548000000,-2317000000,-1283000000,-1614000000,-1888000000,-2615000000,-3473000000,-4684000000,-4448000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1527800000,-12800000,- -,- -,-1135900000,- -,-8972600000,391000000,-50000000,- -,-200000000,11239000000,-7428000000,-780000000,-396000000,-431000000,-4954000000,-6606000000,-12907000000
86,Purchases of Investments,- -,- -,- -,- -,-8848200000,-8563300000,-8800600000,-5255800000,-9521400000,-14814500000,-13772300000,-15719100000,-22986700000,-29675400000,-42211200000,-28637100000,-34780400000,-37555000000,-61586900000,-82256400000,-125308400000,-20044300000,-10132700000,-11967300000,-3070800000,-7197000000,-7325000000,-12841000000,-17991000000,-24944000000,-16681000000,-15651000000,-10739000000,-7994000000,-3202000000,-1095000000,-1000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,8659300000,8227600000,8518900000,4983100000,9863500000,15082300000,12430100000,15079200000,22075400000,28618900000,40308700000,27667500000,33383000000,35913800000,60823400000,82363800000,128981400000,16143800000,10860200000,11065800000,10941900000,4561000000,6324000000,7783000000,16298000000,15533000000,20413000000,14353000000,15664000000,15252000000,8622000000,2812000000,1026000000
88,Other Investing Activites,- -,- -,- -,- -,63900000,6700000,22600000,-12600000,-1917100000,709100000,1025400000,-142700000,757400000,3018500000,1646000000,56100000,-190200000,-100000,-25000000,-6600000,-3100000,-3000000,-1390600000,365400000,5718100000,-1252000000,-1839000000,-1747000000,-1255000000,-2202000000,-1062000000,-1132000000,-1850000000,-2513000000,-3095000000,-4554000000,-4673000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-558000000,-999800000,-1300600000,-1351900000,-2587700000,-32400000,-1322300000,-1979300000,-1602700000,-11400000,-2817000000,-3641300000,-4312300000,-4011000000,-4232200000,-1638100000,2267200000,-4883700000,-2810000000,-1834400000,3156000000,-3497000000,-2890000000,-6805000000,-3148000000,-374000000,-4758000000,-3210000000,2679000000,4314000000,-2629000000,-9443000000,-16555000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2447300000,-1341000000,-1547000000,-22000000,-1775000000,-6617000000,-2906000000,-2386000000,-1103000000,-4287000000,- -,-1957000000,-2319000000
91,Common Stock Issued,- -,- -,- -,- -,36000000,37800000,48300000,52200000,83400000,138600000,1283600000,442200000,413300000,490100000,322900000,2140700000,300600000,318300000,388200000,240300000,136500000,369900000,898600000,102300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-208200000,-744800000,-184100000,-862900000,-371000000,-704500000,-1570900000,-2493300000,-3572800000,-3625500000,-3582100000,-3545400000,-3890800000,-2091300000,-2034100000,-2474600000,-1015300000,-1002300000,-1429700000,-2725000000,- -,-1593000000,-1921000000,-2591000000,-6516000000,-7703000000,-4186000000,-3434000000,-4014000000,-9091000000,-4780000000,-1281000000,-840000000
93,Dividends Paid,- -,- -,- -,- -,-650300000,-749400000,-893200000,-1064300000,-1174400000,-1434100000,-1539800000,-1728900000,-2039900000,-2253100000,-2589700000,-2798000000,-3145000000,-3191600000,-3250400000,-3310700000,-3349800000,-3322600000,-3307300000,-3278500000,-3479100000,-4853000000,-4811000000,-5236000000,-5277000000,-5247000000,-5117000000,-5124000000,-5167000000,-5172000000,-5695000000,-6215000000,-6610000000
94,Other Financing Activites,- -,- -,- -,- -,-132900000,502700000,-109100000,519700000,1247800000,-1402200000,425700000,-57300000,340500000,1467600000,1979500000,755300000,1664000000,-567300000,-1931600000,-46400000,1188200000,-1649200000,-1027700000,378700000,4288100000,2346000000,1375000000,4582000000,7578000000,4454000000,6939000000,1900000000,278000000,5390000000,1614000000,6621000000,12362000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-955400000,-953700000,-1138100000,-1355300000,-214200000,-3402200000,-1401400000,-3837300000,-4858900000,-3920900000,-3869400000,-3447400000,-5071200000,-5531900000,-6827900000,-5591400000,-3040400000,-5604200000,-4866100000,-5522500000,-1638300000,-5441000000,-6904000000,-3267000000,-5990000000,-15113000000,-5270000000,-9044000000,-10006000000,-13160000000,-8861000000,-2832000000,2593000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-36200000,19200000,-3800000,-20000000,7700000,69300000,22900000,-106100000,-82300000,85100000,-28600000,-83700000,-89200000,113200000,155700000,108200000,-128800000,52100000,98300000,-182600000,33400000,-295000000,42000000,-30000000,-346000000,-553000000,-1310000000,-131000000,457000000,-205000000,17000000,253000000,-133000000
97,Net Change In Cash,- -,- -,- -,- -,-955400000,-953700000,-1138100000,-1355300000,254300000,774600000,243400000,-495000000,-227300000,1481100000,-584300000,514900000,-392800000,99000000,-1042000000,1677800000,6706500000,-3670600000,-578600000,-967800000,4943100000,1589000000,2631000000,-80000000,2170000000,-8180000000,1083000000,-2009000000,-423000000,1871000000,1967000000,-1769000000,14000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,829400000,1604000000,1847400000,1352400000,1125100000,2606200000,2021900000,2536800000,2144000000,2243000000,1201000000,2878800000,9585300000,5914700000,5336100000,4368300000,9311400000,10900000000,13531000000,13451000000,15621000000,7441000000,8524000000,6515000000,6092000000,7967000000,9934000000,8165000000,8167000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,854000000,685100000,806400000,797900000,575100000,829400000,1604000000,1847400000,1352400000,1125100000,2606200000,2021900000,2536800000,2144000000,2243000000,1201000000,2878800000,9585300000,5914700000,5336100000,4368300000,9311000000,10900000000,13531000000,13451000000,15621000000,7441000000,8524000000,6515000000,6096000000,7967000000,9934000000,8153000000
100,Free Cash Flow,- -,- -,- -,- -,947700000,1384800000,1392500000,1437800000,2035800000,3130600000,1938700000,4231000000,4867800000,3354900000,3570200000,4959500000,6355200000,7159000000,7946500000,7073000000,6205800000,5785000000,5988200000,5273400000,1931400000,9144000000,10660000000,8068000000,10106000000,5543000000,11138000000,8762000000,4559000000,8307000000,9967000000,5569000000,9661000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310158/000031015895000005/0000310158-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015896000005/0000310158-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015897000003/0000310158-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015898000004/0000310158-98-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/310158/000031015801500003/0000310158-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015802000002/0000310158-02-000002-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015803000008/0000310158-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012304002379/y94582e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012305002785/y05567e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012306002367/y17883e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012307002869/y30437e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012308002339/y50144e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012309003694/0000950123-09-003694-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012310018679/0000950123-10-018679-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012311019286/y87773e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000119312512084319/0001193125-12-084319-index.html,https://www.sec.gov/Archives/edgar/data/310158/000119312513084618/0001193125-13-084618-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015814000009/mrk1231201310k.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015815000005/mrk1231201410k.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/0000310158-16-000063-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015817000010/0000310158-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/0000310158-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/0000310158-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/0000310158-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/0000310158-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015822000003/0000310158-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
