,https://roic.ai/company/PFSW,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
57,Other Non-Current Liabilities,- -,- -,100000,- -,- -,1420000,998000,1517000,1813000,1528000,1302000,1192000,3903000,3608000,6809000,5560000,5191000,7961000,6840000,7554000,7614000,7074000,36341000,- -
58,Total Non-Current Liabilities,- -,- -,29100000,2407000,- -,4514000,3760000,8749000,8102000,7604000,7680000,6143000,7251000,5744000,10392000,18522000,15558000,17378000,43577000,64080000,49514000,48349000,72568000,3414000
59,Other Liabilities,- -,21066000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79667000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42199000,40040000
61,Total Liabilities,- -,21066000,68500000,17190000,- -,80556000,79942000,100401000,101792000,115312000,109331000,111436000,98416000,100880000,108298000,105420000,91111000,100641000,147532000,171053000,144490000,130490000,156766000,160798000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,18000,- -,18000,21000,22000,23000,47000,47000,10000,10000,12000,13000,13000,17000,17000,18000,19000,19000,19000,19000,20000
64,Retained Earnings,- -,- -,-100000,-2836000,- -,-25557000,-29303000,-29077000,-29824000,-44354000,-45738000,-61393000,-65963000,-73332000,-77898000,-79409000,-85300000,-89926000,-97787000,-105317000,-109281000,-107773000,-109943000,- -
65,Other Comprehensive Income/Loss,- -,- -,-300000,-2703000,- -,- -,-19386000,-23244000,-29472000,-35965000,-43509000,2000000,2000000,2000000,1000000,2000000,2000000,1000000,-76584000,-1000000,-96225000,-1000000,-1000000,-329000
66,Other Total Stockholders Equity,- -,- -,1000000,53171000,- -,52009000,77085000,82225000,89207000,129112000,138042000,92468000,93306000,100670000,104959000,105447000,124208000,129014000,218111000,146581000,246784000,155337000,157766000,52672000
67,Total Stockholders Equity,- -,-155000,600000,47650000,- -,26470000,28417000,29926000,29934000,48840000,48842000,33085000,29353000,29350000,28074000,28051000,40925000,40105000,43758000,40283000,41297000,46583000,46842000,52363000
68,Total Liabilities And Stockholders Equity,- -,20911000,69100000,64840000,- -,107026000,108359000,130327000,131726000,164152000,158173000,144521000,127769000,130230000,136372000,133471000,132036000,140746000,191290000,211336000,185787000,177073000,203608000,213161000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39134000
70,Total Liabilities & Equity,- -,20911000,69100000,64840000,- -,107026000,108359000,130327000,131726000,164152000,158173000,144521000,127769000,130230000,136372000,133471000,132036000,140746000,191290000,211336000,185787000,177073000,203608000,174027000
