,https://roic.ai/company/WSM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
79,Inventory,- -,- -,- -,- -,- -,-12300000,-9200000,-2900000,-7200000,-18500000,-33700000,10900000,-21800000,-40700000,-84100000,-25800000,33900000,-71850000,-82196000,-48017000,-67474000,-90598000,-81469000,118679000,108332000,-46464000,-34853000,-85981000,-174664000,-76964000,-92647000,4493000,-80235000,-70331000,24219000,99144000,-239981000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27532000,29202000,35946000,-21154000,22461000,135095000,4455000,60507000,3169000,2382000,62377000,-11051000,25489000,56674000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39100000,96500000,134600000,172900000,194100000,81600000,120000000,200600000,245000000,351600000,492800000,473300000,438300000,480000000,616711000,735900000,704600000,659700000,558000000,515975000,339673000,405924000,628622000,619531000,146080000,619080000,552208000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,600000,-4300000,-6300000,5300000,-11300000,-55800000,8100000,-35600000,-40400000,-28800000,169800000,16600000,8909000,-85450000,-98700000,-110540000,8687000,-50812000,4241000,123375000,-158219000,-83436000,-4242000,116312000,-11789000,193987000,-78354000,-271985000,-10856000,475318000,-127645000,1144143000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1000000,3000000,5100000,27500000,20100000,2400000,112200000,75900000,79700000,105700000,181300000,205000000,310200000,209400000,304400000,348400000,309100000,245500000,230200000,490718000,356000000,291300000,364100000,453800000,461697000,544026000,524709000,499704000,585986000,607294000,1274848000,1371147000
84,CAPEX,- -,- -,- -,- -,- -,-14700000,-25200000,-15200000,-14000000,-30100000,-86500000,-47600000,-59300000,-78900000,-127700000,-234800000,-156000000,-156181000,-211979000,-181453000,-151788000,-190980000,-212024000,-191789000,-72263000,-61906000,-130353000,-205404000,-193953000,-204800000,-202935000,-197414000,-189712000,-190102000,-186276000,-169513000,-226517000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25363000,- -,- -,- -,- -,- -,-80528000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125000000,-194429000,-155080000,-239274000,-224377000,- -,-151272000,-196179000,-295304000,-148834000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1033000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-200000,100000,200000,- -,700000,1600000,200000,2200000,11300000,1400000,700000,681000,-21000,-47000,-12000,1680000,14724000,47789000,- -,122906000,192445000,153684000,242627000,240577000,769000,151711000,196659000,297507000,149562000,629000,270000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-14700000,-25400000,-14800000,-13800000,-30100000,-85800000,-46000000,-59100000,-76700000,-116400000,-233400000,-155300000,-155500000,-212000000,-181500000,-151800000,-189300000,-197300000,-144000000,-71230000,-64000000,-157700000,-206800000,-190600000,-188600000,-202166000,-196975000,-269760000,-187899000,-185548000,-168884000,-226247000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14702000,-1587000,-1626000,-1796000,-1724000,-1785000,-201968000,203426000,99062000,107951000,113344000,-487823000,-300000000
91,Common Stock Issued,- -,- -,- -,- -,- -,25000000,2900000,1900000,400000,1200000,- -,- -,- -,7700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1000000,2300000,- -,2700000,-14200000,18700000,-28800000,-20600000,-53100000,-65900000,-171600000,-162000000,500000,- -,-109300000,-186400000,-142400000,-230500000,-220300000,-224995000,-149740000,-196179000,-295304000,-148834000,-150000000,-899433000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34400000,-48900000,-50500000,-51132000,-59200000,-68900000,-87800000,-111600000,-125758000,-127636000,-133539000,-135010000,-140325000,-150640000,-157645000,-187539000
94,Other Financing Activites,- -,- -,- -,- -,- -,-4400000,13100000,7900000,-6200000,15500000,69500000,7400000,-600000,-600000,-6500000,-6900000,-12500000,-7900000,-7600000,4900000,-9900000,- -,2400000,-2200000,10336000,-8213000,-2074000,-4404000,-11576000,-31177000,185216000,-225953000,180420000,-122388000,-141096000,452449000,-105013000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,20600000,16000000,9800000,-5800000,16700000,70100000,8400000,1700000,7100000,-3800000,-21100000,6200000,-36700000,-28200000,-48200000,-75800000,-206000000,-208500000,-52200000,-55498000,-178300000,-259000000,-236400000,-355400000,-379020000,-369383000,-305806000,-51707000,-450066000,-327226000,-343019000,-1491985000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,100000,1300000,500000,1000000,600000,3700000,-4100000,1131000,800000,-200000,900000,-2200000,-1271000,-1757000,-1862000,-1814000,797000,-1312000,5230000,-2914000
97,Net Change In Cash,- -,- -,- -,- -,- -,20600000,16000000,9800000,-5800000,16700000,-13300000,74600000,18400000,- -,-14500000,-73100000,55600000,118100000,-29600000,75300000,121800000,-85600000,-156500000,29900000,365121000,114500000,-125600000,-78200000,-94400000,-107194000,-29280000,20066000,176423000,-51182000,93208000,768175000,-349999000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,78800000,97200000,- -,92800000,19700000,75300000,193500000,163900000,239200000,361000000,275400000,118900000,148900000,513943000,628400000,502800000,424600000,330200000,222906000,193647000,213713000,390136000,338954000,432162000,1200337000,850338000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,2400000,9200000,2800000,2900000,10800000,17500000,4200000,78800000,97200000,107300000,92800000,19700000,75400000,193500000,163900000,239200000,361000000,275400000,119000000,148822000,513900000,628400000,502800000,424600000,330100000,222927000,193647000,213713000,390136000,338954000,432162000,1200337000
100,Free Cash Flow,- -,- -,- -,- -,- -,-13700000,-22200000,-10100000,13500000,-10000000,-84100000,64600000,16600000,800000,-22000000,-53500000,49000000,154000000,-2600000,122900000,196600000,118100000,33500000,38400000,418455000,294100000,160900000,158700000,259800000,256897000,341091000,327295000,309992000,395884000,421018000,1105335000,1144630000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719955/000095014996000427/0000950149-96-000427-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014997000919/0000950149-97-000919-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014998000750/0000950149-98-000750-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/719955/000095014901500551/0000950149-01-500551-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014902000794/0000950149-02-000794-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014903000871/f87217ke10vk.htm,https://www.sec.gov/Archives/edgar/data/719955/000095014904000792/f97543e10vk.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312505077123/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312506075968/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312507068798/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312508074283/0001193125-08-074283-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312509071708/0001193125-09-071708-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312510075151/0001193125-10-075151-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312511085046/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312512140070/0001193125-12-140070-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312513142309/0001193125-13-142309-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312514129974/0001193125-14-129974-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312515118009/0001193125-15-118009-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312516525847/0001193125-16-525847-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312517104341/0001193125-17-104341-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312518102232/0001193125-18-102232-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312519097973/0001193125-19-097973-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312520088937/0001193125-20-088937-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312521100319/0001193125-21-100319-index.htm,https://www.sec.gov/Archives/edgar/data/719955/000162828022007494/0001628280-22-007494-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
