,https://roic.ai/company/VNO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1800000,36200000,15900000,27400000,46900000,62900000,70700000,110800000,189400000,176900000,249921000,387685000,499825000,528951000,664693000,762678000,824668000,697325000,817812000,633579000,771086000,702499000,825049000,1040789000,1135310000,672150000,1000667000,860142000,802641000,662539000,424240000,761806000
84,CAPEX,- -,- -,- -,- -,- -,-38400000,-7700000,-11200000,-27000000,-25400000,-16600000,-14800000,-911200000,-964900000,-395800000,-371642000,-67090000,-96018000,-120593000,-117942000,-957812000,-1720645000,-3039118000,-832891000,-681874000,-474982000,-349604000,- -,- -,- -,-475819000,- -,-355852000,-74609000,-438935000,-395051000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11574000,-100882000,-15331000,-136773000,-971358000,-251233000,- -,-160832000,-38266000,-165170000,-571922000,-82490000,10174000,-120639000,-235439000,-127608000,-40537000,-35056000,1730486000,-8959000,-138933000
86,Purchases of Investments,- -,- -,- -,- -,- -,-69900000,-23000000,-8000000,-24500000,- -,-109600000,-17000000,-8400000,-73500000,-21600000,-26531000,-14325000,- -,-17356000,-59714000,-242617000,-153914000,-424106000,-164886000,-145089000,-504096000,-43850000,-191330000,-186079000,- -,- -,-4379000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,37500000,13500000,35800000,53100000,10000000,22300000,46700000,- -,25800000,12500000,- -,1930000,87896000,7952000,- -,115974000,308055000,112779000,51185000,79355000,320462000,126768000,195208000,479859000,- -,- -,3937000,- -,4101000,168314000,28375000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-38400000,-7700000,-11300000,-27000000,-25400000,-16600000,-14800000,-1056100000,-1209700000,-485100000,-672844000,-55753000,-11131000,-105557000,-154242000,-653283000,-1819418000,-2756377000,654193000,543673000,303425000,673847000,-563650000,418122000,-453826000,32512000,-761143000,190072000,-846767000,564476000,-107216000,-393414000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-70800000,-17200000,16500000,1600000,-15400000,-103900000,14900000,-1064500000,-1257400000,-494200000,-699375000,-79722000,-24117000,-130292000,-350729000,-1751284000,-1916510000,-3067704000,-453231000,-242201000,-520361000,-164761000,-642262000,722076000,-574465000,-678746000,-889193000,-206317000,-877722000,2463276000,-87800000,-532347000
90,Debt Repayment,- -,- -,- -,- -,- -,-21200000,-11900000,-7900000,-368900000,-900000,-91200000,-55200000,-422200000,-894900000,-669000000,-633655000,-835257000,-731238000,-752422000,-702823000,-398957000,-1544076000,-868055000,-993665000,-4296440000,-2004718000,-3740327000,-2747694000,-3580100000,-1312258000,-2936578000,-1894990000,-631681000,-685265000,-2718987000,-1067564000,-1584243000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56453000,- -,- -,780750000,1004394000,- -,- -,710226000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-103243000,-112467000,-812000000,-45000000,- -,- -,- -,-78954000,-28000000,-243300000,-299400000,- -,- -,-246250000,- -,-470000000,-893000,- -,-300000000
93,Dividends Paid,- -,- -,- -,- -,- -,-4100000,-16500000,-17500000,-30500000,-43200000,-52900000,-59600000,-93000000,-173300000,-183800000,-204503000,-335954000,-337586000,-348692000,-401400000,-583125000,-594904000,-581955000,-619093000,-319473000,-529968000,-570209000,-773294000,-629101000,-629299000,-555329000,-556098000,-561006000,-534463000,-553916000,-891590000,-471989000
94,Other Financing Activites,- -,- -,- -,- -,- -,14900000,18600000,29800000,343000000,12000000,180700000,99800000,1735200000,1948000000,1114900000,1311971000,991843000,504279000,918040000,1181466000,1697160000,4210241000,2741667000,1620435000,2522935000,2518225000,3716562000,3935267000,2368707000,1995899000,4135733000,2251184000,854343000,566902000,1038207000,1745952000,2326755000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-10400000,-9800000,4400000,-56400000,-32100000,36600000,-15000000,1220000000,879800000,262100000,473813000,-179368000,-533092000,-286317000,-35224000,683828000,3030655000,1291657000,7677000,-1382752000,-95415000,-621974000,170979000,-2139894000,54342000,643826000,-446154000,-338344000,-1122826000,-2235589000,-213202000,-29477000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-10400000,-9800000,4400000,-56400000,-32100000,36600000,-15000000,1220000000,879800000,-55200000,24359000,128595000,-57384000,112342000,278740000,-304778000,1938813000,-1078722000,372258000,-991374000,155310000,-84236000,353766000,-377029000,615187000,637230000,-334680000,315481000,-1197907000,890226000,123238000,199982000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112600000,136989000,265584000,208200000,320542000,599282000,294504000,2233317000,1154595000,1526853000,535479000,690789000,606553000,960319000,583290000,1198477000,1835707000,1501027000,1914812000,716905000,1607131000,1730369000,1930351000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,84900000,5500000,14700000,51500000,24100000,23600000,19100000,89700000,356000000,167800000,112630000,136989000,265584000,208200000,320542000,599282000,294504000,2233317000,1154595000,1526853000,535479000,690789000,606553000,960319000,583290000,1198477000,1835707000,1599331000,1914812000,716905000,1607131000,1730369000
100,Free Cash Flow,- -,- -,- -,- -,- -,-36600000,28500000,4700000,400000,21500000,46300000,55900000,-800400000,-775500000,-218900000,-121721000,320595000,499825000,528951000,664693000,762678000,824668000,-2341793000,817812000,633579000,771086000,702499000,825049000,1040789000,1135310000,672150000,1000667000,860142000,728032000,223604000,29189000,761806000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899689/000110465905008245/a05-1733_110k.htm,https://www.sec.gov/Archives/edgar/data/899689/000110465906012410/a06-1845_110k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968907000007/vrt12310610k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968908000003/vrt200710k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968909000005/0000899689-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968910000004/0000899689-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968911000003/0000899689-11-000003-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968912000004/0000899689-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968913000004/0000899689-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968914000009/vno2013form10k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968915000006/vno2014form10k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968916000046/0000899689-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968917000004/0000899689-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968918000009/0000899689-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968919000010/0000899689-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1040765/000089968920000007/0000899689-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968921000009/0000899689-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968922000006/0000899689-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
