,https://roic.ai/company/CMC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563159000,-96163000,-90482000,-8856000,-69515000,-22440000,206633000,142510000,-78527000,-88655000,27204000,146375000,-228026000
79,Inventory,- -,- -,- -,- -,-3000000,2000000,-11700000,-12300000,-30400000,2900000,-39800000,21900000,-34400000,-36600000,7500000,-27767000,40776000,-37206000,-40676000,-290474000,-49313000,-36196000,-10381000,-414556000,533896000,-60612000,-200204000,53449000,26459000,-177331000,50747000,209555000,-98835000,-43198000,89664000,78903000,-316316000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-691912000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,160000000,140300000,119900000,174400000,183500000,175100000,265700000,275400000,307200000,247400000,290600000,275828000,292235000,379005000,399426000,640755000,808975000,962487000,1386263000,1484962000,1182214000,1072247000,1127399000,1338697000,1585086000,1662638000,1689753000,1227007000,1105462000,1535262000,1385415000,1468840000,1756355000
82,Other Non-Cash Items,- -,- -,- -,- -,2600000,32700000,-6900000,-87300000,-2000000,-41400000,-93500000,-10700000,-57100000,9500000,14000000,-97316000,85657000,-94669000,-96846000,-396842000,-321091000,-327395000,-414619000,-504811000,916328000,118869000,-50401000,-311257000,-387312000,-246992000,-36055000,843766000,108487000,-579591000,-244542000,181088000,-643323000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,38000000,60900000,9100000,5000000,58500000,10800000,72900000,86600000,56800000,40400000,158300000,8618000,192950000,96613000,15287000,49694000,200586000,233383000,461290000,-43456000,806536000,44910000,27747000,195993000,147732000,136940000,313461000,586865000,174472000,158680000,37004000,791204000,228474000
84,CAPEX,- -,- -,- -,- -,-26400000,-43700000,-42700000,-24500000,-37600000,-48200000,-39300000,-48000000,-71000000,-119900000,-141800000,-69627000,-53022000,-47223000,-49792000,-51889000,-110214000,-131235000,-206262000,-355041000,-369694000,-127121000,-73215000,-113853000,-89035000,-101749000,-119580000,-163332000,-213120000,-174655000,-138836000,-187618000,-184165000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6834000,-13416000,-101511000,-12310000,-45556000,-226121000,-228422000,-906000,-2448000,-48386000,- -,- -,36916000,27831000,4349000,107369000,-6980000,-700941000,-18137000,-1888000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-14400000,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-68068000,- -,- -,- -,- -,- -,- -,- -,-26930000,-4123000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2200000,17100000,7800000,- -,7300000,9500000,19200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10802000,- -,28995000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,400000,1200000,1000000,900000,1300000,800000,-23800000,-1000000,3100000,1400000,4300000,6357000,2866000,23201000,1388000,3192000,5034000,11290000,1470000,1622000,-367074000,-104234000,-19821000,-27440000,-75131000,-84177000,-104655000,-179996000,-221084000,-63695000,238893000,-174801000,-160241000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-23800000,-25400000,-33900000,-38000000,-29000000,-37900000,-43900000,-49000000,-67900000,-118500000,-137500000,-63270000,-73156000,-98924000,-61820000,-150208000,-117490000,-165501000,-430913000,-581841000,-367980000,-133612000,-61528000,-27440000,-46136000,-47261000,-76824000,-175647000,-113715000,-70675000,-462048000,-192938000,-162129000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-158740000,-29939000,-33577000,-64801000,-204856000,-7677000,-11335000,-211394000,-711850000,-19967000,-127704000,-246523000,-368527000
91,Common Stock Issued,- -,- -,- -,- -,800000,2000000,1600000,2500000,5600000,4300000,3700000,5600000,6600000,9100000,3700000,5958000,4383000,30238000,6216000,19530000,18703000,23659000,10849000,8910000,3284000,10494000,9615000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2500000,-17100000,-4800000,-900000,- -,-17100000,- -,-13500000,-17700000,-14700000,-7000000,-41934000,-6716000,- -,-14610000,-4586000,-77077000,-78662000,-59169000,-172312000,-18514000,- -,- -,- -,- -,- -,-41806000,-30595000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-4700000,-5600000,-5500000,-5500000,-5600000,-6700000,-7200000,-7200000,-7800000,-7700000,-7500000,-7304000,-6780000,-7521000,-9039000,-9764000,-13652000,-20212000,-39254000,-52061000,-54139000,-54489000,-55177000,-55617000,-56028000,-56428000,-55945000,-55342000,-55514000,-56076000,-56537000,-57056000,-57766000
94,Other Financing Activites,- -,- -,- -,- -,8500000,-24500000,35900000,36700000,-22200000,46900000,-23500000,-19300000,38700000,89400000,3700000,73334000,-97459000,-20082000,14627000,142909000,-15842000,65995000,294746000,639232000,-18342000,158551000,-67875000,-1321000,275914000,29708000,-71605000,-80386000,442871000,335475000,170997000,55789000,316903000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,2100000,-45200000,27200000,32800000,-22200000,27400000,-27000000,-34400000,19800000,76100000,-7100000,30054000,-106572000,2635000,-2806000,148089000,-87868000,-9220000,207172000,423769000,-246451000,84617000,-147014000,-121739000,15030000,-34397000,-180691000,-377717000,-324493000,259432000,-13244000,-247790000,-109390000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,926000,617000,2653000,1007000,1279000,-5528000,-2205000,3872000,-6782000,-278000,873000,-5548000,-1280000,-1213000,-703000,-598000,759000,-790000
97,Net Change In Cash,- -,- -,- -,- -,2100000,-45200000,27200000,32800000,-22200000,27400000,-27000000,-34400000,19800000,76100000,13700000,-24598000,13222000,324000,-49339000,48501000,-4155000,61315000,238556000,-200249000,186577000,-6290000,-176923000,40032000,116348000,56155000,50398000,32221000,-264949000,346734000,-438886000,351235000,-43835000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44700000,20067000,33289000,33245000,75058000,123559000,119404000,180719000,419275000,219026000,405603000,399313000,222390000,262422000,378770000,434925000,485323000,517544000,252595000,632615000,193729000,544964000,501129000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2800000,19100000,9300000,11700000,11500000,18800000,19100000,21000000,24300000,33000000,31000000,44665000,20067000,32921000,124397000,75058000,123559000,119404000,180719000,419275000,219026000,405603000,399313000,222390000,262422000,378770000,434925000,485323000,517544000,285881000,632615000,193729000,544964000
100,Free Cash Flow,- -,- -,- -,- -,11600000,17200000,-33600000,-19500000,20900000,-37400000,33600000,38600000,-14200000,-79500000,16500000,-61009000,139928000,49390000,-34505000,-2195000,90372000,102148000,255028000,-398497000,436842000,-82211000,-45468000,82140000,58697000,35191000,193881000,423533000,-38648000,-15975000,-101832000,603586000,44309000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/22444/000095013494001441/0000950134-94-001441-index.html,https://www.sec.gov/Archives/edgar/data/22444/000095013495003133/0000950134-95-003133-index.html,https://www.sec.gov/Archives/edgar/data/22444/000095013496006610/0000950134-96-006610-index.html,https://www.sec.gov/Archives/edgar/data/22444/000095013497008875/0000950134-97-008875-index.html,- -,https://www.sec.gov/Archives/edgar/data/22444/000095013499010599/0000950134-99-010599-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/22444/000095013402015009/0000950134-02-015009-index.html,- -,https://www.sec.gov/Archives/edgar/data/22444/000095013404017154/0000950134-04-017154-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095013405021079/0000950134-05-021079-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095013406020896/0000950134-06-020896-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095013407022255/0000950134-07-022255-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095013408018786/0000950134-08-018786-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095012309055736/0000950123-09-055736-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095012310098248/0000950123-10-098248-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095012311093536/0000950123-11-093536-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244412000006/0000022444-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244413000012/0000022444-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244414000021/0000022444-14-000021-index.htm,- -,https://www.sec.gov/Archives/edgar/data/22444/000002244416000059/0000022444-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244417000027/0000022444-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244418000035/0000022444-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244419000042/0000022444-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244420000047/0000022444-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244421000126/0000022444-21-000126-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
