,https://roic.ai/company/CACI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-300000,4600000,-6800000,600000,-3700000,-4500000,-10900000,-15800000,-10700000,-19800000,-37494000,-19108000,-145227000,62928000,-25646000,-48582000,31971000,-128767000,122055000,-118390000,245992000,-162357000,161114000,219012000,-356751000,26326000,-76344000,12230000,-33596000,231965000,62432000,-259675000
83,Cash Provided by Operating Activities,- -,- -,- -,12900000,3200000,2400000,4900000,4100000,9100000,9400000,6600000,15000000,19900000,18700000,19907000,31320000,38886000,75888000,75815000,137046000,107087000,168031000,160086000,151080000,209344000,225964000,266688000,249331000,198643000,223215000,242577000,281250000,325127000,555297000,518705000,592215000
84,CAPEX,- -,- -,- -,-4300000,-2800000,-1900000,-3500000,-3300000,-2700000,-4200000,-4200000,-6500000,-42900000,-51900000,-25564000,-38121000,-45445000,-12172000,-8703000,-8793000,-9521000,-7898000,-13589000,-12369000,-22503000,-14388000,-18284000,-15439000,-15279000,-17444000,-20835000,-43268000,-41594000,-47902000,-72303000,-73129000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8185000,-107733000,-503331000,-6647000,-244293000,-106212000,-315855000,-26532000,-87943000,-133034000,-185926000,-107859000,-835500000,-14581000,-587821000,-2595000,-76910000,-1082809000,-106226000,-356261000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20019000,-10281000,-62000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15009000,15352000,515000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-100000,200000,200000,-400000,-3500000,-4800000,300000,-13800000,-11300000,300000,-200000,36495000,-1047000,-277000,1933000,73000,-1634000,-5279000,-2063000,101000,14296000,-24934000,-19554000,-18442000,-19558000,-16155000,-16815000,-19766000,-22209000,-41363000,-45173000,-72303000,-70385000
89,Cash Used for Investing Activites,- -,- -,- -,-4400000,-2600000,-1700000,-3900000,-6800000,-7500000,-3900000,-18000000,-17800000,-42600000,-52100000,10931000,-39168000,-73926000,-113244000,-496671000,-16559000,-259093000,-116173000,-329343000,-38768000,-112877000,-152588000,-204368000,-127417000,-851655000,-31396000,-607587000,-24804000,-118273000,-1127982000,-178529000,-426646000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4547000,-53600000,-482403000,-977500000,-790500000,-902781000,-650141000,-659965000,-714465000,-647474000,-1928420000,-1960920000,-2960920000
91,Common Stock Issued,- -,- -,- -,- -,100000,1400000,1800000,100000,1200000,500000,1200000,4400000,1800000,1600000,5836000,5109000,174648000,3603000,10462000,23612000,17580000,13902000,8310000,5550000,4501000,4116000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-600000,-700000,-6600000,-2900000,-100000,-200000,-2200000,- -,- -,- -,- -,- -,-7272000,-83000,-105000,-4883000,- -,-7512000,-50275000,-1972000,-23705000,-3496000,-53647000,-316563000,-127529000,-3653000,-3400000,-3230000,-4386000,-5138000,-5838000,-7806000,-509137000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-5700000,- -,3200000,1700000,2400000,-4500000,-2700000,10000000,-1200000,21000000,32300000,-33806000,20625000,-24293000,-25000000,403104000,-74091000,33242000,244324000,-2264000,1439000,5582000,367601000,1083117000,845004000,1557936000,434680000,1044702000,478865000,446096000,2513814000,1665332000,3279461000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-6300000,-600000,-2000000,600000,2400000,-3500000,-4400000,11200000,3200000,22800000,33900000,-27970000,18462000,150272000,-21502000,408683000,-50479000,43310000,207951000,4074000,-21263000,-47013000,-164333000,-210946000,-73025000,651502000,-218861000,381507000,-239986000,-206516000,579556000,-303394000,-190596000
96,Effect of Forex Changes on Cash,- -,- -,- -,-200000,300000,-100000,- -,-300000,- -,100000,- -,-200000,- -,-200000,-340000,-703000,975000,1544000,1467000,-72000,381000,1223000,-103000,-2957000,-3399000,1231000,-451000,-292000,1634000,-2055000,-2779000,-3000,317000,-1037000,-1574000,5822000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,2528000,9911000,116207000,-57314000,-10706000,69936000,-108315000,261032000,-165286000,88092000,46055000,-89726000,-149077000,48597000,124000,-29097000,13718000,16457000,655000,5834000,35208000,-19205000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,4931000,14842000,131049000,73735000,63029000,132965000,24650000,285682000,120396000,208488000,254543000,164817000,15740000,64337000,64461000,35364000,49082000,65539000,66194000,72028000,107236000,88031000
99,Cash at the Beginning of Period,- -,- -,- -,800000,2900000,3200000,1800000,3400000,2700000,900000,2000000,1800000,2000000,2100000,2403000,4931000,14842000,131049000,73735000,63029000,132965000,24650000,285682000,120396000,208488000,254543000,164817000,15740000,64337000,64461000,35364000,49082000,65539000,66194000,72028000,107236000
100,Free Cash Flow,- -,- -,- -,8600000,400000,500000,1400000,800000,6400000,5200000,2400000,8500000,-23000000,-33200000,-5657000,-6801000,-6559000,63716000,67112000,128253000,97566000,160133000,146497000,138711000,186841000,211576000,248404000,233892000,183364000,205771000,221742000,237982000,283533000,507395000,446402000,519086000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16058/000001605801500013/r10k901.htm,https://www.sec.gov/Archives/edgar/data/16058/000092838502003177/0000928385-02-003177-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312503055255/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312504155541/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312505184854/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312506190233/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312507191648/0001193125-07-191648-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312508185214/0001193125-08-185214-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312509182208/0001193125-09-182208-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312510196811/0001193125-10-196811-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312511234902/0001193125-11-234902-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312512371503/0001193125-12-371503-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312513348088/0001193125-13-348088-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312514325463/0001193125-14-325463-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459015007527/0001564590-15-007527-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459016024672/caci-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459017017873/0001564590-17-017873-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459018022021/0001564590-18-022021-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459019032721/caci-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459020040205/0001564590-20-040205-index.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459021044839/0001564590-21-044839-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
