,https://roic.ai/company/GNTX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-4100000,-2400000,-2200000,-4200000,-10000000,-6200000,-4900000,-16400000,-16400000,-24600000,-22000000,-21617088,-45298429,-32560646,-22248009,-30535174,-53533235,-48193083,-54524322,-45524466,-21130500,-46896950,-120177730,-117474449,-55380457,-72518987,-97941762,-120955614,-104040919,-85990570,-84580255,-51706541,-68835047
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-698150900,- -,- -,- -,- -,- -,- -,-11216927,-12071546
86,Purchases of Investments,- -,- -,- -,- -,-14000000,-5000000,- -,-2700000,-3600000,-800000,-30700000,-42900000,-54100000,-33900000,-78700000,-57842680,-53991305,-148672675,-209756998,-105551220,-101378452,-140662282,-155538587,-152269927,-87903762,-164844351,-196365327,-112545415,-60543153,-80887357,-47513972,-216670674,-29874960,-332106362,-153257603,-73719189,-113204199
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2500000,4500000,2100000,- -,- -,13000000,30000000,37200000,17400000,32200000,31136256,35356080,79460180,269638816,109894229,131217023,124790849,156100543,216769123,93000016,92421319,212138498,114483234,181005052,75613807,58517164,92793155,53307523,237140687,182152724,167003063,83927427
88,Other Investing Activites,- -,- -,- -,- -,-2800000,400000,1500000,-1600000,1400000,-12700000,-1800000,-300000,- -,-200000,-400000,-691699,294801,-763351,-95174,-945402,-905863,809520,281093,-3172768,259746,-5266511,877569,-16537614,-187161,-1920946,-2799091,-6612975,2895786,-4864949,-1025948,-3943969,-2923590
89,Cash Used for Investing Activites,- -,- -,- -,- -,-20900000,-4500000,3800000,-6400000,-12200000,-19700000,-24400000,-29600000,-33300000,-41300000,-68900000,-49015211,-63638853,-102536492,37538635,-27137567,-24600527,-63254996,-53681273,15801962,-15774500,-124586493,-103526990,-132074244,-633256619,-79713483,-89737661,-251446108,-77712570,-185821194,-56711082,26416437,-113106955
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1875000,-7500000,-32500000,-47500000,-107625000,-78000000,- -,-75000000,- -
91,Common Stock Issued,- -,- -,- -,- -,14200000,400000,400000,1700000,3700000,5000000,4100000,8300000,8300000,12400000,14100000,11245083,11804187,12474767,21460422,16606601,21491243,18953178,40089468,11815508,7487895,67067391,33304764,- -,- -,- -,- -,- -,- -,- -,- -,41803640,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10246810,- -,-25214573,-226851253,-7328015,-111259803,- -,- -,- -,-33716725,- -,-30010882,-111228825,-163361221,-231363216,-591577851,-331471392,-288480506,-324643135
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11506382,- -,-53777627,-54704400,-55922147,-60463115,-60597710,-61394232,-67171939,-73387727,-79160345,-87632009,-96990439,-101131356,-108815040,-116566639,-116309197,-117181928,-115285625
94,Other Financing Activites,- -,- -,- -,- -,5500000,- -,- -,-6100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47961742,- -,235410,338648,62647,31953,3020975,5362501,13024532,316866194,65471345,33006223,86893439,47770467,66837820,77821151,75000000,29808787
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,19700000,400000,400000,-4400000,3700000,5000000,4100000,8300000,8300000,12400000,14100000,11245083,11804187,12474767,-292770,-31355141,-57500957,-262367065,-22822046,-159844763,-53077862,8694134,-28504674,-94079920,235830849,-59671546,-207713041,-225099138,-400032789,-719306670,-369959438,-363858794,-410119973
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,19700000,400000,400000,-4400000,3700000,5000000,- -,- -,- -,- -,19200000,40967611,29589138,29049390,153828860,72875748,44142974,-194181910,72217310,-23410581,41801934,12241327,9637001,31691890,-80086940,187838080,54127723,-5080452,23257421,-352709218,79296344,127049414,-161059366
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69200000,110195583,139784721,168834111,322662971,395538719,439681693,245499783,317717093,294306512,336108446,348349773,357986774,389678664,309591724,497429804,551557527,546477075,569734496,217025278,296321622,423371036,262311670
99,Cash at the Beginning of Period,- -,- -,- -,- -,500000,1300000,500000,8500000,4100000,6000000,11200000,14100000,16700000,26800000,50000000,69227972,110195583,139784721,168834111,322662971,395538719,439681693,245499783,317717093,294306512,336108446,348349773,357986774,389678664,309591724,497429804,551557527,546477075,569734496,217025278,296321622,423371036
100,Free Cash Flow,- -,- -,- -,- -,-2200000,900000,1600000,2200000,400000,13700000,18300000,7600000,18600000,27500000,52000000,57120651,36125375,86550469,94334986,100833282,72711223,83247068,94196307,75107754,89523796,81236736,21490935,140371605,261958373,254704122,253636663,350509180,396961861,466428076,421386609,412785230,293332515
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000095012498001390/0000950124-98-001390-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000095012401001245/0000950124-01-001245-index.html,https://www.sec.gov/Archives/edgar/data/355811/000095012402000790/0000950124-02-000790-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000136231009002680/0001362310-09-002680-index.html,https://www.sec.gov/Archives/edgar/data/355811/000095012310015388/0000950123-10-015388-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000095012311016242/0000950123-11-016242-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000119312512071341/0001193125-12-071341-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581113000003/0000355811-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581114000007/0000355811-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581115000015/0000355811-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581116000063/0000355811-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581117000013/0000355811-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581118000009/0000355811-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581119000006/0000355811-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581120000007/0000355811-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581121000006/0000355811-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581122000006/0000355811-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
