,https://roic.ai/company/LEE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,-22100000,-100000,-1000000,-25600000,-87600000,-117700000,-200000,-200000,- -,- -,- -,- -,-872836000,- -,- -,- -,-13038000,-70415000,-90005000,-115555000,-47777000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,26900000,10100000,- -,1900000,66800000,124400000,38900000,400000,54800000,- -,- -,- -,- -,211221000,- -,- -,67199000,68043000,78018000,87873000,166109000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-11200000,-115800000,-200000,-2800000,-400000,-4200000,-1600000,-2100000,-190600000,-900000,-3400000,9704000,663954000,7916000,4410000,1035000,-2636000,29508000,31783000,58860000,2208000,1768000,8410000,10775000,23185000,4377000,9499000,41599000,2073000,5953000,1511000,20905000,5201000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-30700000,-121000000,-7600000,-30500000,-31200000,-15100000,-21900000,-20700000,-152100000,-39600000,-51200000,-94399000,-223304000,-547474000,-12791000,-27088000,-1272950000,-9653000,-15836000,8948000,108985000,-7690000,665000,2735000,13445000,-9284000,-208000,34508000,-9455000,-72000,-10933000,-118176000,-2278000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-386051000,-170545000,-137330000,-1065455000,-192350000,-847750000,-83878000,-112455000,-73782000,-73526000,-41832000,-481337000,-55674000
91,Common Stock Issued,- -,- -,- -,- -,2800000,2000000,2000000,2700000,5000000,1600000,- -,- -,- -,- -,- -,- -,- -,6588000,6400000,13085000,5399000,7815000,2578000,1946000,105000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-20000000,-28400000,-6300000,-3000000,-8700000,-16500000,-30900000,-11900000,-41100000,-51400000,-11800000,-20021000,-10050000,-341000,-272000,-956000,-548000,-1260000,-1099000,-19483000,-56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-16700000,-17000000,-17500000,-17800000,-18500000,-19400000,-20300000,-22600000,-24200000,-25200000,-26600000,-28288000,-29797000,-22542000,-37792000,-26383000,-32361000,-32671000,-33038000,-32573000,-8539000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-200000,114700000,-23000000,-13500000,-11100000,-26700000,-7600000,-23800000,114700000,18300000,-14600000,34710000,-38179000,190680000,-104100000,-91600000,1139545000,-165814000,-129375000,-63250000,195950000,83181000,38194000,972387000,93032000,774101000,4040000,4607000,4593000,9061000,-1646000,574732000,253000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-34100000,71300000,-44800000,-31600000,-33300000,-61000000,-58800000,-58300000,49400000,-58300000,-53000000,-13599000,-78026000,174385000,-135764000,-105854000,1112035000,-191930000,-160934000,-113360000,-198591000,-87364000,-99136000,-93068000,-99318000,-73649000,-79838000,-107848000,-69189000,-64465000,-43478000,93395000,-55421000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-34100000,71300000,-44800000,-31600000,-33300000,-61000000,-58800000,-58300000,49400000,-58300000,-6400000,18891000,242742000,-257788000,-3317000,-3054000,-467000,1095000,-160934000,-113360000,-15554000,11517000,4133000,-9635000,3642000,-858000,-5570000,5850000,-6363000,-5241000,3265000,25088000,-7621000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,29427000,272169000,14381000,11064000,8010000,7543000,8638000,- -,23459000,7905000,19422000,23555000,13920000,17562000,16704000,11134000,16984000,10621000,5380000,8645000,33733000,26112000
99,Cash at the Beginning of Period,- -,- -,- -,- -,14800000,10500000,16000000,17200000,23300000,17100000,18800000,10700000,19300000,14200000,16900000,10536000,29427000,272169000,14381000,11064000,8010000,7543000,8638000,- -,23459000,7905000,19422000,23555000,13920000,17562000,16704000,11134000,16984000,10621000,5380000,8645000,33733000
100,Free Cash Flow,- -,- -,- -,- -,36100000,40100000,47200000,64100000,48300000,60200000,13600000,68700000,81200000,62000000,50100000,94395000,534168000,101779000,129110000,110674000,135711000,170134000,133565000,107265000,62497000,97113000,94859000,72658000,79775000,68414000,64769000,72099000,68203000,53271000,51775000,41773000,42599000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/58361/000119312505007722/0001193125-05-007722-index.htm,- -,https://www.sec.gov/Archives/edgar/data/58361/000119312506253473/0001193125-06-253473-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/58361/000005836110000011/0000058361-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836112000015/0000058361-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836113000033/0000058361-13-000033-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836113000038/0000058361-13-000038-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836114000040/0000058361-14-000040-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836115000028/0000058361-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836116000078/0000058361-16-000078-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836117000053/0000058361-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836118000038/0000058361-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000143774919024425/0001437749-19-024425-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000143774920025193/0001437749-20-025193-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000143774921028322/0001437749-21-028322-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
