,https://roic.ai/company/ALK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,- -,13400000,11900000,13700000,16500000,10000000,32000000,6000000,25000000,26000000,55000000,47000000,29000000,24000000,51000000
77,Change in Working Capital,- -,- -,- -,- -,21400000,-137800000,103600000,-60500000,23900000,-85804000,40704000,-79200000,136900000,51600000,-39700000,131700000,49300000,54200000,-67500000,154100000,89700000,-39100000,-333300000,146000000,227700000,-138700000,-151400000,150100000,-54000000,-97000000,-228000000,-342000000,-69000000,-601000000,-9000000,877000000,216000000
78,Accounts Receivable,- -,- -,- -,- -,-6700000,-6200000,4100000,-23100000,9100000,5200000,-18500000,18800000,-2900000,2000000,-4000000,-7500000,3100000,-44400000,4800000,21300000,-24800000,-10000000,- -,- -,- -,- -,- -,- -,- -,-110000000,47000000,-46000000,-39000000,-25000000,43000000,-160000000,-66000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,9500000,-128300000,-24700000,-85200000,-61300000,-147104000,-106400000,-185600000,-48700000,2900000,-36800000,94900000,144200000,198400000,130900000,285000000,374700000,335600000,2300000,148300000,376000000,237300000,85900000,236000000,182000000,85000000,-143000000,-485000000,-554000000,-1155000000,-1164000000,-287000000,-71000000
82,Other Non-Cash Items,- -,- -,- -,- -,91600000,283500000,19700000,248200000,122000000,122274000,-37504000,153500000,-130300000,-8900000,55900000,21200000,48400000,-36500000,202600000,-7500000,-6900000,409800000,512900000,-63800000,-359200000,51800000,339500000,12900000,225000000,222000000,619000000,525000000,198000000,914000000,510000000,-231000000,-109000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,107600000,103200000,82500000,20200000,48500000,144133000,125500000,222900000,205200000,310200000,330100000,265000000,278300000,124500000,355200000,334000000,271900000,449800000,482000000,164300000,305300000,553700000,696000000,753000000,981000000,1030000000,1584000000,1386000000,1590000000,1195000000,1722000000,-234000000,1030000000
84,CAPEX,- -,- -,- -,- -,-109000000,-196300000,-144100000,-277900000,-29600000,-188628000,-103300000,-269800000,-439000000,-613400000,-565000000,-448600000,-383500000,-200900000,-369200000,-199100000,-431000000,-682100000,-834400000,-412800000,-438400000,-183000000,-387400000,-574000000,-566000000,-694000000,-831000000,-678000000,-1026000000,-960000000,-696000000,-206000000,-292000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1951000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-56900000,-17100000,-79400000,-3000000,-552200000,-76129000,-169400000,-53500000,-443600000,-323400000,-137800000,-464100000,-234400000,-630800000,-942900000,-961300000,-1184500000,-806500000,-1149300000,-766000000,-942600000,-1022000000,-883500000,-1130000000,-1218000000,-949000000,-1327000000,-960000000,-1569000000,-834000000,-1810000000,-2962000000,-4301000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,73700000,- -,7200000,554800000,56762000,153500000,110400000,385900000,156300000,218500000,300000000,424600000,433900000,689000000,756800000,1121400000,935900000,1321100000,579600000,725000000,931000000,955700000,1048000000,1089000000,1092000000,1175000000,962000000,1388000000,1116000000,1674000000,2318000000,3595000000
88,Other Investing Activites,- -,- -,- -,- -,-47000000,-92200000,-64500000,8800000,9200000,7322000,18500000,59700000,13600000,34000000,16400000,42700000,72200000,36400000,-15000000,37900000,13000000,19700000,60800000,17900000,-1400000,-21200000,-88100000,11000000,-3000000,10000000,53000000,5000000,75000000,47000000,41000000,257000000,-10000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-212900000,-231900000,-288000000,-264900000,-17800000,-200673000,-100700000,-153200000,-483100000,-746500000,-467900000,-570000000,-121100000,-361400000,-638100000,-365700000,-481100000,-533000000,-601800000,-581300000,-657400000,-295200000,-403300000,-645000000,-698000000,-541000000,-930000000,-2622000000,-1132000000,-631000000,-791000000,-593000000,-1008000000
90,Debt Repayment,- -,- -,- -,- -,-29100000,-28200000,-27800000,-156200000,-79400000,-110900000,-295400000,-265700000,-232700000,-45500000,-27200000,-65800000,-153900000,-43800000,-71300000,-209900000,-54200000,- -,-132200000,-343200000,-261000000,-321000000,-333500000,-275000000,-161000000,-119000000,-116000000,-249000000,-397000000,-807000000,-1058000000,-565000000,-1334000000
91,Common Stock Issued,- -,- -,- -,- -,500000,61200000,800000,1500000,200000,798000,2800000,21100000,129300000,6600000,6300000,1200000,1400000,900000,3700000,8400000,215200000,- -,6100000,4000000,13000000,36500000,19400000,31000000,24000000,27000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5000000,-73800000,-200000,- -,-33400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62800000,-48900000,-23800000,-45100000,-79500000,-60000000,-159000000,-348000000,-505000000,-193000000,-75000000,-50000000,-75000000,-31000000,- -
93,Dividends Paid,- -,- -,- -,- -,-3100000,-8400000,-9000000,-8400000,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000000,-68000000,-102000000,-136000000,-148000000,-158000000,-173000000,-45000000,- -
94,Other Financing Activites,- -,- -,- -,- -,147300000,193400000,231900000,395600000,104800000,151068000,282000000,198500000,434500000,402000000,261800000,338200000,384500000,58000000,274400000,94600000,93800000,240300000,282300000,883900000,505000000,-3600000,113600000,216000000,-1000000,46000000,35000000,2069000000,28000000,368000000,493000000,2622000000,420000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,110600000,144200000,195700000,232500000,-10300000,40966000,-10600000,-46100000,331100000,363100000,240900000,273600000,232000000,15100000,206800000,-106900000,254800000,240300000,93400000,495800000,233200000,-333200000,-280000000,-88000000,-325000000,-462000000,-688000000,1491000000,-592000000,-647000000,-813000000,1981000000,-914000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,110600000,144200000,195700000,232500000,-10300000,-15574000,14200000,23600000,53200000,-73200000,103100000,-31400000,389200000,-221800000,-76100000,-138600000,45600000,157100000,-26400000,78800000,-118900000,-74700000,12700000,20000000,-42000000,27000000,-34000000,255000000,-134000000,-83000000,118000000,1154000000,-892000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,11605000,25800000,49400000,102600000,29400000,132500000,101100000,490300000,269000000,192900000,54300000,73600000,230700000,204300000,283100000,164200000,89500000,102200000,122000000,80000000,107000000,73000000,328000000,194000000,114000000,232000000,1386000000,494000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,8200000,13400000,28900000,19100000,6900000,27179000,11600000,25800000,49400000,102600000,29400000,132500000,101100000,490800000,269000000,192900000,28000000,73600000,230700000,204300000,283100000,164200000,89500000,102000000,122000000,80000000,107000000,73000000,328000000,197000000,114000000,232000000,1386000000
100,Free Cash Flow,- -,- -,- -,- -,-1400000,-93100000,-61600000,-257700000,18900000,-44495000,22200000,-46900000,-233800000,-303200000,-234900000,-183600000,-105200000,-76400000,-14000000,134900000,-159100000,-232300000,-352400000,-248500000,-133100000,370700000,308600000,179000000,415000000,336000000,753000000,708000000,564000000,235000000,1026000000,-440000000,738000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766421/000076642195000002/0000766421-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/766421/0000766421-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766421/000091205701005493/a2038282z10-k405.htm,https://www.sec.gov/Archives/edgar/data/766421/000107261302000411/form-10k_11090.htm,https://www.sec.gov/Archives/edgar/data/766421/000089102003000742/v88181e10vk.htm,https://www.sec.gov/Archives/edgar/data/766421/000089102004000322/v96770e10vk.htm,https://www.sec.gov/Archives/edgar/data/766421/000095012405001049/v05863e10vk.htm,https://www.sec.gov/Archives/edgar/data/766421/000119312506034170/d10k.htm,https://www.sec.gov/Archives/edgar/data/766421/000119312507038398/d10k.htm,https://www.sec.gov/Archives/edgar/data/766421/000119312508034506/d10k.htm,https://www.sec.gov/Archives/edgar/data/766421/000119312509033073/0001193125-09-033073-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/766421/000076642112000018/0000766421-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/766421/000076642113000010/0000766421-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/766421/000076642114000010/alk10-k123113.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642115000009/alk10-k123114.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642116000065/0000766421-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/766421/000076642117000016/0000766421-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/766421/000076642118000015/0000766421-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/766421/000076642119000008/0000766421-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/766421/000076642120000013/0000766421-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/766421/000076642121000018/0000766421-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/766421/000076642122000009/0000766421-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
