,https://roic.ai/company/ELSE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-300000,- -,-300000,-200000,-100000,- -,- -,- -,- -,- -,- -,-1108826,-590579,-486000,- -,- -,- -,- -,-9949000,-14545000,-4300000,-5249000,-6425000,-14184000,-12674000,-8866000,-8681000,-14353000,-7662000,-13745000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,200000,300000,- -,200000,300000,100000,- -,- -,- -,- -,2280808,1406645,788000,1205000,1822000,- -,5000,4984000,14330000,9502000,874000,6987000,14049000,12810000,9339000,8450000,14500000,15500000,5750000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,200000,-100000,100000,200000,- -,- -,-100000,- -,- -,819068,5602664,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14000,- -,- -,- -,- -,- -,- -,- -,-150000,- -,5001000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-200000,- -,-400000,-1400000,100000,200000,- -,-100000,-54918,746830,5581417,1010715,791450,283000,1165000,1816000,-269000,5000,-4968000,-253000,5106000,-4571000,539000,-581000,66000,465000,-345000,115000,7581000,-8020000,4860000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-381000,-390000,- -,-1000,-5000,-651000,-12000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,- -,18746,74274,13177,75675,35241,109000,91000,271000,47000,6000,17000,12000,21000,8000,9000,3000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11999000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-200000,-200000,-200000,-200000,-200000,-1200000,-200000,-200000,-237314,-239812,-374465,-377622,-411658,-513000,-517000,-3874000,-538000,-539000,-539000,-540000,-543000,-543000,-272000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,200000,- -,800000,-200000,-200000,-300000,-200000,-44843,199980,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,645000,12005000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-200000,- -,-200000,600000,-300000,-1400000,-400000,-400000,-263411,34442,-361288,-301947,-376417,-404000,-426000,-3603000,-491000,-533000,-522000,-528000,-522000,-535000,-263000,3000,-381000,-390000,- -,-151000,-5000,-6000,-6000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-200000,- -,-200000,600000,- -,- -,- -,- -,194083,683487,5198515,-1666531,139886,-399000,596000,-1609000,328000,-250000,-4783000,-163000,4893000,-4374000,403000,-315000,-621000,271000,123000,94000,7728000,-7695000,5623000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2507689,3191176,8389691,6723160,6863046,6464000,7060000,5451000,5779000,5529000,746000,583000,5476000,1102000,1505000,1190000,569000,840000,963000,1057000,8785000,1090000,6713000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,2900000,3600000,3600000,3200000,2800000,3300000,2600000,2500000,2313606,2507689,3191176,8389691,6723160,6863000,6464000,7060000,5451000,5779000,5529000,746000,583000,5476000,1102000,1505000,1190000,569000,840000,963000,1057000,8785000,1090000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,1000000,100000,-300000,-1000000,700000,300000,200000,200000,457494,-170023,-42861,-2536566,-299763,-297000,-183000,172000,819000,278000,704000,580000,227000,536000,104000,217000,-376000,188000,354000,98000,-105000,306000,628000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351789/0000897101-96-000126-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351789/000091205702011132/0000912057-02-011132-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000110465903004931/0001104659-03-004931-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000110465904007834/0001104659-04-007834-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710105002214/0000897101-05-002214-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710106000634/0000897101-06-000634-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710107000686/0000897101-07-000686-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710108000736/0000897101-08-000736-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710109000586/0000897101-09-000586-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710110000478/0000897101-10-000478-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710111000426/0000897101-11-000426-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710112000521/0000897101-12-000521-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710113000417/0000897101-13-000417-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710114000358/0000897101-14-000358-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710115000350/0000897101-15-000350-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710116002013/0000897101-16-002013-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710117000370/0000897101-17-000370-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710118000282/0000897101-18-000282-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710119000244/0000897101-19-000244-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710120000193/0000897101-20-000193-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710121000238/0000897101-21-000238-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710122000366/0000897101-22-000366-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
