,https://roic.ai/company/ITI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,20600000,23400000,23600000,28400000,32700000,30400000,39200000,20000000,15200000,12855000,-8845000,-9327000,3346000,9369000,2197000,3293000,6979000,14948000,20600000,22552000,19872000,28365000,29387000,30908000,30858000,24251000,22735000,17402000,13475000,32514000,36607000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,100000,-5900000,-200000,-10000000,-6100000,3800000,-8800000,15900000,6700000,4482000,29183000,3831000,-3711000,-6750000,18961000,-902000,-8000000,-6306000,-5867000,-205000,11328000,-12367000,-2987000,-2167000,3926000,4125000,6905000,5925000,1798000,-22486000,-14016000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,2200000,-500000,2700000,-900000,-6400000,6800000,7800000,-7900000,-12100000,7043000,-20090000,-18233000,-4789000,-718000,858000,218000,-2049000,7579000,6390000,6484000,5346000,668000,3652000,3274000,3577000,-4110000,2903000,-268000,-5828000,-3827000,6490000
84,CAPEX,- -,- -,- -,- -,- -,-3400000,-2000000,-1100000,-1900000,-3700000,-3500000,-5300000,-6000000,-2700000,-2169000,-7502000,-426000,-518000,-558000,-670000,-1258000,-488000,-739000,-795000,-294000,-414000,-475000,-1005000,-753000,-986000,-1346000,-1838000,-4015000,-1146000,-1101000,-1368000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,-42000,-200000,- -,- -,-80000,- -,- -,- -,- -,-300000,-1116000,10477000,1372000,-26000,142000,368000,495000,511000,107000,-5581000,-15000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5319000,-4079000,-33786000,-23655000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7463000,24225000,32025000
88,Other Investing Activites,- -,- -,- -,- -,- -,-1100000,- -,- -,- -,100000,- -,- -,3000000,5000000,4670000,1189000,10561000,18611000,99000,125000,- -,- -,- -,- -,- -,- -,-138000,-190000,-301000,- -,-490000,-1170000,-2936000,-660000,-633000,8973000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-4500000,-2000000,-1100000,-1900000,-3600000,-3500000,-5300000,-3000000,2300000,1001000,-6355000,9935000,18093000,-459000,-625000,-1258000,-488000,-739000,-795000,-594000,-1530000,10002000,367000,-779000,-844000,-978000,-1343000,-8823000,2345000,-16243000,1742000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7069000,-2750000,-2354000,-2330000,-634000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,400000,100000,- -,10100000,1200000,700000,18000000,1200000,10000000,1611000,16996000,8697000,3637000,3813000,501000,722000,3555000,1496000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26751000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17543000,- -,- -,- -,- -,- -,- -,-754000,-2477000,-339000,-863000,-1195000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,2200000,2000000,-1800000,-7600000,9000000,-3200000,-10300000,9000000,-600000,-5562000,6787000,-2209000,-16912000,-461000,14243000,403000,-1114000,-7950000,7482000,893000,-49000,-703000,-472000,-420000,-323000,351000,612000,1042000,402000,611000,2873000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,2600000,2100000,-1500000,2500000,10200000,-2500000,7700000,10200000,9400000,-3951000,23783000,6488000,-13275000,3352000,-2799000,1125000,2441000,-6454000,413000,-1857000,-2403000,-3787000,-3583000,-759000,-1186000,-844000,612000,1042000,402000,27362000,2873000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,2600000,2100000,-1500000,-300000,200000,800000,10200000,10200000,9400000,4093000,-2662000,-1810000,29000,2175000,-2566000,85000,-96000,386000,5951000,4033000,1413000,6883000,436000,1736000,1547000,-5932000,2172000,-8049000,-3081000,7292000,11105000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,200000,400000,1200000,11300000,- -,- -,4880000,2218000,408000,437000,2612000,46000,131000,35000,421000,6372000,10405000,11818000,18701000,19137000,20414000,21961000,16029000,18201000,10152000,7071000,14363000,25468000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,400000,800000,400000,500000,200000,400000,1100000,1900000,1100000,787000,4880000,2218000,408000,437000,2612000,46000,131000,35000,421000,6372000,10405000,11818000,18701000,18678000,20414000,21961000,16029000,18201000,10152000,7071000,14363000
100,Free Cash Flow,- -,- -,- -,- -,- -,-1200000,-2500000,1600000,-2800000,-10100000,3300000,2500000,-13900000,-14800000,4874000,-27592000,-18659000,-5307000,-1276000,188000,-1040000,-2537000,6840000,5595000,6190000,4932000,193000,2647000,2521000,2591000,-5456000,1065000,-4283000,-6974000,-4928000,5122000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706296000015/0001017062-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/350868/000089256997001736/0000892569-97-001736-index.html,https://www.sec.gov/Archives/edgar/data/350868/000101706298001457/0001017062-98-001457-index.html,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706200001446/0001017062-00-001446-index.html,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706202001321/0001017062-02-001321-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746903022912/a2113700z10-k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465904018476/a04-7432_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465905032468/a05-11244_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465906044634/a06-9767_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465907049160/0001104659-07-049160-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465908039576/0001104659-08-039576-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465909037935/0001104659-09-037935-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465910029895/0001104659-10-029895-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465911032666/0001104659-11-032666-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465912042848/0001104659-12-042848-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465913047720/0001104659-13-047720-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746914007351/a2221256z10-k.htm,https://www.sec.gov/Archives/edgar/data/350868/000104746915005534/0001047469-15-005534-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746916013877/0001047469-16-013877-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746917003975/0001047469-17-003975-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746918004333/0001047469-18-004333-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746919003522/0001047469-19-003522-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746920003463/0001047469-20-003463-index.htm,https://www.sec.gov/Archives/edgar/data/350868/000035086821000015/0000350868-21-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
