,https://roic.ai/company/BBI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,-400000,-300000,-200000,-400000,-400000,200000,-600000,-800000,-700000,148129,-187262,-1672869,-3245791,-4977000,-3704000,-4196000,-2817000,-631000,-37000,-92000,-159000,-253000,-482000,-59000,-23000,-14000,-4000,-1000,7444000,463000,- -
95,Cash Used/Provided by Financing Activities,2800000,-400000,9200000,24800000,-400000,28200000,400000,3800000,300000,4300000,120000040,95078,-1664068,-3242904,12371000,17564000,50833000,-2763000,3358000,32845000,37169000,55000,48680000,334000,3866000,-20000,7744000,30545000,- -,2636000,38440000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,5330500,27255981,-11127114,-16035042,1092000,-11956000,13653000,15984000,-11586000,2112000,21447000,-8624000,4463000,-4322000,-18366000,-7021000,-8381000,16653000,-13163000,-835000,22883000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,16480087,43736068,32608954,16573912,17666000,5710000,19363000,35347000,23761000,25873000,47320000,38696000,43159000,38837000,20471000,13450000,5069000,25033000,11870000,7232000,30115000,- -
99,Cash at the Beginning of Period,1200000,2500000,500000,10100000,1200000,2300000,7200000,12600000,12200000,13600000,11149587,16480087,43736068,32608954,16574000,17666000,5710000,19363000,35347000,23761000,25873000,47320000,38696000,43159000,38837000,20471000,13450000,8380000,25033000,8067000,7232000,30115000
100,Free Cash Flow,-1500000,-1400000,600000,-1900000,-4300000,-3700000,-5900000,-5000000,-5400000,-6400000,-9933350,-10245280,-20217770,-23157367,-21583000,-24555000,-17232000,-25964000,-31920000,-22104000,-28988000,-4510000,-18629000,-30542000,-10160000,-7073000,-8643000,-8681000,-14481000,-35988000,-20057000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819050/000091205702012546/0000912057-02-012546-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000110465903005481/0001104659-03-005481-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000110465904007082/0001104659-04-007082-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312505049800/0001193125-05-049800-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312506050747/0001193125-06-050747-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312507038399/0001193125-07-038399-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312508044028/0001193125-08-044028-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312509043742/0001193125-09-043742-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312510040666/0001193125-10-040666-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312511056436/0001193125-11-056436-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312512117647/0001193125-12-117647-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312513062438/0001193125-13-062438-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312514054318/0001193125-14-054318-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312515065997/0001193125-15-065997-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459016014677/0001564590-16-014677-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459017003970/0001564590-17-003970-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459018005853/0001564590-18-005853-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459019005633/0001564590-19-005633-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905020000043/0000819050-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905021000029/0000819050-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905022000016/0000819050-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
