,https://roic.ai/company/BK,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,1400000,-25600000,38300000,-56000000,96600000,-6000000,158000000,195000000,271000000,237000000,100000000,257000000,260000000,454000000,530000000,453000000,96000000,428000000,422000000,-55000000,398000000,-148000000,-1267000000,-1970000000,1199000000,12000000,252000000,533000000,-853000000,47000000,-126000000,133000000,-525000000,-69000000,-193000000,257000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,76800000,-1971000000,-23471000000,-545000000,3502000000,6347000000,-401000000,-4191000000,-2925000000,-3831000000,-1582000000,-3928000000,-2519000000,-10633000000,-1124000000,74643000000,357000000,485000000,985000000,2159000000,488000000,17511000000,-2361000000,-3467000000,-159602000000,-57561000000,28008000000,-72835000000,8955000000,-29106000000,61962000000,-26570000000,15783000000,-15816000000,242877000000,-2803000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-19154000000,-21125000000,-44596000000,-45141000000,-41639000000,-35292000000,-35693000000,-39884000000,-42809000000,-46640000000,-48222000000,-52150000000,-54669000000,-65302000000,-66426000000,8217000000,8574000000,9059000000,10044000000,12203000000,12691000000,30202000000,27841000000,24374000000,-135228000000,-192789000000,-164781000000,-237616000000,-228661000000,-257767000000,-195805000000,-222375000000,-206592000000,-222408000000,20469000000,-2803000000
82,Other Non-Cash Items,- -,- -,- -,100000,2382300000,23010000000,1375200000,-2797200000,-5778000000,658000000,5354000000,4156000000,4309000000,1137000000,3193000000,2446000000,7241000000,-3248000000,-70757000000,1570000000,1312000000,20000000,-5313000000,-1108000000,-16258000000,4236000000,9591000000,159306000000,56468000000,-30322000000,68160000000,-7477000000,28571000000,-60639000000,25514000000,-14867000000,10225000000,-242893000000,-242000000
83,Cash Provided by Operating Activities,- -,- -,- -,265700000,537600000,-150300000,939900000,1258300000,840000000,949000000,2104000000,2451000000,1827000000,912000000,826000000,1566000000,-984000000,-2166000000,5966000000,3157000000,3812000000,3347000000,-1112000000,3283000000,3970000000,2914000000,3781000000,4050000000,2211000000,1629000000,-642000000,4484000000,4127000000,6246000000,4641000000,5996000000,96000000,5038000000,2838000000
84,CAPEX,- -,- -,- -,-44800000,-20100000,-48300000,-50800000,-60500000,-29000000,-36000000,-47000000,-43000000,-54000000,-47000000,-45000000,-88000000,-587000000,-106000000,-165000000,-208000000,-129000000,-262000000,-131000000,-72000000,-312000000,-262000000,-318000000,-230000000,-642000000,-652000000,-609000000,-791000000,-601000000,-825000000,-1197000000,-1108000000,-1210000000,-1222000000,-1215000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000000,- -,-286000000,-614000000,-511000000,-1844000000,-137000000,-265000000,-140000000,1431000000,-201000000,-364000000,-2660000000,-64000000,-29000000,65000000,36000000,8000000,-37000000,- -,84000000,- -,- -,-162000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-1068400000,-3935000000,-1642000000,-2344000000,-4527000000,-1416000000,-1661000000,-5126000000,-3573000000,-5516000000,-4156000000,-12876000000,-21155000000,-28061000000,-16717000000,-18513000000,-14583000000,-33010000000,-11647000000,-28787000000,-23764000000,-43431000000,-47265000000,-35533000000,-72852000000,-49845000000,-34257000000,-34604000000,-37400000000,-55183000000,-98081000000,-63160000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2085400000,3798000000,2791000000,1425000000,2677000000,3860000000,1920000000,1773000000,3430000000,2361000000,5399000000,8176000000,19163000000,24054000000,14732000000,17863000000,16965000000,23946000000,17423000000,13260000000,17162000000,28584000000,30238000000,34575000000,51506000000,47688000000,36398000000,29889000000,35689000000,54654000000,67790000000,56923000000
88,Other Investing Activites,- -,- -,- -,-1352600000,-1118000000,1332500000,-2992700000,2137000000,2205000000,2346000000,-1461000000,-3580000000,-4848000000,-192000000,202000000,-4865000000,2089000000,453000000,-1152000000,5695000000,-652000000,-412000000,-6707000000,-8594000000,-13941000000,-61550000000,38866000000,-5504000000,-64625000000,-12331000000,-12307000000,9635000000,-17638000000,49099000000,-26335000000,4926000000,-10019000000,-48164000000,27286000000
89,Cash Used for Investing Activites,- -,- -,- -,-1397400000,-1138100000,1284200000,-3043500000,3154000000,2068000000,3495000000,-2380000000,-5430000000,-2404000000,67000000,-3151000000,-5174000000,-1066000000,1410000000,-6466000000,3192000000,-6503000000,-2534000000,-7622000000,-6352000000,-21574000000,-55975000000,22657000000,-14996000000,-80178000000,-29387000000,-13200000000,-11675000000,-19787000000,51203000000,-31050000000,3299000000,-10548000000,-78455000000,19672000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-85000000,-33000000,-131000000,-655000000,-115000000,-1027000000,-16000000,-48000000,-44000000,-21000000,-53000000,-165000000,-1650000000,-1534000000,-476000000,-215000000,-567000000,-2198000000,-8023000000,-7725000000,-2616000000,-2460000000,-4959000000,-2707000000,-4376000000,-4053000000,-2953000000,-1046000000,-3650000000,-5250000000,-5200000000,-4650000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1371000000,697000000,25000000,25000000,25000000,26000000,26000000,27000000,34000000,40000000,21000000,12000000,13000000
92,Common Stock Repurchased,- -,- -,- -,29100000,117800000,176000000,-59800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3028000000,-41000000,-873000000,-1148000000,-1026000000,-1669000000,-2355000000,-2398000000,-2686000000,-3269000000,-3327000000,-1572000000,-5567000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-164900000,-179300000,-149000000,-146000000,-179000000,-219000000,-272000000,-338000000,-383000000,-403000000,-435000000,-484000000,-526000000,-549000000,-563000000,-608000000,-644000000,-656000000,-884000000,-1129000000,-672000000,-440000000,-593000000,-641000000,-744000000,-833000000,-865000000,-900000000,-1076000000,-1221000000,-1289000000,-1296000000,-1323000000
94,Other Financing Activites,- -,- -,- -,1647600000,-94400000,127500000,2126000000,-4014000000,-3659000000,-965000000,147000000,1645000000,3689000000,728000000,2419000000,2363000000,1770000000,1185000000,1113000000,-2531000000,3946000000,579000000,8913000000,3702000000,24550000000,60905000000,-17919000000,13190000000,82666000000,35011000000,20073000000,14681000000,22432000000,-52826000000,31554000000,2000000,19304000000,83564000000,-10435000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1676700000,23400000,303500000,1901300000,-4278300000,-3841000000,-1242000000,-687000000,1311000000,2390000000,374000000,1988000000,1916000000,1314000000,648000000,422000000,-4730000000,1849000000,-505000000,8054000000,2479000000,21468000000,51753000000,-27973000000,10790000000,78765000000,28288000000,15621000000,7829000000,15185000000,-59050000000,26780000000,-8098000000,9459000000,75508000000,-21962000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,57800000,-20700000,2800000,40700000,-12000000,-33000000,-32000000,60000000,-5000000,-32000000,74000000,-78000000,13000000,-43000000,175000000,-93000000,-63000000,-265000000,309000000,-85000000,-69000000,-438000000,-53000000,40000000,-298000000,22000000,-46000000,-128000000,42000000,-114000000,189000000,-72000000,2000000,61000000,-84000000
97,Net Change In Cash,- -,- -,- -,545000000,-519300000,1416700000,-199500000,- -,- -,- -,- -,- -,- -,- -,-263000000,-1770000000,-723000000,-151000000,97000000,1526000000,-905000000,43000000,-371000000,-675000000,3795000000,-1746000000,-1157000000,-57000000,500000000,552000000,1733000000,510000000,-433000000,-1715000000,560000000,1125000000,-991000000,2152000000,464000000
98,Cash at the End of Period,- -,- -,- -,545000000,-519300000,1416700000,-199500000,- -,- -,- -,- -,- -,- -,- -,5769000000,3999000000,3276000000,3125000000,3222000000,4748000000,3843000000,3886000000,3515000000,2840000000,6635000000,4889000000,3732000000,3675000000,4175000000,4727000000,6460000000,6970000000,6537000000,4822000000,5382000000,8258000000,7267000000,9419000000,9883000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,2685300000,2860000000,1915000000,5506000000,4511000000,2903000000,4711000000,6032000000,5769000000,3999000000,3276000000,3125000000,3222000000,4748000000,3843000000,3886000000,3515000000,2840000000,6635000000,4889000000,3732000000,3675000000,4175000000,4727000000,6460000000,6970000000,6537000000,4822000000,7133000000,8258000000,7267000000,9419000000
100,Free Cash Flow,- -,- -,- -,220900000,517500000,-198600000,889100000,1197800000,811000000,913000000,2057000000,2408000000,1773000000,865000000,781000000,1478000000,-1571000000,-2272000000,5801000000,2949000000,3683000000,3085000000,-1243000000,3211000000,3658000000,2652000000,3463000000,3820000000,1569000000,977000000,-1251000000,3693000000,3526000000,5421000000,3444000000,4888000000,-1114000000,3816000000,1623000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1390777/000119312508041952/d10k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000119312509041050/0001193125-09-041050-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312510042948/0001193125-10-042948-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312511049932/d10k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000119312512085349/0001193125-12-085349-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312513084562/0001193125-13-084562-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000144530514000745/bk201310-k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000162828015001194/bk201410-k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077716000204/0001390777-16-000204-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077717000065/0001390777-17-000065-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000069/0001390777-18-000069-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000050/0001390777-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/0001390777-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077721000037/0001390777-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077722000043/0001390777-22-000043-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
