,https://roic.ai/company/CAT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000095013195000431/0000950131-95-000431-index.html,https://www.sec.gov/Archives/edgar/data/18230/000095013196000892/0000950131-96-000892-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000001823001500017/0000018230-01-500017-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823002000014/form10k_2001.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823003000130/form10k_2002.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823004000161/form10k_2003.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000001823007000053/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823008000052/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823009000063/0000018230-09-000063-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823010000092/0000018230-10-000092-index.html,https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/a10-18643_110k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465912011331/0001104659-12-011331-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823013000075/0000018230-13-000075-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823014000058/cat_10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823015000061/cat_10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000410/0000018230-16-000410-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823017000041/0000018230-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823018000042/0000018230-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823019000034/0000018230-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/0000018230-20-000056-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/0000018230-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/0000018230-22-000050-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,497000000,210000000,-404000000,-2435000000,652000000,955000000,1136000000,1361000000,1665000000,1513000000,946000000,1053000000,805000000,798000000,1099000000,2035000000,2854000000,3537000000,3541000000,3557000000,895000000,2700000000,4928000000,5681000000,3789000000,3695000000,2102000000,-67000000,754000000,6147000000,6093000000,2998000000,6489000000
74,Depreciation and Amortization,- -,- -,- -,- -,471000000,533000000,602000000,654000000,668000000,683000000,682000000,696000000,738000000,865000000,945000000,1022000000,1169000000,1220000000,1347000000,1397000000,1477000000,1602000000,1797000000,1980000000,2336000000,2296000000,2527000000,2813000000,3087000000,3163000000,3046000000,3034000000,2877000000,2766000000,2577000000,2432000000,2352000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307000000,-431000000,1213000000,220000000,28000000,-74000000,-383000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-11000000,-162000000,69000000,-401000000,90000000,511000000,-313000000,172000000,1665000000,79000000,42000000,397000000,-829000000,160000000,886000000,476000000,-948000000,143000000,-609000000,2332000000,1933000000,2293000000,-223000000,3202000000,-1731000000,-48000000,-2875000000,-2280000000,3478000000,1072000000,2187000000,1175000000,-647000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1345000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-137000000,15000000,- -,188000000,154000000,-315000000,-77000000,-111000000,-375000000,-104000000,312000000,-54000000,-211000000,162000000,-286000000,-1391000000,-568000000,-827000000,-745000000,-833000000,2501000000,-2667000000,-2927000000,-1149000000,2658000000,101000000,2274000000,1109000000,-1295000000,-1579000000,274000000,-34000000,-2586000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656000000,-2034000000,2570000000,1555000000,-1868000000,134000000,222000000,-1165000000,-200000000,1478000000,709000000,-1025000000,98000000,2041000000
81,Other Working Capital,- -,- -,- -,- -,1804000000,1642000000,1711000000,1310000000,1400000000,1911000000,1598000000,1770000000,3435000000,3514000000,3556000000,3953000000,3124000000,3284000000,4170000000,4646000000,3698000000,3841000000,3232000000,5564000000,7497000000,9790000000,9567000000,12769000000,11038000000,10990000000,8115000000,5835000000,9313000000,10385000000,12572000000,13747000000,34000000
82,Other Non-Cash Items,- -,- -,- -,- -,-50000000,239000000,374000000,2685000000,-5000000,-392000000,685000000,-447000000,-1972000000,-679000000,637000000,-413000000,842000000,188000000,-1266000000,-7899000000,-270000000,517000000,3206000000,-3082000000,1179000000,-2280000000,-222000000,-6455000000,5046000000,1247000000,4709000000,5352000000,-2620000000,-3647000000,-3973000000,-204000000,-613000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,907000000,820000000,641000000,503000000,1405000000,1757000000,2190000000,1782000000,2096000000,1778000000,2570000000,2059000000,1987000000,2366000000,2066000000,-3991000000,3113000000,5799000000,7935000000,4787000000,6343000000,5009000000,7010000000,5241000000,10191000000,8057000000,6675000000,5608000000,5702000000,6558000000,6912000000,6327000000,7198000000
84,CAPEX,- -,- -,- -,- -,-1089000000,-1039000000,-774000000,-640000000,-632000000,-694000000,-679000000,-771000000,-1106000000,-1269000000,-1280000000,-1388000000,-1968000000,-1773000000,-1765000000,-2114000000,-2415000000,-2675000000,-3040000000,-4011000000,-2316000000,-2586000000,-3924000000,-5076000000,-4446000000,-3379000000,-3261000000,-2928000000,-2336000000,-2916000000,-2669000000,-2115000000,-2472000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-302000000,- -,- -,- -,- -,-290000000,-13000000,-513000000,-229000000,-117000000,-19000000,-1126000000,-7808000000,581000000,170000000,169000000,-222000000,-191000000,41000000,-376000000,-6000000,-86000000,36000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-338000000,-681000000,-485000000,-339000000,-349000000,-217000000,-336000000,-402000000,-402000000,-825000000,-485000000,-391000000,-1048000000,-506000000,-552000000,-638000000,-2256000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290000000,257000000,539000000,282000000,357000000,291000000,228000000,247000000,306000000,449000000,810000000,351000000,694000000,932000000,442000000,529000000,345000000,785000000
88,Other Investing Activites,- -,- -,- -,- -,-259000000,-417000000,-270000000,-283000000,-748000000,-818000000,-1070000000,-1613000000,-1435000000,-3311000000,-1438000000,-1365000000,-959000000,-935000000,-796000000,3265000000,-2217000000,-2059000000,-2636000000,-4631000000,2047000000,531000000,-2121000000,-4949000000,-3339000000,-1941000000,-1288000000,-53000000,519000000,-1132000000,-286000000,31000000,-1649000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1348000000,-1456000000,-1044000000,-923000000,-1380000000,-1512000000,-1749000000,-2384000000,-2541000000,-4580000000,-3020000000,-2753000000,-2927000000,-2708000000,-2561000000,2077000000,-3525000000,-3796000000,-4408000000,-6296000000,1002000000,-1595000000,-11427000000,-6190000000,-5046000000,-3627000000,-3517000000,-1760000000,-994000000,-3212000000,-1928000000,-1485000000,-3084000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3008000000,-11620000000,-10375000000,-10888000000,-14439000000,-12687000000,-12461000000,-10593000000,-11099000000,-10870000000,-9248000000,-8292000000,-6565000000,-8384000000,-7829000000,-8297000000,-8237000000,-9796000000
91,Common Stock Issued,- -,- -,- -,- -,1000000,2000000,- -,1000000,- -,12000000,11000000,10000000,11000000,6000000,11000000,4000000,6000000,10000000,157000000,317000000,482000000,414000000,328000000,135000000,89000000,296000000,123000000,52000000,128000000,239000000,33000000,- -,566000000,313000000,238000000,229000000,135000000
92,Common Stock Repurchased,- -,- -,- -,- -,-9000000,-32000000,- -,- -,- -,-240000000,-427000000,-303000000,-706000000,-567000000,-260000000,-412000000,-43000000,- -,-405000000,-539000000,-1684000000,-3208000000,-2405000000,-1800000000,- -,- -,-8000000,- -,-2000000000,-4238000000,-2025000000,-23000000,- -,-3798000000,-4047000000,-1130000000,-2668000000
93,Dividends Paid,- -,- -,- -,- -,-121000000,-122000000,-121000000,-60000000,-61000000,-91000000,-239000000,-289000000,-338000000,-400000000,-445000000,-462000000,-474000000,-481000000,-491000000,-534000000,-618000000,-726000000,-845000000,-953000000,-1029000000,-1084000000,-1159000000,-1617000000,-1111000000,-1620000000,-1757000000,-1799000000,-1831000000,-1951000000,-2132000000,-2243000000,-2332000000
94,Other Financing Activites,- -,- -,- -,- -,700000000,775000000,518000000,489000000,- -,411000000,447000000,1015000000,1305000000,3825000000,1355000000,1413000000,1529000000,696000000,1252000000,5638000000,14593000000,11302000000,10841000000,20022000000,8412000000,8636000000,15603000000,16213000000,9342000000,11871000000,8171000000,5275000000,5996000000,9615000000,9700000000,7626000000,10473000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,571000000,623000000,397000000,430000000,-61000000,92000000,-208000000,433000000,272000000,2864000000,661000000,543000000,1018000000,225000000,513000000,1874000000,1153000000,-2593000000,-2969000000,2965000000,-5215000000,-4613000000,3966000000,3549000000,-4511000000,-2996000000,-3870000000,-3112000000,-3653000000,-3650000000,-4538000000,-3755000000,-4188000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-56000000,-25000000,- -,5000000,- -,-1000000,-14000000,18000000,-22000000,6000000,-23000000,-63000000,-12000000,26000000,15000000,143000000,-78000000,12000000,34000000,158000000,1000000,-76000000,-84000000,-167000000,-43000000,-174000000,-169000000,-28000000,38000000,-126000000,-44000000,-13000000,-29000000
97,Net Change In Cash,- -,- -,- -,- -,571000000,623000000,397000000,430000000,-61000000,92000000,-208000000,-151000000,272000000,2864000000,188000000,-214000000,66000000,-91000000,33000000,103000000,663000000,-578000000,592000000,1614000000,2131000000,-1275000000,-535000000,2433000000,591000000,1260000000,-881000000,708000000,1093000000,-430000000,402000000,1074000000,-103000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487000000,- -,- -,548000000,334000000,400000000,309000000,342000000,445000000,1108000000,530000000,1122000000,2736000000,4867000000,3592000000,3057000000,5490000000,6081000000,7341000000,6460000000,7168000000,8261000000,7890000000,8292000000,9366000000,9263000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,74000000,148000000,110000000,104000000,119000000,83000000,419000000,638000000,487000000,292000000,360000000,548000000,334000000,400000000,309000000,342000000,445000000,1108000000,530000000,1122000000,2736000000,4867000000,3592000000,3057000000,5490000000,6081000000,7341000000,6460000000,7168000000,8320000000,7890000000,8292000000,9366000000
100,Free Cash Flow,- -,- -,- -,- -,-182000000,-219000000,-133000000,-137000000,773000000,1063000000,1511000000,1011000000,990000000,509000000,1290000000,671000000,19000000,593000000,301000000,-6105000000,698000000,3124000000,4895000000,776000000,4027000000,2423000000,3086000000,165000000,5745000000,4678000000,3414000000,2680000000,3366000000,3642000000,4243000000,4212000000,4726000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000095013195000431/0000950131-95-000431-index.html,https://www.sec.gov/Archives/edgar/data/18230/000095013196000892/0000950131-96-000892-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000001823001500017/0000018230-01-500017-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823002000014/form10k_2001.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823003000130/form10k_2002.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823004000161/form10k_2003.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000001823007000053/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823008000052/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823009000063/0000018230-09-000063-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823010000092/0000018230-10-000092-index.html,https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/a10-18643_110k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465912011331/0001104659-12-011331-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823013000075/0000018230-13-000075-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823014000058/cat_10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823015000061/cat_10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000410/0000018230-16-000410-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823017000041/0000018230-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823018000042/0000018230-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823019000034/0000018230-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/0000018230-20-000056-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/0000018230-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/0000018230-22-000050-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
