,https://roic.ai/company/MLI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-259882000,-14646000,-14776000,-14825000,-14847000,-16393000,-15074000,-15146000,-14891000,-13941000,-16819000,-16903000,-21224000,-196944000,-22705000,-22325000,-22341000,-29137000
94,Other Financing Activites,28200000,-19400000,2100000,-6800000,32000000,-18800000,-16300000,9400000,106000000,-44600000,-42986000,-55911000,-34119000,-3894000,-8795000,-1091000,27766000,-2057000,92000,334000,9098000,8952000,197294000,1298000,7318000,212000,-263000,66971000,202915000,95417000,182808000,583002000
95,Cash Used/Provided by Financing Activities,70700000,-23000000,1800000,-9400000,6900000,-20000000,-15000000,10000000,113300000,-73200000,-88689000,-54182000,-45669000,-3505000,-292340000,-11469000,19599000,-15812000,-166061000,-8154000,-6394000,-6944000,-408648000,-13643000,-10551000,-41258000,-22561000,-244566000,-28269000,-139694000,-92264000,-376722000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,200000,-500000,500000,-951000,-1109000,719000,3505000,532000,-462000,694000,613000,-16332000,4225000,161000,-78000,1499000,981000,-1296000,-4834000,-5686000,2945000,-1952000,511000,2147000,-1052000
97,Net Change In Cash,70700000,-23000000,1800000,-9400000,6900000,-20000000,-15000000,10000000,113300000,68900000,-49186000,21594000,95739000,37487000,-207639000,82236000,70786000,108147000,-29758000,67141000,48138000,120023000,-315228000,112866000,40334000,-77290000,76473000,-231048000,-49425000,20904000,29334000,-37000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,149500000,100268000,121862000,217601000,255088000,47449000,129685000,200471000,308618000,278860000,346001000,394139000,514162000,198934000,311800000,352134000,274844000,351317000,120269000,77138000,98042000,127376000,90376000
99,Cash at the Beginning of Period,35700000,40700000,7500000,44500000,77300000,34500000,48400000,97000000,70000000,80600000,149454000,100268000,121862000,217601000,255088000,47449000,129685000,200471000,308618000,278860000,346001000,394139000,514162000,198934000,311800000,352134000,274844000,351317000,126563000,77138000,98042000,127376000
100,Free Cash Flow,-40200000,-6200000,27700000,39900000,-26200000,14000000,59400000,-21800000,-115100000,124000000,55016000,76685000,102453000,46432000,134781000,90992000,23333000,155974000,163499000,63446000,37679000,134998000,51472000,87164000,51432000,130775000,120280000,-2136000,129411000,169382000,201188000,279868000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943995000002/0000089439-95-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943997000003/0000089439-97-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943909000004/0000089439-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943910000002/0000089439-10-000002-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943911000003/0000089439-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943912000007/0000089439-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943913000008/0000089439-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943914000010/0000089439-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943915000006/0000089439-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943916000038/0000089439-16-000038-index.html,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943918000010/0000089439-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943919000021/0000089439-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943920000016/0000089439-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943921000015/0000089439-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943922000013/0000089439-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
