,https://roic.ai/company/ACGL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,2962461000,5549439000,8202088000,- -,- -,- -,- -,- -,12484079000,12854311000,13751154000,10759757000,16765646000,17379710000,21635028000,23581460000,23690990000,26907193000,2083518000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,6111000,26336000,28867000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14946000,15536000,204022000,198236000,249620000,326551000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,35882000,16666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,94593000,81995000,577531000,454375000,385300000,411532000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,6111000,26336000,28867000,35882000,16666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,109539000,97531000,781553000,652611000,634920000,738083000,692863000,944983000
42,Investments,- -,- -,- -,- -,- -,- -,- -,1862645000,3627772000,5680274000,6856253000,7864819000,7877712000,9731369000,10458139000,10431584000,10817518000,12755993000,13616006000,15377374000,15453605000,18957086000,21363397000,21471151000,24013870000,24135466000,25750261000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,-1862645000,-3627772000,-5680274000,- -,- -,- -,- -,- -,-7144871000,-6530060000,-8690385000,-4809669000,-10243016000,-9753576000,-12001558000,-13545810000,-13578732000,-13773785000,-24135466000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,28867000,35882000,16666000,- -,- -,- -,- -,- -,3286713000,4287458000,4065608000,8806337000,5243897000,5797560000,7737081000,8470198000,8527339000,10978168000,692863000,- -
46,Other Assets,351000000,432486000,581247000,757830000,864359000,298926000,1313701000,- -,- -,- -,11488436000,14312467000,15624267000,14616545000,15375790000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45100945000
