,https://roic.ai/company/ECL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45100000,-39300000,-106000000,-189700000,-147400000,-175400000,-24000000,900000,-91800000,-164100000,-137200000,155600000,-178200000
79,Inventory,- -,- -,- -,- -,-5200000,8000000,-700000,2100000,-11300000,-14300000,-4100000,-6900000,-14400000,-11700000,-8900000,-22585000,-8014000,-3567000,-2902000,-5481000,2553000,-17987000,-19300000,-57500000,13000000,18600000,-36100000,-2000000,-30500000,-210800000,-48600000,18800000,-85500000,-141100000,41000000,-179500000,-73000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25100000,6800000,60900000,79000000,50600000,174700000,-46100000,-55100000,121100000,113500000,22300000,55900000,200400000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47600000,107700000,105000000,103700000,106600000,68534000,101631000,149587000,298398000,339519000,302309000,350827000,199000000,249200000,564000000,545100000,2229700000,1839300000,1209700000,484500000,-316900000,1260000000,1164600000,992100000,1197800000,2185200000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,5800000,4000000,314300000,-10900000,49100000,15400000,-55600000,-1600000,5000000,-75600000,-15800000,10593000,-16826000,-107751000,-169071000,-40836000,63951000,-39332000,227827000,-160400000,-496800000,93000000,-1938900000,112700000,466300000,516400000,1105900000,-1712600000,49000000,-96700000,-370700000,1228900000,-100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,114600000,146200000,122300000,113100000,170000000,169300000,166500000,254300000,235100000,235600000,293500000,315486000,364481000,423326000,529199000,582464000,590136000,627564000,797600000,753200000,695000000,950400000,685500000,1203000000,1559800000,1815600000,1999800000,1939700000,2091300000,2277700000,2420700000,1860200000,2061900000
84,CAPEX,- -,- -,- -,- -,-62000000,-64200000,-52000000,-57200000,-67000000,-88500000,-109900000,-111500000,-121700000,-187800000,-191600000,-150009000,-157937000,-212757000,-212035000,-275871000,-268783000,-320939000,-361500000,-394500000,-297300000,-297700000,-366000000,-607500000,-662300000,-793900000,-815200000,-756800000,-868600000,-847100000,-800600000,-489000000,-643000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90603000,-469804000,-67315000,-40677000,-129822000,-26967000,-63730000,-309600000,-201600000,-13700000,-27400000,-1633200000,87700000,-1446000000,-72200000,-269600000,-48600000,-870400000,-220600000,-384600000,-370800000,-3923700000
86,Purchases of Investments,- -,- -,- -,- -,- -,-15400000,-4900000,-3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-185688000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,26500000,5000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,60625000,125063000,- -,- -,- -,- -,- -,- -,- -,- -,108400000,1300000,2100000,14100000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-5600000,-18900000,-135900000,95700000,-1600000,5400000,-17600000,-53100000,-155000000,26000000,17100000,37895000,3027000,6788000,35632000,12102000,11701000,25622000,7400000,15400000,-240800000,-239000000,-391100000,-575600000,-641700000,-776100000,-754600000,-782200000,-804900000,-823500000,-814500000,-43700000,-656000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-67600000,-98500000,-192800000,35300000,-42100000,-78100000,-123500000,-164600000,-276700000,-161800000,-174500000,-202717000,-624714000,-273284000,-217080000,-393591000,-409112000,-233984000,-663700000,-580700000,-299300000,-303600000,-2024300000,-487900000,-2087700000,-848300000,-915800000,-829500000,-1673200000,-1030000000,-1199100000,-414500000,-4579700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250400000,-74000000,-513300000,-1694900000,-511200000,-907800000,-1034700000,-1569600000,-799000000,-551600000,-400600000,-1647100000,-1047300000
91,Common Stock Issued,- -,- -,- -,- -,110000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45531000,126615000,59989000,61408000,87946000,96700000,36400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-11500000,-104400000,-2400000,-500000,-9300000,-7900000,-90400000,-22800000,-60800000,-53000000,-42400000,-186516000,-32164000,-8894000,-227145000,-165414000,-213266000,-282764000,-371400000,-337200000,-68800000,-348800000,-690000000,-209900000,-307600000,-428600000,-755100000,-739600000,-600300000,-562400000,-353700000,-146200000,-106600000
93,Dividends Paid,- -,- -,- -,- -,-18000000,-24400000,-22000000,-22000000,-24000000,-27900000,-33100000,-36100000,-41500000,-49000000,-54300000,-61644000,-66456000,-69583000,-75413000,-82419000,-89807000,-101174000,-114000000,-128500000,-132700000,-145500000,-162900000,-306800000,-218100000,-344400000,-400700000,-427500000,-448700000,-496500000,-554900000,-560800000,-566400000
94,Other Financing Activites,- -,- -,- -,- -,-23600000,-13900000,151000000,-166600000,-82600000,-5000000,6900000,14400000,137400000,-2900000,-2400000,132925000,356133000,-110798000,-102036000,-17581000,95637000,279631000,-93700000,193700000,54100000,106100000,4300000000,818000000,744300000,609800000,1039600000,1868500000,1325300000,437800000,-40400000,2012300000,3323500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,56900000,-142700000,126600000,-189100000,-115900000,-40800000,-116600000,-44500000,35100000,-104900000,-99100000,-115235000,257513000,-143744000,-277979000,-205425000,-146028000,-16361000,-482400000,-235600000,-397800000,-462200000,2933800000,-1393600000,-292600000,-1071000000,-1150900000,-868200000,-522700000,-1172700000,-1349600000,-341800000,1603200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-400000,600000,300000,-500000,-300000,-800000,200000,-600000,-1600000,-1700000,-600000,-1317000,548000,1114000,2281000,2157000,-1849000,2432000,1900000,-7600000,9000000,-15900000,6300000,-7300000,1900000,-25900000,-49900000,-7400000,-11400000,7600000,20400000,-30100000,14300000
97,Net Change In Cash,- -,- -,- -,- -,56900000,-142700000,126600000,-189100000,-115900000,-40800000,-116600000,-44500000,-8100000,-32700000,19300000,-3783000,-2172000,7412000,36421000,-14395000,33147000,379651000,-346600000,-70700000,6900000,168700000,1601300000,-685800000,-818600000,-129600000,-116800000,234600000,-116000000,82600000,-107600000,1073800000,-900300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61200000,28500000,47700000,43965000,41793000,49205000,85626000,71231000,104378000,484029000,137400000,66700000,73600000,242300000,1843600000,1157800000,339200000,209600000,92800000,327400000,211400000,294000000,186400000,1260200000,359900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,18900000,122300000,21200000,77600000,36500000,48600000,98300000,24700000,69300000,61200000,28400000,47748000,43965000,41793000,49205000,85626000,71231000,104378000,484000000,137400000,66700000,73600000,242300000,1843600000,1157800000,339200000,209600000,92800000,327400000,211400000,294000000,186400000,1260200000
100,Free Cash Flow,- -,- -,- -,- -,52600000,82000000,70300000,55900000,103000000,80800000,56600000,142800000,113400000,47800000,101900000,165477000,206544000,210569000,317164000,306593000,321353000,306625000,436100000,358700000,397700000,652700000,319500000,595500000,897500000,1021700000,1184600000,1182900000,1222700000,1430600000,1620100000,1371200000,1418900000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31462/000110465902000656/j3013_10k405.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465903003796/j8116_10k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465904006565/a04-2967_210k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465905009384/a05-1766_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465906012710/a06-2286_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465907015053/a07-5385_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465908012647/a08-6080_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465909013091/0001104659-09-013091-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465910010302/0001104659-10-010302-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465911010321/a11-2254_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465912014104/0001104659-12-014104-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465913014387/0001104659-13-014387-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465914014489/a13-25814_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465915014788/a14-25700_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000155837016003581/0001558370-16-003581-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837017000944/0001558370-17-000944-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837018000999/0001558370-18-000999-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837019001379/0001558370-19-001379-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837020001788/0001558370-20-001788-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/0001558370-21-001916-index.htm,https://www.sec.gov/Archives/edgar/data/31462/000155837022002059/0001558370-22-002059-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
