,https://roic.ai/company/JKHY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3200000,4900000,5500000,9400000,6800000,9700000,14700000,18700000,24800000,37200000,49824000,72822000,89941000,98861000,112809000,108275000,169438000,174247000,181001000,206588000,218698000,240132000,264550000,309174000,341659000,373790000,365116000,357322000,412142000,431128000,510532000,462129000
84,CAPEX,- -,- -,- -,- -,-900000,- -,- -,- -,-2400000,-5400000,-5000000,-10300000,-7800000,-38800000,-32619000,-57781000,-49509000,-45958000,-49141000,-58046000,-61475000,-54945000,-54841000,-56246000,-80095000,-59039000,-80034000,-97774000,-111667000,-145301000,-164562000,-148186000,-149920000,-170781000,-177510000,-157837000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93280000,- -,-11111000,-6537000,-48288000,- -,-20745000,-39307000,-49324000,-3027000,-426653000,- -,- -,- -,-27894000,- -,25755000,5632000,-137212000,-19981000,-30376000,-2300000
86,Purchases of Investments,- -,- -,- -,- -,-1000000,- -,- -,- -,-8700000,-4200000,-2100000,-5900000,-3200000,-6700000,-946000,-982000,-2987000,-3988000,-3991000,-4976000,-4519000,-3603000,-1975000,-2996000,-3999000,-3999000,-2000000,- -,- -,- -,- -,- -,-5000000,- -,-1150000,-13300000
87,Sales/Maturities of Investments,- -,- -,- -,- -,1000000,- -,- -,- -,3700000,9200000,4500000,3000000,5800000,3100000,10307000,1000000,3000000,4000000,4633000,5000000,5037000,4810000,2000000,3000000,4000000,4000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,5000000
88,Other Investing Activites,- -,- -,- -,- -,100000,-3500000,-4300000,-4800000,- -,-5500000,-7200000,-500000,-1000000,-14100000,-881000,-1072000,-1621000,-5989000,-3250000,-127040000,4512000,134000,1992000,-56204000,-79063000,-32085000,-77262000,-97244000,-103886000,-136984000,-161718000,-147218000,-149614000,-170654000,-166380000,-151650000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-800000,-3500000,-4300000,-4800000,-7400000,-5900000,-9800000,-13700000,-6200000,-56500000,-117419000,-58835000,-62228000,-58472000,-100037000,-185062000,-77190000,-92911000,-102148000,-59227000,-505715000,-59038000,-76262000,-97244000,-131780000,-136984000,-135963000,-141586000,-291826000,-190635000,-197906000,-162250000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90181000,-145487000,-229854000,-35280000,-145180000,-47158000,-50783000,-152500000,-30200000,-175000000,-35000000,-55033000,-100114000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,600000,200000,1400000,7100000,1500000,3600000,6887000,79648000,14458000,4315000,22380000,15045000,20622000,29212000,20394000,4609000,1953000,2457000,3322000,3700000,4284000,4881000,5711000,6245000,7523000,9040000,9833000,10931000
92,Common Stock Repurchased,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,-1600000,-5400000,- -,- -,- -,- -,-31054000,-18165000,- -,-9952000,-41819000,-98413000,-100996000,-58405000,- -,- -,-34371000,-58126000,-175699000,-122691000,-175662000,-130140000,-48986000,-54864000,-71549000,-431529000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,-2500000,-3000000,-3600000,-4500000,-5700000,-7287000,-9604000,-11626000,-12290000,-13408000,-15456000,-18383000,-21685000,-24683000,-26903000,-30461000,-34391000,-38128000,-48202000,-71251000,-76410000,-84118000,-91707000,-105021000,-118745000,-127421000,-133800000
94,Other Financing Activites,- -,- -,- -,- -,-800000,-1800000,-700000,-1300000,-800000,- -,- -,-100000,-200000,- -,69805000,-70628000,-315000,- -,- -,45000000,9863000,24028000,3380000,76205000,468279000,18301000,10357000,6470000,22417000,86133000,99413000,74521000,117843000,21264000,51261000,192280000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1000000,-1800000,-700000,-1300000,-2300000,-2300000,-3200000,-2000000,-3200000,-2100000,69405000,-584000,-28537000,-26140000,8972000,34637000,-29717000,-66858000,-101905000,-94675000,294284000,-243487000,-94100000,-241338000,-267407000,-158870000,-307156000,-171281000,-203641000,-178305000,-192909000,-462232000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-1000000,-1800000,-700000,-1300000,-2300000,- -,- -,- -,- -,-21500000,1810000,13403000,-824000,14249000,21744000,-42150000,62531000,14478000,-23052000,52686000,7267000,-62393000,94188000,-29408000,-57528000,77936000,-78003000,44455000,-83325000,62188000,119717000,-162353000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,5186000,18589000,17765000,32014000,53758000,11608000,74139000,88617000,65565000,118251000,125518000,63125000,157313000,127905000,70377000,148313000,70310000,114765000,31440000,93628000,213345000,50992000
99,Cash at the Beginning of Period,- -,- -,- -,- -,200000,1600000,1100000,1500000,4800000,1900000,3400000,5000000,7900000,24700000,3376000,5186000,18589000,17765000,32014000,53758000,11608000,74139000,88617000,65565000,118251000,125518000,63125000,157313000,127905000,70377000,148313000,70310000,114765000,31440000,93628000,213345000
100,Free Cash Flow,- -,- -,- -,- -,2300000,4900000,5500000,9400000,4400000,4300000,9700000,8400000,17000000,-1600000,17205000,15041000,40432000,52903000,63668000,50229000,107963000,119302000,126160000,150342000,138603000,181093000,184516000,211400000,229992000,228489000,200554000,209136000,262222000,260347000,333022000,304292000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779152/000077915295000009/0000779152-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915296000009/0000779152-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915297000012/0000779152-97-000012-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915298000007/0000779152-98-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/779152/000077915200000020/0000779152-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623601500169/0000926236-01-500169-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623602000174/0000926236-02-000174-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779152/000092623607000089/0000926236-07-000089-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623608000050/0000926236-08-000050-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623609000039/0000926236-09-000039-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623610000031/0000926236-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623611000072/0000926236-11-000072-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915212000051/0000779152-12-000051-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915213000028/0000779152-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915214000036/0000779152-14-000036-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915215000056/0000779152-15-000056-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915216000142/jkhy-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915217000040/0000779152-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915218000060/0000779152-18-000060-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915219000048/jkhy-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915220000064/0000779152-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915221000073/0000779152-21-000073-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
