,https://roic.ai/company/LNN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,-26700000,-28200000,-27900000,-21100000,-23500000,-12800000,-19900000,-30900000,-17100000,-2800000,-18414000,-10049000,-15984000,-22910000,-14799000,-1841000,- -,-90700000,-13860000,- -,- -,-1119000,- -,-2904000,-2040000,-1202000,-2924000,-3466000,-3089000,-327000,-28041000,-19356000
87,Sales/Maturities of Investments,- -,- -,- -,8200000,16700000,12600000,18400000,13800000,16900000,20300000,24900000,12900000,19000000,21222000,22890000,7555000,14232000,15132000,19100000,13523000,79150000,41490000,859000,518000,- -,2925000,1944000,1245000,7473000,3381000,2117000,2278000,2262000,10051000,18825000
88,Other Investing Activites,- -,- -,- -,- -,100000,300000,100000,100000,100000,100000,100000,200000,200000,134000,58000,206000,63000,43000,55000,267000,165000,1217000,21000,2015000,80000,116000,22000,34000,-1091000,1141000,233000,82000,57000,3955000,-577000
89,Cash Used for Investing Activites,- -,- -,- -,-19700000,-13100000,-16700000,-3500000,-10900000,1400000,-3500000,-9200000,-9100000,12400000,-1067000,7985000,-15253000,-10533000,-5686000,13192000,-24230000,-42737000,-6274000,-12696000,-9687000,-15624000,-6849000,-41081000,-18476000,-79585000,-9898000,-9979000,18105000,-21219000,-38514000,-27619000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7804000,-12769000,-4286000,-4286000,-4285000,- -,-112000,-193000,-197000,-201000,-205000,-227000,-195000
91,Common Stock Issued,- -,- -,- -,400000,- -,500000,600000,600000,600000,1000000,1000000,1000000,800000,473000,- -,186000,39000,492000,621000,485000,3350000,6530000,1419000,549000,- -,567000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-700000,-200000,-200000,-300000,- -,-11600000,-8500000,-9900000,-19400000,-20500000,-16800000,-1916000,- -,- -,- -,-6649000,- -,- -,- -,- -,- -,2736000,-577000,-2441000,-43086000,-98589000,-49047000,-635000,-833000,-1124000,-1111000,-1269000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1300000,-1700000,-1800000,-1700000,-1636000,-1631000,-1819000,-2410000,-2603000,-2825000,-3090000,-3419000,-3754000,-4051000,-4342000,-4894000,-6105000,-11726000,-12772000,-12244000,-12490000,-13006000,-13375000,-13645000,-14166000
94,Other Financing Activites,- -,- -,- -,- -,100000,- -,- -,- -,-100000,- -,- -,-200000,-100000,-95000,- -,- -,- -,- -,- -,30000000,9233000,2124000,344000,76000,2487000,387000,4836000,1217000,115385000,166000,3020000,2788000,62000,1545000,3965000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-300000,-100000,300000,300000,600000,-11100000,-8500000,-10200000,-20300000,-21600000,-18122000,-3552000,-1445000,-1780000,-1918000,-8631000,27660000,9493000,5235000,-9795000,-16195000,-3405000,-8803000,-7995000,-53595000,3912000,-61318000,-10302000,-11252000,-14642000,-13438000,-11665000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000,-51000,4000,252000,-46000,798000,264000,165000,-462000,723000,-1510000,54000,188000,-5758000,297000,1206000,-1620000,-1519000,117000,1020000
97,Net Change In Cash,- -,- -,- -,-300000,-100000,300000,300000,600000,-11100000,-8500000,-10200000,-20300000,10400000,-11127000,14470000,-5150000,2943000,-6395000,16591000,17780000,-22322000,29738000,35169000,-2511000,24749000,35277000,8483000,19915000,-32749000,-37847000,20374000,39167000,-33583000,-5801000,5704000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,3105000,17575000,12425000,15368000,8973000,25564000,43344000,21022000,50760000,85929000,83418000,108167000,143444000,151927000,171842000,139093000,101246000,121620000,160787000,127204000,121403000,127107000
99,Cash at the Beginning of Period,- -,- -,- -,12800000,1900000,4200000,2400000,2000000,1700000,4500000,2400000,4200000,3800000,14232000,3105000,17575000,12425000,15368000,8973000,25564000,43344000,21022000,50760000,85929000,83418000,108167000,143444000,151927000,171842000,139093000,101246000,121620000,160787000,127204000,121403000
100,Free Cash Flow,- -,- -,- -,7900000,13900000,12900000,1900000,8700000,9700000,5800000,18000000,23900000,15600000,4598000,7108000,9346000,13389000,-3832000,7656000,10804000,-4523000,16420000,46995000,18049000,34650000,42549000,46369000,74083000,33438000,21576000,30586000,22880000,-19414000,24589000,17457000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836157/000095013701504906/0000950137-01-504906-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836157/000095013706012293/0000950137-06-012293-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095013407023649/0000950134-07-023649-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095013708013285/0000950137-08-013285-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012309060738/0000950123-09-060738-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012310103822/0000950123-10-103822-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012311092356/0000950123-11-092356-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312512437101/0001193125-12-437101-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312513403973/0001193125-13-403973-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312514372388/0001193125-14-372388-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312515348274/0001193125-15-348274-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312516740910/0001193125-16-740910-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000083615717000035/0000836157-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459018024810/0001564590-18-024810-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012319009834/0000950123-19-009834-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459020047271/0001564590-20-047271-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459021051450/0001564590-21-051450-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
