,https://roic.ai/company/KLAC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,7000000,- -,- -,- -,212900000,15100000,96400000,210800000,70500000,-15700000,466927000,-144066000,18937000,223529000,124546000,990910000,269979000,-361198000,-94132000,-250798000,229044000,730314000,507144000,188835000,201248000,-788406000,-37204000,233295000,232013000,-784328000,477170000,569262000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277331000,-220857000,-128219000,-113922000,159245000,32591000,-118520000,-8292000,39898000,-76497000,-146151000,-118362000,-203155000
79,Inventory,- -,- -,- -,- -,-2400000,-7100000,100000,6000000,-10800000,-23100000,-52600000,21300000,-62300000,30800000,-95780000,-101750000,71430000,64215000,-78616000,-18778000,-87676000,9015000,100168000,120249000,-27715000,-170141000,-93145000,14787000,-26173000,27500000,-67579000,-46433000,-182883000,-59561000,-74817000,-270100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44381000,34259000,-3732000,-22812000,-12333000,848000,3109000,40100000,21778000,-21627000,61144000,79366000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,212900000,228000000,324400000,535200000,605700000,590000000,1056927000,912861000,931798000,1155327000,1279873000,2270783000,2540762000,2179564000,2085432000,1834634000,2063678000,2793992000,3301136000,3489971000,3691219000,2902813000,2865609000,3098904000,3330917000,2546589000,3023759000,3593021000
82,Other Non-Cash Items,- -,- -,- -,- -,1300000,2200000,-1400000,14200000,-240400000,-52400000,-156700000,-113000000,-147000000,78500000,-471024000,486591000,-56683000,-175282000,-76918000,-979119000,-270314000,348440000,260204000,668770000,-147009000,-847802000,-685922000,19054000,-166305000,916561000,-39308000,-192492000,-29386000,461436000,-281425000,-863254000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,27900000,-1800000,-4400000,30300000,11300000,22300000,64700000,236300000,50300000,122300000,252517000,407918000,284047000,246257000,349677000,506735000,315169000,610686000,668175000,195684000,447800000,823166000,941617000,913188000,778886000,605906000,759696000,1079665000,1229120000,1152632000,1778850000,2185026000
84,CAPEX,- -,- -,- -,- -,-11300000,-33600000,-5100000,-3200000,-5800000,-19000000,-39100000,-56800000,-83200000,-70800000,-98619000,-162195000,-68658000,-133766000,-55528000,-59675000,-73810000,-83782000,-57323000,-22226000,-30202000,-51151000,-57596000,-74573000,-67502000,-45791000,-31741000,-38594000,-66961000,-130498000,-152675000,-231628000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20818000,-4035000,- -,- -,-44628000,-7664000,-521693000,-494036000,-141399000,-1500000,- -,- -,- -,-18000000,- -,- -,-28560000,-17403000,-1818283000,-90143000,16833000
86,Purchases of Investments,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,-329700000,-456300000,-997300000,-915200000,-598200000,-667887000,-913096000,-2141323000,-1288151000,-1736822000,-2579371000,-4625243000,-3299976000,-1129522000,-1076145000,-1157707000,-1205496000,-1578330000,-1628943000,-1899621000,-1792359000,-1244098000,-1727938000,-547629000,-163185000,-908734000,-1126611000
87,Sales/Maturities of Investments,- -,- -,- -,- -,3000000,9800000,- -,- -,- -,178300000,455600000,870400000,825600000,631200000,670052000,801001000,1837817000,1320206000,1518474000,2525606000,4931787000,3506183000,1664593000,634723000,955567000,878952000,1104807000,1460231000,1305178000,2756371000,1413450000,1231259000,923597000,930984000,892678000,839147000
88,Other Investing Activites,- -,- -,- -,- -,-2200000,-2100000,-1300000,-400000,- -,-14200000,- -,- -,100000,- -,- -,- -,- -,3197000,- -,- -,- -,- -,68787000,97921000,-24324000,-32966000,-55368000,-72735000,-63666000,-45791000,-24665000,-35647000,-66947000,-130498000,-152675000,-229773000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-11600000,-25900000,-6400000,-3600000,-5800000,-184600000,-39800000,-183700000,-172700000,-37800000,-96454000,-295108000,-376199000,-98514000,-273876000,-158068000,225070000,-399268000,52499000,-484900000,-227964000,-359510000,-528891000,-241447000,-676109000,918221000,144687000,-560886000,291618000,-1180982000,-258874000,-500404000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-916117000,-135000000,-130000000,-946250000,-902474000,-1171033000,-70000000
91,Common Stock Issued,- -,- -,- -,- -,1000000,2300000,2900000,5700000,82700000,115700000,14900000,31900000,58400000,41300000,106999000,95426000,115136000,92499000,168812000,133602000,212653000,263245000,155635000,40108000,35867000,124573000,163569000,126121000,112221000,47008000,38298000,45359000,61444000,64828000,75634000,86098000
92,Common Stock Repurchased,- -,- -,- -,- -,-3500000,-600000,- -,- -,- -,- -,- -,- -,-16000000,-48800000,-27978000,-153632000,-123220000,-65912000,-55806000,-203658000,-221417000,-808461000,-1111170000,-226515000,-136275000,-234844000,-263864000,-273254000,-240843000,-602888000,-181711000,-25002000,-203169000,-1095202000,-829084000,-938607000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23644000,-95348000,-95057000,-108521000,-102149000,-102409000,-167398000,-233561000,-265893000,-298871000,-3041055000,-346283000,-343993000,-402065000,-472263000,-522421000,-559353000
94,Other Financing Activites,- -,- -,- -,- -,- -,25100000,100000,-2900000,-1800000,-1500000,-21300000,-6800000,-2600000,-8700000,-18316000,- -,-448000,- -,- -,12631000,19153000,7046000,745118000,-10561000,-13514000,-22486000,-30247000,-15484000,-31394000,3210080000,-12006000,-19169000,219937000,2045106000,1147269000,-16019000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2500000,26800000,3000000,2800000,80900000,114200000,-6400000,25100000,39800000,-16200000,60705000,-58206000,-8532000,26587000,113006000,-81069000,-84959000,-633227000,-318938000,-299117000,-216331000,-300155000,-364103000,-428510000,-458887000,-1302972000,-636702000,-472805000,-1270103000,-360005000,-1299635000,-1497881000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,400000,-100000,300000,-900000,400000,1100000,-1100000,-300000,19400000,-12900000,-10044000,-3142000,830000,2753000,6968000,8213000,10748000,15129000,3859000,-14806000,1446000,17910000,-8658000,-9135000,1581000,-13991000,2782000,-1411000,696000,-33000,-1926000,13460000
97,Net Change In Cash,- -,- -,- -,- -,-2500000,26800000,3000000,2800000,- -,- -,- -,77500000,-63200000,55500000,206724000,51462000,-99854000,177083000,195775000,275811000,466028000,-406680000,405595000,-603139000,4951000,181411000,39965000,234096000,-354529000,207164000,270463000,44563000,251331000,-388388000,218415000,200201000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279200000,216000000,271500000,478212000,529674000,429820000,606903000,802678000,874509000,1129191000,722511000,1128106000,524967000,529918000,711329000,751294000,985390000,630861000,838025000,1108488000,1153051000,1404382000,1015994000,1234409000,1434610000
99,Cash at the Beginning of Period,- -,- -,- -,- -,18200000,32300000,31300000,23700000,52400000,139100000,92100000,201700000,279200000,216000000,271488000,478212000,529674000,429820000,606903000,598698000,663163000,1129191000,722511000,1128106000,524967000,529918000,711329000,751294000,985390000,630861000,838025000,1108488000,1153051000,1404382000,1015994000,1234409000
100,Free Cash Flow,- -,- -,- -,- -,16600000,-35400000,-9500000,27100000,5500000,3300000,25600000,179500000,-32900000,51500000,153898000,245723000,215389000,112491000,294149000,447060000,241359000,526904000,610852000,173458000,417598000,772015000,884021000,838615000,711384000,560115000,727955000,1041071000,1162159000,1022134000,1626175000,1953398000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319201/000089161894000204/0000891618-94-000204-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161895000564/0000891618-95-000564-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161896002153/0000891618-96-002153-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161897003921/0000891618-97-003921-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161898004336/0000891618-98-004336-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161899004364/0000891618-99-004364-index.html,https://www.sec.gov/Archives/edgar/data/319201/000109581100003641/0001095811-00-003641-index.html,https://www.sec.gov/Archives/edgar/data/319201/000109581101505048/0001095811-01-505048-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920102000008/0000319201-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920103000112/fy2003kla10k.htm,https://www.sec.gov/Archives/edgar/data/319201/000120677404001081/kl71293.htm,https://www.sec.gov/Archives/edgar/data/319201/000120677405001516/kt71640.htm,https://www.sec.gov/Archives/edgar/data/319201/000119312507014655/d10k.htm,https://www.sec.gov/Archives/edgar/data/319201/000119312507185381/0001193125-07-185381-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312508169062/0001193125-08-169062-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312509167528/0001193125-09-167528-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312510179757/0001193125-10-179757-index.html,https://www.sec.gov/Archives/edgar/data/319201/000144530511002394/0001445305-11-002394-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920112000008/0000319201-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920113000033/0000319201-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920114000038/0000319201-14-000038-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920115000053/0000319201-15-000053-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920116000090/0000319201-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920117000034/0000319201-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920118000045/0000319201-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920119000031/klac10k2019.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920120000047/0000319201-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920121000029/0000319201-21-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
