,https://roic.ai/company/IPG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,-7700000,-10800000,400000,8200000,-500000,-16600000,-18500000,4100000,12700000,-12900000,10700000,-31546000,-191200000,55000000,71500000,128200000,44600000,-57900000,-22400000,51900000,89200000,56000000,83900000,103600000,69400000,83500000,49500000,45700000,1100000,14100000,9700000,-46400000,-8200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-21600000,- -,- -,- -,- -,80100000,67600000,6800000,119600000,-155600000,12400000,-210927000,1727000,-689200000,1492700000,-651700000,567400000,-95100000,19400000,45400000,121500000,-19500000,-458400000,782400000,-1117900000,428200000,-238100000,-376800000,53900000,273100000,-708700000,436800000,644100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179500000,-547600000,-219200000,-44700000,-157100000,-20100000,-236100000,-220700000,37600000,-603800000,-111200000,551400000,-1218600000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-173000000,646300000,-62900000,-120400000,417700000,-177100000,400900000,-126100000,311900000,428700000,546000000,-27000000,1858100000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,80100000,147700000,154500000,274100000,118500000,130900000,-80027000,-78300000,-767500000,725200000,73500000,640900000,545800000,565200000,610600000,732100000,712600000,254200000,1036600000,-81300000,346900000,108800000,-268000000,-214100000,59000000,-649700000,-212900000,-58400000
82,Other Non-Cash Items,- -,- -,- -,- -,-5800000,70300000,-65500000,53400000,8300000,52800000,-105700000,-70600000,-225100000,184200000,1400000,-115547000,421173000,1108000000,-888400000,1278000000,-589500000,-66800000,-154200000,299700000,38900000,371300000,-35200000,-1123200000,1216100000,-482300000,251000000,75800000,90700000,-543900000,1293700000,815100000,203100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,76000000,188400000,93200000,188500000,202600000,285300000,164400000,249000000,277100000,504700000,562300000,300179000,148500000,873800000,502000000,455500000,-20200000,9000000,298100000,865300000,540800000,817300000,273500000,357200000,592900000,669500000,674000000,513400000,881800000,565100000,1529200000,1847200000,2075600000
84,CAPEX,- -,- -,- -,- -,-45600000,-37200000,-46600000,-36900000,-78800000,-55900000,-69600000,-79100000,-177000000,-258500000,-400100000,-201871000,-268000000,-183200000,-159600000,-194000000,-140700000,-127800000,-147600000,-138400000,-67100000,-96300000,-140300000,-169200000,-173000000,-148700000,-161100000,-200700000,-155900000,-177100000,-198500000,-167500000,-195300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-576615000,-310600000,-281400000,-224600000,-175400000,-91700000,-30700000,-81800000,-78100000,-61300000,-8300000,-63100000,-145500000,-61500000,-53600000,-40700000,-52000000,-30600000,-2309800000,-600000,-4900000,-16300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-1600000,- -,- -,-8500000,- -,- -,- -,-9100000,-3191000,-109100000,-70300000,-115500000,-1407000000,-423900000,-875500000,-745800000,-195500000,-11600000,-4700000,-700000,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,11500000,1900000,400000,- -,2800000,5200000,- -,1000000,200000,3900000,- -,- -,122100000,101800000,180700000,1191400000,760900000,1045600000,702700000,5600000,168200000,- -,133500000,94800000,- -,- -,100000,- -,- -,- -,- -,- -,34800000
88,Other Investing Activites,- -,- -,- -,- -,-31200000,-74700000,-9500000,-17700000,-84500000,-20900000,-76500000,5300000,105000000,10900000,57900000,-162926000,-130900000,-44000000,403500000,40400000,61800000,- -,4700000,2100000,-65900000,-95500000,-128500000,-159500000,-163000000,-146600000,-162200000,-211900000,-165600000,-181700000,-161100000,-211300000,-203800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-65300000,-110000000,-55700000,-56200000,-160500000,-71600000,-154600000,-72800000,-71800000,-243700000,-351300000,-944603000,-696500000,-477100000,84500000,-544600000,166400000,11600000,-267800000,-404300000,29400000,-108500000,-58800000,-210200000,-224500000,-200800000,-202800000,-263900000,-196200000,-2491500000,-161700000,-216200000,-185300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-778700000,-217300000,-38900000,-401500000,-602400000,-351200000,-2000000,-1800000,-324600000,-104800000,-403300000,-503700000,-1570900000
91,Common Stock Issued,- -,- -,- -,- -,5000000,4500000,6900000,10400000,19400000,13000000,31200000,19600000,36900000,41100000,62900000,45267000,85600000,58600000,734300000,25600000,511200000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-36300000,-31700000,-17100000,-51900000,-37200000,-44500000,-69700000,-86900000,-144100000,-164900000,-300500000,-236756000,-118000000,-7900000,-28600000,- -,- -,- -,- -,-11300000,- -,-265900000,-400800000,-350500000,-481800000,-275100000,-285200000,-303300000,-300100000,-117100000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-21400000,-24400000,-29300000,-32500000,-35900000,-40400000,-46100000,-51800000,-61200000,-79700000,-90400000,-123510000,-144400000,-145600000,-26400000,-43400000,-42600000,-47000000,-27600000,-27600000,-49800000,-41100000,-145700000,-115000000,-137600000,-159000000,-195500000,-238400000,-280300000,-322100000,-363100000,-398100000,-427700000
94,Other Financing Activites,- -,- -,- -,- -,500000,67400000,70300000,-25000000,62400000,-35500000,70700000,-1300000,253600000,1600000,380200000,680182000,852300000,-364400000,-211600000,-232400000,-58500000,-83600000,-9700000,-236900000,561500000,-23400000,44400000,998300000,9500000,441400000,9900000,-122900000,-99900000,2397200000,-76600000,555600000,914400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-52200000,15800000,30800000,-99000000,8700000,-107400000,-13900000,-120400000,85200000,-201900000,52200000,365183000,675500000,-459300000,467700000,-250200000,410100000,-129700000,-37300000,-275800000,-267000000,-547700000,-541000000,131300000,-1212300000,-343900000,-472800000,-666400000,-1004900000,1853200000,-843000000,-346200000,-1084200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-9200000,-3800000,-8100000,-17200000,-14300000,15200000,8900000,-5800000,-43800000,11600000,-42200000,-41523000,-36900000,60400000,18500000,17800000,-30800000,-11100000,66200000,-92900000,84800000,19400000,-46700000,-6200000,-94100000,-101000000,-156100000,11600000,16800000,-47300000,-6000000,31000000,-45400000
97,Net Change In Cash,- -,- -,- -,- -,-52200000,15800000,30800000,-99000000,8700000,- -,- -,- -,- -,- -,220900000,-320764000,90600000,-2200000,1072700000,-321500000,525500000,-120200000,59200000,92300000,388000000,180500000,-373000000,272100000,-938000000,23800000,-157700000,-405300000,-302500000,-120500000,518500000,1315800000,760700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,981400000,708312000,935200000,933000000,2005700000,1550400000,2075900000,1955700000,2014900000,2107200000,2495200000,2675700000,2302700000,2574800000,1636800000,1660600000,1502900000,1097600000,797700000,677200000,1195700000,2511500000,3272200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,139700000,89100000,179400000,239700000,255800000,292300000,413700000,418400000,468500000,738100000,760500000,1029076000,844600000,935200000,933000000,1871900000,1550400000,2075900000,1955700000,2014900000,2107200000,2495200000,2675700000,2302700000,2574800000,1636800000,1660600000,1502900000,1100200000,797700000,677200000,1195700000,2511500000
100,Free Cash Flow,- -,- -,- -,- -,30400000,151200000,46600000,151600000,123800000,229400000,94800000,169900000,100100000,246200000,162200000,98308000,-119500000,690600000,342400000,261500000,-160900000,-118800000,150500000,726900000,473700000,721000000,133200000,188000000,419900000,520800000,512900000,312700000,725900000,388000000,1330700000,1679700000,1880300000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51644/000005164495000029/0000051644-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164496000012/0000051644-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164497000022/0000051644-97-000022-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51644/000005164401000011/0000051644-01-000011-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164402000010/0000051644-02-000010-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164403000014/0000051644-03-000014-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164404000004/0000051644-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012305011689/0000950123-05-011689-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012306003501/0000950123-06-003501-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012307002858/0000950123-07-002858-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012308002315/0000950123-08-002315-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312509040141/0001193125-09-040141-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312510041804/0001193125-10-041804-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312511046438/0001193125-11-046438-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164412000005/0000051644-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164413000003/0000051644-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164414000011/0000051644-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164415000011/0000051644-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164416000056/0000051644-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164417000007/0000051644-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164418000019/0000051644-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164419000009/0000051644-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164420000013/0000051644-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164421000012/0000051644-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164422000010/0000051644-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
