,https://roic.ai/company/CRUS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,14600000,21300000,17500000,28400000,49200000,65100000,7700000,2600000,192200000,-15600000,-179390000,1081000,-28998000,-18167000,69584000,-17103000,59816000,35625000,31350000,23067000,25136000,86940000,83195000,160824000,228038000,163513000,155282000,369751000,318711000,206694000,295815000,348945000
84,CAPEX,- -,- -,-7300000,-10900000,-5500000,-26700000,-34900000,-47300000,-127800000,-30700000,-27600000,-12700000,-8412000,-18461000,-8589000,-15407000,-2314000,-3621000,-2198000,-5263000,-7449000,-5187000,-5839000,-21587000,-42552000,-55911000,-17354000,-36698000,-46088000,-51296000,-84503000,-35758000,-21576000,-20475000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16110000,6490000,- -,- -,- -,-10713000,-42753000,-550000,-550000,- -,- -,- -,-20402000,-444138000,-36759000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-21600000,-62900000,-40100000,-200500000,-211400000,-352600000,-185500000,-182600000,-370800000,-215400000,- -,- -,- -,- -,-32911000,-109377000,-187605000,-218186000,-197119000,-107137000,-148029000,-255426000,-127852000,-178847000,-321519000,-145412000,-22570000,-231432000,-238434000,-98864000,-249463000,-225528000
87,Sales/Maturities of Investments,- -,- -,17000000,36300000,55100000,194700000,200300000,321600000,285200000,13600000,433600000,266200000,167572000,89354000,10967000,1400000,12047000,50630000,159777000,161524000,250549000,149355000,111857000,202822000,187068000,127336000,139037000,301847000,125660000,212863000,138221000,70840000,170818000,168328000
88,Other Investing Activites,- -,- -,-1100000,-2100000,-16100000,2900000,7000000,-83300000,-76800000,-21300000,-19200000,-69800000,25387000,43551000,-10930000,-4909000,-1803000,-2698000,1396000,1114000,-360000,-2127000,-2185000,-1585000,-4831000,19613000,-2407000,-4423000,-10755000,-9447000,-29323000,4977000,-5920000,-2222000
89,Cash Used for Investing Activites,- -,- -,-13000000,-39600000,-6600000,-29600000,-39000000,-161600000,-104900000,-221000000,16000000,-31700000,184547000,114444000,-24662000,-12426000,-24981000,-65066000,-28630000,-71524000,2868000,36481000,-42561000,-74249000,18437000,-84800000,-220349000,-324437000,14007000,-69865000,-184716000,-54662000,-100221000,-77675000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46000000,-20000000,-101138000,-60000000,- -,- -,- -
91,Common Stock Issued,- -,- -,25000000,1600000,5100000,10200000,146400000,8900000,28300000,19700000,15200000,11400000,16616000,27853000,14673000,1633000,2326000,3511000,6254000,7184000,5555000,2584000,2030000,31005000,4108000,12008000,5320000,5327000,6617000,16518000,4417000,1616000,18635000,7128000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100100000,- -,- -,-68661000,- -,- -,- -,- -,- -,-71119000,-87242000,- -,-22766000,-76782000,-87733000,-56006000,-15158000,-67364000,-29528000,-193582000,-173080000,-138282000,-128353000
93,Dividends Paid,- -,- -,- -,- -,-4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1000000,7500000,-5500000,400000,-3400000,700000,158100000,194300000,-27500000,-26800000,-22196000,-34276000,-4959000,-605000,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000,8445000,261306000,3850000,-3365000,-392000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,26000000,9100000,-4800000,10600000,143000000,9600000,186400000,214000000,-12300000,-115500000,-5580000,-6423000,-58947000,1028000,2326000,3511000,6254000,7184000,-65564000,-84658000,2030000,8239000,-72674000,-75619000,-42241000,205475000,-76897000,-117513000,-249557000,-171464000,-119647000,-121225000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,26000000,9100000,-4800000,10600000,143000000,-86900000,186400000,214000000,-12300000,-115500000,-423000,109102000,-112607000,-29565000,46929000,-78658000,37440000,-28715000,-31346000,-25110000,-15395000,20930000,28958000,405000,-34552000,44551000,92392000,182373000,-115562000,-19432000,75947000,150045000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,106900000,- -,- -,- -,- -,144034000,253136000,140529000,110964000,157893000,79235000,116675000,87960000,56614000,31504000,16109000,37039000,65997000,66402000,31850000,76401000,168793000,351166000,235604000,216172000,292119000,442164000
99,Cash at the Beginning of Period,- -,- -,5400000,33000000,26000000,25200000,34600000,193800000,66700000,156000000,151500000,307200000,144457000,144034000,253136000,140529000,110964000,157893000,79235000,116675000,87960000,56614000,31504000,16109000,37039000,65997000,66402000,31850000,76401000,168793000,351166000,235604000,216172000,292119000
100,Free Cash Flow,- -,- -,7300000,10400000,12000000,1700000,14300000,17800000,-120100000,-28100000,164600000,-28300000,-187802000,-17380000,-37587000,-33574000,67270000,-20724000,57618000,30362000,23901000,17880000,19297000,65353000,40643000,104913000,210684000,126815000,109194000,318455000,234208000,170936000,274239000,328470000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/772406/000077240695000083/0000772406-95-000083-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240696000074/0000772406-96-000074-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240697000077/0000772406-97-000077-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/772406/000110601300000133/0001106013-00-000133-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013401503479/0000950134-01-503479-index.html,https://www.sec.gov/Archives/edgar/data/772406/000093066102002102/0000930661-02-002102-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013403009150/0000950134-03-009150-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013404008572/h15766e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013405011031/d25899e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013406010647/d36521e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013407012853/0000950134-07-012853-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013408010461/0000950134-08-010461-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012309009845/0000950123-09-009845-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012310054820/0000950123-10-054820-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012311053974/0000950123-11-053974-index.html,https://www.sec.gov/Archives/edgar/data/772406/000120677412002462/cirrus_10k.htm,https://www.sec.gov/Archives/edgar/data/772406/000119312513239492/0001193125-13-239492-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312514215076/0001193125-14-215076-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312515201883/0001193125-15-201883-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312516602269/0001193125-16-602269-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312517181625/0001193125-17-181625-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240618000007/0000772406-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240619000008/0000772406-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240620000007/0000772406-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/772406/000077240621000013/0000772406-21-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
