,https://roic.ai/company/CVR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,1538462,1509434,1388889,1456311,1415094,1212121,1269841,1234568,1176471,1165644,1176471,1200000,1181818,1172414,1173709,1021600,968795,968058,961796,964199,972224,966058,967231,966132,966132,966132,966132,966132,966132,966132,966132,966132,966132,966132,966132,966132,966132
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/0000950137-96-000389-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/000095013701000943/0000950137-01-000943-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/000095013708003952/0000950137-08-003952-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095013709002073/0000950137-09-002073-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095012310027218/0000950123-10-027218-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095012311029728/0000950123-11-029728-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312512137299/0001193125-12-137299-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312513132228/0001193125-13-132228-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312514110285/0001193125-14-110285-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312515100150/0001193125-15-100150-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312516511898/0001193125-16-511898-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312517089303/0001193125-17-089303-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312518089128/0001193125-18-089128-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312519080761/0001193125-19-080761-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312520080625/0001193125-20-080625-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312521087465/0001193125-21-087465-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312522080508/0001193125-22-080508-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8400000,8000000,8400000,8400000,8400000,8000000,900000,2900000,1900000,2200000,1300000,3200000,4000000,3200000,3400000,2265442,4692999,2204430,5530099,5464368,4730837,367581,665072,1553226,569286,725524,704345,392810,443608,231252,800894,353475,1152569,706873,1429454,2567731,2036954
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,1429886,177882,3157733,455000,805000,1005000,5405000,6880000,5997000,6430000,- -,- -,7088000,6207348,6058000,6565000,8059000,7810000,7063000,6574000,4733000,2741000
33,Cash and Short-Term Investments,8400000,8000000,8400000,8400000,8400000,8000000,900000,2900000,1900000,2200000,1300000,3200000,4000000,3200000,4000000,3695328,4870881,5362163,5985099,6269368,5735837,5772581,7545072,7550226,6999286,725524,704345,7480810,6650956,6289252,7365894,8412475,8962569,7769873,8003454,7300731,4777954
34,Net Receivables,2500000,2400000,2200000,2500000,2100000,1600000,1500000,1800000,3200000,2900000,2400000,5000000,5700000,6500000,6700000,5037231,3995148,4994697,4549168,4867615,5370611,5902628,5329413,3315748,3813663,4017081,4398426,4577932,5510770,5669654,5438332,5323519,5326650,5529307,4609314,5163450,5647984
35,Inventory,2600000,2300000,1900000,2000000,2200000,2300000,2200000,2400000,3400000,4300000,4100000,6900000,6400000,6500000,6900000,7204184,6050668,6089941,5233788,6242470,5971695,5481309,4975833,5048632,3753936,4310154,5212040,4936372,4880788,5162474,4538212,4537693,4528100,6100391,4951177,5153294,8519780
36,Other Current Assets,700000,500000,1300000,1400000,600000,700000,7200000,5000000,3900000,4800000,8300000,2200000,3900000,1500000,900000,896859,942781,859174,820751,773688,792333,912698,949758,1094391,1253711,7127208,6647928,838523,705712,968260,1082256,480064,442030,588908,485378,469712,346676
37,Total Current Assets,14200000,13200000,13800000,14300000,13300000,12600000,11800000,12100000,12400000,14200000,16100000,17300000,20000000,17700000,18500000,16833602,15859478,17305975,16588806,18153141,17870476,18069216,18800076,17008997,15820596,16179967,16962739,17833637,17748226,18089640,18424694,18753751,19259349,19988479,18049323,18087187,19292394
38,PP&E,5500000,5100000,3800000,3900000,4200000,4300000,4500000,4700000,6100000,5700000,5200000,14000000,13000000,14100000,14100000,14323517,13818535,12782198,11549574,11146316,10051508,9837260,9106937,8399973,7806475,7478878,7895525,8077866,10409120,10877995,11698443,12450558,12556953,13258146,13674053,13150884,12473864
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,900000,700000,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,900000,700000,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,100000,400000,200000,300000,300000,200000,- -,- -,-100000,100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,6600000,5900000,4200000,4100000,4500000,4600000,4700000,4700000,6200000,5700000,5300000,14000000,12900000,14100000,14100000,14323517,13818535,12782198,11549574,11146316,10051508,9837260,9106937,8399973,7806475,7478878,7895525,8077866,10409120,10877995,11698443,12450558,12556953,13258146,13674053,13150884,12473864
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20800000,19100000,18000000,18400000,17800000,17200000,16500000,16800000,18600000,19900000,21400000,31300000,32900000,31800000,32600000,31157119,29678013,30088173,28138380,29299457,27921984,27906476,27907013,25408970,23627071,23658845,24858264,25911503,28157346,28967635,30123137,31204309,31816302,33246625,31723376,31238071,31766258
48,Accounts Payable,- -,- -,- -,- -,- -,- -,500000,700000,1300000,1100000,900000,1300000,1700000,1300000,1500000,1065561,929634,1121195,1310044,1367221,1452314,1431468,1147014,509657,1022747,748781,968266,1003647,924943,923819,768111,703467,737040,1060231,490580,466424,692635
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1800000,1800000,1800000,1800000,1800000,1632760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109313,91547,91957,92901,92526,92044,92620,91527,83475,84570,80269
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102246,84698,151652,84905,126066,69866,467189,286133,312775,328154,152644,249498,302424
52,Other Current Liabilities,2500000,2200000,1700000,1800000,2200000,1700000,1400000,1100000,1700000,2100000,2500000,2200000,2700000,2200000,2800000,1966750,1513420,1677838,1258577,1563658,1578239,1395565,1200099,1125430,605689,717727,828558,869940,1169960,1125752,1077146,1294700,1169448,1177407,979041,804976,875750
53,Total Current Liabilities,2500000,2200000,1700000,1800000,2200000,1700000,1900000,1800000,3000000,3200000,3400000,5300000,6200000,5300000,6100000,4832311,4243054,4431793,2568621,2930879,3030553,2827033,2347113,1635087,1730682,1551206,1948476,1958492,2220969,2119437,2312446,2284300,2219263,2565792,1622265,1520898,1870809
54,Long-Term Debt,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,5000000,3200000,1400000,3432760,1632760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,600000,700000,700000,700000,800000,800000,800000,900000,900000,1000000,1000000,1100000,1300000,1300000,1300000,1373275,1429275,1547275,1580275,1551275,1313275,1076275,985275,865275,734275,745275,785275,952275,1065275,1107275,1319275,1028084,737084,921084,943084,1011084,926084
57,Other Non-Current Liabilities,100000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,100000,-100000,-100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,1800000,700000,700000,700000,700000,800000,800000,900000,900000,1000000,1100000,8200000,6200000,4500000,2600000,4806035,3062035,1547275,1580275,1551275,1313275,1076275,985275,865275,734275,745275,785275,952275,1065275,1107275,1319275,1028084,737084,921084,943084,1011084,926084
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4300000,2900000,2400000,2500000,2900000,2500000,2700000,2700000,3900000,4200000,4500000,13500000,12400000,9800000,8700000,9638346,7305089,5979068,4148896,4482154,4343828,3903308,3332388,2500362,2464957,2296481,2733751,2910767,3286244,3226712,3631721,3312384,2956347,3486876,2565349,2531982,2796893
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096,1138096
64,Retained Earnings,16400000,16200000,15800000,16400000,16900000,17200000,12200000,12400000,13100000,14100000,15300000,16100000,18900000,20400000,22300000,23828665,24682816,26445973,26326352,27154171,25915024,26340036,26911493,25245476,23498982,23699232,24461381,25337604,27207970,28077791,28828284,30228793,31196823,32096617,31494895,31042957,31306233
65,Other Comprehensive Income/Loss,-12500000,-13000000,-10400000,-10700000,-10800000,-11000000,-11300000,-11800000,-12000000,-12800000,-13100000,-13700000,-15000000,-16200000,-17800000,-19051463,-20889297,-21746000,-23447245,-24965941,-26392338,-26925130,-26431936,-27184604,-27635819,-28145698,-28298066,-28900113,-29073155,-30077932,-30150074,-30755266,-31625819,-32235778,-32703246,- -,- -
66,Other Total Stockholders Equity,12600000,13000000,10200000,10200000,8800000,8500000,12900000,13500000,13600000,14400000,14700000,15400000,16600000,17800000,18300000,15603475,17441309,18271036,19972281,21490977,22917374,23450166,22956972,23709640,24160855,24670734,24823102,25425149,25598191,26602968,26675110,27280302,28150855,28760814,29228282,-3474964,-3474964
67,Total Stockholders Equity,16500000,16200000,15600000,15900000,14900000,14700000,13800000,14100000,14700000,15700000,16900000,17800000,20500000,22000000,23900000,21518773,22372924,24109105,23989484,24817303,23578156,24003168,24574625,22908608,21162114,21362364,22124513,23000736,24871102,25740923,26491416,27891925,28859955,29759749,29158027,28706089,28969365
68,Total Liabilities And Stockholders Equity,20800000,19100000,18000000,18400000,17800000,17200000,16500000,16800000,18600000,19900000,21400000,31300000,32900000,31800000,32600000,31157119,29678013,30088173,28138380,29299457,27921984,27906476,27907013,25408970,23627071,23658845,24858264,25911503,28157346,28967635,30123137,31204309,31816302,33246625,31723376,31238071,31766258
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20800000,19100000,18000000,18400000,17800000,17200000,16500000,16800000,18600000,19900000,21400000,31300000,32900000,31800000,32600000,31157119,29678013,30088173,28138380,29299457,27921984,27906476,27907013,25408970,23627071,23658845,24858264,25911503,28157346,28967635,30123137,31204309,31816302,33246625,31723376,31238071,31766258
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/0000950137-96-000389-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/000095013701000943/0000950137-01-000943-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/000095013708003952/0000950137-08-003952-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095013709002073/0000950137-09-002073-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095012310027218/0000950123-10-027218-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095012311029728/0000950123-11-029728-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312512137299/0001193125-12-137299-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312513132228/0001193125-13-132228-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312514110285/0001193125-14-110285-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312515100150/0001193125-15-100150-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312516511898/0001193125-16-511898-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312517089303/0001193125-17-089303-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312518089128/0001193125-18-089128-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312519080761/0001193125-19-080761-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312520080625/0001193125-20-080625-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312521087465/0001193125-21-087465-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312522080508/0001193125-22-080508-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,800000,- -,1500000,1500000,1200000,800000,1000000,1400000,1900000,2200000,1900000,3900000,3400000,3500000,2656161,1792270,2604075,817527,1523434,-398612,1120627,1267072,-825482,-1282751,606025,1254877,1745741,2479029,1951889,1687641,2356980,2079082,2001185,538314,50450,1113472
74,Depreciation and Amortization,800000,1000000,- -,400000,400000,600000,500000,500000,600000,700000,700000,700000,1400000,1500000,1700000,1889849,1921703,1915726,1861600,1757962,1703382,1659834,1136806,1075796,1028610,1000354,971496,993951,1093062,1262725,1261446,1242357,1231546,1308448,1382235,1347305,1318554
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,200000,200000,- -,45000,154000,144000,12000,19000,-244000,-176000,-43000,-173000,-56000,46000,14000,171000,119000,6000,233000,134000,-291000,184000,22000,68000,-85000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,1100000,- -,400000,-1400000,-200000,-1000000,400000,-900000,1600000,1700000,-700000,1800000,-1400000,- -,-398709,-384867,1257758,1146003,1202077,-382339,402260,1210780,-1079053,-1283996,538847,385502,860882,-347888,442946,142045,357203,570635,382601,1229210,-841954,-3378073
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2013665,-497915,-203418,-381345,-179506,-932838,-158884,231322,114813,-3131,-202657,919993,-554136,-484534
79,Inventory,- -,- -,- -,- -,- -,- -,100000,-200000,-100000,-900000,200000,- -,500000,-200000,-400000,-280463,1153516,-39273,856153,-1008682,270775,490386,505476,-72799,1294696,-556218,-901886,275668,55584,-281686,624262,519,9593,-1572291,1149214,-202117,-3366486
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-639617,494430,-285994,130235,-59606,-108686,-79935,-178703,-64644,29620,298348,-569651,-24156,226211
81,Other Working Capital,11000000,12100000,- -,12500000,11100000,10900000,9900000,10300000,9400000,11000000,12700000,12000000,13800000,12400000,12400000,12001291,11616424,12874182,14020185,15222262,14839923,15242183,16452963,15373910,14089914,14628761,15014263,15875145,15527257,15970203,16112248,16469451,17040086,17422687,-175510,96854,52926
82,Other Non-Cash Items,-2000000,-2900000,- -,-2300000,-500000,-1600000,1300000,-800000,600000,-2100000,-700000,900000,-1200000,-500000,100000,580843,1804370,-1913553,-26715,-2182413,14721,-969880,-736025,2189947,1909280,-1011833,-1547977,-992232,-284718,-1306066,766061,-63358,-596829,-1995827,-228,- -,21564
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,1600000,1100000,1700000,2100000,3800000,2800000,6100000,3200000,5300000,4773144,5287476,4008006,3810415,2320060,693152,2036841,2835633,1188208,315143,1179393,1077898,2779342,3058485,2357494,4090193,4027182,2993434,1880407,3171531,623801,-1009483
84,CAPEX,- -,- -,- -,- -,- -,- -,-800000,-700000,-1100000,-400000,-200000,-900000,-1000000,-2700000,-1700000,-2125189,-1431698,-886009,-641715,-1342906,-643308,-1327482,-406293,-370923,-429517,-675080,-1522539,-1092759,-3444876,-1656230,-2081272,-2027860,-1333988,-1998347,-1802914,-824136,-670898
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
