,https://roic.ai/company/STCN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,- -,15500000,26700000,100000000,967400000,7082444000,7240274000,7367724000,7358355000,7321316000,7447629000,7455365000,7461084000,7436259000,7434369000,7425276000,7386771000,7390468000,7419519000,7450509000,7451920000,7456509000,7457364000,7467589000,7477361000,7477890000,7478638000
67,Total Stockholders Equity,- -,- -,54000000,29400000,117800000,1473800000,6168942000,883420000,416668000,247012000,293315000,471215000,497915000,555069000,545974000,345598000,318701000,243179000,165132000,156905000,171618000,144601000,85940000,62971000,142820000,87878000,83998000,41392000
68,Total Liabilities And Stockholders Equity,- -,- -,82200000,122900000,226500000,2220100000,7971045000,1980154000,844670000,454876000,433343000,721581000,763219000,819128000,810560000,555821000,525786000,422362000,358882000,343696000,451646000,446502000,348945000,281298000,827050000,731563000,759172000,676381000
69,Minority Interest,- -,- -,27300000,25500000,11000000,184500000,586062000,205411000,25668000,465000,423000,103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,109500000,148400000,237500000,2404600000,8557107000,2185565000,870338000,455341000,433766000,721684000,763219000,819128000,810560000,555821000,525786000,422362000,358882000,343696000,451646000,446502000,348945000,281298000,827050000,731563000,759172000,676381000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914712/000092701600003670/0000927016-00-003670-index.html,https://www.sec.gov/Archives/edgar/data/914712/000092701601503376/0000927016-01-503376-index.html,https://www.sec.gov/Archives/edgar/data/914712/000092701602005098/0000927016-02-005098-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312503063659/0001193125-03-063659-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312504171334/0001193125-04-171334-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312505201774/0001193125-05-201774-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312506208501/0001193125-06-208501-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312507218477/0001193125-07-218477-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312508210115/0001193125-08-210115-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312509207854/0001193125-09-207854-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312510229516/0001193125-10-229516-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312511271739/0001193125-11-271739-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312513010752/0001193125-13-010752-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312513399947/0001193125-13-399947-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312514370175/0001193125-14-370175-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312515343814/0001193125-15-343814-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312516738725/0001193125-16-738725-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312517310969/0001193125-17-310969-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000119312518341399/0001193125-18-341399-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000162828019012291/0001628280-19-012291-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000162828020014053/0001628280-20-014053-index.htm,https://www.sec.gov/Archives/edgar/data/914712/000162828021020879/0001628280-21-020879-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1800000,27200000,14300000,-22000000,16600000,476200000,-1364693000,-5377580000,-524918000,-216308000,86975000,26525000,14945000,49411000,9128000,-193452000,-17787000,-49015000,-38108000,-40355000,-16282000,-18429000,-61281000,-25827000,36715000,-66727000,-5284000,-44391000
74,Depreciation and Amortization,900000,600000,2800000,5300000,6800000,22700000,1501583000,5012775000,431505000,11257000,7104000,21077000,15845000,19849000,20781000,25497000,23175000,22239000,15336000,15251000,14276000,9335000,8119000,8206000,37076000,52504000,50330000,43547000
75,Deferred Income Tax,100000,-200000,8300000,-900000,-800000,312400000,-280450000,-211272000,12625000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5103000,4154000,3481000,2990000,2308000,2254000,1757000,1126000,681000,10801000,1267000,720000,591000
77,Change in Working Capital,-1600000,- -,72000000,-33400000,-25800000,1368200000,-270895000,-528789000,-377437000,854000,56373000,-36468000,57584000,37984000,-81464000,-1763000,-14366000,-38365000,-70737000,1144000,92519000,-4885000,-77164000,-16434000,-135022000,-17195000,17137000,21794000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33138000,9607000,20050000,-9755000,8583000,17698000,-14970000,19130000,31102000,29735000,-14090000,20305000,23505000
79,Inventory,-100000,- -,- -,- -,-3900000,-100000,- -,- -,- -,1632000,-3985000,-21812000,1567000,20962000,-13812000,18737000,-7604000,364000,-11604000,22434000,-4403000,11839000,7752000,6852000,19971000,2482000,8510000,-722000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,72000000,38600000,12800000,1381000000,1110105000,581316000,203879000,204733000,261106000,224638000,282222000,320206000,238742000,236979000,222613000,184248000,113511000,114655000,207174000,202289000,125125000,108691000,-26331000,-43526000,-26389000,-4595000
82,Other Non-Cash Items,100000,-27700000,-102200000,9300000,-68500000,-2269900000,-349279000,392328000,242109000,137578000,-169166000,-26402000,-74292000,-54345000,43903000,200558000,44249000,56730000,51080000,28679000,-82952000,31416000,109412000,8929000,62198000,51000000,8721000,1526000
83,Cash Provided by Operating Activities,1300000,-100000,-4800000,-41700000,-71700000,-90400000,-763734000,-712538000,-216116000,-66619000,-18714000,-15268000,14082000,52899000,-7652000,35943000,39425000,-4930000,-39439000,7027000,9815000,19194000,-19788000,-24445000,11768000,20849000,71624000,23067000
84,CAPEX,-1100000,-700000,-7100000,-6900000,-8200000,-16300000,-177637000,-122380000,-31769000,-3973000,-6205000,-13836000,-16498000,-23962000,-26057000,-11060000,-9194000,-8968000,-11564000,-7296000,-4489000,-8518000,-7936000,-4730000,-18423000,-14539000,-12070000,-3615000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-185127000,-14432000,-40646000,66620000,12155000,-68073000,3000000,-2165000,-53048000,-9533000,-29580000,- -,- -,-236000,-756000,85000,747000,1278000,-468420000,42000,- -,- -
86,Purchases of Investments,- -,- -,-25500000,-25800000,-39500000,-133300000,- -,- -,- -,- -,- -,- -,-101250000,-1328978000,- -,-10000000,-3402000,-3473000,-2912000,- -,-395000,-69221000,-1220000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,15500000,69900000,13100000,126000000,84700000,1154756000,989928000,57874000,34418000,79817000,- -,69000,1300400000,111850000,18008000,11319000,353000,24000,96000,- -,2325000,59327000,7998000,13775000,- -,163000,- -
88,Other Investing Activites,-100000,-8300000,-26600000,20400000,-41400000,14300000,-299631000,-40001000,-4816000,- -,-1653000,2726000,38827000,35008000,15447000,- -,- -,- -,- -,-691000,- -,- -,1318000,1092000,20748000,19000,21000,289000
89,Cash Used for Investing Activites,-1200000,6500000,10700000,800000,36900000,-50600000,492361000,813115000,-19357000,97065000,84114000,-79183000,-75852000,-19697000,48192000,-12585000,-30857000,-12088000,-14452000,-8127000,-5640000,-75329000,52236000,5638000,-452320000,-14478000,-11886000,-3326000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369000,-1259000,-55000,-10124000,-60000,-804000,-4669000,-20485000,-1934000,-3652000,-82638000,-28254000,-7712000
91,Common Stock Issued,6300000,100000,48400000,8200000,26700000,561900000,256444000,26626000,3888000,1191000,1301000,6056000,1182000,1064000,284000,113000,331000,204000,91000,27675000,1368000,113000,51000,18000,8000,15000,19000,4000
92,Common Stock Repurchased,- -,- -,- -,-1000000,- -,- -,- -,- -,-100301000,- -,- -,- -,- -,- -,-35613000,-7137000,-13521000,-1633000,-188000,-158000,- -,- -,-127000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40001000,- -,- -,- -,- -,- -,- -,-1143000,-2129000,-2135000,-2129000
94,Other Financing Activites,-3400000,- -,-400000,30000000,9900000,-13500000,185683000,-56165000,-99394000,-30820000,9464000,8071000,-1928000,-385000,-25255000,- -,- -,- -,10000000,-1416000,101069000,- -,- -,- -,426666000,20940000,18086000,- -
95,Cash Used/Provided by Financing Activities,2900000,100000,48000000,37200000,36600000,548400000,442127000,-29539000,-195807000,-29629000,10765000,14127000,-746000,679000,-60584000,-7393000,-14449000,-41485000,-221000,26041000,101633000,-4556000,-20561000,-1916000,421879000,-63812000,-12284000,-9837000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,903000,1761000,3872000,11148000,-5507000,-1522000,8364000,-4744000,606000,-209000,-3393000,-528000,603000,141000,-321000,1124000,597000
97,Net Change In Cash,2900000,100000,48000000,37200000,36600000,407400000,170754000,71038000,-431280000,817000,76165000,-79421000,-60755000,37753000,-8896000,8182000,-7403000,-50139000,-58856000,25547000,105599000,-64084000,11359000,-20120000,-18532000,-57762000,48578000,10501000
