,https://roic.ai/company/MOD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,115000000,124000000,126500000,126800000,131800000,170800000,170300000,196100000,200500000,196500000,254078000,194293000,234466000,224103000,229144000,164236000,117246000,148904000,186752000,74818000,84042000,111084000,129980000,118900000,141600000,153000000,138900000,97900000,127600000,129700000,261300000,175600000
82,Other Non-Cash Items,- -,- -,- -,- -,-3100000,-7800000,-12100000,17200000,1600000,-74700000,-14100000,-29400000,-15700000,-14600000,-78366000,75310000,-7532000,48374000,-5023000,81918000,105810000,-33656000,-7390000,251247000,10074000,-67175000,-72836000,24580000,5800000,-31200000,51800000,7300000,-26400000,-64000000,-156200000,303400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,47100000,53300000,45800000,63700000,75200000,67000000,84600000,100200000,102900000,105200000,91202000,122692000,131404000,113307000,107249000,155748000,131857000,102410000,67354000,93516000,61904000,20812000,45758000,48800000,104500000,63500000,72400000,41600000,123800000,103300000,57900000,149800000
84,CAPEX,- -,- -,- -,- -,-20500000,-28800000,-16900000,-23600000,-29200000,-34100000,-55700000,-56200000,-83300000,-110700000,-90147000,-66310000,-35763000,-50519000,-72534000,-68567000,-79870000,-82752000,-87013000,-103261000,-60297000,-55061000,-64352000,-49800000,-57300000,-75000000,-104500000,-65400000,-71000000,-73900000,-71300000,-32700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100026000,-44291000,-11096000,- -,- -,10515000,- -,- -,-4900000,-7800000,- -,-1400000,-364200000,- -,- -,3800000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-233000,-6629000,- -,- -,- -,- -,-5200000,-2700000,-3500000,-5500000,-3800000,-3300000,-3600000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2100000,2200000,4800000,4900000,4100000,3400000
88,Other Investing Activites,- -,- -,- -,- -,-15200000,-47200000,-800000,-400000,-18700000,1300000,-44100000,-5200000,700000,-18200000,-3153000,20000,5929000,4478000,4191000,-1740000,1945000,4012000,8131000,9869000,14452000,13918000,-658000,-1200000,-29500000,-37700000,-34100000,-55700000,-70900000,- -,6200000,-31100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-35700000,-76000000,-17700000,-24000000,-47900000,-32800000,-99800000,-61400000,-82600000,-128900000,-93300000,-66290000,-29834000,-46041000,-68343000,-170333000,-122216000,-89836000,-78882000,-93625000,-41959000,-41143000,-65010000,-55900000,-41500000,-57200000,-77800000,-422200000,-71600000,-72800000,-60500000,-31300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50686000,-191127000,-250572000,-114041000,-167100000,-152400000,-50900000,-27100000,-202400000,-222900000,-251900000,-649500000,-183600000
91,Common Stock Issued,- -,- -,- -,- -,2900000,3200000,4700000,4400000,4200000,5600000,5300000,4300000,4600000,5100000,2965000,9127000,12447000,3844000,3704000,9971000,12500000,2914000,701000,- -,92858000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7400000,-5000000,-10500000,-5300000,-6800000,-9900000,-8700000,-6800000,-17000000,-15200000,-12102000,-5167000,-1293000,-1135000,-269000,-1591000,-82811000,-14519000,-7710000,-594000,-25000,-78000,-505000,- -,- -,- -,-6900000,- -,- -,- -,-2400000,- -
93,Dividends Paid,- -,- -,- -,- -,-8900000,-10000000,-11200000,-12400000,-13600000,-15400000,-17800000,-20300000,-22600000,-24800000,-27102000,-29307000,-28981000,-16834000,-18666000,-21610000,-23878000,-22642000,-22633000,-9679000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,5000000,34100000,-19100000,-11500000,-6100000,-21500000,22000000,1500000,17100000,71900000,21412000,-41462000,-29240000,-56234000,-33892000,8961000,61932000,13031000,55687000,72598000,76570000,259254000,133300000,167400000,150900000,36300000,36700000,550000000,172800000,226000000,685200000,38500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-8400000,22300000,-36100000,-24800000,-22300000,-41200000,800000,-21300000,-17900000,37000000,-14827000,-66809000,-47067000,-70359000,-49123000,-4269000,-32257000,-21216000,26045000,11639000,-21724000,8604000,18754000,300000,-1500000,-14600000,2700000,347600000,-50100000,-25900000,33300000,-145100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,300000,-200000,-100000,-100000,1300000,-400000,-700000,-800000,-500000,-1168000,-262000,-845000,4934000,5401000,4187000,-1677000,-929000,2569000,-6589000,1900000,1000000,-987000,-800000,1900000,-8400000,1100000,-1700000,3000000,-2700000,-1600000,1400000
97,Net Change In Cash,- -,- -,- -,- -,-8400000,22300000,-36100000,-24800000,-22300000,-41200000,800000,-21300000,-17900000,37000000,-18093000,-10669000,53658000,1841000,-4816000,-14667000,-24293000,-9571000,17086000,4941000,121000,-10727000,-1485000,-7600000,63400000,-16700000,-1600000,-34700000,5100000,1900000,29100000,-25200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31070000,20401000,75402000,77243000,72427000,55091000,30798000,21227000,38313000,43536000,43657000,32930000,31445000,23800000,87200000,70500000,68900000,34200000,39300000,42200000,71300000,46100000
99,Cash at the Beginning of Period,- -,- -,- -,- -,24000000,27000000,27000000,18800000,33600000,38500000,32700000,18000000,34800000,36400000,49163000,31070000,21744000,75402000,77243000,69758000,55091000,30798000,21227000,38595000,43536000,43657000,32930000,31400000,23800000,87200000,70500000,68900000,34200000,40300000,42200000,71300000
100,Free Cash Flow,- -,- -,- -,- -,26600000,24500000,28900000,40100000,46000000,32900000,28900000,44000000,19600000,-5500000,1055000,56382000,95641000,62788000,34715000,87181000,51987000,19658000,-19659000,-9745000,1607000,-34249000,-18594000,-1000000,47200000,-11500000,-32100000,-23800000,52800000,29400000,-13400000,117100000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734796000015/0000067347-96-000015-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734700000010/0000067347-00-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734702000014/0000067347-02-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734704000133/f10k2004-sec.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734705000173/f10k_2005.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734706000113/f10k_2006.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734707000060/0000067347-07-000060-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036108014027/0001140361-08-014027-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036109014108/0001140361-09-014108-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036110025119/0001140361-10-025119-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036111032838/0001140361-11-032838-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036112030062/form10k.htm,https://www.sec.gov/Archives/edgar/data/67347/000114036113023524/0001140361-13-023524-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036114023690/0001140361-14-023690-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036115022274/0001140361-15-022274-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036116067258/0001140361-16-067258-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036117022417/0001140361-17-022417-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036118025479/0001140361-18-025479-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036119009735/0001140361-19-009735-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036120012690/form10k.htm,https://www.sec.gov/Archives/edgar/data/67347/000114036121018956/0001140361-21-018956-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
