,https://roic.ai/company/NUE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-48100000,- -,- -,256200000,127400000,-127400000,127400000,-20900000,238300000,41600000,364900000,-184121545,66128735,-56904318,158362190,1118192938,706696000,409154000,266205000,1052081000,-588103000,401546000,-44715000,-680226000,818034000,-105718000,25095000,-252780000,-116771000,1830309000,-67369000,1098206000,-1862890000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,855572000,141104000,-310188000,-274920000,148113000,-103649000,-179181000,655489000,-217736000,-329501000,-485433000,361340000,-129290000,-1392084000
79,Inventory,- -,- -,- -,- -,-16200000,2800000,-49400000,-20300000,-8600000,-28000000,-63700000,-79000000,-11200000,-38800000,-29100000,3831738,26302845,-58371867,28972554,-635641000,337862000,-143971000,-102490000,-364280000,1117600000,-231913000,-433696000,-65655000,-298074000,-45963000,593830000,-132639000,-900946000,-1092101000,712645000,284081000,-2307336000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-861334000,170229000,186417000,63571000,-111496000,39489000,-111859000,-438788000,236788000,314817000,235572000,-253457000,250561000,383428000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,256200000,383600000,256200000,383600000,362700000,601000000,642600000,1007500000,823378455,889507190,832602872,990965062,2109158000,2815854000,3225008000,3491213000,4543294000,3955191000,4356737000,4312022000,3631796000,4449830000,4344112000,4369207000,4116427000,3999656000,5829965000,5762596000,6860802000,456068000
82,Other Non-Cash Items,- -,- -,- -,- -,8200000,47200000,19100000,-224800000,-102400000,170000000,-113600000,49100000,-170300000,84500000,-271900000,415203051,15962370,53743176,-164935410,-1599957938,-226040000,-240628000,-149196000,-689647000,1354379000,-426139000,-398315000,743512000,-942332000,-127001000,1110996000,379022000,-720718000,-2593200000,681470000,-144954000,254202000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,98000000,214300000,173400000,205400000,271800000,424900000,447200000,450600000,577300000,641900000,604800000,820754667,495115325,497219905,494619927,1029718000,2136615000,2251233000,1935306000,2498728000,1182297000,873404000,1032612000,1200385000,1077949000,1342898000,2157043000,1737533000,1051263000,2393952000,2809413000,2696877000,6230776000
84,CAPEX,- -,- -,- -,- -,-130200000,-56800000,-217700000,-379100000,-364200000,-185300000,-263400000,-537400000,-306700000,-502900000,-374700000,-415404602,-261145658,-243598096,-215408007,-285925000,-331466000,-338404000,-520353000,-1018980000,-390500000,-345294000,-440502000,-947608000,-1196952000,-667982000,-374123000,-604840000,-448555000,-982531000,-1477293000,-1543219000,-1621989000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-121904000,-652688811,-34941411,-169646000,-154864000,-223920000,-1542666000,-1826030000,-96283000,-498794000,-49909000,-941305000,-85053000,-866422000,-99498000,-402955000,-603041000,-154475000,-61349000,-132498000,-1426661000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1116702000,-518830000,-1010136000,-261389000,-1323264000,-2059776000,-409403000,-19349000,-100000000,-111927000,-650000000,-50000000,- -,-367741000,-488517000,-493889000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529105000,1717078000,499709000,36389000,394640000,1333242000,1667142000,92761000,27529000,111452000,600000000,150000000,50000000,67701000,392178000,648887000
88,Other Investing Activites,- -,- -,- -,- -,1300000,900000,500000,2100000,1300000,5200000,900000,1600000,700000,2900000,400000,5128217,22650119,-5124722,-17232410,-79364000,-41151000,2177000,8634000,-984229000,-379129000,-834947000,114996000,-520429000,-828329000,-499169000,-341723000,-572163000,-415851000,-925594000,-1432802000,-1535457000,-1602189000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-128900000,-55900000,-217200000,-377000000,-362900000,-180100000,-262500000,-535800000,-306000000,-500000000,-374300000,-410276385,-360399539,-901411629,-267581828,-534935000,-527481000,-1147744000,-856137000,-3320686000,-700412000,-2262365000,-661447000,-203995000,-839970000,-1438062000,-441696000,-1025118000,-918892000,-1030069000,-1794191000,-1764294000,-2873852000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156774000,-187308000,-10050000,- -,-650000000,-250000000,-5358000,-16300000,- -,-600000000,-500000000,- -,-97150000,- -
91,Common Stock Issued,- -,- -,- -,- -,3900000,3600000,5400000,5600000,8500000,9500000,9700000,7100000,7800000,6600000,5200000,4736679,10410405,18832002,18961023,68630000,40209000,37233000,12003000,1996690000,3716000,4687000,8097000,10515000,- -,5614000,424000,15751000,11145000,24101000,16145000,11846000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000,- -,- -,-100000,-200000,- -,-200000,- -,- -,-32000000,-14800000,-398727632,- -,- -,- -,- -,-291244000,-599446000,-754029000,-123960000,- -,- -,- -,- -,- -,- -,-66505000,-5173000,-90304000,-853997000,-298541000,-39499000,-3276088000
93,Dividends Paid,- -,- -,- -,- -,-9400000,-10300000,-11200000,-12100000,-13900000,-15700000,-24500000,-28100000,-35200000,-42100000,-45400000,-48213301,-52862723,-59382857,-62653947,-159496000,-209752000,-577816000,-726139000,-933126000,-633342000,-512662000,-461518000,-466361000,-471028000,-475123000,-479432000,-481083000,-485321000,-485376000,-492062000,-491655000,-483469000
94,Other Financing Activites,- -,- -,- -,- -,42700000,-132600000,36200000,165400000,98400000,-164000000,-69800000,8800000,-65000000,-49100000,87900000,-49883200,-120491200,201398900,-52017800,24800000,-89886000,-157959000,997288000,1000315000,-3100000,1209853000,-41601000,-41031000,917072000,115820000,-227938000,-143461000,-73751000,907095000,-105952000,902312000,156678000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,37100000,-139300000,30400000,158800000,92800000,-170200000,-84800000,-12200000,-92400000,-116600000,32900000,-492087454,-162943518,160848045,-95710724,-66066000,-550673000,-1297988000,-470877000,1783145000,-820034000,691828000,-495022000,-1146877000,196044000,-359047000,-789751000,-613966000,-1238231000,-908177000,-880410000,285854000,-3602879000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5558000,-904000,2704000,-3633000,-4897000,-10271000,8043000,9003000,-5924000,907000,1887000,-316000
97,Net Change In Cash,- -,- -,- -,- -,37100000,-139300000,30400000,158800000,92800000,-170200000,-84800000,-12200000,-92400000,-116600000,263500000,-81609172,-28227732,-243343679,131327375,428717000,1058461000,-194499000,608292000,961187000,-338149000,-691575000,-124761000,-147783000,430390000,-459108000,915325000,106492000,-1096857000,449782000,135719000,1220324000,-246271000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,572200000,490576279,462348547,219004868,350332243,779049000,1837510000,785651000,1393943000,2355130000,2016981000,1325406000,1200645000,1052862000,1483252000,1024144000,1939469000,2045961000,949104000,1398886000,1534605000,2754929000,2508658000
99,Cash at the Beginning of Period,- -,- -,- -,- -,26400000,32600000,51600000,38300000,25500000,27300000,101900000,201800000,104400000,283400000,308700000,572185451,490576279,462348547,219004868,350332000,779049000,980150000,785651000,1393943000,2355130000,2016981000,1325406000,1200645000,1052862000,1483252000,1024144000,1939469000,2045961000,949104000,1398886000,1534605000,2754929000
100,Free Cash Flow,- -,- -,- -,- -,-32200000,157500000,-44300000,-173700000,-92400000,239600000,183800000,-86800000,270600000,139000000,230100000,405350065,233969667,253621809,279211920,743793000,1805149000,1912829000,1414953000,1479748000,791797000,528110000,592110000,252777000,-119003000,674916000,1782920000,1132693000,602708000,1411421000,1332120000,1153658000,4608787000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73309/000095016895000206/0000950168-95-000206-index.html,https://www.sec.gov/Archives/edgar/data/73309/000095016896000539/0000950168-96-000539-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73309/000095016801000600/0000950168-01-000600-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/73309/000119312504040741/0001193125-04-040741-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312505044753/0001193125-05-044753-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312506047010/0001193125-06-047010-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312507041965/0001193125-07-041965-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312508039702/0001193125-08-039702-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312509038676/0001193125-09-038676-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312510040686/0001193125-10-040686-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312511049351/0001193125-11-049351-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312512083972/0001193125-12-083972-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312513084517/0001193125-13-084517-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312514077349/0001193125-14-077349-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312515068895/0001193125-15-068895-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312516481119/0001193125-16-481119-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312517062124/0001193125-17-062124-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312518064018/0001193125-18-064018-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312519057744/0001193125-19-057744-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459020007794/0001564590-20-007794-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459021009503/0001564590-21-009503-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459022007679/0001564590-22-007679-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
