,https://roic.ai/company/HOVNP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,20200000,-15100000,30500000,-44400000,-107700000,-12200000,34700000,-29600000,62200000,35500000,-60645000,37069000,248540000,-194509000,-188149000,-23942000,-650710000,61966000,462066000,-29728000,32487000,-207415000,-66998000,9268000,-190585000,-320535000,387665000,297553000,-66822000,-249127000,292828000,210213000
84,CAPEX,- -,- -,- -,- -,- -,-7700000,-1500000,-13700000,-6800000,-3200000,-5500000,-5900000,-3200000,-3100000,-25600000,-15607000,-6777000,-6903000,-198095000,-104796000,-317777000,-51506000,-37777000,-5238000,-750000,-2456000,-826000,-5059000,-1558000,-3423000,-2054000,-8007000,-6478000,-5193000,-4005000,-3380000,-5942000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3845000,-37905000,-137582000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4907000,-21699000,-18707000,-49905000,-36803000,-26271000,-13256000,-19924000,-16550000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29113000,-30088000,-16837000,-32185000,-5262000,-4071000,-4743000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11959000,7228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-10200000,-1700000,25100000,1700000,2500000,-6200000,12000000,4100000,26800000,18500000,1517000,4953000,-15201000,340000,-15897000,-130369000,6075000,35471000,20436000,1069000,474000,6092000,8302000,36750000,10967000,23233000,8934000,16126000,66965000,8954000,25444000,31488000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-17900000,-3200000,11400000,-5100000,-700000,-11700000,6100000,900000,23700000,-7100000,-17935000,-39729000,-159686000,-197755000,-120693000,-448146000,-74544000,-32394000,-1639000,-19907000,-16000,1195000,-1500000,30285000,-14155000,2472000,-48978000,-27155000,35501000,-8307000,2140000,8996000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1123775000,-111576000,-200010000,-966763000,-187481000,-220623000,-218525000,-795165000,-1212022000,-646618000,-812069000,-645333000,-557470000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,14100000,200000,- -,100000,- -,- -,600000,100000,154000,3510000,3974000,10735000,8200000,135683000,1347000,2962000,127079000,- -,- -,54899000,47324000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,- -,- -,-7900000,-3400000,-6400000,-6461000,-6215000,-2948000,-10978000,-3022000,-34021000,-26627000,-6309000,- -,- -,- -,- -,-103000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2758000,-10675000,-10674000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-818000
94,Other Financing Activites,- -,- -,- -,- -,- -,-1400000,14800000,-56000000,47300000,99700000,21100000,-37400000,29300000,-78800000,-18200000,108775000,-21739000,163961000,250738000,253467000,524659000,604259000,-53641000,244317000,752046000,19593000,234891000,1010532000,203900000,358057000,528435000,549498000,1064179000,417189000,1018777000,477559000,341015000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-2500000,14800000,-41900000,47500000,99700000,21200000,-37400000,21400000,-81600000,-24500000,102468000,-24444000,164987000,250495000,258645000,623563000,568304000,-67662000,371396000,-371729000,-91983000,89780000,90990000,16419000,137434000,309910000,-245667000,-147843000,-229429000,206708000,-167774000,-217273000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-2500000,14800000,-41900000,47500000,99700000,21200000,-37400000,21400000,-81600000,3800000,23888000,-27104000,253841000,-141769000,-50197000,151475000,-156950000,-38090000,831823000,-421364000,-59512000,-116440000,22492000,55972000,-67306000,-8153000,93020000,122555000,-260750000,-50726000,127194000,1936000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19400000,43253000,16149000,269990000,128221000,78024000,229499000,54323000,16233000,848056000,426692000,367180000,250740000,273232000,329204000,261898000,253745000,346765000,469320000,232992000,182266000,309460000,311396000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,21300000,15800000,12300000,12300000,23300000,14500000,11900000,15300000,11300000,15600000,19365000,43253000,16149000,269990000,128221000,78024000,211273000,54323000,16233000,848056000,426692000,367180000,250740000,273232000,329204000,261898000,253745000,346765000,493742000,232992000,182266000,309460000
100,Free Cash Flow,- -,- -,- -,- -,- -,12500000,-16600000,16800000,-51200000,-110900000,-17700000,28800000,-32800000,59100000,9900000,-76252000,30292000,241637000,-392604000,-292945000,-341719000,-702216000,24189000,456828000,-30478000,30031000,-208241000,-72057000,7710000,-194008000,-322589000,379658000,291075000,-72015000,-253132000,289448000,204271000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/357294/000104746905000873/0001047469-05-000873-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000110465906001719/0001104659-06-001719-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746907000222/0001047469-07-000222-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746907010292/0001047469-07-010292-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746908013400/0001047469-08-013400-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000035729409000046/0000357294-09-000046-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000035729410000029/0000357294-10-000029-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774911009909/0001437749-11-009909-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774912013055/0001437749-12-013055-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774913016341/0001437749-13-016341-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774914022360/0001437749-14-022360-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774915022517/0001437749-15-022517-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774916043587/0001437749-16-043587-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774917021249/0001437749-17-021249-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774918022403/0001437749-18-022403-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774919024673/0001437749-19-024673-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774920025763/0001437749-20-025763-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774922000287/0001437749-22-000287-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
