,https://roic.ai/company/EPAC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,-11800000,-11100000,10000000,8000000,-9600000,-7182000,-8170000,-14219000,6121000,10696000,-14274000,-8515000,11150000,2500000,5645000,-7549000,-3046000,-17937000,-4900000,-5697000,57963000,-7964000,-29909000,11532000,13714000,-21915000,6608000,10202000,-11277000,-18704000,-7760000,8960000,-5857000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61932000,32727000,7158000,5902000,-9279000,-19832000,-19801000,-7727000,18117000,2593000,6858000,-32081000,16695000
81,Other Working Capital,- -,- -,- -,88900000,65000000,58100000,77000000,68900000,72844000,93017000,99176000,97632000,103856000,85371000,77471000,14981000,17698000,30605000,76481000,110578000,126531000,214453000,281341000,128568000,114313000,216181000,242275000,463398000,243869000,325333000,300740000,267992000,329939000,429924000,235610000,222671000
82,Other Non-Cash Items,- -,- -,- -,-8300000,-6700000,12900000,18300000,9400000,-16631000,-32183000,-26564000,1947000,57694000,6334000,32670000,114037000,13536000,-13125000,-53389000,-35840000,-17015000,-62492000,-69956000,243025000,53912000,-112095000,11860000,-80459000,103400000,-23714000,206648000,135921000,17520000,167951000,167907000,-11420000
83,Cash Provided by Operating Activities,- -,- -,- -,1900000,10700000,33100000,27000000,12100000,22478000,23824000,32814000,64830000,129667000,150389000,114733000,95143000,29741000,49419000,47961000,96993000,122161000,177110000,170097000,146715000,121086000,171566000,182329000,193789000,125234000,128968000,117697000,87847000,106093000,53845000,-3159000,54183000
84,CAPEX,- -,- -,- -,-9300000,-16800000,-11200000,-9300000,-11500000,-15153000,-15986000,-22734000,-22641000,-56827000,-65902000,-11441000,-6709000,-10044000,-12671000,-10935000,-15442000,-19705000,-31491000,-44407000,-21454000,-19966000,-23096000,-22740000,-23668000,-41857000,-22516000,-20209000,-28195000,-20870000,-14923000,-12053000,-12019000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2758000,-33949000,-75015000,-426046000,-409211000,- -,-11250000,-785000,-9174000,-65100000,-384176000,-128767000,-162981000,-110109000,-200967000,-38350000,-309993000,-70267000,-230635000,259090000,- -,-72221000,- -,-42034000,- -,-23072000,- -
86,Purchases of Investments,- -,- -,- -,-5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-82100000,-13300000,12200000,-7000000,2600000,1484000,776000,6067000,3596000,30902000,14455000,118058000,46026000,6077000,1109000,14601000,3707000,1487000,4570000,14065000,-19592000,-18730000,-21317000,-14239000,-22047000,2417000,-21272000,-10913000,-27625000,-20717000,11046000,199145000,13301000
89,Cash Used for Investing Activites,- -,- -,- -,-97000000,-24200000,1000000,-16300000,-8900000,-13669000,-17968000,-50616000,-94060000,-451971000,-460658000,106617000,28067000,-4752000,-20736000,-61434000,-395911000,-146985000,-189902000,-140451000,-220559000,-57080000,-331310000,-84506000,-252682000,261507000,-21272000,-83134000,-27625000,-62751000,11046000,176073000,13301000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-279100000,-37207000,-34000,-310769000,-7500000,-125000000,-15316000,-3960000,-19250000,-30000000,-272500000,-602559000,-90000000
91,Common Stock Issued,- -,- -,- -,300000,300000,- -,100000,- -,1879000,4219000,1551000,2867000,6855000,5452000,3838000,579000,100959000,1726000,1725000,136681000,2650000,- -,8029000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63083000,-41832000,-283712000,-212003000,-17101000,- -,- -,-22481000,-27520000,- -
93,Dividends Paid,- -,- -,- -,-1600000,-1600000,-2000000,-1600000,-1600000,-1569000,-1602000,-1622000,-1654000,-2564000,-2339000,-1789000,- -,- -,- -,- -,- -,-2164000,-2187000,-2221000,-2251000,-2702000,-2716000,-2748000,-2911000,-2919000,-2598000,-2376000,-2358000,-2390000,-2439000,-2419000,-2394000
94,Other Financing Activites,- -,- -,- -,114300000,600000,-34000000,-10400000,-3300000,-15549000,-9875000,18039000,34284000,293338000,323586000,-238772000,-106897000,-149438000,-29029000,12913000,166495000,39351000,74364000,-769000,251304000,3315000,161242000,305423000,150848000,30639000,216966000,5007000,7110000,14397000,197903000,393572000,10878000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,113000000,-700000,-36800000,-11900000,-4900000,-15239000,-7258000,17968000,35497000,297629000,326699000,-236723000,-106318000,-48479000,-27303000,14638000,303176000,39837000,72177000,5039000,-30047000,-36594000,158492000,-71177000,98605000,-380992000,-12951000,-18430000,-14498000,-17993000,-99517000,-238926000,-81516000
96,Effect of Forex Changes on Cash,- -,- -,- -,-300000,900000,-200000,600000,-400000,132000,406000,-76000,-1422000,-882000,-521000,4344000,-234000,-21000,170000,275000,65000,290000,1636000,1184000,-7273000,1425000,5251000,-2683000,-3910000,-723000,-34911000,-5375000,4243000,-4430000,-4713000,7031000,2214000
97,Net Change In Cash,- -,- -,- -,113000000,-700000,-36800000,-11900000,-4900000,-6298000,-7258000,90000,4845000,-25557000,15909000,-11029000,16658000,-23511000,1550000,1440000,4323000,15303000,61021000,35869000,-111164000,28837000,3999000,23963000,35802000,5026000,59834000,10758000,49967000,20919000,-39339000,-58981000,-11818000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,1907000,-996000,1001000,5846000,6349000,22258000,7256000,26554000,3043000,4593000,6033000,10356000,25659000,86680000,122549000,11385000,40222000,44221000,68184000,103986000,109012000,168846000,179604000,229571000,250490000,211151000,152170000,140352000
99,Cash at the Beginning of Period,- -,- -,- -,2300000,19900000,6500000,3600000,3000000,8205000,- -,911000,1001000,31906000,6349000,18285000,9896000,26554000,3043000,4593000,6033000,10356000,25659000,86680000,122549000,11385000,40222000,44221000,68184000,103986000,109012000,168846000,179604000,229571000,250490000,211151000,152170000
100,Free Cash Flow,- -,- -,- -,-7400000,-6100000,21900000,17700000,600000,7325000,7838000,10080000,42189000,72840000,84487000,103292000,88434000,19697000,36748000,37026000,81551000,102456000,145619000,125690000,125261000,101120000,148470000,159589000,170121000,83377000,106452000,97488000,59652000,85223000,38922000,-15212000,42164000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6955/000095012494001757/0000950124-94-001757-index.html,https://www.sec.gov/Archives/edgar/data/6955/000095012495003836/0000950124-95-003836-index.html,- -,https://www.sec.gov/Archives/edgar/data/6955/000095013197006854/0000950131-97-006854-index.html,https://www.sec.gov/Archives/edgar/data/6955/000095013198006204/0000950131-98-006204-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/6955/000095013101503986/0000950131-01-503986-index.html,- -,https://www.sec.gov/Archives/edgar/data/6955/000119312503066628/0001193125-03-066628-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312504181607/0001193125-04-181607-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312505222624/0001193125-05-222624-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312506243784/0001193125-06-243784-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312507229345/0001193125-07-229345-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312508219025/0001193125-08-219025-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312509216254/0001193125-09-216254-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312510239211/0001193125-10-239211-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312511285382/0001193125-11-285382-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312512437816/0001193125-12-437816-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695513000013/0000006955-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695514000017/0000006955-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695515000046/0000006955-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695516000084/0000006955-16-000084-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695517000038/0000006955-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695518000038/0000006955-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695519000033/0000006955-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695520000046/0000006955-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695521000031/0000006955-21-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
