,https://roic.ai/company/UAL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/100517/000010051705000006/0000100517-05-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/100517/000110465907019919/0001104659-07-019919-index.htm,- -,https://www.sec.gov/Archives/edgar/data/100517/000095013709001460/0000950137-09-001460-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312510041523/0001193125-10-041523-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312511042335/0001193125-11-042335-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312512073010/0001193125-12-073010-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312513074391/0001193125-13-074391-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312514060695/0001193125-14-060695-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312515056493/0001193125-15-056493-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312516468479/0001193125-16-468479-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/0001193125-17-054129-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312518054235/0001193125-18-054235-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/0000100517-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/0000100517-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051721000016/0000100517-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051722000009/0000100517-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-49000000,11000000,335000000,1124000000,324000000,94000000,-332000000,-957000000,-50000000,51000000,349000000,533000000,949000000,821000000,1235000000,50000000,-2139000000,-3212000000,-2808000000,-1721000000,-21176000000,22876000000,403000000,-5348000000,-651000000,253000000,840000000,-723000000,571000000,1132000000,7340000000,2263000000,2131000000,2129000000,3009000000,-7069000000,-1964000000
74,Depreciation and Amortization,- -,- -,424100000,502300000,550500000,518400000,517000000,559600000,603800000,-725600000,-681000000,640000000,724000000,759000000,724000000,793000000,867000000,1058000000,1932000000,970000000,938000000,874000000,792000000,888000000,-925000000,932000000,902000000,1079000000,1547000000,1522000000,1689000000,1679000000,1819000000,1977000000,2149000000,2240000000,2288000000,2488000000,2485000000
75,Deferred Income Tax,- -,- -,-108000000,-45400000,-26900000,-32600000,-42300000,21700000,22100000,-146300000,-67000000,78000000,214000000,69000000,194000000,307000000,590000000,317000000,- -,665000000,- -,- -,- -,21000000,310000000,-26000000,-16000000,6000000,-6000000,13000000,-14000000,13000000,-3177000000,1648000000,945000000,515000000,882000000,-1741000000,-583000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,21000000,14000000,17000000,14000000,11000000,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-102500000,642000000,-1491000000,1475000000,-819000000,233000000,-631000000,-84000000,-346000000,364000000,-531000000,324000000,-931000000,21000000,-460000000,284000000,474000000,1390000000,-1476000000,-459000000,1572000000,-697000000,-212000000,-536000000,1052000000,768000000,203000000,-2372000000,-636000000,-965000000,-216000000,-391000000,-586000000,-455000000,-726000000,8819000000,1670000000
78,Accounts Receivable,- -,- -,-213000000,216000000,-118000000,93000000,-145000000,-25000000,1000000,-133200000,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,-59000000,- -,- -,- -,- -,-21000000,-142000000,209000000,-15000000,-16000000,-183000000,-29000000,44000000,135000000,- -
79,Inventory,- -,- -,-30000000,11000000,-24000000,47000000,-74000000,-74000000,-13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-201000000,109000000,-11000000,-9000000,-101000000,43000000,-27000000,141600000,-163000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,200000000,-48000000,94000000,255000000,177000000,285000000,-265000000,-251000000,-77000000,239000000,66000000,130000000,324000000,-1079000000,985000000
81,Other Working Capital,- -,- -,-526000000,116000000,-1375000000,100000000,-719000000,-486000000,-1117000000,-1201000000,-1547000000,-1183000000,-1714000000,-1390000000,-2321000000,-2300000000,-2760000000,-2476000000,-2002000000,-612000000,-2088000000,-2547000000,-975000000,-1672000000,-1884000000,-2420000000,-1368000000,-600000000,-397000000,-2769000000,-3405000000,-4370000000,-4586000000,-4977000000,-5563000000,-6018000000,-6744000000,2075000000,1828000000
82,Other Non-Cash Items,- -,- -,-657000000,-183300000,2971900000,-1364900000,678800000,-192500000,675100000,2488200000,2002000000,201000000,868000000,768000000,1631000000,1252000000,189000000,763000000,-427000000,-952000000,4347000000,1405000000,19891000000,-21526000000,2558000000,3708000000,-342000000,-213000000,-193000000,2481000000,-177000000,775000000,226000000,45000000,-1226000000,1752000000,1456000000,-6630000000,459000000
83,Cash Provided by Operating Activities,- -,- -,-492400000,926600000,2339500000,1719900000,658500000,715800000,338000000,575300000,858000000,1334000000,1624000000,2453000000,2567000000,3194000000,2421000000,2472000000,-160000000,-1139000000,1001000000,99000000,1079000000,1562000000,2134000000,-1239000000,966000000,1907000000,2408000000,935000000,1444000000,2634000000,5992000000,5542000000,3413000000,6181000000,6909000000,-4133000000,2067000000
84,CAPEX,- -,- -,-699500000,-1490200000,-987000000,-1372500000,-1571600000,-2610400000,-2480800000,-2518600000,-1496000000,-636000000,- -,-1538000000,-2812000000,-2832000000,-2389000000,-2538000000,-1951000000,-157000000,-150000000,-267000000,-470000000,-362000000,-658000000,-475000000,-317000000,-371000000,-700000000,-2016000000,-2164000000,-2005000000,-2747000000,-3223000000,-3998000000,-4177000000,-4528000000,-1727000000,-2107000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-139000000,-36000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237600000,-414000000,- -,- -,- -,- -,- -,- -,-286000000,-275000000,- -,- -,- -,- -,-125000000,-1988000000,- -,- -,- -,-898000000,-245000000,-120000000,-1041000000,-2517000000,-2768000000,-3241000000,-2552000000,-2897000000,-552000000,-68000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,482000000,- -,- -,874000000,147000000,259000000,552000000,310000000,218000000,5000000,56000000,128000000,2295000000,10000000,- -,- -,- -,- -,584000000,2707000000,2712000000,3177000000,2616000000,2996000000,2319000000,397000000
88,Other Investing Activites,- -,- -,28100000,-3100000,149100000,1504500000,395800000,1735500000,1529100000,2218800000,1170000000,834000000,-478000000,73000000,511000000,514000000,-109000000,156000000,30000000,-324000000,111000000,-273000000,174000000,181000000,-42000000,841000000,227000000,3691000000,-201000000,-1712000000,-1902000000,-1799000000,-2683000000,-3182000000,-3866000000,-4488000000,-4623000000,-1717000000,-2001000000
89,Cash Used for Investing Activites,- -,- -,-671400000,-1493300000,-837900000,132000000,-1175800000,-874900000,-951700000,-537400000,-740000000,198000000,-478000000,-983000000,-2301000000,-2318000000,-1624000000,-2521000000,-1969000000,71000000,271000000,-322000000,-291000000,-250000000,-2560000000,2721000000,-80000000,3320000000,-1799000000,-1957000000,-2022000000,-2256000000,-2493000000,-3238000000,-3930000000,-4563000000,-4560000000,50000000,-1672000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-392000000,-1201000000,-903000000,-448000000,-593000000,-761000000,-724000000,-465000000,-1558000000,-816000000,-737000000,-379000000,-2191000000,-2947000000,-919000000,-984000000,-2507000000,-2617000000,-1517000000,-2319000000,-2630000000,-2301000000,-1351000000,-1025000000,-1861000000,-1391000000,-4449000000,-5205000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,35000000,107000000,222000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2103000000,532000000
92,Common Stock Repurchased,- -,- -,- -,526500000,181700000,-2841500000,- -,- -,247200000,- -,- -,- -,-131000000,-84000000,-250000000,-462000000,-261000000,-81000000,- -,- -,- -,- -,- -,-4000000,-11000000,-11000000,-2000000,-3000000,- -,-4000000,-3000000,-312000000,-1233000000,-2614000000,-1844000000,-1235000000,-1645000000,-353000000,- -
93,Dividends Paid,- -,- -,-59000000,-45500000,-41900000,-200000,-100000,-100000,- -,- -,-27000000,-53000000,-49000000,-22000000,-10000000,-10000000,-10000000,-118000000,-88000000,-7000000,- -,- -,- -,- -,- -,-253000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1454200000,-405200000,464100000,-131500000,-104300000,-84700000,594100000,35000000,-176000000,-1024000000,-71000000,-426000000,508000000,284000000,155000000,2341000000,2691000000,1831000000,480000000,691000000,269000000,2967000000,776000000,374000000,881000000,2310000000,185000000,1067000000,1350000000,1346000000,1039000000,752000000,2674000000,1686000000,1756000000,15656000000,11069000000
95,Cash Used/Provided by Financing Activities,- -,- -,1395200000,75800000,603900000,-2973200000,-104400000,-84800000,841300000,35000000,-203000000,-1469000000,-1452000000,-1435000000,-200000000,-781000000,-877000000,1418000000,2138000000,266000000,-336000000,-46000000,-110000000,782000000,-2147000000,-702000000,117000000,-200000000,-2432000000,-454000000,-972000000,-1596000000,-2495000000,-3213000000,-195000000,-1410000000,-1280000000,12957000000,6396000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,231300000,-490900000,2105600000,-1121200000,-621600000,-243800000,227600000,35000000,-203000000,63000000,-306000000,35000000,66000000,95000000,-80000000,1369000000,9000000,-802000000,754000000,-417000000,538000000,2071000000,-2573000000,780000000,1003000000,5027000000,-1823000000,-1476000000,-1550000000,-1218000000,1004000000,-909000000,-712000000,208000000,1069000000,8874000000,6791000000
98,Cash at the End of Period,- -,- -,673300000,260100000,2207600000,1086800000,465400000,221200000,448600000,- -,- -,500000000,194000000,229000000,295000000,390000000,310000000,1679000000,1688000000,886000000,1640000000,1223000000,1761000000,3832000000,1259000000,2039000000,3042000000,8069000000,6246000000,4770000000,3220000000,2002000000,3006000000,2303000000,1591000000,1799000000,2868000000,11742000000,18533000000
99,Cash at the Beginning of Period,- -,- -,442000000,751000000,102000000,2208000000,1087000000,465000000,221000000,449000000,522000000,437000000,500000000,194000000,229000000,295000000,390000000,310000000,1679000000,1688000000,886000000,1640000000,1223000000,1761000000,3832000000,1259000000,2039000000,3042000000,8069000000,6246000000,4770000000,3220000000,2002000000,3212000000,2303000000,1591000000,1799000000,2868000000,11742000000
100,Free Cash Flow,- -,- -,-1191900000,-563600000,1352500000,347400000,-913100000,-1894600000,-2142800000,-1943300000,-638000000,698000000,1624000000,915000000,-245000000,362000000,32000000,-66000000,-2111000000,-1296000000,851000000,-168000000,609000000,1200000000,1476000000,-1714000000,649000000,1536000000,1708000000,-1081000000,-720000000,629000000,3245000000,2319000000,-585000000,2004000000,2381000000,-5860000000,-40000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100517/000010051705000006/0000100517-05-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/100517/000110465907019919/0001104659-07-019919-index.htm,- -,https://www.sec.gov/Archives/edgar/data/100517/000095013709001460/0000950137-09-001460-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312510041523/0001193125-10-041523-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312511042335/0001193125-11-042335-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312512073010/0001193125-12-073010-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312513074391/0001193125-13-074391-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312514060695/0001193125-14-060695-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312515056493/0001193125-15-056493-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312516468479/0001193125-16-468479-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/0001193125-17-054129-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312518054235/0001193125-18-054235-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/0000100517-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/0000100517-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051721000016/0000100517-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051722000009/0000100517-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
