,https://roic.ai/company/RPM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-17700000,- -,227000000,43200000,-43200000,43200000,5500000,202800000,-91800000,16200000,5990000,34762000,-7052000,63844000,16680000,179032000,-40438000,49791000,232105000,-233860000,113488000,315439000,-81136000,-93303000,166967000,71401000,-60459000,25891000,302163000,-485518000,351162000,120741000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-4600000,-3400000,-2300000,-1200000,-2200000,-20200000,-4400000,-11700000,-19700000,11100000,4716000,-37578000,25929000,1262000,-31949000,-44429000,-42255000,-23864000,-28361000,75014000,-15059000,-71523000,7115000,-40039000,-59001000,-31348000,-17733000,-70726000,-34102000,-16829000,21309000,-68802000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119327000,19638000,55896000,13635000,72070000,42216000,-16249000,-5958000,16247000,51641000,-29628000,-27111000,151388000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,227000000,270200000,227000000,270200000,275700000,478500000,386700000,402900000,408890000,443652000,436600000,500444000,517124000,696156000,655718000,705509000,937614000,703754000,817242000,1132681000,1051545000,958242000,1125209000,1196610000,1136151000,1162042000,1464205000,978687000,1329849000,1450590000
82,Other Non-Cash Items,- -,- -,- -,- -,3800000,-10100000,-235200000,-46700000,16200000,-60000000,-24300000,-263200000,58000000,-55200000,-23554000,-104722000,43939000,49517000,-90268000,-192704000,344449000,-170122000,-56578000,294959000,-216357000,-359074000,79558000,303256000,-300687000,-208856000,28715000,5050000,-392799000,333571000,-270109000,-65199000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,26000000,36100000,45700000,57300000,51500000,81200000,87000000,69000000,111000000,117700000,102578000,74495000,191370000,160629000,152997000,157352000,185489000,202305000,234714000,266995000,203936000,238166000,294872000,368454000,278149000,330448000,474706000,386127000,390383000,292941000,549919000,766156000
84,CAPEX,- -,- -,- -,- -,-10700000,-16400000,-17100000,-28500000,-25700000,-28200000,-33200000,-35800000,-108100000,-98000000,-63185000,-54118000,-39931000,-41814000,-51253000,-55609000,-61155000,-70393000,-71840000,-54986000,-23241000,-39826000,-71615000,-91367000,-93792000,-85363000,-117183000,-126109000,-114619000,-136757000,-147756000,-157199000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-323033000,-2645000,-3138000,-65994000,-37703000,-20100000,-174625000,-124154000,-123130000,-15817000,-90661000,-37671000,-195256000,-397425000,-39248000,-467573000,-51992000,-254200000,-112442000,-168205000,-65102000,-165223000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17500000,-13400000,-27200000,-31700000,-19816000,-21906000,-15693000,-15145000,-36955000,-44309000,-60311000,-96695000,-110225000,-75410000,-105364000,-92060000,-69824000,-106301000,-83536000,-61511000,-32280000,-38062000,-181953000,-19787000,-28891000,-121669000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,15000000,17400000,29900000,13142000,28283000,19495000,11376000,21410000,39154000,50105000,78530000,92413000,65862000,93972000,77035000,51415000,103501000,62896000,40279000,32631000,76588000,138803000,69743000,31337000,112298000
88,Other Investing Activites,- -,- -,- -,- -,-44900000,16200000,-124300000,- -,-4100000,-173500000,-33800000,-307000000,129100000,1700000,54790000,32341000,1569000,1176000,3239000,4896000,11605000,4461000,43568000,-56182000,-24900000,-53244000,-53657000,-77179000,-89823000,-70648000,-114225000,-123991000,-105601000,-129997000,-146957000,-151794000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-55600000,-200000,-141400000,-28500000,-29800000,-201700000,-73500000,-341200000,11200000,-98100000,-338102000,-18045000,-37698000,-110401000,-101262000,-75968000,-234381000,-208251000,-169214000,-81547000,-126953000,-105940000,-267322000,-477404000,-149711000,-559453000,-165866000,-339665000,-261193000,-248246000,-209613000,-326388000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51412000,-319642000,-24502000,-36128000,-49376000,-215105000,-162318000,-147155000,-154348000,-276406000,-273109000,-471035000,-188278000
91,Common Stock Issued,- -,- -,- -,- -,600000,200000,500000,700000,600000,700000,1100000,1300000,2200000,2200000,876000,411000,165438000,3286000,5796000,12543000,10636000,25833000,10689000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,-71472000,-11101000,- -,-1167000,- -,- -,- -,- -,-6057000,-45360000,- -,-21811000,-6985000,-3013000,-12907000,-39528000,-71346000,-21948000,-17152000,-221980000,-143075000,-72782000
93,Dividends Paid,- -,- -,- -,- -,-15000000,-18300000,-20700000,-22400000,-30100000,-31300000,-36700000,-39700000,-43500000,-50400000,-51901000,-50605000,-52409000,-59139000,-63651000,-68933000,-74427000,-82106000,-90638000,-101836000,-105430000,-108585000,-112153000,-117647000,-125743000,-136179000,-144350000,-156752000,-167476000,-181409000,-185101000,-194720000
94,Other Financing Activites,- -,- -,- -,- -,40500000,-2000000,124600000,-9900000,3300000,152500000,22100000,328300000,-77600000,25000000,370467000,-1539000,-248981000,11101000,-6278000,120488000,33910000,101505000,74483000,60004000,326443000,212615000,37825000,308186000,216512000,448218000,156746000,369019000,221658000,622656000,482341000,-3839000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,26100000,-20100000,104400000,-31600000,-26200000,121900000,-13500000,289900000,-118900000,-40200000,247970000,-62834000,-135952000,-45919000,-64133000,64098000,-29881000,45232000,-11523000,-138604000,-98629000,57717000,-117441000,138150000,-137243000,110193000,-206105000,35971000,-239376000,-53842000,-316870000,-459619000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-835000,-1030000,526000,4244000,234000,4099000,3249000,11114000,18258000,-24708000,-16386000,29713000,-29152000,-1614000,-1881000,-39345000,-12294000,2912000,4111000,-12107000,-13188000,33139000
97,Net Change In Cash,- -,- -,- -,- -,26100000,-20100000,104400000,-31600000,-26200000,121900000,-13500000,289900000,-118900000,-21100000,11611000,-7414000,18246000,8553000,-12164000,149581000,-75524000,50400000,72235000,22136000,-38032000,219656000,-119043000,27586000,-10686000,-158157000,90441000,85345000,-106075000,-21254000,10248000,13288000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19700000,31340000,23926000,42172000,50725000,38561000,184140000,108616000,159016000,231251000,253387000,215355000,435011000,315968000,343554000,332868000,174711000,265152000,350497000,244422000,223168000,233416000,246704000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6000000,2800000,18600000,23000000,22900000,18400000,19800000,19900000,37400000,40800000,19729000,31340000,23926000,42172000,50725000,34559000,184140000,108616000,159016000,231251000,253387000,215355000,435011000,315968000,343554000,332868000,174711000,265152000,350497000,244422000,223168000,233416000
100,Free Cash Flow,- -,- -,- -,- -,15300000,19700000,28600000,28800000,25800000,53000000,53800000,33200000,2900000,19700000,39393000,20377000,151439000,118815000,101744000,101743000,124334000,131912000,162874000,212009000,180695000,198340000,223257000,277087000,184357000,245085000,357523000,260018000,275764000,156184000,402163000,608957000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/110621/000095015294000879/0000950152-94-000879-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015295001893/0000950152-95-001893-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015296004398/0000950152-96-004398-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015297006314/0000950152-97-006314-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015298007084/0000950152-98-007084-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015299007173/0000950152-99-007173-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015200006308/0000950152-00-006308-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015201504169/0000950152-01-504169-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015206007634/0000950152-06-007634-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015203008012/0000950152-03-008012-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015204006325/0000950152-04-006325-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015205007057/0000950152-05-007057-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015206006828/0000950152-06-006828-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015207006193/0000950152-07-006193-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015208005780/0000950152-08-005780-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095012309026127/0000950123-09-026127-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095012310069889/0000950123-10-069889-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312511198745/0001193125-11-198745-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312512316906/0001193125-12-316906-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312513300693/0001193125-13-300693-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312514310185/0001193125-14-310185-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312515264092/0001193125-15-264092-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459016021706/0001564590-16-021706-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459017013863/0001564590-17-013863-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459018017180/0001564590-18-017180-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459019025795/0001564590-19-025795-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459020033611/0001564590-20-033611-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459021037949/0001564590-21-037949-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
