,https://roic.ai/company/NHTC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,447378,3026436,1685313,4511772,3046767,4035674,4849417,3820339,2248000,2023000,3424000,2168000,1746000,2478000,3115000,2208000,1385000,3058000,2232000,2862000,2145000,1751000,1631000,680000,580000,761000
49,Short-Term Debt,424802,2237771,314684,1523931,451751,729158,605860,314103,796000,109000,- -,203000,1534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1163000,1239000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1481000,1345000
51,Deferred Revenue,- -,- -,- -,- -,119413,- -,- -,6633586,9551000,9897000,5641000,3496000,2841000,2586000,1029000,967000,836000,2569000,2687000,4011000,4948000,4455000,6795000,4506000,3091000,8536000
52,Other Current Liabilities,1148901,3199702,898025,2381103,2694580,373123,1506091,5072129,10901000,14673000,12523000,9234000,4718000,3713000,4040000,3757000,4089000,8123000,19506000,54700000,50061000,35715000,34658000,21116000,16672000,14120000
53,Total Current Liabilities,2021081,8463909,2898022,8416806,6312511,5137955,6961368,15840157,23496000,26702000,21588000,15101000,10839000,8777000,8184000,6932000,6310000,13750000,24425000,61573000,57154000,41921000,43084000,26302000,21506000,24656000
54,Long-Term Debt,1899577,2434358,- -,- -,- -,292313,77750,30665,22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2775000,1928000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000,56000,186000,202000,216000,153000
57,Other Non-Current Liabilities,380000,511140,380000,53158,15779,- -,- -,- -,960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1665000,5770000,8190000,26956000,24790000,16929000,13748000,12130000
58,Total Non-Current Liabilities,2279577,2945498,380000,53158,15779,292313,77750,30665,982000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1665000,5770000,8458000,27012000,24976000,17131000,16739000,14211000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
