,https://roic.ai/company/TOL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100463000,82101000,28729000,524553000,-140463000,57927000,-64518000,71835000,214825000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,501800000,525000000,642300000,879700000,963000000,1258300000,1498195000,865306000,1915215000,2532639000,3015323000,3957020000,5306974000,4666948000,4118029000,4294286000,3812179000,3958037000,4517418000,5237227000,6688380000,7627873000,7335283000,7300018000,8057106000,8465569000,8159795000,165637000
82,Other Non-Cash Items,- -,- -,- -,- -,4600000,17300000,18700000,-46500000,-84900000,-569800000,-122000000,-229000000,-316700000,-220600000,-525900000,-416420000,254158000,-1376227000,-953323000,-834327000,-1464221000,-2182708000,1192807000,1880998000,422144000,246779000,-168713000,-900742000,-1577511000,-1558142000,-1338380000,-10804000,219952000,-934479000,-761902000,676288000,13076000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-36100000,31600000,27600000,-25300000,-55100000,-29500000,-46500000,-53800000,-6900000,-46700000,-120900000,-16863000,-148379000,-94105000,-46071000,111612000,334696000,-104454000,330469000,826796000,283191000,-146284000,52850000,-168962000,-568963000,313200000,60182000,148771000,959719000,602401000,437661000,1008117000,1303127000
84,CAPEX,- -,- -,- -,- -,-2500000,-600000,-500000,-1400000,-1800000,-3000000,-2500000,-3600000,-5300000,-2800000,-19400000,-9415000,-15020000,-14170000,-15475000,-20408000,-43029000,-41740000,-14975000,-8158000,-2712000,-4830000,-9553000,-14495000,-26155000,-2089000,-2624000,-1133000,-710000,-966000,2416000,698000,-66878000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32299000,- -,- -,- -,- -,-144746000,-23589000,-1528300000,-84174000,-21849000,-9917000,105699000,-71006000,-84596000,-18428000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-15500000,- -,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4575434000,-2965350000,-5804335000,-1523227000,-132666000,-216248000,-519863000,-827208000,-36202000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,13500000,- -,3700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4690463000,2877331000,5769805000,1463487000,3205000,69696000,454946000,423328000,445216000,93372000,39625000,59619000,31814000,4765000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,6500000,6900000,6400000,16600000,13400000,5300000,700000,1100000,200000,1200000,-15200000,13589000,15750000,-5326000,-10718000,-50641000,-40428000,-44750000,42790000,3268000,- -,- -,- -,- -,-26155000,-2089000,1224000,-1133000,-710000,-966000,82063000,16315000,81070000
89,Cash Used for Investing Activites,- -,- -,- -,- -,4000000,6300000,5900000,-300000,25100000,600000,1900000,-2500000,-5100000,-1600000,-34600000,4174000,730000,-19496000,-26193000,-71049000,31572000,-174509000,25584000,-64630000,-132173000,-151382000,-74470000,-563121000,332703000,-1452091000,-52772000,8211000,-7685000,81266000,-75914000,-177845000,-4236000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1293026000,-1410500000,-1011458000,-1016081000,-1359377000,-2035075000,-1959458000,-2497585000,-2686857000,-2690164000,-3071616000,-4112956000,-3719233000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,18300000,1300000,1300000,900000,2600000,4300000,3200000,4900000,2200000,11936000,14932000,12997000,96719000,14725000,44729000,15103000,22275000,17982000,- -,- -,- -,- -,- -,220365000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-600000,-800000,- -,- -,- -,- -,- -,- -,- -,-3300000,-16700000,-33232000,-71767000,-31087000,-25565000,-20241000,-118767000,-109845000,-1818000,-1994000,-1473000,-588000,-49102000,-505000,-15377000,-90754000,-56888000,-392772000,-290881000,-503159000,-233523000,-634057000,-378256000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38587000,-61704000,-63641000,-56588000,-76623000
94,Other Financing Activites,- -,- -,- -,- -,14700000,-35900000,-30600000,26300000,27600000,33700000,31800000,47100000,133400000,-20700000,186300000,99361000,225464000,51188000,324024000,120565000,-68845000,317010000,-108697000,-44996000,1317704000,940096000,949460000,1621153000,1605162000,2857698000,2341614000,2448097000,2143405000,3040726000,3110266000,4050290000,3163029000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,14100000,-36700000,-12300000,27600000,28900000,34600000,34400000,51400000,136600000,-19100000,171800000,78065000,168629000,33098000,395178000,115049000,-142883000,222268000,-88240000,-29008000,23205000,-470992000,-111100000,604567000,230408000,952234000,325268000,-442260000,-872920000,-214301000,-258514000,-753311000,-1011083000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,14100000,-36700000,-12300000,27600000,28900000,- -,- -,- -,- -,- -,16400000,65376000,20980000,-80503000,322914000,155612000,223385000,-56695000,267813000,733158000,174223000,-768658000,-132720000,-127516000,-5852000,-186657000,332678000,-285278000,79114000,469366000,103233000,76961000,287808000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96500000,161860000,182840000,102337000,425251000,580863000,689219000,632524000,900337000,1633495000,1807718000,1039060000,906340000,778824000,772972000,586315000,918993000,633715000,712829000,1182195000,1319643000,1396604000,1684412000
99,Cash at the Beginning of Period,- -,- -,- -,- -,27100000,9200000,10400000,31500000,33400000,32300000,38000000,27800000,22900000,147600000,80100000,96484000,161860000,182840000,102337000,425251000,465834000,689219000,632524000,900337000,1633495000,1807718000,1039060000,906340000,778824000,772972000,586315000,918993000,633715000,712829000,1216410000,1319643000,1396604000
100,Free Cash Flow,- -,- -,- -,- -,-38600000,31000000,27100000,-26700000,-56900000,-32500000,-49000000,-57400000,-12200000,-49500000,-140300000,-26278000,-163399000,-108275000,-61546000,91204000,291667000,-146194000,315494000,818638000,280479000,-151114000,43297000,-183457000,-595530000,298126000,50735000,120345000,930847000,574169000,350690000,898553000,1236249000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794170/000079417095000004/0000794170-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417096000001/0000794170-96-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/794170/0000794170-98-000002-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794170/000095011606000078/ten-k.htm,https://www.sec.gov/Archives/edgar/data/794170/000112528207000094/b416604_10k.htm,https://www.sec.gov/Archives/edgar/data/794170/000089322007004038/0000893220-07-004038-index.html,https://www.sec.gov/Archives/edgar/data/794170/000089322008003218/0000893220-08-003218-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012309072352/0000950123-09-072352-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012310115566/0000950123-10-115566-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012311103874/0000950123-11-103874-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417012000030/0000794170-12-000030-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417013000059/0000794170-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417014000044/0000794170-14-000044-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417015000059/0000794170-15-000059-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417016000131/0000794170-16-000131-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417017000065/0000794170-17-000065-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417018000055/0000794170-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417019000067/0000794170-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417020000066/0000794170-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/794170/000079417021000079/0000794170-21-000079-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
