,https://roic.ai/company/WEN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-325000,-200000,- -,-93893000,-2886000,-4094000,-9622000,7917000,-3123000,- -,-19585000,144500000,107432000,- -,281564000,-5272000,-18178000,-1604000,- -,1212000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17700000,-33800000,-64400000,-60400000,- -,-107100000,-167479000,- -,-40870000,- -,- -,- -,-426653000,-110326000,- -,- -,- -,- -,- -,- -,-1150000,- -,-2106000,-375000,-13000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,800000,- -,- -,- -,11000000,29800000,21600000,62900000,- -,99600000,- -,- -,- -,- -,- -,- -,- -,161857000,51066000,38141000,32158000,- -,27949000,2691000,2193000,- -,621000,4111000,450000000,24496000,- -,169000
88,Other Investing Activites,- -,- -,- -,- -,- -,-9400000,-500000,-6500000,24400000,38500000,-91600000,233900000,69400000,- -,24800000,1400000,151089000,-761000,58419000,- -,-32347000,5344000,-14371000,182476000,-101677000,-141957000,- -,-197749000,-223881000,-296287000,- -,-244699000,-65775000,-68898000,-77823000,- -,-69631000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-55900000,-38300000,-31800000,600000,-48600000,-165600000,161000000,-260600000,- -,-7500000,-178034000,125703000,-42063000,52949000,- -,-138775000,-504445000,-39924000,116931000,-55619000,-112922000,- -,-189385000,-76690000,-187812000,- -,35380000,-67311000,362911000,-54931000,- -,-68250000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210371000,-474791000,- -,-1087461000,-598732000,-38380000,- -,-1327223000,-28270000,-900072000,-906635000,- -,-199845000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,6100000,- -,9700000,- -,- -,- -,- -,- -,3900000,22671000,5677000,6127000,13688000,- -,14994000,8596000,1370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54700000,-68315000,-51033000,-6987000,-41700000,- -,- -,- -,- -,- -,-72927000,-173537000,- -,- -,-69320000,-301216000,- -,-1098717000,-126231000,-269809000,-217797000,- -,-62173000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5800000,- -,- -,- -,- -,- -,- -,- -,- -,-8515000,- -,-18168000,-70040000,-32117000,-30538000,-27976000,-27621000,- -,-39043000,-70681000,-75117000,- -,-71845000,-68322000,-80532000,-96364000,- -,-64866000
94,Other Financing Activites,- -,- -,- -,- -,- -,-31800000,-20400000,-64000000,26600000,23400000,166400000,-107300000,210200000,- -,72100000,241199000,4558000,-30288000,124369000,- -,-31801000,-90777000,-19456000,-142387000,570667000,481799000,- -,1102375000,615832000,40151000,- -,2322061000,5739000,944651000,855500000,- -,168977000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-31800000,-14300000,-64000000,36300000,17600000,166400000,-107300000,210200000,- -,21300000,195555000,-40798000,-31148000,87842000,- -,-34975000,-152221000,-50203000,-172925000,259393000,-194150000,- -,-24129000,-122901000,-374562000,- -,-175724000,-217084000,-305762000,-365296000,- -,-157907000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4123000,2725000,1611000,- -,1229000,-3465000,-5278000,- -,-12196000,5962000,-7689000,3489000,- -,1330000
97,Net Change In Cash,- -,- -,- -,- -,- -,-31800000,-14300000,-64000000,36300000,-38700000,166400000,-107300000,210200000,- -,21300000,66799000,-89674000,-48989000,104122000,- -,-192518000,-54688000,-70036000,11974000,501629000,-79211000,- -,-21870000,126791000,-312876000,- -,59940000,-26793000,273688000,-127805000,- -,59534000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,80100000,- -,- -,- -,- -,- -,118997000,506461000,457472000,560510000,- -,367992000,148152000,78116000,90090000,591719000,512508000,- -,453361000,580152000,267276000,- -,327216000,171447000,486512000,358707000,- -,418241000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,59600000,32600000,42500000,20500000,118800000,80100000,64200000,154200000,- -,129500000,52198000,596135000,506461000,456388000,- -,560510000,202840000,148152000,78116000,90090000,591719000,- -,475231000,453361000,580152000,- -,267276000,198240000,212824000,486512000,- -,358707000
100,Free Cash Flow,- -,- -,- -,- -,- -,13500000,24700000,53400000,15400000,-88100000,-86700000,6400000,-306700000,- -,-6800000,37323000,-199965000,24115000,-41939000,- -,-31303000,521728000,-52899000,-34898000,196884000,78281000,- -,-7175000,105602000,-43695000,- -,-39142000,169930000,154371000,214480000,- -,215392000
101,SEC Link,undefined,undefined,- -,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30697/000003069795000008/0000030697-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069796000011/0000030697-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069797000035/0000030697-97-000035-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069798000080/0000030697-98-000080-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/30697/000095011701000685/0000950117-01-000685-index.html,https://www.sec.gov/Archives/edgar/data/30697/000095011702000649/0000950117-02-000649-index.html,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/30697/000093041307001881/c46998_10k.htm,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069713000003/0000030697-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069714000006/twc10k2013.htm,https://www.sec.gov/Archives/edgar/data/30697/000003069715000003/twc10k2014.htm,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069716000011/0000030697-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069718000003/0000030697-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069719000004/0000030697-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069720000002/0000030697-20-000002-index.html,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069721000002/0000030697-21-000002-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
