,https://roic.ai/company/SMTC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-1000000,-1400000,-100000,-900000,-3400000,-8528000,-11956000,-16455000,-19065000,-23237000,-403557000,174909000,377000,197283000,370000,-8387000,-55904000,75263000,8751000,174365000,-143500000,-130235000,145971000,99432000,-26693000,73504000,-95238000,-54902000,-13454000,5746000,13458000,4402000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1800000,1600000,2200000,1500000,200000,400000,6210000,5794000,16144000,21195000,36601000,86004000,64720000,62629000,35793000,70127000,65055000,74185000,61349000,77975000,83324000,93801000,99832000,101968000,117981000,106160000,102076000,117612000,111485000,183563000,118616000,118930000,203123000
84,CAPEX,- -,- -,- -,- -,-1700000,-600000,-1600000,-600000,-1100000,-1000000,-4427000,-3512000,-6192000,-5590000,-15009000,-22667000,-20812000,-9914000,-7495000,-16523000,-10564000,-3249000,-3765000,-9057000,-8682000,-25537000,-24564000,-24517000,-40694000,-32855000,-13026000,-32920000,-35461000,-17052000,-23056000,-32734000,-26181000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16418000,- -,- -,- -,- -,- -,-42445000,- -,- -,- -,-178061000,- -,- -,-491717000,- -,-4852000,-39171000,32000000,-17619000,-15948000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-900000,-100000,- -,- -,-346000,-1095000,- -,- -,-130516000,-285623000,- -,-7833000,-183265000,-98392000,-182263000,-111300000,-184639000,-245187000,-168802000,-93330000,-27244000,-3550000,-7148000,-14630000,-13198000,-18665000,-9297000,-11630000,-10938000,-8245000
87,Sales/Maturities of Investments,- -,- -,- -,- -,200000,400000,- -,- -,- -,200000,410000,- -,- -,204000,- -,- -,- -,93108000,179400000,141185000,105421000,217478000,247298000,114124000,275056000,110987000,131748000,112466000,10249000,3674000,- -,555000,- -,5967000,- -,378000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-800000,2000000,-100000,- -,-100000,30000,75000,31000,62000,- -,-59215000,731000,49700000,102000,208000,- -,752000,10050000,20000,108000,76000,-2954000,-1251000,-3476000,-1011000,- -,48000,5889000,112000,352000,385000,-5890000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1500000,-1000000,400000,-1600000,-1200000,-900000,-3987000,-3783000,-7256000,-5324000,-31427000,-212398000,-305704000,132894000,164174000,-58395000,-45980000,32718000,142283000,-79552000,-156766000,-83276000,13900000,-431012000,-33938000,-41092000,-66827000,-13515000,-65856000,-36218000,-34334000,-42909000,-40316000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2450000,- -,- -,-16875000,-368501000,-43749000,-30750000,-261875000,-15000000,-15938000,-216312000,-16000000,-28000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,- -,100000,100000,442000,230000,1931000,6145000,11743000,16987000,28597000,11678000,7673000,12741000,12413000,3146000,16766000,9087000,- -,- -,42661000,12855000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74000,- -,- -,- -,-13850000,-1018000,-32226000,-9072000,-7038000,-38589000,-46869000,-14240000,-219933000,-35063000,-2931000,-2819000,-50665000,-7769000,-30000000,-40906000,-57311000,-1005000,-14849000,-116210000,-70219000,-71433000,-129746000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,200000,-300000,-800000,-100000,200000,300000,312000,2000,-1510000,245000,1091000,388489000,-32573000,-107626000,-241599000,- -,-1400000,1529000,9750000,2287000,11781000,30714000,2279000,336938000,334460000,6721000,34294000,244107000,-4991000,-11000000,183453000,-13021000,5649000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,200000,-300000,-700000,-100000,300000,400000,680000,232000,421000,6390000,-1016000,404458000,-36202000,-105020000,-240964000,-25848000,-35856000,-9565000,-193417000,-23689000,6400000,27895000,-5725000,325149000,-64041000,-77934000,-53767000,-18773000,-34840000,-143148000,-103078000,-100454000,-152097000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,-130000,69000,60000,-34000,32000,-107000,304000,238000,270000,-44000,170000,1000,- -,43000,-26000,1000,-4000,65000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,200000,-300000,-700000,-100000,300000,400000,2773000,2312000,9369000,22227000,4190000,277957000,-276882000,90741000,-40727000,-14160000,-16611000,97339000,10215000,-25223000,-67068000,38421000,108003000,-3830000,20002000,-12866000,-18518000,85324000,10789000,4197000,-18796000,-24433000,10710000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6034000,8346000,18808000,41035000,45225000,323182000,46300000,137041000,96314000,82154000,65543000,162882000,172889000,147666000,80598000,119019000,227022000,223192000,243194000,230328000,211810000,297134000,307923000,312120000,293324000,268891000,279601000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1000000,1500000,1900000,3900000,3500000,2900000,3261000,6034000,9439000,18808000,41035000,45225000,323182000,46300000,137041000,96314000,82154000,65543000,162674000,172889000,147666000,80598000,119019000,227022000,223192000,243194000,230328000,211810000,297134000,307923000,312120000,293324000,268891000
100,Free Cash Flow,- -,- -,- -,- -,100000,1000000,600000,900000,-900000,-600000,1783000,2282000,9952000,15605000,21592000,63337000,43908000,52715000,28298000,53604000,54491000,70936000,57584000,68918000,74642000,68264000,75268000,77451000,77287000,73305000,89050000,84692000,76024000,166511000,95560000,86196000,176942000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88941/000089843096001453/0000898430-96-001453-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88941/000102140803006503/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312504059865/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312505077787/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312506079819/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312507080940/0001193125-07-080940-index.html,https://www.sec.gov/Archives/edgar/data/88941/000119312508067303/d10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000119312509063579/0001193125-09-063579-index.html,https://www.sec.gov/Archives/edgar/data/88941/000119312510075183/0001193125-10-075183-index.html,- -,https://www.sec.gov/Archives/edgar/data/88941/000119312512140125/0001193125-12-140125-index.html,https://www.sec.gov/Archives/edgar/data/88941/000144530513000732/0001445305-13-000732-index.html,https://www.sec.gov/Archives/edgar/data/88941/000144530514001181/smtc-01262014x10k.htm,https://www.sec.gov/Archives/edgar/data/88941/000162828015002037/smtc-01252015.htm,https://www.sec.gov/Archives/edgar/data/88941/000162828016013952/0001628280-16-013952-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828017002859/0001628280-17-002859-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828018003489/0001628280-18-003489-index.html,https://www.sec.gov/Archives/edgar/data/88941/000162828019003241/0001628280-19-003241-index.html,https://www.sec.gov/Archives/edgar/data/88941/000008894120000003/0000088941-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/88941/000008894121000006/0000088941-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/88941/000008894122000006/0000088941-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
