,https://roic.ai/company/SCX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19986000,- -,- -,-208000,-110000,- -,-15070000,- -,- -,- -,- -,-1324000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-9700000,- -,-7000000,-3700000,-1500000,- -,- -,- -,- -,- -,- -,-2423000,- -,-9412000,- -,- -,- -,-5016000,- -,- -,-7881000,- -,-8116000,-107000,-45000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,700000,300000,10000000,4707000,3702000,- -,- -,- -,3536000,8924000,5328000,- -,15120000,615000,1250000,- -,6428000,- -,201000,7621000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,-11783000,- -,4715000,- -,394000,2416000,- -,- -,3262000,- -,- -,596000,-648000,-747000,2059000,-1417000,-1462000,-1323000,4090000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-12500000,-12600000,-15500000,-14500000,-10200000,-11300000,-10700000,-13300000,-15800000,-10300000,-9267000,-9496000,-10451000,-17643000,-15757000,1403000,-17538000,-852000,-13584000,5469000,-8761000,-10141000,-25870000,-9476000,-7975000,-5544000,-619000,-3839000,-5762000,-7227000,-10600000,-493000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29155000,-22525000,-1698000,-2151000,-6867000,-4954000,-2148000,-2202000,-1543000,-3444000,-3656000,-5583000,-53807000
91,Common Stock Issued,- -,- -,- -,- -,3400000,3100000,2100000,3600000,2700000,3200000,3100000,3700000,3600000,4000000,3665000,3444000,3598000,2453000,423000,848000,363000,446000,620000,596000,362000,490000,395000,592000,560000,564000,427000,335000,319000,81000,73000,75000
92,Common Stock Repurchased,- -,- -,- -,- -,-3600000,-2700000,-1300000,-1300000,-1700000,-3100000,-4700000,-7100000,-5300000,-9900000,-9045000,-3792000,-1796000,-658000,-632000,-675000,-317000,-1867000,-317000,-263000,- -,-1000,- -,-62000,- -,-68000,-463000,-386000,-563000,-950000,-26000,-32000
93,Dividends Paid,- -,- -,- -,- -,-4500000,-4700000,-4700000,-4800000,-4800000,-4900000,-5100000,-5000000,-5300000,-5500000,-5302000,-5145000,-5187000,-4619000,-2658000,-2660000,-2666000,-2664000,-3432000,-3182000,-2000000,-2149000,-2704000,-2721000,-2775000,-2795000,-2806000,-2817000,-1401000,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-1500000,-1600000,2300000,-2500000,-2700000,-1600000,-1500000,-200000,-5200000,2000000,2790000,2355000,-4050000,-2363000,-1247000,444000,11026000,-4567000,-3722000,30706000,14169000,7218000,24510000,1500000,500000,900000,750000,500000,6797000,4300000,14850000,44751000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-6200000,-5900000,-1600000,-5000000,-6500000,-6400000,-8200000,-8600000,-12200000,-9400000,-7892000,-3138000,-7435000,-5187000,-4114000,-2043000,8406000,-8652000,-6851000,-1298000,-9994000,3860000,20050000,-7558000,-6669000,-3547000,-4294000,-3911000,1708000,-225000,9314000,-9013000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-22600000,-3100000,-7800000,-300000,-200000,-100000,- -,- -,- -,-100000,74000,72000,-87000,128000,149000,88000,173000,387000,230000,-1097000,-473000,2186000,-1774000,-1044000,319000,-2834000,-737000,-325000,219000,-190000,325000,585000
97,Net Change In Cash,- -,- -,- -,- -,-6200000,-5900000,-1600000,-5000000,-6500000,-6400000,-8200000,-8600000,-12200000,-3400000,1737000,-63000,-273000,1634000,-823000,1996000,-503000,3732000,-1193000,3733000,10230000,1094000,-4070000,2253000,-3522000,-5125000,8686000,-5187000,220000,755000,-2124000,-4353000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,2008000,1945000,1672000,3306000,2483000,4479000,3976000,7708000,6515000,10248000,20478000,21572000,17502000,19755000,16233000,11108000,19794000,14607000,14827000,15582000,13458000,9105000
99,Cash at the Beginning of Period,- -,- -,- -,- -,20100000,15900000,13600000,800000,2800000,2400000,2600000,1400000,3100000,3700000,271000,2008000,1945000,1672000,3306000,2483000,4479000,3976000,7708000,6515000,10248000,20478000,21572000,17502000,19755000,16233000,11108000,19794000,14607000,14827000,15582000,13458000
100,Free Cash Flow,- -,- -,- -,- -,24600000,16500000,14000000,14300000,9800000,8200000,6200000,9500000,12600000,-4000000,4848000,-699000,9672000,18476000,12554000,-4300000,1980000,6275000,8028000,-8784000,20192000,-1583000,-7276000,12543000,2339000,1100000,6096000,-2948000,-1707000,1170000,-11763000,-1139000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000009367694000010/0000093676-94-000010-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367695000010/0000093676-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367696000007/0000093676-96-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000009367600500006/0000093676-00-500006-index.html,https://www.sec.gov/Archives/edgar/data/93676/000009367601500011/0000093676-01-500011-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000119312506195818/0001193125-06-195818-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93676/000143774911006794/0001437749-11-006794-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774912009437/0001437749-12-009437-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774913011657/0001437749-13-011657-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774914016832/0001437749-14-016832-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774915016368/0001437749-15-016368-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774916038031/0001437749-16-038031-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774917015326/0001437749-17-015326-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774918016125/0001437749-18-016125-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774919017436/0001437749-19-017436-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000143774920020023/0001437749-20-020023-index.htm,https://www.sec.gov/Archives/edgar/data/93676/000009367621000016/0000093676-21-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
