,https://roic.ai/company/GENC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,2200000,2400000,-2400000,1600000,- -,200000,-7921870,-35026198,-15835616,-34220000,133234000,7790000,-74376000,3097000,-526000,-2537000,-130675000,-23721000,-71127000,-31036000,4891000,-7000000,5142000,-11744000,-6859000,-12585000,9409000,-13393000,-14309000,-38620000,-22286000,19356000,-5428000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3100000,-100000,2100000,- -,600000,3900000,-1913492,-2943819,5688000,-1238000,3117000,15332000,11656000,784000,205000,-502000,-34071000,-17251000,-22388000,-13019000,559000,-297000,177000,2517000,7394000,-2364000,4512000,6993000,6108000,-11997000,4163000,26774000,3820000
84,CAPEX,- -,- -,- -,- -,-600000,-400000,-200000,-400000,-300000,-500000,-462513,-1344991,-1580000,-4882000,-1613000,-1624000,-88000,-304000,-174000,-366000,-1202000,-413000,-637000,-2096000,-320000,-539000,-1466000,-871000,-1198000,-696000,-689000,-306000,-1624000,-3550000,-2104000,-1595000,-2659000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-3173000,- -,- -,48778000,- -,- -,- -,- -,- -,- -,- -,-345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13777000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,700000,100000,100000,-100000,600000,-441667,235551,416000,-4958000,-980000,-1182000,4002000,1895000,13254000,358000,44238000,14547000,25418000,15624000,-320000,-376000,-1466000,-871000,-1198000,-11000,-689000,-306000,-1617000,-3550000,-2104000,-1595000,-2659000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-600000,300000,-100000,-300000,-400000,100000,-441667,235551,-1584000,-8131000,-980000,-1182000,52780000,1895000,13254000,-8000,43036000,14134000,24781000,13528000,-617000,-376000,-1466000,-871000,-1198000,-11000,-689000,-306000,-1617000,-3550000,-2104000,-1595000,-16436000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4210743,-1375369,-15309000,-50766000,-4823000,-10730000,-68231000,-4797000,-30405000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1675000,252000,58000,- -,- -,- -,- -,- -,303000,34000,214000,22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86661,-90000,-219000,-275000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-1200000,-1100000,-2200000,-700000,100000,-600000,3056310,5256649,18603000,58825000,4391000,5500000,- -,- -,5321000,380000,-5701000,- -,- -,- -,- -,- -,- -,- -,- -,11000,136000,380000,223000,626000,231000,103000,264000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1200000,-1100000,-2200000,-700000,100000,-600000,-1154433,3794619,4879000,8092000,-649000,-5230000,-68231000,-4797000,-25084000,380000,-5398000,34000,214000,22000,- -,- -,- -,- -,- -,11000,136000,380000,223000,626000,231000,103000,264000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,532,-473,-197000,-162000,-446000,-530000,-18000,265000,54000,-54000,89000,-13000,-10000,-170000,-333000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3509060,1085878,8786000,-1439000,1042000,8390000,-3813000,-1853000,-11571000,-184000,3656000,-3096000,2597000,361000,-391000,-673000,-1289000,1646000,6196000,-2364000,3959000,7067000,4714000,-14921000,2290000,25282000,-12352000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415668,1501546,10287000,8848000,9581000,17971000,14158000,12305000,734000,550000,4206000,1110000,3707000,4068000,3677000,3004000,1715000,3361000,9557000,7193000,11152000,18219000,22933000,8012000,10302000,35584000,23232000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1500000,2800000,1500000,1300000,200000,400000,3924728,415668,1501000,10287000,8539000,9581000,17971000,14158000,12305000,734000,550000,4206000,1110000,3707000,4068000,3677000,3004000,1715000,3361000,9557000,7193000,11152000,18219000,22933000,8012000,10302000,35584000
100,Free Cash Flow,- -,- -,- -,- -,2500000,-500000,1900000,- -,300000,3400000,-2376005,-4288810,4108000,-6120000,1504000,13708000,11568000,480000,31000,-868000,-35273000,-17664000,-23025000,-15115000,239000,-836000,-1289000,1646000,6196000,-3060000,3823000,6687000,4484000,-15547000,2059000,25179000,1161000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64472/000093176395000223/0000931763-95-000223-index.html,https://www.sec.gov/Archives/edgar/data/64472/000093176396001109/0000931763-96-001109-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64472/000119312503099730/0001193125-03-099730-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312504217456/0001193125-04-217456-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312505248438/0001193125-05-248438-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312506259225/0001193125-06-259225-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312507267732/0001193125-07-267732-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312508252779/0001193125-08-252779-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312509261021/0001193125-09-261021-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312510286643/0001193125-10-286643-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312511343866/0001193125-11-343866-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312512502875/0001193125-12-502875-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312513472948/0001193125-13-472948-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312514437215/0001193125-14-437215-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312515398371/0001193125-15-398371-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312516783228/0001193125-16-783228-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312517362916/0001193125-17-362916-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312518348654/0001193125-18-348654-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312519310985/0001193125-19-310985-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312520320959/0001193125-20-320959-index.htm,https://www.sec.gov/Archives/edgar/data/64472/000119312521361338/0001193125-21-361338-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
