,https://roic.ai/company/TG,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
89,Cash Used for Investing Activites,- -,-44300000,-20000000,-40700000,-30000000,-12900000,62100000,-27900000,56900000,-39600000,-124200000,-338200000,5150000,-13449000,-42088000,-36488000,-50309000,-54984000,-40640000,-36285000,3472000,-31705000,-22150000,-195233000,-75560000,-77604000,-38273000,-31415000,-41993000,-125604000,-34082000,-39928000,32881000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84489000,-21539000,-2815000,- -,-91604000,-76000000,-117779000,-140328000,-105750000,-133750000,-127250000,-125000000,-70250000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,7400000,3889000,517000,2714000,1046000,1871000,1130000,9702000,6471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-3800000,-10700000,- -,- -,- -,-34100000,-25500000,-2000000,-2500000,-37000000,- -,-629000,- -,-1429000,-5170000,- -,- -,- -,-73959000,-19792000,-1523000,-35141000,- -,- -,- -,- -,- -,- -,- -,- -,-854000,-850000
93,Dividends Paid,- -,-100700000,-2800000,-2600000,-2600000,-3300000,-2500000,-2300000,-3200000,-4200000,-5400000,-6000000,-6077000,-6098000,-6134000,-6103000,-6154000,-6190000,-6221000,-6126000,-5447000,-5426000,-5141000,-5761000,-30782000,-9040000,-11007000,-13725000,-14456000,-14532000,-14592000,-15325000,-216049000
94,Other Financing Activites,- -,99700000,-600000,- -,600000,-4600000,-59000000,-800000,2100000,-1200000,-5000000,245100000,-5132000,-3604000,-5218000,-119651000,-36177000,8654000,-50530000,19536000,29069000,244000,980000,126153000,95650000,90317000,116410000,109858000,96457000,191445000,77754000,63867000,161557000
95,Cash Used/Provided by Financing Activities,- -,-4800000,-14100000,-2600000,-2000000,-7900000,-95600000,-28600000,-3100000,-7900000,-41200000,246500000,-7949000,-9185000,-10067000,-129878000,-40460000,3594000,-47049000,-54078000,-80659000,-28244000,-42117000,120392000,-26736000,5277000,-12376000,-44195000,-23749000,43163000,-64088000,-77312000,-125592000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1873000,548000,2128000,-461000,1422000,386000,-1176000,-407000,-593000,-3147000,-4546000,2225000,1206000,-1718000,-1598000,-1238000
97,Net Change In Cash,- -,-4800000,-14100000,-2600000,-2000000,-7900000,-95600000,-28600000,-3100000,-7900000,-41200000,400000,18778000,52280000,13118000,-89985000,3051000,440000,17464000,7319000,-2242000,44688000,-17472000,-4252000,-20117000,3795000,-2561000,-5900000,-14645000,6980000,-2094000,-2975000,-19576000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25800000,44530000,96810000,109928000,19943000,22994000,23434000,40898000,48217000,45975000,90663000,73191000,68939000,48822000,52617000,50056000,44156000,29511000,36491000,34397000,31422000,11846000
99,Cash at the Beginning of Period,- -,3800000,1700000,2300000,500000,- -,- -,9000000,2100000,101300000,120100000,25400000,25752000,44530000,96810000,109928000,19943000,22994000,23434000,40898000,48217000,45975000,90663000,73191000,68939000,48822000,52617000,50056000,44156000,29511000,36491000,34397000,31422000
100,Free Cash Flow,- -,3600000,-5100000,14900000,10500000,-1200000,26900000,20800000,21300000,43600000,-24200000,-168400000,-58253000,35924000,33937000,10573000,38169000,-8840000,64032000,74911000,56171000,67364000,25991000,55885000,49334000,-2946000,6337000,41425000,3415000,43853000,56980000,64999000,51018000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850429/000091664196000185/0000916641-96-000185-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850429/000085042903000008/form10k2002.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042904000020/d58455_10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923205001684/d62922_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042906000026/d67223_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000114036107004885/form10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923208001244/d73812_10-k.htm,https://www.sec.gov/Archives/edgar/data/850429/000116923209001322/0001169232-09-001322-index.html,https://www.sec.gov/Archives/edgar/data/850429/000114036110010058/0001140361-10-010058-index.html,https://www.sec.gov/Archives/edgar/data/850429/000119312511055974/d10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000119312512094064/0001193125-12-094064-index.html,https://www.sec.gov/Archives/edgar/data/850429/000119312513086552/0001193125-13-086552-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042914000024/tg-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042915000015/tg-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/850429/000085042916000109/0000850429-16-000109-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042917000018/0000850429-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042918000014/0000850429-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042919000008/0000850429-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042920000014/0000850429-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/850429/000085042921000020/0000850429-21-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
