,https://roic.ai/company/PEP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,901400000,1076900000,1080200000,374300000,1587900000,1752000000,1606000000,1149000000,2142000000,1993000000,2050000000,2183000000,2662000000,3313000000,3568000000,4212000000,4078000000,5642000000,5658000000,5142000000,5946000000,6320000000,6443000000,6178000000,6740000000,6513000000,5452000000,6329000000,4857000000,12515000000,7314000000,7120000000,7618000000
74,Depreciation and Amortization,- -,- -,- -,- -,772000000,884000000,1034500000,1214900000,1444200000,1576500000,1740000000,1719000000,1106000000,1234000000,1032000000,960000000,1082000000,1112000000,1221000000,1264000000,1308000000,1406000000,1426000000,1543000000,1635000000,2327000000,2737000000,2689000000,2663000000,2625000000,2416000000,2368000000,2369000000,2399000000,2432000000,2548000000,3215000000
75,Deferred Income Tax,- -,- -,- -,- -,71200000,106100000,122600000,-52000000,83300000,-66900000,-111000000,11000000,51000000,150000000,529000000,63000000,162000000,288000000,-323000000,17000000,440000000,-510000000,118000000,573000000,284000000,500000000,495000000,321000000,-1058000000,-19000000,78000000,452000000,3070000000,-559000000,445000000,361000000,488000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000000,227000000,299000000,326000000,278000000,303000000,297000000,295000000,284000000,292000000,256000000,237000000,264000000,301000000
77,Change in Working Capital,- -,- -,- -,- -,12900000,- -,- -,- -,- -,- -,316000000,-316000000,1994000000,-5546000000,3937000000,284000000,186000000,-494000000,154000000,1372000000,-839000000,1222000000,128000000,-379000000,1796000000,-2138000000,-2390000000,2344000000,2733000000,-1793000000,2882000000,501000000,4571000000,-10770000000,-2571000000,2445000000,718000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-268000000,-666000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-50100000,-20900000,-54800000,-11800000,-89500000,-101600000,-129000000,-28000000,79000000,29000000,-186000000,-26000000,-75000000,-53000000,-49000000,-100000000,-132000000,-186000000,-204000000,-345000000,17000000,276000000,-331000000,144000000,4000000,-111000000,-244000000,-75000000,-168000000,-174000000,-190000000,-516000000,-582000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-133000000,- -,520000000,548000000,1007000000,1162000000,1692000000,997000000,201000000,882000000,735000000,766000000,1762000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000000,- -,1994000000,-3552000000,385000000,669000000,855000000,361000000,515000000,1887000000,1048000000,2270000000,2398000000,2019000000,3815000000,1677000000,-713000000,1631000000,4364000000,2571000000,5453000000,5954000000,10525000000,-245000000,-2816000000,-371000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,128400000,43000000,193000000,1174400000,19000000,454400000,191000000,1631000000,4362000000,5380000000,-4521000000,421000000,109000000,408000000,-292000000,-1811000000,865000000,-1676000000,-396000000,-118000000,-3092000000,1140000000,1333000000,-3331000000,-1693000000,2883000000,-543000000,470000000,-5165000000,5574000000,1792000000,-2125000000,-724000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1885900000,2110000000,2430300000,2711600000,3134400000,3716000000,3742000000,4194000000,9655000000,3211000000,3027000000,3911000000,4201000000,4627000000,4328000000,5054000000,5852000000,6084000000,6934000000,6999000000,6796000000,8448000000,8944000000,8479000000,9688000000,10506000000,10580000000,10404000000,9994000000,9415000000,9649000000,10613000000,11616000000
84,CAPEX,- -,- -,- -,- -,-943800000,-1180100000,-1457800000,-1549600000,-1981600000,-2253200000,-2104000000,-2287000000,-1506000000,-5942000000,-1548000000,-1067000000,-1324000000,-1437000000,-1345000000,-1387000000,-1736000000,-2068000000,-2430000000,-2446000000,-2128000000,-3253000000,-3339000000,-2714000000,-2795000000,-2859000000,-2758000000,-3040000000,-2969000000,-3282000000,-4232000000,-4240000000,-4625000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98000000,-432000000,-351000000,- -,- -,-1095000000,-485000000,-1320000000,-1959000000,-386000000,-3804000000,-2413000000,-459000000,21000000,115000000,-578000000,-127000000,206000000,-991000000,-2464000000,-6368000000,108000000
86,Purchases of Investments,- -,- -,- -,- -,-2131100000,-2321200000,-2014100000,-1424200000,-587000000,-228500000,-289000000,-235000000,-827000000,-525000000,-2025000000,-4545000000,-2578000000,-76000000,-981000000,-969000000,-1075000000,-29000000,-496000000,-156000000,-29000000,-704000000,- -,- -,- -,-6305000000,-4428000000,-12504000000,-18385000000,-5637000000,- -,-1135000000,-58000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,2143400000,2139400000,1873200000,1371800000,846000000,649500000,353000000,935000000,177000000,1423000000,2020000000,4171000000,2078000000,833000000,31000000,52000000,298000000,2364000000,455000000,1796000000,84000000,29000000,66000000,61000000,61000000,4007000000,4114000000,8415000000,16536000000,14338000000,97000000,27000000,1135000000
88,Other Investing Activites,- -,- -,- -,- -,-3324800000,-575400000,-677100000,-1151500000,-1048100000,-528800000,-410000000,312000000,86000000,25000000,481000000,-174000000,-381000000,504000000,24000000,-26000000,91000000,24000000,47000000,-2348000000,-2070000000,-3189000000,-3271000000,-2607000000,-2707000000,-2754000000,-2677000000,-2932000000,-2760000000,-3146000000,-4070000000,-4143000000,-4454000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4256300000,-1937300000,-2275800000,-2753500000,-2770700000,-2361000000,-2450000000,-1275000000,-2070000000,-5019000000,-1072000000,-1713000000,-2637000000,-527000000,-2271000000,-2330000000,-3517000000,-194000000,-3744000000,-2667000000,-2401000000,-7668000000,-5618000000,-3005000000,-2625000000,-4937000000,-3569000000,-7148000000,-4403000000,4564000000,-6437000000,-11619000000,-3269000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-918000000,-1270000000,-155000000,-2926000000,-4459000000,-4386000000,-4236000000,-4138000000,-5636000000,-5550000000,-6965000000,-4982000000,-6593000000,-8696000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,82800000,68600000,97400000,252000000,323000000,403000000,415000000,308000000,559000000,1147000000,456000000,689000000,965000000,1099000000,1194000000,1108000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-195200000,-32000000,-463500000,-549100000,-541000000,-1651000000,-2459000000,-2230000000,-1285000000,-1430000000,-1731000000,-2190000000,-1945000000,-3055000000,-3031000000,-3010000000,-4312000000,-4726000000,-7000000,-4983000000,-2496000000,-3226000000,-3008000000,-5022000000,-5005000000,-3007000000,-2005000000,-2002000000,-3000000000,-2000000000,-106000000
93,Dividends Paid,- -,- -,- -,- -,-241900000,-293900000,-343200000,-395500000,-461600000,-540200000,-599000000,-675000000,-736000000,-757000000,-778000000,-796000000,-994000000,-1041000000,-1070000000,-1329000000,-1642000000,-1854000000,-2204000000,-2541000000,-2732000000,-2978000000,-3157000000,-3305000000,-3434000000,-3730000000,-4040000000,-4227000000,-4472000000,-4930000000,-5304000000,-5509000000,-5815000000
94,Other Financing Activites,- -,- -,- -,- -,2562900000,216800000,407300000,369400000,553200000,-247900000,-345000000,-847000000,-3170000000,2762000000,451000000,-631000000,-341000000,-404000000,-576000000,1104000000,1696000000,-2313000000,1402000000,5160000000,1512000000,9502000000,3444000000,7684000000,7039000000,4724000000,9355000000,9928000000,7841000000,128000000,4797000000,17921000000,3837000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,2321000000,-77100000,-131100000,24700000,-303300000,-1239800000,-1233000000,-2850000000,-5962000000,190000000,-1304000000,-2298000000,-1919000000,-3179000000,-2902000000,-2315000000,-1878000000,-5983000000,-4006000000,-3025000000,-2497000000,1386000000,-5135000000,-3306000000,-3789000000,-8264000000,-3828000000,-2942000000,-4186000000,-13769000000,-8489000000,3819000000,-10780000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-17100000,-1000000,-7500000,400000,-3400000,-11400000,-8000000,-4000000,-2000000,1000000,2000000,- -,- -,34000000,27000000,51000000,-21000000,28000000,75000000,-153000000,-19000000,-166000000,-67000000,62000000,-196000000,-546000000,-221000000,-252000000,47000000,-98000000,78000000,-129000000,-114000000
97,Net Change In Cash,- -,- -,- -,- -,2321000000,-77100000,-131100000,24700000,-303300000,-1239800000,-1233000000,-2850000000,-5962000000,190000000,653000000,-100000000,-355000000,955000000,-818000000,460000000,436000000,-65000000,-741000000,1154000000,1879000000,2000000000,-1876000000,2230000000,3078000000,-3241000000,2962000000,62000000,1452000000,112000000,-5199000000,2684000000,-2547000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,964000000,864000000,683000000,1638000000,820000000,1280000000,1716000000,1651000000,910000000,2064000000,3943000000,5943000000,4067000000,6297000000,9375000000,6134000000,9096000000,9158000000,10610000000,10769000000,5570000000,8254000000,5707000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,142700000,76200000,170800000,186700000,169900000,226900000,331000000,382000000,307000000,1928000000,311000000,964000000,1038000000,683000000,1638000000,820000000,1280000000,1716000000,1651000000,910000000,2064000000,3943000000,5943000000,4067000000,6297000000,9375000000,6134000000,9096000000,9158000000,10657000000,10769000000,5570000000,8254000000
100,Free Cash Flow,- -,- -,- -,- -,942100000,929900000,972500000,1162000000,1152800000,1462800000,1638000000,1907000000,8149000000,-2731000000,1479000000,2844000000,2877000000,3190000000,2983000000,3667000000,4116000000,4016000000,4504000000,4553000000,4668000000,5195000000,5605000000,5765000000,6893000000,7647000000,7822000000,7364000000,7025000000,6133000000,5417000000,6373000000,6991000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77476/000007747696000023/0000077476-96-000023-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/77476/000007747699000013/0000077476-99-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/77476/000007747601500016/0000077476-01-500016-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77476/000119312505037811/0001193125-05-037811-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312506039968/0001193125-06-039968-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312507035201/0001193125-07-035201-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312508032441/0001193125-08-032441-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312509033126/0001193125-09-033126-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312510036385/0001193125-10-036385-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312511040427/0001193125-11-040427-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000119312512081822/0001193125-12-081822-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000144530513000278/0001445305-13-000278-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747614000007/0000077476-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747615000012/0000077476-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747616000066/0000077476-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747617000010/0000077476-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747618000012/0000077476-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747619000017/0000077476-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747620000015/0000077476-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747621000007/0000077476-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/77476/000007747622000010/0000077476-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
