,https://roic.ai/company/ARW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,22900000,-14900000,95700000,42200000,160000000,339600000,349300000,56000000,159800000,261900000,137500000,1360134000,-768933000,-553059000,257681000,232122000,-175549000,205915000,210510000,-224615000,129976000,235209000,323073000,-260574000,478734000,-89238000,-64267000,497180000,833691000,356682000,-549872000,-245984000,545218000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269655000,2302000,-805637000,-193492000,-318689000,-572886000,-521613000,-68990000,-636944000,-1122598000,-1007308000,338849000,-541427000,-2109159000
79,Inventory,- -,- -,- -,- -,21300000,-2800000,-100000,8600000,-53100000,-73400000,-288300000,-8500000,-94100000,-33500000,-15600000,-958622000,1435804000,240986000,46755000,-97083000,11707000,-119612000,116657000,85489000,286626000,-497294000,105150000,-62383000,-21277000,-210789000,-42790000,-403980000,-379835000,-618875000,383058000,244325000,-960605000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,799142000,-465603000,406874000,446814000,628697000,33398000,582165000,816602000,936423000,-521575000,760883000,1766912000
81,Other Working Capital,- -,- -,- -,- -,246100000,231200000,326900000,369100000,529100000,868700000,1218000000,1274000000,1433800000,1695700000,1833200000,3193334000,2424401000,1871342000,2129023000,2361145000,2185596000,2391511000,2602021000,2377406000,2507382000,2742591000,3065664000,2805090000,3283824000,3194586000,3130319000,3627499000,4461190000,4817872000,4268000000,4022016000,4567234000
82,Other Non-Cash Items,- -,- -,- -,- -,700000,16900000,-103300000,-44300000,-224500000,-364300000,-715300000,100000,-375000000,-438900000,-362500000,-2123642000,2409973000,1760565000,-77923000,-362527000,244544000,-534953000,133528000,1477079000,510027000,-588552000,-893105000,284793000,-595800000,92260000,12759000,-891274000,-1342229000,-1034045000,1431382000,767330000,-1490418000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,38600000,26700000,15100000,71500000,41700000,125200000,-114100000,308600000,-14200000,43600000,-33500000,-336447000,1677752000,667872000,291558000,187506000,402548000,120840000,850743000,619799000,849855000,220772000,120883000,675033000,450691000,673301000,655079000,355806000,124557000,272690000,857995000,1359843000,418983000
84,CAPEX,- -,- -,- -,- -,-3900000,-6000000,-3800000,-3500000,-16800000,-22800000,-42300000,-28600000,-29300000,-59000000,-84200000,-80164000,-64355000,-51747000,-32046000,- -,-33179000,-66078000,-138834000,-158688000,-121516000,-112254000,-113941000,-112224000,-116162000,-122505000,-154800000,-164695000,-203949000,-155336000,-150807000,-124298000,-83051000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-87900000,-108500000,-59100000,- -,-364500000,-67500000,-429000000,-1221261000,-27268000,-111876000,-231288000,-58495000,-178998000,-176235000,-526622000,-333491000,-170064000,-587087000,-532568000,-281918000,-367940000,-162881000,-514731000,-64751000,-3628000,-299550000,-13094000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-452587000,-230456000,- -,- -,- -,- -,- -,- -,-15000000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,763000,294511000,389056000,- -,- -,- -,- -,- -,- -,- -,- -,40542000,2008000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-17800000,- -,-111700000,-42300000,-7000000,8400000,-31300000,-28500000,-17000000,-3100000,-30100000,-86182000,-15509000,83869000,1025000,20134000,20782000,3652000,-23000,-512000,881000,16971000,- -,- -,- -,- -,3496000,-12000000,18819000,-28079000,-17298000,-15209000,22933000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-21700000,-6000000,-115500000,-45800000,-111700000,-122900000,-132700000,-57100000,-410800000,-129600000,-543300000,-1387607000,-107132000,-79754000,-261546000,-196437000,-32795000,-238661000,-665479000,-492691000,-290699000,-682370000,-646509000,-409142000,-487102000,-244844000,-664027000,-241446000,-188758000,-462965000,-173583000,-138794000,-60118000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3953950000,-213202000,-69545000,-225496000,-5400000,-338184000,-145000000,-382313000,- -,-558887000,-300000000,-405007000,-620863000,-131547000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,87900000,21300000,4900000,13700000,12300000,20200000,7500000,1300000,27989000,21972000,8408000,5442000,340432000,82176000,59194000,55228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5800000,- -,- -,- -,- -,- -,-49000000,-151000000,-50100000,-100000,-321000,- -,- -,- -,- -,- -,- -,-84236000,-115763000,-2478000,-173650000,-197044000,-260870000,-362793000,-304763000,-356434000,-216446000,-174239000,-243305000,-404203000,-483735000,-911548000
93,Dividends Paid,- -,- -,- -,- -,-5400000,-5100000,-4600000,-4600000,-900000,- -,- -,- -,-17500000,-18200000,-37900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-16600000,-13600000,105600000,-107200000,79900000,8500000,214400000,-165900000,570400000,192200000,515800000,1711403000,-1093562000,-492710000,-102131000,-641057000,-170617000,-191922000,-53218000,3958618000,329333000,514079000,408621000,8589000,674402000,14877000,654560000,382510000,989872000,506472000,-97159000,-122499000,579791000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-22000000,-24500000,101000000,-23900000,100300000,13400000,228100000,-202600000,422100000,131400000,479100000,1739071000,-1071590000,-484302000,-96689000,-300625000,-88441000,-132728000,-82226000,-111095000,113653000,270884000,-13919000,-257681000,-26575000,-434886000,-84187000,166064000,256746000,-36833000,-906369000,-1227097000,-463304000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,7000000,-6400000,-20800000,-4000000,-16300000,-4356000,2285000,33415000,-15011000,2446000,-5945000,7618000,6963000,-12472000,12926000,-19972000,10111000,4587000,43904000,16182000,-34130000,-19194000,3218000,6352000,12733000,79560000,-46982000
97,Net Change In Cash,- -,- -,- -,- -,-22000000,-24500000,101000000,-23900000,30300000,23500000,-11700000,42500000,-23700000,41400000,-114000000,10661000,501315000,137231000,-81688000,-307110000,275367000,-242931000,110001000,3541000,685735000,-210686000,-529434000,12797000,-19082000,9753000,-127265000,261230000,195763000,-220756000,-209224000,73512000,-151421000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,60700000,105600000,93900000,136400000,112700000,158900000,44900000,55546000,556861000,694092000,612404000,305294000,580661000,337730000,447731000,451272000,1137007000,926321000,396887000,409684000,390602000,400355000,273090000,534320000,730083000,509327000,300103000,373615000,222194000
99,Cash at the Beginning of Period,- -,- -,- -,- -,9700000,4600000,900000,1500000,30400000,82100000,105600000,93900000,136400000,117500000,158900000,44885000,55546000,556861000,694092000,612404000,305294000,580661000,337730000,447731000,451272000,1137007000,926321000,396887000,409684000,390602000,400355000,273090000,534320000,730083000,509327000,300103000,373615000
100,Free Cash Flow,- -,- -,- -,- -,34700000,20700000,11300000,68000000,24900000,102400000,-156400000,280000000,-43500000,-15400000,-117700000,-416611000,1613397000,616125000,259512000,187506000,369369000,54762000,711909000,461111000,728339000,108518000,6942000,562809000,334529000,550796000,500279000,191111000,-79392000,117354000,707188000,1235545000,335932000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7536/000000753603000014/arw2002form10k.htm,https://www.sec.gov/Archives/edgar/data/7536/000000753604000009/arw2003form10k.htm,- -,https://www.sec.gov/Archives/edgar/data/7536/000095012306002306/y17619e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012307002670/y30462e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012308001295/y47919e10vk.htm,https://www.sec.gov/Archives/edgar/data/7536/000095012309003515/0000950123-09-003515-index.html,https://www.sec.gov/Archives/edgar/data/7536/000114420410005031/0001144204-10-005031-index.html,https://www.sec.gov/Archives/edgar/data/7536/000114420411005380/v207746_10k.htm,https://www.sec.gov/Archives/edgar/data/7536/000152650812000005/0001526508-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000152650813000004/0001526508-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/7536/000152650814000006/arw1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/7536/000161958015000003/arw1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/7536/000165003016000009/0001650030-16-000009-index.html,https://www.sec.gov/Archives/edgar/data/7536/000166635917000005/0001666359-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000166635918000002/0001666359-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/7536/000173339119000005/0001733391-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/7536/000177547420000003/0001775474-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/7536/000173339121000003/0001733391-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/7536/000185964422000008/0001859644-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
