,https://roic.ai/company/KODK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,838000000,975000000,- -,1183000000,1326000000,1309000000,1477000000,1539000000,1111000000,883000000,916000000,903000000,828000000,853000000,918000000,889000000,919000000,818000000,830000000,1030000000,1402000000,1331000000,785000000,500000000,427000000,378000000,294000000,242000000,193000000,199000000,145000000,105000000,80000000,73000000,55000000,37000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-165000000,-147000000,1000000,-130000000,-126000000,283000000,-17000000,-502000000,202000000,247000000,235000000,-44000000,-224000000,-14000000,-37000000,476000000,-104000000,-107000000,16000000,-99000000,-91000000,12000000,-20000000,446000000,5000000,6000000,15000000,-129000000,18000000,21000000,160000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,18000000,8000000,9000000,6000000,7000000,15000000,- -
77,Change in Working Capital,- -,600000000,- -,214000000,-816000000,-573000000,-86000000,48000000,1704000000,-1163000000,718000000,-1118000000,-1250000000,-877000000,254000000,-399000000,-13000000,-231000000,1165000000,461000000,-51000000,396000000,604000000,-41000000,-159000000,-441000000,-389000000,-103000000,612000000,-135000000,-132000000,-197000000,-83000000,-407000000,206000000,-7000000,167000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213000000,-72000000,- -,- -,- -,11000000,12000000,21000000,33000000,- -
79,Inventory,- -,- -,- -,- -,518000000,82000000,114000000,-150000000,269000000,151000000,-148000000,-130000000,77000000,-43000000,-201000000,-282000000,461000000,88000000,128000000,83000000,274000000,271000000,108000000,-20000000,276000000,-28000000,131000000,27000000,147000000,4000000,12000000,16000000,-4000000,-9000000,11000000,12000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,-14000000,-31000000,25000000,-36000000,- -
81,Other Working Capital,2020000000,2620000000,- -,2834000000,2018000000,1445000000,1359000000,1407000000,3111000000,1948000000,2666000000,1548000000,298000000,-579000000,-325000000,-724000000,-737000000,-968000000,197000000,658000000,607000000,1003000000,1607000000,1566000000,1407000000,966000000,577000000,474000000,1086000000,951000000,819000000,622000000,539000000,132000000,338000000,331000000,498000000
82,Other Non-Cash Items,-1170000000,-1949000000,- -,-2794000000,1580000000,1236000000,1296000000,632000000,1444000000,1491000000,-539000000,1428000000,2999000000,-85000000,-878000000,-1150000000,1127000000,1071000000,-601000000,-374000000,669000000,-211000000,-763000000,-143000000,516000000,622000000,-151000000,998000000,-1858000000,-82000000,-52000000,41000000,-39000000,264000000,-393000000,301000000,-238000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,2619000000,2510000000,2557000000,3366000000,2614000000,1642000000,2630000000,2484000000,2080000000,1483000000,1933000000,982000000,2065000000,2204000000,1645000000,1168000000,1208000000,956000000,314000000,153000000,-136000000,-219000000,-998000000,-262000000,-663000000,-128000000,-95000000,-13000000,-67000000,-62000000,12000000,-35000000,-47000000
84,CAPEX,- -,- -,- -,- -,-2118000000,-2037000000,-2135000000,-2092000000,-1082000000,-1153000000,-1034000000,-1341000000,-1485000000,-1108000000,-1127000000,-945000000,-743000000,-577000000,-506000000,-460000000,-472000000,-379000000,-259000000,-254000000,-152000000,-149000000,-128000000,-69000000,-39000000,-43000000,-43000000,-41000000,-38000000,-33000000,-15000000,-17000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128000000,-341000000,-949000000,-3000000,-130000000,-306000000,-72000000,-697000000,-369000000,-984000000,-3000000,225000000,54000000,139000000,32000000,126000000,63000000,- -,18000000,2000000,10000000,13000000,11000000,326000000,4000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-356000000,-128000000,-60000000,-159000000,-391000000,-43000000,-4000000,-31000000,- -,-182000000,-104000000,-69000000,-52000000,-101000000,-87000000,-116000000,-194000000,-135000000,-173000000,-150000000,-36000000,-70000000,-84000000,-91000000,- -,-2000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,406000000,126000000,102000000,303000000,293000000,249000000,48000000,59000000,15000000,162000000,127000000,84000000,54000000,88000000,86000000,124000000,182000000,133000000,166000000,162000000,39000000,74000000,83000000,95000000,- -,- -,- -,2000000,1000000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,10000000,90000000,16000000,88000000,30000000,7689000000,-1390000000,805000000,-85000000,238000000,422000000,277000000,- -,-96000000,-63000000,701000000,164000000,159000000,2449000000,- -,-12000000,1000000,-22000000,27000000,799000000,68000000,-10000000,8000000,- -,- -,- -,- -,-20000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2058000000,-1949000000,-2077000000,-1860000000,-1150000000,6742000000,-2380000000,-636000000,-1896000000,-1839000000,-685000000,-783000000,-1047000000,-758000000,-1267000000,-120000000,-1304000000,-225000000,2408000000,-188000000,-22000000,-112000000,-25000000,25000000,760000000,41000000,-51000000,-21000000,-24000000,-22000000,311000000,-13000000,-20000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-649000000,-565000000,-160000000,-178000000,- -,-4000000,-4000000,-282000000,-11000000,-3000000,-397000000,-1000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,175000000,34000000,115000000,126000000,96000000,128000000,44000000,43000000,22000000,51000000,12000000,5000000,12000000,- -,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000000,-1323000000,-850000000,-258000000,-897000000,-1125000000,-44000000,-260000000,- -,- -,- -,- -,- -,-301000000,- -,- -,- -,- -,- -,-1000000,-1000000,-3000000,-1000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-649000000,-649000000,-649000000,-650000000,-657000000,-566000000,-547000000,-539000000,-567000000,-569000000,-563000000,-545000000,-643000000,-525000000,-330000000,-143000000,-144000000,-144000000,-144000000,-139000000,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-8000000,-3000000,-22000000,- -
94,Other Financing Activites,- -,- -,- -,- -,371000000,-296000000,219000000,-1248000000,299000000,-7474000000,220000000,-97000000,123000000,776000000,89000000,1313000000,-143000000,-597000000,588000000,-928000000,665000000,-803000000,-1142000000,-291000000,682000000,491000000,406000000,686000000,-370000000,-2000000,4000000,213000000,-7000000,- -,102000000,33000000,238000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-278000000,-945000000,-430000000,-1898000000,-183000000,-8006000000,-512000000,-1833000000,-1198000000,77000000,-1327000000,-314000000,-808000000,-1331000000,270000000,-1066000000,533000000,-947000000,-1280000000,-731000000,33000000,-74000000,246000000,508000000,-370000000,-7000000,-1000000,-72000000,-29000000,-11000000,-298000000,10000000,238000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-36000000,24000000,-2000000,-17000000,-7000000,7000000,6000000,-2000000,-35000000,8000000,-5000000,-12000000,-8000000,6000000,33000000,23000000,-27000000,20000000,36000000,-36000000,4000000,5000000,14000000,3000000,-18000000,-38000000,-18000000,-7000000,11000000,-7000000,-2000000,4000000,-4000000
97,Net Change In Cash,- -,- -,- -,- -,-278000000,-945000000,-430000000,-1898000000,-183000000,385000000,-256000000,13000000,-1049000000,-271000000,-84000000,-127000000,202000000,121000000,681000000,5000000,410000000,-196000000,1478000000,-802000000,-121000000,-400000000,-763000000,274000000,-291000000,-132000000,-165000000,-113000000,-109000000,-102000000,23000000,-34000000,167000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2020000000,1764000000,1777000000,728000000,457000000,373000000,246000000,448000000,569000000,1250000000,1255000000,1665000000,1469000000,2947000000,2145000000,2024000000,1624000000,861000000,1135000000,844000000,712000000,547000000,434000000,369000000,267000000,290000000,256000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,848000000,1095000000,735000000,783000000,361000000,1635000000,2020000000,1764000000,1777000000,728000000,457000000,373000000,246000000,448000000,569000000,1250000000,1255000000,1665000000,1469000000,2947000000,2145000000,2024000000,1624000000,861000000,1135000000,844000000,712000000,547000000,478000000,369000000,267000000,290000000,256000000
100,Free Cash Flow,- -,- -,- -,- -,501000000,473000000,422000000,1274000000,1532000000,489000000,1596000000,1143000000,595000000,375000000,806000000,37000000,1322000000,1627000000,1139000000,708000000,736000000,577000000,55000000,-101000000,-288000000,-368000000,-1126000000,-331000000,-702000000,-171000000,-138000000,-54000000,-105000000,-95000000,-3000000,-52000000,-47000000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31235/000120677405000535/0001206774-05-000535-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677406000357/0001206774-06-000357-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677407000543/0001206774-07-000543-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000120677408000374/0001206774-08-000374-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123509000028/0000031235-09-000028-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123510000038/0000031235-10-000038-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123511000025/0000031235-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123512000036/0000031235-12-000036-index.htm,- -,https://www.sec.gov/Archives/edgar/data/31235/000119312514106388/0001193125-14-106388-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000003123515000002/0000031235-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000119312516505191/0001193125-16-505191-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459017003570/0001564590-17-003570-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459018005857/0001564590-18-005857-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459019010423/0001564590-19-010423-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459020011408/0001564590-20-011408-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459021013581/0001564590-21-013581-index.htm,https://www.sec.gov/Archives/edgar/data/31235/000156459022010405/0001564590-22-010405-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
