,https://roic.ai/company/RAD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-55400000,74200000,15700000,88500000,-48700000,33000000,39000000,764000000,8400000,-1495400000,781000000,1063000000,-431000000,152000000,217000000,-559000000,-593000000,621000000,761000000,-61495000,270495000,-342000000,-56000000,-104000000,-53000000,-41242000,-182926000,506208000,-788814000,387358000,-724406000,58050000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118240000,-10955000,-48781000,82721000,-28051000,-25902000,291659000,-166765000,-349481000,-75844000,486563000,-182404000
79,Inventory,- -,- -,- -,- -,-26300000,-57100000,-62500000,-71300000,-36700000,-63900000,-111100000,-29400000,-624600000,152200000,-69087000,27912000,112649000,40555000,-48014000,-68063000,-63445000,-37275000,-306360000,196517000,181542000,35111000,-169935000,130100000,56557000,129985000,181958000,-133543000,18835000,-44645000,15141000,177263000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-194655000,156116000,146302000,-68000,-100774000,-169952000,-21187000,29528000,211511000,125925000,-92062000,-35372000
81,Other Working Capital,- -,- -,- -,- -,633300000,707500000,723200000,811700000,763000000,796000000,835000000,1599000000,1607400000,112000000,893000000,1956000000,1525000000,1677000000,1894000000,1335000000,742000000,1363000000,2124000000,2062505000,2333000000,1991000000,1935000000,1831000000,1778000000,1736758000,1553832000,2060040000,1271226000,1658584000,934178000,992228000
82,Other Non-Cash Items,- -,- -,- -,- -,-10400000,-137700000,-70600000,-119100000,166700000,-82400000,-168100000,-820800000,92600000,1143700000,-549701000,-705779000,925503000,-19951000,-336773000,528704000,699056000,-595800000,-880309000,2442828000,-646590000,769967000,235094000,373760000,86111000,-132503000,388215000,-911149000,-560573000,-659445000,933333000,-273645000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,120700000,137100000,162600000,200100000,222700000,190200000,148600000,226300000,691600000,94900000,-410704000,-700796000,16343000,305383000,227515000,518446000,417165000,309145000,79368000,359910000,-325063000,395849000,266537000,819588000,702046000,648959000,997402000,225863000,266344000,-228665000,487021000,22990000
84,CAPEX,- -,- -,- -,- -,-103100000,-109900000,-88300000,-125500000,-169100000,-182700000,-315100000,-371200000,-801000000,-2166900000,-478082000,-132504000,-175183000,-104507000,-250668000,-190792000,-341349000,-363728000,-740375000,-541346000,-193630000,-186520000,-250137000,-382980000,-421223000,-539386000,-669995000,-481111000,-214764000,-244689000,-214386000,-224941000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18369000,-2306774000,-112000,7967000,- -,6038000,- -,- -,-69793000,-1778377000,- -,- -,- -,- -,-86230000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65177000,29843000,22930000,30320000,28416000,15494000,9782000,16852000,27586000,43550000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-24900000,-13800000,-2100000,-55900000,-58800000,-111800000,-17500000,42800000,-2200000,-95600000,40322000,810157000,517714000,32293000,8518000,71807000,110265000,69317000,113405000,195100000,-9772000,-24233000,-35133000,-60779000,-59470000,-112558000,-91916000,-56822000,3471576000,619416000,85163000,266346000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-128000000,-123700000,-90400000,-181400000,-227900000,-294500000,-332600000,-328400000,-803200000,-2262500000,-437760000,677653000,342531000,-72214000,-242150000,-118985000,-231084000,-312780000,-2933744000,-346358000,-120486000,-156677000,-221169000,-346305000,-364924000,-593685000,-2401858000,-464259000,3313283000,466188000,-86542000,-15025000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-932706000,-831706000,-848373000,-2920209000,-1340435000,-2595709000,-672717000,-21239000,-274882000,-440370000,-931103000,-1058537000
91,Common Stock Issued,- -,- -,- -,- -,1000000,1000000,97200000,3600000,900000,1200000,2100000,5200000,9700000,32800000,300065000,- -,530589000,279000,3541000,124017000,128447000,20386000,12764000,1117000,66000,226000,914000,1646000,33217000,24117000,11376000,6951000,5796000,2294000,- -,53000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-38400000,-36600000,-9000000,- -,- -,- -,-5695000,- -,- -,- -,- -,-118651000,-123533000,- -,- -,- -,- -,- -,- -,- -,-21034000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-34800000,-38400000,-44400000,-49400000,-52800000,-52300000,-58300000,-71000000,-102700000,-113700000,-91019000,- -,- -,- -,- -,-785000,-13089000,-15380000,-15380000,-3466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,40200000,35400000,-123500000,5200000,110500000,181700000,245200000,171800000,288500000,2240500000,742402000,-64324000,-637698000,-212182000,-19472000,-575976000,-264660000,28710000,2906606000,-14930000,1329748000,579830000,873260000,2412447000,1008084000,2485811000,2074369000,373623000,-3108617000,-102428000,604451000,993241000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,6400000,-2000000,-70700000,-40600000,20200000,94000000,180000000,106000000,195500000,2159600000,945753000,-64324000,-107109000,-211903000,-15931000,-571395000,-272835000,33716000,2903990000,-17279000,397108000,-251650000,25801000,-506116000,-320168000,-85781000,1413028000,359335000,-3377703000,-540504000,-326652000,-65243000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,6400000,-2000000,-70700000,-40600000,20200000,94000000,180000000,106000000,195500000,2159600000,97289000,-87467000,251765000,21266000,-30566000,-171934000,-86754000,30081000,49614000,-3727000,-48441000,-12478000,71169000,-32833000,16954000,-30507000,8572000,120939000,201924000,-302981000,73827000,-57278000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184600000,92290000,344055000,365321000,334755000,162821000,76067000,106148000,155762000,152035000,103594000,91116000,162285000,129452000,146406000,115899000,124471000,245410000,447334000,144353000,218180000,160902000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15300000,14500000,25900000,27400000,2400000,17400000,7100000,3100000,7000000,91000000,87311000,179757000,92290000,344055000,365321000,334755000,162821000,76067000,106148000,155762000,152035000,103594000,91116000,162285000,129452000,146406000,115899000,124471000,245410000,447334000,144353000,218180000
100,Free Cash Flow,- -,- -,- -,- -,17600000,27200000,74300000,74600000,53600000,7500000,-166500000,-144900000,-109400000,-2072000000,-888786000,-833300000,-158840000,200876000,-23153000,327654000,75816000,-54583000,-661007000,-181436000,-518693000,209329000,16400000,436608000,280823000,109573000,327407000,-255248000,51580000,-473354000,272635000,-201951000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000089322094000273/0000893220-94-000273-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000112528201500559/0001125282-01-500559-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/84129/000095013604001277/0000950136-04-001277-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000095013605002416/0000950136-05-002416-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000110465906029024/0001104659-06-029024-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000110465907032827/0001104659-07-032827-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746908005477/0001047469-08-005477-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746909004278/0001047469-09-004278-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746910004332/0001047469-10-004332-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746911004075/0001047469-11-004075-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746912004644/0001047469-12-004644-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746913004721/0001047469-13-004721-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746914004077/0001047469-14-004077-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746915003838/0001047469-15-003838-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746916012513/0001047469-16-012513-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746917003159/0001047469-17-003159-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746918003207/0001047469-18-003207-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000104746919002567/0001047469-19-002567-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000155837020004365/0001558370-20-004365-index.htm,https://www.sec.gov/Archives/edgar/data/84129/000155837021004887/0001558370-21-004887-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
