,https://roic.ai/company/VVI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,116200000,-29600000,-29700000,- -,- -,- -,- -,- -,- -,- -,- -,10982000,6071000,-624000,-1461000,-5670000,-6107000,1381000,7493000,6148000,3729000,195000,7663000,-2555000,4872000,-2646000,2505000,-1573000,-328000,8644000,129000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10416000,-15623000,4637000,4372000,4310000,-15436000,18128000,-2619000,1770000,7546000,-1645000,9726000,-88251000,46694000
81,Other Working Capital,- -,- -,- -,- -,-237600000,-318300000,-418400000,-385800000,-696200000,-812600000,-1077300000,-1329000000,-1710200000,-2553000000,-2999000000,-4582519000,-6578117000,-7856473000,-5669712000,71784000,112798000,155634000,118565000,118723000,130648000,119594000,87834000,87392000,47397000,37007000,9600000,-170173000,-122792000,-175784000,-287884000,-6476000,19432000
82,Other Non-Cash Items,- -,- -,- -,- -,11100000,102900000,273800000,34300000,223100000,274300000,564300000,493900000,787200000,1524100000,723100000,1871615000,3903438000,2159807000,-2592293000,-5674963000,-62826000,-54350000,55944000,-18485000,63526000,21380000,24671000,14494000,-10745000,-7865000,21530000,179369000,-84997000,27606000,143767000,-61877000,3226000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,196800000,150000000,211700000,90000000,169300000,427500000,356600000,353700000,574600000,916900000,690400000,513893000,1991590000,1013397000,-172884000,35646000,49864000,76437000,82217000,65607000,-6247000,43283000,34736000,69186000,6055000,58090000,60277000,100318000,112223000,90595000,108140000,-80248000,-37852000
84,CAPEX,- -,- -,- -,- -,-158400000,-130700000,-135400000,-118100000,-114600000,-108600000,-103700000,-82100000,-108000000,-429200000,-91500000,-45206000,-49783000,-40227000,-42663000,-15374000,-20038000,-20136000,-33259000,-39046000,-21315000,-17040000,-21538000,-27675000,-36119000,-29389000,-29839000,-49815000,-56621000,-83345000,-76147000,-53567000,-57936000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28868000,-865000,- -,-98145000,-2711000,- -,- -,-34291000,-23334000,- -,- -,-41105000,-23546000,-647000,-120251000,-430000,-195989000,-1501000,-4628000,-90992000,- -,-8227000
86,Purchases of Investments,- -,- -,- -,- -,-572200000,-576000000,- -,-76400000,- -,-449800000,-681400000,-872300000,-1333100000,-1698300000,-2449600000,-1965540000,-4376791000,-4117626000,-4888918000,- -,- -,- -,-3719000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2800000,- -,- -,3000000,- -,238000000,507900000,657300000,868000000,942400000,1514500000,1590799000,2539327000,3239625000,5354783000,- -,- -,- -,- -,3980000,- -,- -,- -,384000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,602400000,434400000,-28900000,48000000,83100000,-144100000,-208300000,22900000,143800000,194200000,707900000,54861000,1040000,3040000,1847000,2594000,8796000,16087000,3544000,-38765000,-21239000,-2287000,-21098000,-26312000,-21314000,-280000,-28297000,-48649000,-24104000,-82420000,-74564000,-6773000,-43576000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-125400000,-272300000,-164300000,-143500000,-31500000,-464500000,-485500000,-274200000,-429300000,-990900000,-318700000,-393954000,-1887072000,-915188000,326904000,-15491000,-11242000,-4049000,-67725000,-58119000,-21239000,-2287000,-62203000,-49474000,-21961000,-120531000,-28727000,-244638000,-25605000,-87048000,-165556000,-6773000,-51803000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2679000,-3715000,-4900000,- -,-2685000,-11362000,-61461000,-62969000,-108915000,-135801000,-128211000,-115708000,-275327000,-345297000
91,Common Stock Issued,- -,- -,- -,- -,48500000,6800000,27900000,57900000,43300000,28500000,54600000,40000000,12500000,17200000,29400000,11945000,16422000,10371000,3745000,1373000,5690000,5760000,2342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-24500000,-1900000,-50600000,-38600000,- -,- -,- -,- -,-23000000,-204100000,-147163000,-34622000,-28309000,-976000,- -,- -,-49422000,-28188000,-17353000,-1233000,-6906000,-5230000,-1656000,-1328000,-12321000,-4816000,-722000,-2119000,-18383000,- -,-2785000,- -
93,Dividends Paid,- -,- -,- -,- -,-52500000,-54800000,-56600000,- -,-48300000,-61200000,-55000000,-43900000,-30300000,-31500000,-33700000,-33092000,-31995000,-32149000,-39718000,-871000,-3537000,-3449000,-3325000,-3302000,-3292000,-3275000,-3241000,-4454000,-58914000,-38387000,-8036000,-8111000,-8160000,-8154000,-8094000,-4064000,-3900000
94,Other Financing Activites,- -,- -,- -,- -,-100400000,193100000,-17600000,77100000,-127500000,92300000,119500000,-89100000,-129600000,104200000,-145800000,57563000,-50028000,-37496000,-110437000,32134000,-4134000,864000,-882000,4120000,-277000,620000,-8026000,541000,21199000,189110000,50563000,229330000,89999000,144841000,197274000,348463000,457086000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-104400000,120600000,-48200000,84400000,-171100000,59600000,119100000,-93000000,-147400000,66900000,-354200000,-110747000,-100223000,-87583000,-147386000,32636000,-1981000,-46247000,-30053000,-19214000,-8517000,-14461000,-16497000,-8254000,-50405000,76941000,-25258000,111582000,-56081000,-9907000,73472000,66287000,107889000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,973000,910000,-669000,2557000,-5303000,4305000,2964000,-1501000,2337000,-2039000,-3331000,-6751000,-2893000,2286000,-2470000,1050000,701000,4098000
97,Net Change In Cash,- -,- -,- -,- -,-104400000,120600000,-48200000,84400000,-171100000,59600000,119100000,-93000000,-147400000,66900000,17500000,9192000,4295000,10626000,6634000,53764000,37551000,25472000,-13004000,-17029000,-31698000,29499000,-45465000,13795000,-68350000,11169000,-459000,-35631000,32823000,-8830000,17106000,-20033000,22332000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33100000,42298000,46593000,57219000,63853000,115050000,152601000,178073000,165069000,148040000,116342000,145841000,100376000,114171000,45821000,56990000,56531000,20900000,53723000,44893000,61999000,41971000,64303000
99,Cash at the Beginning of Period,- -,- -,- -,- -,60800000,27800000,1500000,600000,43900000,10700000,33200000,17900000,4400000,12300000,15600000,33106000,42298000,46593000,57219000,61286000,115050000,152601000,178073000,165069000,148040000,116342000,145841000,100376000,114171000,45821000,56990000,56531000,20900000,53723000,44893000,62004000,41971000
100,Free Cash Flow,- -,- -,- -,- -,38400000,19300000,76300000,-28100000,54700000,318900000,252900000,271600000,466600000,487700000,598900000,468687000,1941807000,973170000,-215547000,20272000,29826000,56301000,48958000,26561000,-27562000,26243000,13198000,41511000,-30064000,28701000,30438000,50503000,55602000,7250000,31993000,-133815000,-95788000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884219/000088421995000022/0000884219-95-000022-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884219/000095015304000586/0000950153-04-000586-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012405001493/0000950124-05-001493-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015306000542/0000950153-06-000542-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015307000453/0000950153-07-000453-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015308000420/0000950153-08-000420-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095015309000167/0000950153-09-000167-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012310022112/0000950123-10-022112-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095012311022158/0000950123-11-022158-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000119312512106491/0001193125-12-106491-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000119312513101356/0001193125-13-101356-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000088421914000003/0000884219-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000088421915000005/0000884219-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459016014544/0001564590-16-014544-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459017003489/0001564590-17-003489-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459018003850/0001564590-18-003850-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459019004984/0001564590-19-004984-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459020006825/0001564590-20-006825-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000156459021010008/0001564590-21-010008-index.htm,https://www.sec.gov/Archives/edgar/data/884219/000095017022002088/0000950170-22-002088-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
