,https://roic.ai/company/LCII,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,10500000,13900000,16800000,10000000,13700000,6000000,8800000,16100000,24000000,31600000,29000000,22367000,12476000,24067000,29700000,57204000,76146000,61979000,89861000,84378000,113744000,97791000,85657000,84243000,107339000,100451000,169580000,218043000,235066000,349069000,399533000,453407000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1700000,13900000,-2600000,500000,-5600000,8200000,-1500000,-10200000,-12200000,-11700000,5800000,8289000,20498000,6127000,-1761000,-51638000,-32172000,33843000,1192000,-16471000,52416000,10157000,-7024000,5448000,-29146000,13722000,-105185000,-33716000,-76395000,-201411000,-22299000,-95892000,7456000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-500000,5200000,5000000,3800000,6100000,6400000,9600000,11900000,11000000,18000000,29600000,9853000,28159000,12200000,31541000,8880000,32102000,67021000,84910000,4657000,63256000,42063000,36831000,72689000,82677000,107020000,95018000,203407000,155083000,156608000,269525000,231400000,-111573000
84,CAPEX,- -,- -,- -,- -,- -,-1900000,-1100000,-900000,-1200000,-7900000,-1200000,-1900000,-5800000,-42200000,-18900000,-13400000,-21890000,-8194000,-10538000,-5073000,-27058000,-26092000,-22250000,-8770000,-4199000,-3107000,-10148000,-24317000,-32026000,-32595000,-42458000,-28989000,-44671000,-87221000,-119827000,-58202000,-57346000,-98534000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11613000,-2070000,-7397000,-21388000,-17880000,-33695000,-17299000,-28764000,-1679000,-21900000,-50302000,-1473000,-4750000,-106782000,-41058000,-48725000,-60588000,-184792000,-447764000,-182130000,-194107000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15026000,-21288000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,29000000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-3300000,- -,- -,- -,- -,-7400000,-400000,-9100000,200000,300000,400000,353000,2645000,595000,78000,26000,2531000,4020000,14428000,7471000,-1740000,-8360000,-23822000,-26725000,-31305000,-37292000,-25058000,-42982000,-85287000,-118003000,-56070000,-50171000,-87111000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-5200000,-1100000,-900000,-1200000,-7900000,-8600000,-2300000,-14900000,-42000000,-18600000,-13000000,-21537000,-17162000,-12013000,-12392000,-48420000,-41441000,-51925000,-11641000,-25492000,-16445000,-22548000,-69124000,-28198000,-36055000,-144074000,-66116000,-91707000,-145875000,-302795000,-503834000,-232301000,-281218000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14458000,- -,-130500000,-52227000,-135452000,-409680000,-630279000,-81458000,-28130000,-1146953000,-628891000,-452834000,-1302604000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,500000,400000,800000,600000,1000000,2000000,- -,- -,- -,3715000,2111000,10511000,3339000,4577000,402000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,-2800000,-20800000,-2100000,-3900000,-13472000,-378000,- -,- -,- -,- -,- -,- -,-8333000,- -,-1041000,-626000,- -,- -,- -,- -,- -,- -,-28695000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33032000,- -,-45038000,- -,-46706000,-48227000,-34437000,-51057000,-59270000,-63813000,-70401000,-87171000
94,Other Financing Activites,- -,- -,- -,- -,- -,6000000,-4800000,-4200000,-2400000,1000000,1900000,-4200000,2500000,50700000,3400000,-12300000,20596000,-9922000,-1062000,-14399000,31072000,1489000,-16735000,-28418000,-18755000,11320000,1073000,131123000,56129000,145171000,427164000,661905000,78060000,9858000,1369984000,947675000,537283000,1794338000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,5800000,-4800000,-4200000,-2400000,2000000,2400000,-3800000,500000,30500000,2300000,-14200000,7124000,-10300000,-1062000,-10684000,33183000,12000000,-13396000,-23841000,-26686000,-3138000,-33000000,-3000,-41136000,9719000,-29222000,-16601000,-37835000,-69329000,135066000,254971000,14048000,404563000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-231000,3315000,-697000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,- -,- -,- -,- -,- -,- -,2400000,-4560000,697000,-875000,8465000,-6357000,2661000,1700000,49428000,-47521000,43673000,-13485000,-32296000,3355000,56341000,-66276000,12301000,73865000,-60121000,-11121000,20431000,16462000,11075000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,550000,1247000,316000,8781000,2424000,5085000,6785000,56213000,8692000,52365000,38880000,6584000,9939000,66280000,4000,12305000,86170000,26049000,14928000,35359000,51821000,62896000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,800000,700000,100000,100000,300000,300000,500000,4000000,1500000,1000000,2700000,5110000,550000,1191000,316000,8781000,2424000,5085000,6785000,56213000,8692000,52365000,38880000,6584000,9939000,66280000,4000,12305000,86170000,26049000,14928000,35359000,51821000
100,Free Cash Flow,- -,- -,- -,- -,- -,-2400000,4100000,4100000,2600000,-1800000,5200000,7700000,6100000,-31200000,-900000,16200000,-12037000,19965000,1662000,26468000,-18178000,6010000,44771000,76140000,458000,60149000,31915000,12514000,40663000,50082000,64562000,66029000,158736000,67862000,36781000,211323000,174054000,-210107000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763744/000116923205001646/d62943_10-k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420406009780/v037629_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420407012421/v068206.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420408015560/v107066_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000114420409013467/0001144204-09-013467-index.html,https://www.sec.gov/Archives/edgar/data/763744/000114420410012718/0001144204-10-012718-index.html,https://www.sec.gov/Archives/edgar/data/763744/000114420411014319/v214397_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000143774912002281/0001437749-12-002281-index.html,https://www.sec.gov/Archives/edgar/data/763744/000143774913002733/0001437749-13-002733-index.html,https://www.sec.gov/Archives/edgar/data/763744/000143774914003110/dw20140227_10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374415000037/dw-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374416000351/0000763744-16-000351-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374417000049/0000763744-17-000049-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374418000042/0000763744-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374419000018/0000763744-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374420000030/0000763744-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/763744/000076374421000019/0000763744-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/763744/000076374422000016/0000763744-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
