,https://roic.ai/company/MAT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,- -,-7200000,3383000,54962000,106903000,13589000,-18560000,106350000,-10129000,23034000,-13535000,-21971000,-3871000,25169000,-71981000,-30742000,-13045000,4133000,1236000,436802000,30634000,-22625000,-2200000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35757000,49962000,67138000,53476000,63277000,61651000,51993000,56691000,53950000,67119000,48915000,55968000,60168000,- -
77,Change in Working Capital,- -,- -,- -,- -,67300000,- -,- -,- -,- -,627600000,215500000,-32700000,477900000,-547700000,-138100000,-353410000,246525000,244596000,186899000,-17131000,39336000,318303000,-245111000,104369000,366869000,382583000,528451000,-563986000,489760000,-233551000,-545711000,-116800000,53294000,-387953000,-128765000,156444000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20159000,154909000,-394688000,-175526000,66999000,-48802000,90285000,-136259000,-24033000,13626000,76373000,41029000,-92280000,- -
79,Inventory,- -,- -,- -,- -,-22800000,-19600000,14300000,-19200000,11800000,-74100000,-15300000,-24200000,-33000000,-47700000,82100000,-83637000,-14144000,154293000,-27556000,-18578000,32872000,38071000,-17218000,-96645000,137072000,-106182000,-40015000,34382000,-116509000,43392000,-74262000,-37195000,-91644000,-53840000,-26920000,-50562000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312634000,-201868000,-34653000,248047000,9006000,98044000,-54819000,-58679000,11209000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,627600000,843100000,810400000,1288300000,740600000,602500000,249090000,495615000,740211000,927110000,909979000,949315000,1267618000,1022507000,1126876000,1493745000,1876328000,2404779000,1840793000,2330553000,2097002000,1551291000,1434491000,1487785000,1099832000,971067000,1127511000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,10900000,14500000,21300000,-76400000,94100000,-664300000,-300800000,21300000,-535100000,548000000,-12300000,1079697000,-106663000,425815000,-317137000,-149138000,-271019000,-197419000,10536000,-241984000,-148353000,-768551000,-872209000,897594000,-922580000,335592000,584601000,75761000,194240000,540148000,245393000,-252436000,-418000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,200500000,156000000,197100000,131100000,303300000,343400000,405500000,515200000,481900000,547500000,58600000,555090000,756251000,1199343000,604802000,570372000,466677000,875946000,560532000,436338000,945041000,527970000,664693000,1275650000,698426000,888564000,734557000,594509000,-27614000,-27317000,180977000,288502000,485000000
84,CAPEX,- -,- -,- -,- -,-83200000,-84400000,-20900000,-35300000,-40100000,-88100000,-206900000,-209000000,-221600000,-1058800000,-217500000,-161749000,-194651000,-167394000,-200400000,-143590000,-137131000,-133441000,-146633000,-198808000,-120487000,-136654000,-190914000,-219548000,-252054000,-260457000,-254181000,-262193000,-297159000,-152414000,-116352000,-121599000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20547000,-2910000,-5015000,-12955000,-1495000,-197710000,-104484000,-58396000,-3299000,-15761000,-2005000,-684522000,- -,-423309000,- -,-33154000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29200000,-8000000,-7800000,-10800000,-70700000,- -,- -,- -,- -,- -,- -,- -,-35000000,-85300000,- -,- -,- -,- -,- -,-19933000,-61509000,-6103000,- -,-18615000,- -,-22883000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32200000,25300000,- -,- -,- -,- -,- -,- -,23615000,32900000,48361000,- -,- -,- -,73132000,10549000,- -,2964000,12849000,- -,- -,- -,60993000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,34400000,-29300000,-88800000,-56100000,-48700000,-438400000,23800000,-27400000,23400000,17200000,9500000,10523000,22010000,11886000,1037000,15588000,8074000,16367000,827000,30832000,17125000,-4784000,18415000,454000,-2901000,-4853000,33195000,-10460000,503000,10271000,2176000,9572000,-105000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-48800000,-113700000,-109700000,-91400000,-88800000,-526500000,-180100000,-219100000,-206000000,-1052400000,-278700000,-151226000,-193188000,-158418000,-180763000,-108057000,-82191000,-314784000,-285290000,-311672000,-33529000,-146650000,-174504000,-900152000,-242106000,-708552000,-282495000,-311910000,-235663000,-160758000,-114176000,-134910000,-105000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1026266000,-613267000,-57404000,-493728000,-58018000,-413847000,-48865000,- -,-383914000,-1611586000,-750000000,-612074000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,4400000,2700000,19700000,6900000,12400000,63100000,24400000,73200000,113000000,114700000,81300000,25189000,53516000,55017000,49502000,21683000,28426000,116901000,222561000,18303000,30896000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-3300000,-77600000,-38700000,-52600000,-80900000,-138200000,-269800000,-227900000,-351100000,-75500000,- -,- -,- -,-244446000,-255130000,-487127000,-205947000,-806349000,-90570000,- -,-446704000,-524009000,-66733000,-492740000,-177162000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2900000,-8100000,-21800000,-30500000,-47800000,-51000000,-62700000,-84500000,-98000000,-125700000,-153551000,-21602000,-21868000,-171336000,-186864000,-200464000,-249542000,-272343000,-268854000,-271353000,-291256000,-316503000,-423378000,-494371000,-514813000,-515073000,-518529000,-311973000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-47000000,-61500000,-27800000,108900000,54300000,-20500000,164700000,-1600000,83200000,358700000,148700000,-289564000,-206978000,-427526000,-188184000,-46038000,121848000,-35532000,268366000,971692000,477634000,570548000,936932000,137201000,660996000,513521000,14851000,620972000,2382009000,464843000,578936000,-5842000,-411000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-42600000,-65000000,-93800000,55300000,-16400000,-86100000,-100000,-260900000,-116200000,24300000,28800000,-417926000,-175064000,-394377000,-554464000,-466349000,-537317000,-374120000,-587765000,-395695000,-376090000,-224816000,-397308000,-410928000,-739962000,-227319000,-500222000,-281471000,458450000,-285157000,-33138000,-5842000,-411000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,3200000,500000,9100000,-12400000,-5800000,2100000,1700000,-600000,-15000000,-1900000,-2900000,-903000,-3784000,3886000,16068000,8188000,-6270000,20776000,8119000,-12425000,-36119000,7622000,-4891000,2028000,-12853000,-20259000,-30676000,-24411000,14517000,-11508000,1884000,-15597000,- -
97,Net Change In Cash,- -,- -,- -,- -,-42600000,-65000000,-93800000,55300000,-16400000,-86100000,-100000,-260900000,-116200000,24300000,-194200000,-14965000,384215000,650434000,-114357000,4154000,-159101000,207818000,-304404000,-283454000,499303000,164126000,87990000,-33402000,-296495000,-67566000,-78836000,-23283000,209690000,-484740000,35547000,132153000,-411000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000000,232389000,616604000,1267038000,1152681000,1156835000,997734000,1205552000,901148000,617694000,1116997000,1281123000,1369113000,1335711000,1039216000,971650000,892814000,869531000,1079221000,594481000,630028000,762181000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,97500000,209900000,187700000,198400000,313700000,506100000,239100000,466100000,550300000,694900000,469200000,247354000,232389000,616604000,1267038000,1152681000,1156835000,997734000,1205552000,901148000,617694000,1116997000,1281123000,1369113000,1335711000,1039216000,971650000,892814000,869531000,1079221000,594481000,630028000,- -
100,Free Cash Flow,- -,- -,- -,- -,117300000,71600000,176200000,95800000,263200000,255300000,198600000,306200000,260300000,-511300000,-158900000,393341000,561600000,1031949000,404402000,426782000,329546000,742505000,413899000,237530000,824554000,391316000,473779000,1056102000,446372000,628107000,480376000,332316000,-324773000,-179731000,64625000,166903000,485000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63276/000006327695000008/0000063276-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/63276/000006327696000011/0000063276-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/63276/000006327697000005/0000063276-97-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63276/000089843002001098/0000898430-02-001098-index.html,https://www.sec.gov/Archives/edgar/data/63276/000089843003002040/0000898430-03-002040-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312504040335/0001193125-04-040335-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312505044603/0001193125-05-044603-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312506039887/0001193125-06-039887-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312507039835/0001193125-07-039835-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312508038808/0001193125-08-038808-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312509038925/0001193125-09-038925-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312510038642/0001193125-10-038642-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312511045072/0001193125-11-045072-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312512074927/0001193125-12-074927-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312513076313/0001193125-13-076313-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312514069306/0001193125-14-069306-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000119312515062193/0001193125-15-062193-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828016011701/0001628280-16-011701-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828017001638/0001628280-17-001638-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828018002322/0001628280-18-002322-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828019001744/0001628280-19-001744-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828020002192/0001628280-20-002192-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828021003197/0001628280-21-003197-index.htm,https://www.sec.gov/Archives/edgar/data/63276/000162828022004260/0001628280-22-004260-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
