,https://roic.ai/company/KGC,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,7402036,30585618,31015368,37069000,46587000,102003000,69466000,47800000,74500000,62900000,92700000,161200000,133700000,292000000,341200000,443600000,785600000,968400000,1416900000,1255300000,774700000,849300000,831600000,1099200000,951600000,788700000,1224900000,1957600000,1135200000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43505846,-25666253,-160869310,-67351000,-64424000,-360016000,-79004000,-41600000,-30400000,-22600000,-73400000,-169500000,-142400000,-202900000,-601100000,-714700000,-481200000,-563700000,-1651500000,-1924700000,-1262400000,-631800000,-610000000,-633800000,-897600000,-1043400000,-1105200000,-916100000,-938600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,-100000,-81900000,-261200000,- -,-600000,2400000,21200000,- -,- -,- -,- -,- -,- -,- -,-588000000,269600000,-304200000,-30000000,-267000000,-141500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32100000,-16900000,-13900000,-38800000,-193500000,-178600000,-617800000,-213400000,-454800000,-131200000,-55500000,-59700000,-59800000,-73800000,-52900000,- -,- -,-66300000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,1400000,57200000,15300000,27700000,33700000,61800000,37300000,6700000,881400000,100100000,11800000,349800000,- -,- -,- -,- -,- -,71600000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2114868,-1853674,-5279212,-6714000,-6925000,-1227000,1520000,-5500000,4700000,-19800000,43400000,5200000,10500000,10700000,239700000,-6500000,-98400000,531900000,16800000,204700000,-1600000,200900000,38100000,11500000,14600000,13500000,37000000,-66000000,-46200000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45620714,-27519927,-166148522,-74065000,-71349000,-361243000,-77484000,-47100000,-24800000,-41100000,-54700000,-442300000,-121100000,-173000000,-336000000,-856200000,-751500000,231800000,-1748000000,-2163000000,-1045400000,-486400000,-631600000,-1270100000,-687200000,-1387000000,-1026600000,-1249100000,-1192600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-325900000,-334900000,-482100000,-577300000,-523300000,-980100000,-102500000,-250000000,-500000000,-80000000,-214300000,-870700000,-533800000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,66467265,54113017,64523698,83332000,23433000,591994000,- -,- -,5400000,112800000,187900000,3100000,1900000,7600000,216200000,31700000,421500000,15900000,29000000,- -,- -,- -,- -,275700000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-366612,-1313000,-210000,- -,-5530000,-2100000,- -,- -,-300000,-11800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226593,-285181,-293290,- -,- -,-4005000,-6912000,-3400000,- -,- -,- -,- -,- -,- -,-5600000,-51500000,-88200000,-70600000,-124800000,-182300000,-91300000,- -,- -,- -,- -,- -,- -,-75500000,-151100000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2416991,-2994396,3299507,141707000,-8743000,-365636000,-19077000,-31300000,-51900000,-45000000,-159500000,91300000,33800000,-71800000,168800000,395500000,55900000,52300000,1211900000,1533800000,-900000,885900000,-29200000,-74000000,431000000,7400000,239400000,878500000,161900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,63823680,50833440,67163304,223726000,14480000,222353000,-31519000,-36800000,-46500000,67800000,28100000,82600000,35700000,-64200000,379400000,375700000,63300000,-337300000,634000000,774200000,-615500000,-94200000,-131700000,-48300000,-69000000,-72600000,25100000,-67700000,-623200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,600000,1400000,1700000,12600000,-23800000,9400000,6300000,-3500000,400000,-12000000,-19700000,-7900000,2300000,3400000,-5900000,2700000,-5000000,1200000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,25680534,53899132,-67969850,186731000,-10283000,-36887000,-39467000,-36100000,3200000,89600000,75200000,-197900000,49700000,56500000,397200000,-60700000,106800000,869200000,299400000,-133100000,-898200000,249000000,60400000,-216900000,198800000,-676800000,226100000,635800000,-679400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,29532614,81775534,13931253,200595000,190334000,153425000,113910000,77800000,81000000,170600000,245800000,47900000,97600000,154100000,551300000,490600000,597400000,1466600000,1766000000,1632900000,734500000,983500000,1043900000,827000000,1025800000,349000000,575100000,1210900000,531500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3852080,27876403,81901103,13864000,200617000,190312000,153377000,113900000,77800000,81000000,170600000,245800000,47900000,97600000,154100000,551300000,490600000,597400000,1466600000,1766000000,1632700000,734500000,983500000,1043900000,827000000,1025800000,349000000,575100000,1210900000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36103810,4919365,-129853942,-30282000,-17837000,-258013000,-9538000,6200000,44100000,40300000,19300000,-8300000,-8700000,89100000,-259900000,-271100000,304400000,404700000,-234600000,-669400000,-487700000,217500000,221600000,465400000,54000000,-254700000,119700000,1041500000,196600000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701818/000118811207000956/0001188112-07-000956-index.html,https://www.sec.gov/Archives/edgar/data/701818/000104746908003859/a2184324zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/701818/000104746909003558/0001047469-09-003558-index.html,https://www.sec.gov/Archives/edgar/data/701818/000104746910003064/0001047469-10-003064-index.html,- -,https://www.sec.gov/Archives/edgar/data/701818/000104746912003703/0001047469-12-003703-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465913026203/0001104659-13-026203-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/701818/000110465916108516/0001104659-16-108516-index.html,- -,https://www.sec.gov/Archives/edgar/data/701818/000110465918021288/0001104659-18-021288-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465919018715/0001104659-19-018715-index.html,https://www.sec.gov/Archives/edgar/data/701818/000110465920039814/0001104659-20-039814-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
