,https://roic.ai/company/AWK,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,11700000,3800000,-4300000,-12000000,-1600000,-17800000,33200000,11000000,-1700000,-3900000,16289000,27179000,28423000,- -,- -,- -,- -,30385000,37720000,12444000,-656804000,-765397000,-914886000,-280695000,-964909000,-926879000,-1161000000,-1299000000,-1419000000,-1551000000,-1606000000,-1820000000,-1292000000
89,Cash Used for Investing Activites,- -,-199800000,-194400000,-180400000,-209400000,-260700000,-290500000,-302400000,-565100000,-357200000,-440200000,-508235000,-416168000,-583250000,- -,- -,- -,- -,-691438000,-746578000,-1033667000,-703611000,-746743000,-912397000,-382356000,-1053294000,-1013989000,-1465000000,-1587000000,-1672000000,-2036000000,-1945000000,-2061000000,-1536000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-550809000,-272700000,-70045000,-471954000,-493095000,-494371000,-190000000,-144000000,-896000000,-526000000,-673000000,-347000000,-872000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,967092000,245836000,244390000,- -,13866000,- -,- -,- -,- -,- -,- -,183000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-541000,-1750388000,-229000,-218000,-228000,-1888000,-4376000,-3370000,-1650000,-126000000,-65000000,-54000000,-45000000,-36000000,- -,- -
93,Dividends Paid,- -,-23300000,-24100000,-28400000,-29600000,-33000000,-38400000,-46500000,-55300000,-64100000,-69800000,-83354000,-91803000,-93998000,- -,- -,- -,- -,- -,- -,-64055000,-137331000,-150301000,-157855000,-213459000,-149450000,-216354000,-239000000,-261000000,-289000000,-319000000,-353000000,-389000000,-428000000
94,Other Financing Activites,- -,111800000,123800000,78000000,115400000,177200000,128700000,162900000,401200000,153800000,266400000,265420000,190296000,340756000,- -,- -,- -,- -,332908000,1039889000,296007000,564137000,385895000,321057000,126773000,805578000,625193000,863000000,811000000,1446000000,1433000000,1556000000,1856000000,955000000
95,Cash Used/Provided by Financing Activities,- -,88500000,99700000,49600000,85800000,144200000,90300000,116400000,345900000,89700000,196600000,182066000,98493000,246758000,- -,- -,- -,- -,332367000,256593000,477559000,120169000,-37334000,105135000,-563016000,159663000,-87182000,308000000,341000000,207000000,726000000,494000000,1120000000,-345000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,23900000,-22900000,-6900000,-10700000,-300000,26400000,3223000,-14529000,-8880000,- -,- -,- -,- -,-35323000,-16273000,-3939000,12714000,-9144000,1095000,10226000,2531000,-3884000,22000000,30000000,-16000000,76000000,-68000000,485000000,-440000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,53000000,30100000,23200000,13000000,12700000,39100000,43100000,28571000,19691000,- -,- -,- -,- -,29754000,13481000,9542000,22256000,13112000,14207000,24433000,26964000,23080000,45000000,75000000,83000000,159000000,91000000,576000000,136000000
99,Cash at the Beginning of Period,- -,18500000,11900000,13600000,10200000,29100000,53000000,30100000,23700000,13000000,12700000,39877000,43100000,28571000,- -,- -,- -,- -,65077000,29754000,13481000,9542000,22256000,13112000,14207000,24433000,26964000,23000000,45000000,99000000,83000000,159000000,91000000,576000000
100,Free Cash Flow,- -,-105500000,-102500000,-55200000,-54900000,-52700000,-88400000,-151700000,-65200000,-85300000,-120700000,-153368000,-88380000,-69683000,- -,- -,- -,- -,-385541000,-294709000,-481430000,-219009000,-34398000,-169635000,-30077000,-148817000,62993000,-88000000,-119000000,-61000000,-287000000,-375000000,-502000000,-432000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1410636/000119312509040650/0001193125-09-040650-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000119312510044392/0001193125-10-044392-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000119312511047938/d10k.htm,https://www.sec.gov/Archives/edgar/data/1410636/000119312512084903/0001193125-12-084903-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000119312513085812/0001193125-13-085812-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000156459014000381/awk-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1410636/000156459015000905/awk-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1410636/000156459016013247/0001564590-16-013247-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000156459017001899/0001564590-17-001899-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000141063618000076/0001410636-18-000076-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000141063619000041/0001410636-19-000041-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000141063620000040/0001410636-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1410636/000141063621000101/0001410636-21-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1410636/000141063622000048/0001410636-22-000048-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
