,https://roic.ai/company/CMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26172/000002617295000002/0000026172-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617296000002/0000026172-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617297000003/0000026172-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617298000004/0000026172-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617299000002/0000026172-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/26172/000002617201000002/0000026172-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617202000002/0000026172-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746903026015/0001047469-03-026015-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746904005705/0001047469-04-005705-index.htm,- -,https://www.sec.gov/Archives/edgar/data/26172/000110465906012743/0001104659-06-012743-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/26172/000104746909001963/0001047469-09-001963-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746910001435/0001047469-10-001435-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746911001252/0001047469-11-001252-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746912001182/0001047469-12-001182-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746913001297/0001047469-13-001297-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617214000008/0000026172-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617215000007/0000026172-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617216000033/0000026172-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617217000007/0000026172-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617218000011/0000026172-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617219000009/0000026172-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/0000026172-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/0000026172-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/0000026172-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-6100000,-165100000,-65600000,-189500000,177100000,252900000,224000000,160000000,212000000,-21000000,160000000,8000000,-102000000,82000000,50000000,350000000,550000000,715000000,739000000,755000000,428000000,1040000000,1848000000,1645000000,1483000000,1651000000,1399000000,1394000000,999000000,2141000000,2260000000,1789000000,2131000000
74,Depreciation and Amortization,- -,- -,- -,- -,135000000,143400000,127200000,122500000,125100000,127700000,143000000,149000000,158000000,199000000,233000000,240000000,231000000,219000000,216000000,266000000,294000000,296000000,290000000,314000000,326000000,320000000,325000000,361000000,407000000,455000000,514000000,530000000,583000000,611000000,672000000,673000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-1300000,-3100000,- -,- -,- -,- -,-100000000,17000000,22000000,-65000000,-31000000,2000000,2000000,- -,- -,-51000000,124000000,139000000,60000000,-1000000,5000000,56000000,85000000,116000000,100000000,31000000,-108000000,50000000,766000000,-82000000,-4000000,7000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,20000000,22000000,42000000,36000000,37000000,36000000,24000000,32000000,41000000,53000000,49000000,31000000,- -
77,Change in Working Capital,- -,- -,- -,- -,76800000,39200000,-44200000,52200000,100000000,86600000,-123000000,197000000,123000000,150000000,61000000,-259000000,58000000,-12000000,86000000,337000000,622000000,391000000,15000000,-30000000,497000000,458000000,405000000,597000000,1240000000,-237000000,-890000000,-762000000,-131000000,183000000,-307000000,2435000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,- -,- -,- -,87000000,-148000000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,26100000,-5600000,31100000,-18800000,900000,-45800000,3000000,-62000000,-65000000,-26000000,-60000000,9000000,67000000,46000000,-63000000,-204000000,-187000000,-158000000,-255000000,-251000000,482000000,-574000000,-225000000,-32000000,-46000000,-256000000,150000000,-4000000,-407000000,-695000000,291000000,46000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174000000,-75000000,345000000,208000000,-256000000,163000000,244000000,-136000000,184000000,639000000,302000000,-310000000,288000000,- -
81,Other Working Capital,- -,- -,- -,- -,224200000,263400000,219200000,271400000,371400000,458000000,335000000,532000000,655000000,805000000,866000000,607000000,665000000,653000000,739000000,1076000000,1698000000,2089000000,2104000000,2074000000,2571000000,3029000000,3434000000,4031000000,5271000000,5034000000,4144000000,3382000000,3251000000,3434000000,3127000000,5562000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,4400000,18000000,89300000,212500000,-116600000,-91500000,262000000,-330000000,-315000000,8000000,-116000000,397000000,-45000000,-96000000,-194000000,-288000000,-830000000,-701000000,-294000000,-79000000,-139000000,-890000000,-632000000,-1223000000,-1178000000,330000000,1120000000,691000000,19000000,-528000000,511000000,-2213000000,125000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,208800000,32400000,106700000,197700000,285600000,375700000,406000000,193000000,200000000,271000000,307000000,388000000,144000000,193000000,158000000,614000000,760000000,840000000,810000000,987000000,1137000000,1006000000,2073000000,1532000000,2089000000,2266000000,2059000000,1935000000,2277000000,2378000000,3181000000,2722000000,2256000000
84,CAPEX,- -,- -,- -,- -,-137900000,-147000000,-123900000,-139300000,-174200000,-237700000,-223000000,-304000000,-405000000,-271000000,-215000000,-228000000,-206000000,-90000000,-140000000,-151000000,-186000000,-301000000,-420000000,-625000000,-345000000,-407000000,-682000000,-777000000,-740000000,-798000000,-799000000,-594000000,-587000000,-784000000,-775000000,-575000000,-786000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20700000,-1000000,- -,- -,-468000000,- -,-42000000,1000000,- -,- -,-18000000,-2000000,22000000,15000000,-167000000,-2000000,-104000000,199000000,-252000000,-189000000,-496000000,-124000000,-75000000,-728000000,-107000000,-257000000,-51000000,-48000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116000000,-137000000,-152000000,-123000000,-321000000,-528000000,-452000000,-493000000,-885000000,-828000000,-561000000,-458000000,-275000000,-282000000,-478000000,-194000000,-368000000,-495000000,-593000000,-806000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,134000000,171000000,126000000,273000000,395000000,409000000,335000000,690000000,750000000,585000000,525000000,336000000,270000000,306000000,266000000,331000000,389000000,473000000,722000000
88,Other Investing Activites,- -,- -,- -,- -,8300000,14100000,-12400000,-157200000,25400000,-2700000,-149000000,45000000,51000000,-13000000,49000000,-42000000,119000000,-32000000,8000000,-39000000,-27000000,50000000,23000000,-638000000,-349000000,-352000000,-673000000,-754000000,-724000000,-799000000,-782000000,-670000000,-396000000,-830000000,-787000000,-548000000,-741000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-128100000,-132900000,-136300000,-296500000,-148800000,-261100000,-373000000,-259000000,-354000000,-752000000,-166000000,-312000000,-86000000,-152000000,-135000000,-189000000,-212000000,-277000000,-515000000,-848000000,-509000000,-651000000,-552000000,-982000000,-846000000,-1234000000,-918000000,-917000000,-1052000000,-974000000,-1150000000,-719000000,-873000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152000000,-97000000,-143000000,-237000000,-145000000,-93000000,-94000000,-117000000,-163000000,-60000000,-62000000,-216000000,-410000000,-111000000
91,Common Stock Issued,- -,- -,- -,- -,200000,246000000,- -,126100000,124500000,- -,- -,- -,- -,- -,- -,- -,291000000,- -,52000000,148000000,30000000,9000000,4000000,63000000,72000000,58000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,56000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-67300000,- -,- -,- -,-4300000,-69000000,-34000000,-75000000,-14000000,-34000000,-16000000,- -,- -,- -,- -,-38000000,-121000000,-335000000,-128000000,-20000000,-241000000,-629000000,-256000000,-381000000,-670000000,-900000000,-778000000,-451000000,-1140000000,-1271000000,-641000000,-1402000000
93,Dividends Paid,- -,- -,- -,- -,-33600000,-41000000,-18400000,-11300000,-15000000,-26000000,-40000000,-40000000,-45000000,-46000000,-47000000,-50000000,-50000000,-50000000,-50000000,-61000000,-56000000,-66000000,-89000000,-146000000,-175000000,-172000000,-255000000,-340000000,-420000000,-512000000,-622000000,-676000000,-701000000,-718000000,-761000000,-782000000,-809000000
94,Other Financing Activites,- -,- -,- -,- -,-29700000,-35200000,20600000,-9900000,-223000000,-19300000,-12000000,184000000,216000000,531000000,-24000000,-20000000,-268000000,181000000,-147000000,-13000000,-308000000,-330000000,-156000000,126000000,79000000,231000000,96000000,47000000,946000000,-67000000,-5000000,208000000,138000000,520000000,153000000,2025000000,39000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-63100000,102500000,2200000,104900000,-113500000,-49600000,-121000000,110000000,96000000,471000000,-105000000,-86000000,-27000000,131000000,-145000000,74000000,-372000000,-508000000,-576000000,-237000000,-141000000,-267000000,-1025000000,-694000000,52000000,-1343000000,-1644000000,-1409000000,-1074000000,-1400000000,-2095000000,280000000,-2227000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2200000,4800000,-1100000,-3400000,-200000,4600000,1000000,4000000,-1000000,-1000000,- -,-2000000,-1000000,2000000,6000000,4000000,-8000000,6000000,18000000,-53000000,17000000,5000000,-35000000,29000000,35000000,-87000000,-87000000,-200000000,98000000,-70000000,-110000000,-11000000,35000000
97,Net Change In Cash,- -,- -,- -,- -,-63100000,102500000,2200000,104900000,-113500000,69600000,-87000000,48000000,-59000000,-11000000,36000000,-12000000,30000000,174000000,-116000000,503000000,168000000,61000000,-263000000,-151000000,504000000,93000000,461000000,-115000000,1330000000,-398000000,-590000000,-591000000,249000000,-66000000,-174000000,2272000000,-809000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,146900000,60000000,108000000,49000000,38000000,74000000,62000000,92000000,224000000,108000000,611000000,779000000,840000000,577000000,426000000,930000000,1023000000,1484000000,1369000000,2699000000,2301000000,1711000000,1120000000,1369000000,1303000000,1129000000,3401000000,2592000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,57700000,73200000,80000000,51500000,54200000,77300000,147000000,60000000,108000000,49000000,38000000,74000000,62000000,50000000,224000000,108000000,611000000,779000000,840000000,577000000,426000000,930000000,1023000000,1484000000,1369000000,2699000000,2301000000,1711000000,1120000000,1369000000,1303000000,1129000000,3401000000
100,Free Cash Flow,- -,- -,- -,- -,70900000,-114600000,-17200000,58400000,111400000,138000000,183000000,-111000000,-205000000,- -,92000000,160000000,-62000000,103000000,18000000,463000000,574000000,539000000,390000000,362000000,792000000,599000000,1391000000,755000000,1349000000,1468000000,1260000000,1341000000,1690000000,1594000000,2406000000,2147000000,1470000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26172/000002617295000002/0000026172-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617296000002/0000026172-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617297000003/0000026172-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617298000004/0000026172-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617299000002/0000026172-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/26172/000002617201000002/0000026172-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/26172/000002617202000002/0000026172-02-000002-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746903026015/0001047469-03-026015-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746904005705/0001047469-04-005705-index.htm,- -,https://www.sec.gov/Archives/edgar/data/26172/000110465906012743/0001104659-06-012743-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/26172/000104746909001963/0001047469-09-001963-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746910001435/0001047469-10-001435-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746911001252/0001047469-11-001252-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746912001182/0001047469-12-001182-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000104746913001297/0001047469-13-001297-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617214000008/0000026172-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617215000007/0000026172-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617216000033/0000026172-16-000033-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617217000007/0000026172-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617218000011/0000026172-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617219000009/0000026172-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617220000009/0000026172-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617221000012/0000026172-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/0000026172-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
