,https://roic.ai/company/KMB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,210900000,240300000,265500000,289000000,295900000,329600000,581700000,561000000,490900000,542500000,628000000,673400000,739600000,706600000,745800000,800300000,844500000,932800000,806500000,775000000,783000000,813000000,1091000000,857000000,863000000,862000000,746000000,705000000,724000000,882000000,917000000,796000000,766000000
75,Deferred Income Tax,- -,- -,- -,- -,58000000,42600000,7000000,-3400000,23600000,31800000,-330000000,40500000,11200000,53300000,126200000,84100000,39700000,197600000,-53000000,-19400000,-142700000,-208000000,-103000000,151000000,141000000,-12000000,274000000,224000000,151000000,63000000,-255000000,-15000000,-69000000,2000000,29000000,45000000,-70000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,52000000,48000000,67000000,92000000,52000000,75000000,77000000,76000000,41000000,96000000,147000000,26000000
77,Change in Working Capital,- -,- -,- -,- -,50100000,- -,- -,- -,- -,-248900000,193100000,-91900000,-69600000,-206500000,139800000,-500000000,537900000,481700000,283800000,-94700000,-284500000,113700000,914100000,-107000000,-120000000,49000000,-104000000,-388000000,204000000,-1369000000,-256000000,192000000,84000000,-848000000,-367000000,593000000,46000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,45000000,-169000000,-38000000,4000000,267000000,60000000,-23000000,-44000000,33000000,-116000000,95000000,-37000000
79,Inventory,- -,- -,- -,- -,-49000000,-96200000,-18000000,-38200000,-60700000,-55500000,-191300000,15900000,-43700000,-400000,- -,- -,-37700000,- -,-108600000,- -,- -,- -,-439300000,-45000000,523000000,-341000000,9000000,9000000,100000000,12000000,-28000000,230000000,-33000000,-127000000,24000000,-96000000,-417000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278000000,263000000,161000000,45000000,128000000,-30000000,44000000,-61000000,174000000,392000000,-153000000,239000000,627000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-248900000,-55800000,-147700000,-217300000,-423800000,-284000000,-784000000,-246100000,235600000,519400000,424700000,140200000,253900000,1168000000,1061000000,941000000,990000000,886000000,498000000,702000000,-667000000,-923000000,-731000000,-647000000,-1495000000,-1862000000,-1269000000,1000000
82,Other Non-Cash Items,- -,- -,- -,- -,19800000,21800000,-43700000,393900000,-83700000,21400000,453600000,-239200000,72600000,436200000,-427800000,75100000,-673300000,-636300000,-57800000,483200000,326200000,241500000,-1011600000,7000000,707000000,-1000000,-612000000,778000000,-412000000,1711000000,983000000,107000000,-164000000,1483000000,-96000000,-204000000,148000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,762600000,736800000,737100000,814500000,746700000,669000000,931600000,1674200000,1406600000,1991300000,2134300000,2133200000,2253800000,2424200000,2613000000,2969600000,2311800000,2579500000,2428900000,2516000000,3481000000,2744000000,2288000000,3288000000,3040000000,2845000000,2306000000,3232000000,2929000000,2970000000,2736000000,3729000000,2730000000
84,CAPEX,- -,- -,- -,- -,-696400000,-658500000,-537000000,-690500000,-654500000,-485200000,-817600000,-883700000,-944300000,-1012000000,-1058300000,-1170300000,-1099500000,-870700000,-877600000,-535000000,-709600000,-972100000,-989300000,-906000000,-848000000,-964000000,-968000000,-1093000000,-953000000,-1039000000,-1056000000,-771000000,-785000000,-877000000,-1209000000,-1217000000,-1007000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-294500000,-135000000,-410800000,-258500000,- -,-17400000,-99600000,-15700000,-98000000,-458000000,- -,- -,- -,-32000000,- -,- -,- -,- -,- -,- -,-1083000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19700000,-9000000,-10800000,-11500000,-2000000,-20500000,-12900000,-9000000,- -,- -,-158000000,-212000000,-93000000,-151000000,-146000000,-221000000,-214000000,-353000000,-568000000,-753000000,-918000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53100000,33100000,44900000,29400000,38000000,27300000,46200000,58500000,124000000,40000000,48000000,389000000,118000000,120000000,366000000,164000000,216000000,183000000,272000000,542000000,690000000,836000000
88,Other Investing Activites,- -,- -,- -,- -,15200000,-4500000,-40300000,-139500000,-11100000,42400000,263800000,250700000,638500000,313600000,481500000,226800000,-30000000,-48500000,-147000000,13100000,105500000,10100000,61300000,42000000,-870000000,-829000000,-912000000,-1090000000,-839000000,-985000000,-1068000000,-727000000,-820000000,-821000000,-1016000000,-1159000000,-974000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-681200000,-663000000,-577300000,-830000000,-665600000,-442800000,-553800000,-633000000,-305800000,-698400000,-576800000,-1184900000,-1251100000,-1294100000,-1264500000,-495400000,-596200000,-1035900000,-898100000,-847000000,-1288000000,-781000000,-681000000,-1184000000,-844000000,-770000000,-1050000000,-732000000,-851000000,-902000000,-1042000000,-2305000000,-1056000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-590000000,-534000000,-94000000,-492000000,-544000000,-123000000,-553000000,-598000000,-1481000000,-407000000,-707000000,-854000000,-269000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121400000,207900000,49200000,38300000,60800000,90300000,618000000,68900000,31000000,415000000,142700000,331100000,348900000,113000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1100000,-66100000,-800000,-2300000,- -,-52200000,-137800000,-348800000,-910600000,-919700000,-779000000,-1190700000,-891500000,-680700000,-546700000,-1598000000,-1519500000,-761500000,-2813300000,-700000000,-353000000,-857000000,-1303000000,-1284000000,-1216000000,-1939000000,-861000000,-739000000,-911000000,-800000000,-800000000,-700000000,-400000000
93,Dividends Paid,- -,- -,- -,- -,-189400000,-215700000,-231900000,-262800000,-273400000,-281800000,-348200000,-461500000,-530600000,-545500000,-551300000,-580100000,-590100000,-612700000,-671900000,-767900000,-838400000,-884000000,-932900000,-950000000,-986000000,-1066000000,-1099000000,-1151000000,-1223000000,-1256000000,-1272000000,-1311000000,-1359000000,-1386000000,-1408000000,-1451000000,-1516000000
94,Other Financing Activites,- -,- -,- -,- -,189300000,112500000,55500000,278900000,186000000,96800000,-929400000,-577200000,298800000,187200000,-109200000,615900000,59600000,209700000,-383400000,-224000000,285500000,-236900000,1970500000,-210000000,141000000,598000000,755000000,1125000000,798000000,1425000000,1388000000,463000000,1330000000,478000000,1123000000,1438000000,489000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1200000,-169300000,-177200000,13800000,-87400000,-237200000,-1294000000,-1179600000,-1093200000,-1239700000,-1378700000,-1064600000,-804000000,-1014800000,-1571000000,-2174900000,-1929700000,-1551300000,-1426800000,-1747000000,-1788000000,-1859000000,-1741000000,-1802000000,-2185000000,-1893000000,-1298000000,-2185000000,-2421000000,-2115000000,-1792000000,-1567000000,-1696000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,18600000,4100000,-15900000,4500000,7900000,-31000000,29000000,-26000000,22000000,40000000,-63000000,-447000000,-128000000,-11000000,36000000,-30000000,1000000,4000000,-11000000
97,Net Change In Cash,- -,- -,- -,- -,-1200000,-169300000,-177200000,13800000,-87400000,- -,- -,- -,- -,- -,178800000,-116300000,198700000,130000000,-203900000,303400000,-230000000,-3200000,111900000,-109000000,434000000,78000000,-112000000,342000000,-52000000,-265000000,-170000000,304000000,-307000000,-77000000,-97000000,-139000000,-33000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322800000,206500000,405200000,494500000,290600000,594000000,364000000,360800000,472700000,364000000,798000000,876000000,764000000,1106000000,1054000000,789000000,619000000,923000000,616000000,539000000,442000000,303000000,270000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,84100000,155700000,60200000,42800000,41100000,34800000,1137800000,221600000,83200000,90800000,144000000,322800000,206500000,364500000,494500000,290600000,594000000,364000000,360800000,473000000,364000000,798000000,876000000,764000000,1106000000,1054000000,789000000,619000000,923000000,616000000,539000000,442000000,303000000
100,Free Cash Flow,- -,- -,- -,- -,66200000,78300000,200100000,124000000,92200000,183800000,114000000,790500000,462300000,979300000,1076000000,962900000,1154300000,1553500000,1735400000,2434600000,1602200000,1607400000,1439600000,1610000000,2633000000,1780000000,1320000000,2195000000,2087000000,1806000000,1250000000,2461000000,2144000000,2093000000,1527000000,2512000000,1723000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578595000007/0000055785-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578596000012/0000055785-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578597000014/0000055785-97-000014-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578501000003/0000055785-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/55785/000005578502000017/0000055785-02-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/55785/000119312505036237/0001193125-05-036237-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312506037643/0001193125-06-037643-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312507037015/0001193125-07-037015-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312508036335/0001193125-08-036335-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312509040737/0001193125-09-040737-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312510038621/0001193125-10-038621-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000119312511043300/0001193125-11-043300-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578512000021/0000055785-12-000021-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578513000011/0000055785-13-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/0000055785-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578516000138/0000055785-16-000138-index.htm,- -,https://www.sec.gov/Archives/edgar/data/55785/000005578518000014/0000055785-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578519000013/0000055785-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578520000016/0000055785-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578521000016/0000055785-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578522000010/0000055785-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
