,https://roic.ai/company/AVD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,2400000,- -,1300000,100000,-2900000,-2600000,-600000,2200000,4600000,15700000,17900000,25800000,19900000,11286300,29122700,25377800,27862800,31624000,36275000,41668000,99233000,75144000,96881000,68797000,67459000,99440000,108647000,139007000,205804000,160549000,130001000,128681000,164660000,197561000,160401000,106451000
82,Other Non-Cash Items,-1500000,- -,-1000000,-1200000,1500000,-3000000,-4700000,-7400000,-5200000,-14000000,-5700000,-16100000,8500000,5944800,-25730400,11483900,-4820900,-13653200,-8465000,-12905000,-109643000,49790000,-53996000,51892000,2699000,-35034000,-21201000,-92210000,-128837000,96850000,44823000,17976000,-72963000,-65518000,85776000,-18587000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-400000,600000,2500000,1000000,1700000,3600000,400000,-3500000,7200000,3318000,-1364600,14807200,8158500,4424000,15410000,18749000,-29817000,55507000,3073000,31951000,33190000,39266000,40424000,-6214000,-34095000,78568000,46406000,59001000,11346000,9403000,89198000,- -
84,CAPEX,- -,- -,- -,- -,-8000000,-300000,-700000,-1100000,-900000,-800000,-1500000,-2800000,-800000,-397400,-521500,-5594300,-7977900,-4448000,-8483000,-13186000,-46795000,-13887000,-23322000,-4322000,-40681000,-6577000,-21101000,-15260000,-7180000,-43566000,-10854000,-88562000,-27697000,-12985000,-15263000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81896000,- -,-41852000,-19342000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3687000,-500000,-125000,-3283000,-950000,- -,- -,-1190000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1100000,-1000000,-900000,-400000,-600000,-300000,-200000,-100000,-800000,22300,184500,-395000,-1843400,-6193000,-2583000,-22045000,-276000,- -,- -,-4322000,-40681000,-6577000,-21101000,-15260000,-7180000,-43566000,-10854000,-6666000,-27697000,-12985000,-15263000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-8100000,-1300000,-1600000,-1500000,-1500000,-1100000,-1700000,-2900000,-1600000,-375100,-337000,-5989300,-9821300,-10641000,-11066000,-35231000,-47071000,-13887000,-23322000,-4322000,-40681000,-6577000,-21101000,-18947000,-7680000,-43691000,-14137000,-89512000,-27697000,-54837000,-35795000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6544000,-8107000,-15729000,-8494000,-52154000,- -,-30520000,-107600000,-103975000,-117325000,- -,-41623000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31200,76800,501100,778000,637000,1015000,24111000,969000,1422000,1470000,768000,580000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-100000,- -,- -,-245300,-569400,-586300,-393800,-208000,-301000,- -,- -,- -,-408000,- -,- -,- -,- -,-1934000,-1531000,- -,- -,-713000,-7287000,-2604000,-421000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-200000,-200000,-149600,-454300,-459400,-598800,-807000,-1175000,-1550000,-2164000,-1838000,-2127000,-1611000,-819000,-2205000,-6148000,-4804000,-5672000,-1141000,-578000,-1600000,-2199000,-2323000,-1168000,- -
94,Other Financing Activites,- -,- -,- -,- -,8400000,500000,-800000,700000,-200000,-2200000,1800000,6700000,-5400000,-2764800,2504900,-7357000,4848200,4001000,-3935000,17893000,55393000,-39606000,20527000,-21900000,16286000,19662000,-1787000,51769000,48359000,-1203000,79633000,140223000,137944000,51333000,-1000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,8400000,500000,-800000,700000,-200000,-2500000,1600000,6500000,-5600000,-3159700,1512400,-8325900,4356700,3764000,-4774000,17358000,77340000,-40475000,19414000,-28585000,8128000,2308000,-16429000,-7123000,41156000,-32864000,-28545000,33935000,11133000,46406000,-43213000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-272300,65000,- -,9000,50000,212000,-1137000,110000,138000,-1070000,497000,488000,-1176000,-1374000,-1379000,44000,49000,-559000,-848000,- -
97,Net Change In Cash,- -,- -,- -,- -,8400000,500000,-800000,700000,-200000,-2500000,1600000,6500000,-5600000,-216800,-189200,492000,2421600,-2388000,-430000,885000,502000,1357000,-1972000,-846000,775000,33927000,3391000,-31796000,-1795000,639000,2345000,3468000,-5169000,413000,9342000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550200,361000,853000,3274600,887000,457000,1342000,1844000,3201000,1229000,383000,1158000,35085000,38476000,6680000,4885000,5524000,7869000,11337000,6168000,6581000,15923000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,200000,100000,100000,300000,300000,300000,600000,700000,767000,550200,361000,853000,3275000,887000,457000,1342000,1844000,3201000,1229000,383000,1158000,35085000,38476000,6680000,4885000,5524000,7869000,11337000,6168000,6581000,16285000
100,Free Cash Flow,- -,- -,- -,- -,-8400000,300000,1800000,-100000,800000,2800000,-1100000,-6300000,6400000,2920600,-1886100,9212900,180600,-24000,6927000,5563000,-76612000,41620000,-20249000,27629000,-7491000,32689000,19323000,-21474000,-41275000,35002000,35552000,-29561000,-16351000,-3582000,73935000,- -
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5981/000089256996000332/0000892569-96-000332-index.html,https://www.sec.gov/Archives/edgar/data/5981/000089256997000890/0000892569-97-000890-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/5981/0001095811-00-000821-index.html,- -,https://www.sec.gov/Archives/edgar/data/5981/000089256902000681/0000892569-02-000681-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000101706203000700/0001017062-03-000700-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312504053903/0001193125-04-053903-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312505052661/0001193125-05-052661-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312506056761/0001193125-06-056761-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312507054676/0001193125-07-054676-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312508058914/0001193125-08-058914-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312509054021/0001193125-09-054021-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312510052341/0001193125-10-052341-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312511062341/0001193125-11-062341-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312512106666/0001193125-12-106666-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312513087788/0001193125-13-087788-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312514077597/0001193125-14-077597-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312515069176/0001193125-15-069176-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000119312516488588/0001193125-16-488588-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459017003513/0001564590-17-003513-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459018005662/0001564590-18-005662-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459019007329/0001564590-19-007329-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459020009724/0001564590-20-009724-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459021017113/0001564590-21-017113-index.htm,https://www.sec.gov/Archives/edgar/data/5981/000156459022009941/0001564590-22-009941-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
