,https://roic.ai/company/BSET,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6744000,-4467000,1034000,-2967000,-686000,775000,-2354000,3228000,-1225000,1732000,-2555000,-1454000,-5672000
79,Inventory,- -,- -,- -,- -,5800000,-1300000,3300000,-9000000,-5700000,-9800000,-700000,14400000,25500000,-5600000,-7600000,-6364000,17957000,-7695000,11144000,-10831000,4172000,2503000,-315000,7199000,11704000,-5443000,299000,-11307000,4847000,-4203000,-2624000,6681000,-918000,-5998000,-2942000,6494000,-26087000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2153000
81,Other Working Capital,- -,- -,- -,- -,176700000,162900000,172600000,155800000,168400000,163600000,169500000,164400000,152600000,98900000,79400000,95000000,65300000,68822000,63200000,64200000,54800000,62200000,54500000,53300000,61200000,29700000,88400000,79900000,74933000,63321000,67434000,63556000,76026000,66728000,64515000,42307000,46065000
82,Other Non-Cash Items,- -,- -,- -,- -,200000,33100000,-9400000,3800000,-25400000,-5200000,-11000000,5300000,65000000,32100000,5700000,-41669000,44091000,-11406000,19316000,-26742000,5661000,-25741000,3012000,-2271000,12444000,35322000,-124945000,105000,2031000,24414000,-4215000,9538000,-7352000,11912000,3340000,53311000,-23379000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,32900000,27800000,28500000,23100000,22400000,23700000,26300000,25500000,21300000,4500000,16700000,-4329000,22283000,11876000,22561000,-5515000,12095000,-5125000,-8462000,-18955000,4248000,7788000,-5431000,7956000,10640000,29961000,32398000,39062000,36384000,28698000,9809000,36675000,14563000
84,CAPEX,- -,- -,- -,- -,-8200000,-9100000,-7900000,-9900000,-6200000,-10000000,-7200000,-9600000,-10800000,-22600000,-47800000,-18319000,-12332000,-9659000,-6215000,-11043000,-11090000,-6938000,-5544000,-4702000,-1094000,-2013000,-4168000,-9000000,-14302000,-17980000,-13974000,-21501000,-15500000,-18301000,-17375000,-6029000,-10750000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,870000,120000,-216000,3366000,559000,69152000,861000,2348000,2348000,-8668000,- -,-655000,-15556000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1900000,-600000,- -,-2300000,-9900000,-4100000,-6600000,-50200000,-16200000,- -,- -,- -,- -,-21776000,-24979000,-14339000,-14748000,-10413000,-6185000,-6941000,-8851000,-4112000,-1781000,-28125000,- -,- -,- -,- -,- -,- -,-295000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,22600000,- -,- -,500000,- -,7600000,16200000,20800000,4900000,57500000,37800000,5785000,4441000,1406000,26776000,24019000,17454000,20593000,16982000,35817000,26234000,9101000,3297000,4854000,- -,5000000,- -,- -,5546000,482000,5207000,16000,- -
88,Other Investing Activites,- -,- -,- -,- -,-900000,1600000,2900000,1000000,-300000,-1100000,-900000,500000,21300000,-17100000,2600000,1467000,35042000,8368000,6382000,14100000,8028000,9539000,9744000,8973000,646000,4741000,15334000,1259000,1047000,5477000,2981000,667000,4474000,2689000,995000,2561000,-821000
89,Cash Used for Investing Activites,- -,- -,- -,- -,13500000,-9400000,-5600000,-8400000,-8800000,-13400000,4000000,5100000,-34800000,1600000,-7400000,-11067000,27151000,115000,5167000,2097000,120000,9316000,10889000,33687000,22211000,3537000,79503000,-3807000,-39032000,-5155000,-19661000,-20834000,-6135000,-30686000,-11173000,-3747000,-11571000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5736000,-23617000,-12053000,-570000,-549000,-528000,-2768000,-14251000,-3473000,-3455000,-292000,-121000,-1348000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,100000,300000,100000,128000,280000,315000,319000,2587000,1065000,5123000,448000,296000,95000,142000,170000,842000,706000,608000,325000,182000,168000,355000,328000,285000,363000
92,Common Stock Repurchased,- -,- -,- -,- -,-8400000,-14500000,-1800000,-100000,- -,-9500000,-10100000,-14100000,-1400000,-4800000,-17100000,-4716000,-730000,-1253000,-1193000,-772000,-155000,-1013000,-546000,-4313000,-75000,- -,-2964000,-7015000,-1750000,-5602000,-2071000,-6393000,-83000,-5946000,-7345000,-2208000,-5566000
93,Dividends Paid,- -,- -,- -,- -,-8200000,-18000000,-7700000,-9200000,-11400000,-11400000,-11200000,-10600000,-13000000,-10400000,-10000000,-9497000,-9378000,-9358000,-9261000,-9355000,-9433000,-9449000,-9450000,-18684000,-1142000,- -,-695000,-21441000,-2935000,-5155000,-5786000,-6311000,-7725000,-8800000,-5133000,-4544000,-7689000
94,Other Financing Activites,- -,- -,- -,- -,-100000,- -,- -,100000,100000,-100000,- -,- -,- -,- -,17900000,27000000,-37518000,-5671000,-3783000,-201000,-605000,90000,4608000,8208000,-157000,- -,- -,- -,87000,-189000,7158000,7421000,-331000,-647000,25000,-228000,-177000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-16700000,-32500000,-9500000,-9200000,-10800000,-21000000,-21300000,-24700000,-14300000,-14900000,-9100000,12915000,-47346000,-15967000,-13918000,-7741000,-9128000,-5249000,-4940000,-14493000,-7015000,-23475000,-15542000,-28184000,-4441000,-10866000,-3142000,-19352000,-11444000,-18493000,-12417000,-6816000,-14417000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-16700000,-32500000,-9500000,-9200000,-10800000,-21000000,-21300000,-24700000,-14300000,-14900000,200000,-2481000,2088000,-3976000,13810000,-11159000,3087000,-1058000,-2513000,239000,19444000,-12150000,58530000,-24035000,-32833000,13940000,9595000,-1124000,18805000,-20481000,-13781000,26112000,-11425000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,3259000,5347000,1371000,15181000,4022000,7109000,6051000,3538000,3777000,23221000,11071000,69601000,45566000,12733000,26673000,36268000,35144000,53949000,33468000,19687000,45799000,34374000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15400000,45200000,31200000,44600000,50200000,53000000,42300000,51300000,57300000,14400000,5500000,5740000,3259000,5347000,1371000,15181000,4022000,7109000,6051000,3538000,3777000,23221000,11071000,69601000,45566000,12733000,26673000,36268000,35144000,53949000,33468000,19687000,45799000
100,Free Cash Flow,- -,- -,- -,- -,24700000,18700000,20600000,13200000,16200000,13700000,19100000,15900000,10500000,-18100000,-31100000,-22648000,9951000,2217000,16346000,-16558000,1005000,-12063000,-14006000,-23657000,3154000,5775000,-9599000,-1044000,-3662000,11981000,18424000,17561000,20884000,10397000,-7566000,30646000,3813000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/0000950133-95-000082-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/000095013398000652/0000950133-98-000652-index.html,https://www.sec.gov/Archives/edgar/data/10329/000095013399000659/0000950133-99-000659-index.html,https://www.sec.gov/Archives/edgar/data/10329/000095013300000690/0000950133-00-000690-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/10329/000095013303000524/0000950133-03-000524-index.html,https://www.sec.gov/Archives/edgar/data/10329/000119312504012234/0001193125-04-012234-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312505014214/0001193125-05-014214-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312506015246/0001193125-06-015246-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312507029518/0001193125-07-029518-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312508023087/0001193125-08-023087-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312509027290/0001193125-09-027290-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312510028896/0001193125-10-028896-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000119312511023266/0001193125-11-023266-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774912001055/0001437749-12-001055-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774913001053/0001437749-13-001053-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774914000921/0001437749-14-000921-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774915000964/0001437749-15-000964-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774916023899/0001437749-16-023899-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774917000837/0001437749-17-000837-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774918000767/0001437749-18-000767-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774919000960/0001437749-19-000960-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774920001052/0001437749-20-001052-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774921000971/0001437749-21-000971-index.htm,https://www.sec.gov/Archives/edgar/data/10329/000143774922001938/0001437749-22-001938-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
