,https://roic.ai/company/VSH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,- -,26200000,27100000,36100000,48578000,57742000,69547000,77247000,81874000,127947000,139676000,140840000,163387000,180748000,194055000,202580000,188900000,196963000,214691000,221751000,229643000,190723000,179706000,168555000,170132000,179455000,176169000,159363000,163146000,161863000,164461000,166230000,167037000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9249000,17202000,-12771000,-12957000,-26476000,14108000,-6828000,1734000,15663000,118447000,-2519000,52377000,-55206000,-76580000,-43156000,35856000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,-8200000,8400000,16500000,60506000,122516000,82964000,22913000,20935000,184649000,-58233000,475650000,38834000,-198578000,152436000,114790000,-28216000,56367000,-46960000,-279468000,133637000,267301000,123545000,-11795000,152522000,-61904000,-39943000,-22146000,220333000,-488175000,43908000,-48775000,-83412000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126084000,29055000,-89261000,61918000,33004000,-16870000,-731000,-11250000,-4120000,-51152000,-62433000,66158000,4662000,-67707000
79,Inventory,- -,- -,- -,- -,- -,-6900000,-7900000,-6200000,-22780000,-44195000,-48123000,-11575000,19501000,13304000,24988000,-140084000,6038000,106818000,-30448000,-35292000,-28238000,-66922000,31907000,-9192000,79415000,-54358000,-13829000,-186000,-31246000,-23753000,-30302000,13760000,-55062000,-80182000,18762000,-24204000,-121492000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67301000,12838000,59568000,-11468000,-9408000,11087000,9339000,-13419000,17839000,42291000,-2277000,-43791000,18485000,61481000
81,Other Working Capital,- -,- -,- -,- -,- -,120400000,128800000,145300000,205806000,328322000,411286000,434199000,455134000,639783000,581550000,1057200000,1096034000,897456000,1049892000,1164682000,1136466000,1192833000,1145873000,866405000,1000042000,1267343000,1390888000,1379093000,1531615000,1469711000,1429768000,1407622000,1627955000,1139780000,1183688000,1134913000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,6500000,-10600000,-28600000,-103045000,-201285000,-129667000,-30590000,19802000,-151358000,75129000,-592035000,-41316000,477315000,-117577000,-128982000,-20084000,-52849000,28136000,2056606000,-5905000,-245472000,-180143000,14819000,-155298000,46194000,99172000,112477000,-46735000,294266000,719000,116856000,39653000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,47700000,45800000,54400000,50114000,37920000,115511000,122186000,175913000,169450000,239809000,542319000,161418000,366871000,255756000,233084000,202874000,349466000,343833000,254702000,287230000,545182000,376037000,287489000,292070000,297037000,245331000,295967000,368777000,258506000,296444000,314938000,457104000
84,CAPEX,- -,- -,- -,- -,- -,-30900000,-26700000,-49800000,-76813000,-83024000,-165699000,-123984000,-75870000,-151682000,-119638000,-229781000,-162493000,-110074000,-126635000,-158627000,-136714000,-183298000,-200027000,-151994000,-50340000,-145413000,-168641000,-150291000,-153077000,-156974000,-147142000,-134635000,-170432000,-229899000,-156641000,-123599000,-218372000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-12967000,-179847000,- -,- -,-122468000,-423031000,- -,-42384000,-172468000,-278735000,-41161000,-24892000,-26371000,-14239000,-313117000,-74234000,28195000,- -,-19335000,-85493000,-23034000,-197986000,-6750000,- -,- -,-14880000,-11862000,-25852000,-20847000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9925000,- -,- -,- -,- -,- -,-497258000,-381040000,-664867000,-495762000,-486949000,-555250000,-749600000,-175403000,-111631000,-293087000,-140603000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9925000,- -,- -,- -,- -,228959000,339287000,465668000,498964000,346300000,532601000,887729000,636108000,81012000,250580000,147893000
88,Other Investing Activites,- -,- -,- -,- -,- -,-3000000,-6700000,-151700000,- -,- -,- -,- -,- -,11650000,17052000,40429000,9911000,20621000,19349000,5946000,16130000,9053000,-3175000,-132418000,7825000,13901000,3512000,8413000,4505000,3506000,-2835000,8643000,-2504000,53503000,4164000,-126000,1446000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-33900000,-33400000,-201300000,-89780000,-262871000,-165699000,-123984000,-198338000,-563063000,-102586000,-231736000,-325050000,-368188000,-148447000,-177573000,-156880000,-178559000,-516319000,-206652000,-14320000,-131512000,-452763000,-269124000,-370805000,-348252000,-297376000,-148641000,-34807000,269429000,-194958000,-192084000,-230483000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-514053000,-40032000,-229581000,-85681000,-27000,-28000,-11000,-10000000,-81044000,- -,-1110995000,-27863000,-151683000,-300000
91,Common Stock Issued,- -,- -,- -,- -,- -,35300000,- -,59100000,- -,109738000,230279000,- -,- -,- -,- -,435322000,854000,3161000,4740000,9185000,401000,3327000,20694000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,-3578000,- -,- -,- -,- -,-5765000,-850000,- -,- -,- -,- -,- -,- -,- -,- -,-275000000,-150000000,-150000000,- -,- -,- -,-23159000,-39944000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-556000,-757000,-1440000,- -,- -,-35388000,-35417000,-36725000,-37049000,-46509000,-53444000,-54969000,-55751000
94,Other Financing Activites,- -,- -,- -,- -,- -,-60100000,-14100000,90000000,35023000,130489000,-185001000,4018000,60601000,450408000,-141028000,-507032000,197294000,-41468000,88295000,-6127000,-22339000,-155892000,-5805000,259631000,15000000,429812000,155791000,78192000,16597000,63128000,-4411000,-1074000,-205000,581572000,-8718000,-2730000,-2763000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-25300000,-14100000,149100000,35023000,240227000,41700000,4018000,60601000,450408000,-141028000,-77475000,197298000,-38307000,93035000,3058000,-21938000,-152565000,14889000,-254422000,-25588000,-75526000,-81330000,-71835000,16569000,27729000,-49828000,-142002000,-77198000,-575932000,-90025000,-209382000,-58814000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,800000,-200000,-500000,-403000,650000,1200000,-859000,-3858000,1671000,-4731000,-1088000,-3764000,12447000,15258000,18591000,-34179000,30667000,23306000,-6759000,7703000,-19995000,9806000,1977000,4919000,-24690000,-14792000,-9050000,19479000,-14003000,-3360000,12269000,-13573000
97,Net Change In Cash,- -,- -,- -,- -,- -,-25300000,-14100000,149100000,-5046000,15926000,-7273000,1361000,34318000,58466000,-8536000,232020000,29902000,-27177000,215602000,77160000,-10123000,49009000,-134291000,-213131000,255025000,318149000,-148250000,-51493000,-57247000,-48176000,-116665000,-3726000,276251000,-62000000,8101000,-74259000,154234000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,10931000,26857000,19584000,20945000,55263000,113729000,105193000,337213000,367115000,339938000,555540000,632700000,622577000,671586000,537295000,324164000,579189000,897338000,749088000,697595000,640348000,592172000,475507000,471781000,748032000,686032000,694133000,619874000,774108000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,26900000,16100000,14200000,15977000,10931000,26857000,19584000,20945000,55263000,113729000,105193000,337213000,367115000,339938000,555540000,632700000,622577000,671586000,537295000,324164000,579189000,897338000,749088000,697595000,640348000,592172000,475507000,471781000,748032000,686032000,694133000,619874000
100,Free Cash Flow,- -,- -,- -,- -,- -,16800000,19100000,4600000,-26699000,-45104000,-50188000,-1798000,100043000,17768000,120171000,312538000,-1075000,256797000,129121000,74457000,66160000,166168000,143806000,102708000,236890000,399769000,207396000,137198000,138993000,140063000,98189000,161332000,198345000,28607000,139803000,191339000,238732000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103730/000092242395000040/0000922423-95-000040-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242396000155/0000922423-96-000155-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242397000234/0000922423-97-000234-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242398000354/0000922423-98-000354-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242399000478/0000922423-99-000478-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242300000540/0000922423-00-000540-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242301000313/0000922423-01-000313-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242302000372/0000922423-02-000372-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242303000327/0000922423-03-000327-index.html,https://www.sec.gov/Archives/edgar/data/103730/000092242304000397/0000922423-04-000397-index.html,https://www.sec.gov/Archives/edgar/data/103730/000120677405000347/0001206774-05-000347-index.html,https://www.sec.gov/Archives/edgar/data/103730/000120677406000383/vi71795.htm,https://www.sec.gov/Archives/edgar/data/103730/000120677407000513/vi71952.htm,https://www.sec.gov/Archives/edgar/data/103730/000120677408000372/vishay_10k.htm,https://www.sec.gov/Archives/edgar/data/103730/000120677409000337/0001206774-09-000337-index.html,https://www.sec.gov/Archives/edgar/data/103730/000120677410000366/0001206774-10-000366-index.html,https://www.sec.gov/Archives/edgar/data/103730/000120677411000309/vishay_10k.htm,https://www.sec.gov/Archives/edgar/data/103730/000010373012000011/0000103730-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/103730/000010373013000009/0000103730-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/103730/000010373014000010/vishayintertech_10k.htm,https://www.sec.gov/Archives/edgar/data/103730/000010373015000008/vishayintertech_10k.htm,https://www.sec.gov/Archives/edgar/data/103730/000010373016000061/0000103730-16-000061-index.html,https://www.sec.gov/Archives/edgar/data/103730/000010373017000007/0000103730-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/103730/000010373018000008/0000103730-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/103730/000010373019000008/0000103730-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/103730/000010373020000013/0000103730-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/103730/000010373021000014/0000103730-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/103730/000010373022000010/0000103730-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
