,https://roic.ai/company/CAR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,1100000,-900000,-5600000,4400000,-1200000,4400000,16300000,-42600000,-110800000,252000000,-33000000,402000000,438000000,453000000,502000000,227000000,-200000000,-57000000,-241000000,-60000000,-20000000,32000000,128000000,37000000,65000000,58000000,51000000,-192000000,14000000,-103000000,-317000000,378000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,27000000,13000000,24000000,22000000,9000000,30000000
77,Change in Working Capital,- -,- -,- -,- -,- -,-3000000,38000000,-31700000,14500000,31100000,44500000,138100000,223500000,1057300000,-2693200000,1491000000,-1669000000,-443000000,-1054000000,226000000,176000000,2213000000,192000000,48000000,284000000,259000000,-97000000,243000000,284000000,-142000000,86000000,-48000000,16000000,7000000,-797000000,-515000000,243000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87000000,-120000000,-40000000,-19000000,108000000,20000000,-28000000,-28000000,-3000000,-79000000,-9000000,49000000,48000000,84000000,-181000000,414000000
81,Other Working Capital,- -,- -,- -,- -,- -,19700000,57700000,26000000,40500000,71600000,116100000,254200000,617900000,1675200000,-1018000000,473000000,-1196000000,-1639000000,-2693000000,-2467000000,-2291000000,-78000000,114000000,162000000,446000000,705000000,608000000,851000000,1135000000,993000000,1079000000,1031000000,1047000000,1054000000,257000000,-258000000,-28000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-123300000,-225000000,-230700000,-269600000,-327600000,-447700000,-647700000,-1023800000,-2448400000,4459200000,-954000000,1498000000,-2227000000,3169000000,-588000000,259000000,-451000000,846000000,1294000000,-173000000,-1297000000,182000000,-335000000,86000000,391000000,44000000,306000000,244000000,169000000,20000000,-363000000,-925000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,41200000,40400000,34700000,117600000,127300000,97600000,124000000,1208800000,620300000,3032000000,1436000000,2784000000,1331000000,7202000000,5417000000,3295000000,1035000000,1714000000,1704000000,1491000000,1640000000,1578000000,1889000000,2253000000,2579000000,2584000000,2629000000,2648000000,2609000000,2586000000,691000000,3491000000
84,CAPEX,- -,- -,- -,- -,- -,-4100000,-4900000,-6700000,-4600000,-9100000,-17600000,-30200000,-182700000,-3207200000,-482000000,-217000000,-349000000,-399000000,-463000000,-469000000,-540000000,-11443000000,-10727000000,-8691000000,-6814000000,-8092000000,-8724000000,-11199000000,-11051000000,-12057000000,-12127000000,-12651000000,-11735000000,-12820000000,-13137000000,-5495000000,-10162000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2757000000,- -,-327000000,-1751000000,-2094000000,4046000000,-11000000,-91000000,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-458100000,-2471000000,-690000000,-441000000,-136000000,-27000000,-63000000,- -,- -,- -,-60000000,- -,- -,-570000000,-400000000,- -,- -,- -,- -,- -,-61000000,-188000000,-251000000,-286000000,-367000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522500000,987000000,741000000,379000000,36000000,29000000,4000000,63000000,23000000,- -,106000000,- -,- -,570000000,400000000,- -,- -,- -,- -,- -,- -,52000000,161000000,268000000,192000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-1600000,-10100000,-7300000,-93900000,-14400000,-27100000,-60600000,-2386000000,339400000,2291000000,-893000000,-3192000000,-1520000000,-2551000000,-2416000000,128000000,10690000000,8775000000,6686000000,6980000000,6491000000,6351000000,9126000000,8817000000,9250000000,9297000000,10502000000,9592000000,9530000000,10475000000,8690000000,4031000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-5700000,-15000000,-14000000,-98500000,-23500000,-44700000,-90800000,-2504300000,-4351800000,1860000000,-1172000000,-6398000000,-1917000000,-3400000000,-4573000000,-2483000000,3293000000,-1917000000,-2096000000,166000000,-1603000000,-2373000000,-2073000000,-2234000000,-2807000000,-2830000000,-2149000000,-2204000000,-3426000000,-2752000000,3177000000,-6306000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8070000000,-9365000000,-9840000000,-10585000000,-12991000000,-15723000000,-14725000000,-13949000000,-16673000000,-17871000000,-16900000000,-19855000000,-18446000000,-11410000000
91,Common Stock Issued,- -,- -,- -,- -,- -,2200000,4300000,4500000,6700000,5700000,10900000,30300000,129300000,1617700000,127000000,603000000,877000000,112000000,446000000,1430000000,289000000,46000000,50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-8600000,-5500000,- -,- -,- -,- -,-171300000,-257700000,-2863000000,-381000000,-254000000,-288000000,-1090000000,-1323000000,-1349000000,-243000000,- -,-33000000,- -,- -,- -,- -,-48000000,-297000000,-393000000,-387000000,-210000000,-216000000,-67000000,-119000000,-1460000000
93,Dividends Paid,- -,- -,- -,- -,- -,-100500000,- -,- -,- -,- -,- -,- -,-6600000,- -,- -,- -,- -,- -,- -,-333000000,-423000000,-113000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,37000000,-20300000,-19900000,-11600000,-21200000,- -,-2500000,844300000,3329600000,-2052000000,-705000000,4020000000,-1095000000,-2437000000,-884000000,1090000000,-4394000000,189000000,8566000000,7900000000,10220000000,11009000000,13241000000,15847000000,15204000000,14457000000,16622000000,17773000000,17783000000,20240000000,14505000000,15557000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-61300000,-24600000,-20900000,-4900000,-15500000,10900000,27800000,795700000,4689600000,-4788000000,-483000000,4643000000,-1271000000,-3081000000,-1110000000,-393000000,-4704000000,239000000,463000000,-1465000000,380000000,424000000,250000000,76000000,182000000,115000000,-438000000,-308000000,667000000,318000000,-4045000000,2687000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,-16400000,51000000,18000000,-2000000,41000000,-7000000,18000000,-51000000,2000000,6000000,-27000000,32000000,12000000,-6000000,6000000,-8000000,-23000000,-41000000,-4000000,45000000,-16000000,13000000,42000000,-11000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,795700000,941700000,155000000,-201000000,1027000000,-1816000000,714000000,-248000000,368000000,-374000000,42000000,44000000,224000000,429000000,-377000000,72000000,87000000,-69000000,-172000000,38000000,181000000,-166000000,165000000,-135000000,-139000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1008700000,1164000000,967000000,1971000000,126000000,840000000,591000000,835000000,172000000,214000000,258000000,482000000,911000000,534000000,606000000,693000000,624000000,452000000,490000000,901000000,735000000,900000000,765000000,626000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,38100000,12300000,14600000,14400000,28600000,116900000,209100000,633900000,67000000,1009000000,1168000000,944000000,1942000000,126000000,839000000,467000000,546000000,172000000,214000000,258000000,482000000,911000000,534000000,606000000,693000000,624000000,452000000,720000000,901000000,735000000,900000000,765000000
100,Free Cash Flow,- -,- -,- -,- -,- -,37100000,35500000,28000000,113000000,118200000,80000000,93800000,1026100000,-2586900000,2550000000,1219000000,2435000000,932000000,6739000000,4948000000,2755000000,-10408000000,-9013000000,-6987000000,-5323000000,-6452000000,-7146000000,-9310000000,-8798000000,-9478000000,-9543000000,-10022000000,-9087000000,-10211000000,-10551000000,-4804000000,-6671000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723612/000095011296001227/0000950112-96-001227-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723612/000091205701505442/0000912057-01-505442-index.html,https://www.sec.gov/Archives/edgar/data/723612/000091205702012785/0000912057-02-012785-index.html,https://www.sec.gov/Archives/edgar/data/723612/000104746903007743/a2104329z10-k.htm,https://www.sec.gov/Archives/edgar/data/723612/000104746904006115/a2129356z10-k.htm,https://www.sec.gov/Archives/edgar/data/723612/000095012305002491/y05947e10vk.htm,https://www.sec.gov/Archives/edgar/data/723612/000095012306002437/y17817e10vk.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312507044472/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312508042121/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312509039260/0001193125-09-039260-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312510037872/0001193125-10-037872-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312511045409/d10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000119312512089534/0001193125-12-089534-index.html,https://www.sec.gov/Archives/edgar/data/723612/000119312513068169/0001193125-13-068169-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361214000041/car-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361215000047/car-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361216000244/0000723612-16-000244-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361217000035/0000723612-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361218000024/0000723612-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361219000025/0000723612-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361220000011/0000723612-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/723612/000072361221000005/0000723612-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/723612/000072361222000006/0000723612-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
